date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,10.95,11.25,10.95,11.25,2.74,38847,862.9,137
2005-01-04 00:00:00+00,11.25,11.3,11.15,11.25,0,64689,1456.06,191
2005-01-05 00:00:00+00,11.3,11.35,11.1,11.25,0,37631,847.41,174
2005-01-06 00:00:00+00,11.3,11.3,11.1,11.2,-0.44,66374,1487.91,184
2005-01-07 00:00:00+00,11.1,11.35,11.1,11.3,0.89,79093,1784.02,208
2005-01-10 00:00:00+00,11,11,9.2,10.4,-7.96,4188,85.37,87
2005-01-11 00:00:00+00,9.25,9.25,8.95,9.05,-12.98,1647,30.1,67
2005-01-12 00:00:00+00,9.1,9.1,6.8,8,-11.6,4650,78.4,72
2005-01-13 00:00:00+00,8.05,8.8,8.05,8.8,10,2459,40.69,76
2005-01-14 00:00:00+00,9,9,8.35,8.4,-4.55,1992,34.17,53
2005-01-17 00:00:00+00,8.4,8.65,8.2,8.2,-2.38,1647,27.51,48
2005-01-18 00:00:00+00,7.8,7.8,5.9,5.95,-27.44,126294,1578.85,400
2005-01-19 00:00:00+00,5.7,5.8,5.55,5.7,-4.2,113545,1288.44,282
2005-01-20 00:00:00+00,5.8,6.2,5.65,6,5.26,64202,759.97,164
2005-01-21 00:00:00+00,6,6,5.8,5.8,-3.33,12447,146.94,68
2005-01-24 00:00:00+00,5.75,5.8,5.65,5.65,-2.59,10299,117.82,53
2005-01-25 00:00:00+00,5.65,5.95,5.65,5.9,4.42,31434,368.16,121
2005-01-26 00:00:00+00,5.95,6.05,5.9,6,1.69,46750,557.64,120
2005-01-27 00:00:00+00,6,6.05,5.9,6.05,0.83,84594,1012.97,140
2005-01-28 00:00:00+00,6.05,6.1,5.95,6.05,0,30077,361.87,103
2005-01-31 00:00:00+00,6.05,6.05,6,6.05,0,22057,265.19,99
2005-02-01 00:00:00+00,6.1,6.25,6.1,6.2,2.48,30699,378.45,114
2005-02-02 00:00:00+00,6.3,6.5,6.3,6.5,4.84,44253,567.79,161
