date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,7.45,7.8,7.45,7.7,3.36,6788,104.24,73
2005-01-04 00:00:00+00,7.55,7.7,7.45,7.45,-3.25,6692,101.5,81
2005-01-05 00:00:00+00,7.4,7.5,7.3,7.5,0.67,5144,76.28,80
2005-01-06 00:00:00+00,7.35,7.45,7.3,7.35,-2,4463,65.76,63
2005-01-07 00:00:00+00,7.3,7.65,7.3,7.5,2.04,7752,116.73,78
2005-01-10 00:00:00+00,7.6,7.75,7.6,7.75,3.33,3614,55.63,66
2005-01-11 00:00:00+00,7.65,7.8,7.6,7.6,-1.94,2465,37.93,54
2005-01-12 00:00:00+00,7.65,7.75,7.65,7.65,0.66,5343,81.96,72
2005-01-13 00:00:00+00,7.7,7.75,7.65,7.75,1.31,4103,62.92,69
2005-01-14 00:00:00+00,7.6,7.65,7.6,7.65,-1.29,1194,18.19,47
2005-01-17 00:00:00+00,7.7,7.95,7.65,7.65,0,5357,84.01,66
2005-01-18 00:00:00+00,7.7,7.95,7.7,7.75,1.31,8164,129.03,63
2005-01-19 00:00:00+00,7.75,7.8,7.4,7.75,0,10812,165.32,55
2005-01-20 00:00:00+00,7.5,7.55,7.5,7.55,-2.58,839,12.59,38
2005-01-21 00:00:00+00,7.55,7.55,7.4,7.4,-1.99,4569,68.07,39
2005-01-24 00:00:00+00,7.35,7.4,7.2,7.3,-1.35,6824,99.75,39
2005-01-25 00:00:00+00,7.35,7.5,7.3,7.5,2.74,9606,142.9,64
2005-01-26 00:00:00+00,7.5,7.7,7.5,7.6,1.33,1893,28.54,45
2005-01-27 00:00:00+00,7.7,7.75,7.65,7.7,1.32,1721,26.56,43
2005-01-28 00:00:00+00,7.75,7.9,7.75,7.8,1.3,2299,35.86,51
2005-01-31 00:00:00+00,7.8,8.15,7.8,8.1,3.85,15542,251.35,96
2005-02-01 00:00:00+00,8.2,8.4,8.1,8.3,2.47,21849,364.21,101
2005-02-02 00:00:00+00,8.25,8.4,8.25,8.4,1.2,2100,34.85,63
2005-02-03 00:00:00+00,8.4,8.4,8.25,8.3,-1.19,2663,44.47,68
2005-02-04 00:00:00+00,8.3,8.4,8.3,8.3,0,1974,32.79,52
2005-02-07 00:00:00+00,8.25,8.3,8.2,8.25,-0.6,4604,76.01,79
2005-02-08 00:00:00+00,8.25,8.4,8.25,8.4,1.82,4557,75.49,75
2005-02-09 00:00:00+00,8.25,8.35,8.2,8.25,-1.79,875,14.52,43
2005-02-10 00:00:00+00,8.15,8.3,8.15,8.3,0.61,866,14.12,49
2005-02-11 00:00:00+00,8.15,8.3,8,8.15,-1.81,1809,29.48,50
2005-02-14 00:00:00+00,8,8.25,7.9,7.95,-2.45,2976,48.2,64
2005-02-15 00:00:00+00,8.15,8.45,8,8.25,3.77,3720,61.34,82
