date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,8.8,8.95,8.75,8.9,0,32176,570.81,90
2005-01-04 00:00:00+00,8.9,9,8.85,8.9,0,33417,596.52,113
2005-01-05 00:00:00+00,8.9,9.05,8.8,9,1.12,28488,510.08,140
2005-01-06 00:00:00+00,9.05,9.05,8.9,9,0,32893,592.45,96
2005-01-07 00:00:00+00,9,9.3,8.95,9.2,2.22,25715,468.33,119
2005-01-10 00:00:00+00,9.4,9.75,9.3,9.6,4.35,34230,653.85,138
2005-01-11 00:00:00+00,9.65,9.65,9.35,9.45,-1.56,17518,332.09,101
2005-01-12 00:00:00+00,9.45,9.6,9.35,9.6,1.59,9793,185.65,90
2005-01-13 00:00:00+00,9.55,9.6,9.45,9.55,-0.52,18463,352.38,102
2005-01-14 00:00:00+00,9.45,9.5,9.4,9.45,-1.05,4714,89.35,59
2005-01-17 00:00:00+00,9.4,9.55,9.35,9.45,0,9147,173.22,66
2005-01-18 00:00:00+00,9.45,9.75,9.45,9.7,2.65,33916,657.05,117
2005-01-19 00:00:00+00,9.8,9.9,9.7,9.9,2.06,73993,1449.71,156
2005-01-20 00:00:00+00,10,10.3,9.95,10.3,4.04,43395,881.21,162
2005-01-21 00:00:00+00,10.3,10.4,10.2,10.35,0.49,40410,835.73,118
2005-01-24 00:00:00+00,10.3,10.4,10.25,10.35,0,17115,353.42,64
2005-01-25 00:00:00+00,10.3,10.3,10.15,10.25,-0.97,22310,456.71,96
2005-01-26 00:00:00+00,0,0,0,10.25,0,0,0,0
2005-01-27 00:00:00+00,10.55,10.8,10.55,10.7,4.39,141232,2998.04,264
2005-01-28 00:00:00+00,10.7,10.75,10.65,10.7,0,42819,916.47,140
2005-01-31 00:00:00+00,10.75,10.95,10.7,10.95,2.34,78169,1693.85,156
2005-02-01 00:00:00+00,10.95,11.05,10.9,11.05,0.91,41107,902.69,164
2005-02-02 00:00:00+00,11.05,11.25,11,11.2,1.36,61969,1385.76,169
2005-02-03 00:00:00+00,11.1,11.35,11.05,11.3,0.89,37337,839.22,203
2005-02-04 00:00:00+00,11.3,11.45,11.1,11.3,0,55963,1266.87,207
2005-02-07 00:00:00+00,11.3,11.45,11.2,11.45,1.33,28856,654.83,168
2005-02-08 00:00:00+00,11.45,11.45,9.9,10,-12.66,4634,103.04,91
2005-02-09 00:00:00+00,9.3,9.3,7.7,8.3,-17,16826,279.56,92
2005-02-10 00:00:00+00,8,8.3,8,8,-3.61,2721,43.87,54
2005-02-11 00:00:00+00,8,8.1,7.75,8,0,1177,18.63,45
2005-02-14 00:00:00+00,8,8,7.75,7.75,-3.13,1294,20.18,57
2005-02-15 00:00:00+00,7.6,7.6,7.4,7.6,-1.94,1905,28.42,59
2005-02-16 00:00:00+00,6.2,6.8,5.75,5.9,-22.37,289709,3507.4,497
2005-02-17 00:00:00+00,5.9,6.2,5.75,6.2,5.08,152288,1822.67,281
2005-02-18 00:00:00+00,6.1,6.45,6.1,6.35,2.42,98244,1238.11,233
2005-02-21 00:00:00+00,6.4,6.55,6.3,6.4,0.79,44050,565.74,164
2005-02-22 00:00:00+00,6.45,6.5,6.25,6.3,-1.56,28000,356.85,127
2005-02-23 00:00:00+00,6.3,6.35,6.2,6.25,-0.79,19901,249.94,110
2005-02-24 00:00:00+00,6.25,6.25,6.15,6.2,-0.8,12528,155.05,97
2005-02-25 00:00:00+00,6.2,6.3,6.2,6.2,0,7911,98.26,73
2005-02-28 00:00:00+00,6.2,6.2,5.95,6.1,-1.61,27390,334.54,86
2005-03-01 00:00:00+00,5.95,6.15,5.95,6.05,-0.82,5172,62.34,50
2005-03-02 00:00:00+00,5.95,6,5.7,5.8,-4.13,22902,267.92,94
2005-03-03 00:00:00+00,5.7,5.85,5.65,5.7,-1.72,13996,160.45,92
2005-03-04 00:00:00+00,5.65,5.8,5.65,5.75,0.88,7325,83.4,70
2005-03-07 00:00:00+00,5.8,6.1,5.8,6.1,6.09,21460,256.78,79
2005-03-08 00:00:00+00,6.1,6.15,6,6.05,-0.82,9462,114.74,83
2005-03-09 00:00:00+00,6,6.1,5.95,5.95,-1.65,7849,94.23,63
2005-03-10 00:00:00+00,5.95,6.1,5.95,5.95,0,5017,59.97,61
2005-03-11 00:00:00+00,5.95,6.05,5.9,5.95,0,3716,44.21,52
2005-03-14 00:00:00+00,5.9,6,5.7,5.7,-4.2,7035,81.16,73
