date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,7,7.25,6.95,7.1,2.9,212913,3033.6,345
2005-01-04 00:00:00+00,7.1,7.15,6.95,7.1,0,105615,1489.11,176
2005-01-05 00:00:00+00,7,7,6.9,6.95,-2.11,45299,630.62,106
2005-01-06 00:00:00+00,6.95,7.35,6.9,7.2,3.6,273422,3929.3,385
2005-01-07 00:00:00+00,7.4,7.75,7.4,7.7,6.94,511969,7810.88,595
2005-01-10 00:00:00+00,7.8,8.1,7.55,7.55,-1.95,309518,4857.09,515
2005-01-11 00:00:00+00,7.65,7.75,7.55,7.7,1.99,115757,1769.24,174
2005-01-12 00:00:00+00,7.7,7.75,7.5,7.55,-1.95,68189,1037.24,113
2005-01-13 00:00:00+00,7.6,8.2,7.6,8,5.96,434945,6916,435
2005-01-14 00:00:00+00,8.1,8.5,8.05,8.15,1.88,379017,6260.35,471
2005-01-17 00:00:00+00,8.3,8.3,8.1,8.1,-0.61,62180,1012.61,126
2005-01-18 00:00:00+00,8.1,8.15,7.55,7.55,-6.79,162131,2539.15,288
2005-01-19 00:00:00+00,7.65,7.75,7.35,7.7,1.99,211489,3205.17,287
2005-01-20 00:00:00+00,7.6,7.7,7.5,7.5,-2.6,104894,1587.14,150
2005-01-21 00:00:00+00,7.6,7.6,7.2,7.45,-0.67,82722,1220.57,176
2005-01-24 00:00:00+00,7.3,7.4,7.2,7.4,-0.67,60646,887.96,117
2005-01-25 00:00:00+00,7.35,7.55,7.2,7.5,1.35,114665,1706.02,179
2005-01-26 00:00:00+00,7.5,7.6,7.35,7.5,0,98299,1471.59,139
2005-01-27 00:00:00+00,7.45,7.6,7.45,7.45,-0.67,32314,483.08,52
2005-01-28 00:00:00+00,7.5,7.8,7.45,7.7,3.36,189481,2906.64,295
2005-01-31 00:00:00+00,7.85,8,7.75,7.85,1.95,171101,2699.15,269
2005-02-01 00:00:00+00,7.8,7.85,7.6,7.7,-1.91,68381,1054.46,115
2005-02-02 00:00:00+00,7.7,7.75,7.5,7.6,-1.3,66296,1011.3,117
2005-02-03 00:00:00+00,7.55,7.65,7.5,7.6,0,28171,427.68,63
2005-02-04 00:00:00+00,7.6,7.65,7.4,7.55,-0.66,118669,1778.54,165
2005-02-07 00:00:00+00,7.6,7.6,7.35,7.5,-0.66,49525,739.58,109
2005-02-08 00:00:00+00,7.45,7.45,7.3,7.3,-2.67,41812,618.87,82
2005-02-09 00:00:00+00,7.4,7.4,7.15,7.2,-1.37,91418,1322.97,139
2005-02-10 00:00:00+00,7.2,7.55,7.1,7.55,4.86,137794,2018.92,226
2005-02-11 00:00:00+00,7.6,7.65,7.35,7.45,-1.32,57879,867.36,115
2005-02-14 00:00:00+00,7.45,7.45,7.25,7.25,-2.68,62141,910.88,95
2005-02-15 00:00:00+00,7.2,7.2,6.9,7.15,-1.38,178320,2524.35,313
2005-02-16 00:00:00+00,7.15,7.3,7.05,7.1,-0.7,97747,1399.22,151
2005-02-17 00:00:00+00,7.1,7.3,7.1,7.3,2.82,63137,913.85,139
2005-02-18 00:00:00+00,7.2,7.6,7.2,7.4,1.37,142241,2123.92,245
2005-02-21 00:00:00+00,7.45,7.55,7.35,7.45,0.68,45829,680.49,101
2005-02-22 00:00:00+00,7.45,7.45,7.3,7.4,-0.67,39762,583.94,79
2005-02-23 00:00:00+00,7.25,7.4,7.25,7.4,0,22486,330.18,50
2005-02-24 00:00:00+00,7.3,7.35,7.1,7.15,-3.38,103817,1504.05,143
2005-02-25 00:00:00+00,7.2,7.25,7.05,7.05,-1.4,77843,1107.34,186
2005-02-28 00:00:00+00,7.05,7.1,6.65,6.75,-4.26,165776,2264.74,316
2005-03-01 00:00:00+00,6.7,7.05,6.7,7,3.7,77839,1076.23,164
2005-03-02 00:00:00+00,6.9,6.9,6.75,6.8,-2.86,43332,590.73,79
2005-03-03 00:00:00+00,6.9,7,6.7,6.8,0,33802,460.16,68
2005-03-04 00:00:00+00,6.75,6.9,6.65,6.75,-0.74,63350,850.41,95
2005-03-07 00:00:00+00,6.75,6.8,6.65,6.7,-0.74,15020,202.02,40
2005-03-08 00:00:00+00,6.7,6.7,6.4,6.4,-4.48,78985,1029.95,123
2005-03-09 00:00:00+00,6.4,6.45,6.25,6.3,-1.56,51473,654.03,134
2005-03-10 00:00:00+00,6.3,6.65,6.3,6.5,3.17,86214,1112.07,176
2005-03-11 00:00:00+00,6.55,6.6,6.25,6.35,-2.31,41403,527.47,76
2005-03-14 00:00:00+00,6.3,6.4,6.15,6.15,-3.15,47182,588.64,98
2005-03-15 00:00:00+00,6.2,6.4,6.2,6.35,3.25,100631,1271.09,131
2005-03-16 00:00:00+00,6.35,6.65,6.3,6.55,3.15,312688,4013.41,249
2005-03-17 00:00:00+00,6.55,6.6,6.45,6.5,-0.76,97968,1275.01,106
2005-03-18 00:00:00+00,6.55,6.85,6.45,6.75,3.85,216341,2891.38,249
2005-03-21 00:00:00+00,6.8,6.8,6.35,6.4,-5.19,127970,1696.81,154
2005-03-22 00:00:00+00,6.4,6.45,6.35,6.45,0.78,57406,735.88,81
2005-03-23 00:00:00+00,6.4,6.4,6.35,6.4,-0.78,19576,250.33,30
2005-03-24 00:00:00+00,6.4,6.45,6.3,6.45,0.78,15889,202.35,39
2005-03-29 00:00:00+00,6.4,6.5,6.4,6.45,0,109803,1410.66,84
2005-03-30 00:00:00+00,6.5,6.5,6.35,6.5,0.78,7768,100.01,21
2005-03-31 00:00:00+00,6.65,6.7,6.5,6.7,3.08,80550,1073.4,91
2005-04-01 00:00:00+00,6.75,7.25,6.7,6.95,3.73,256940,3632.86,401
2005-04-04 00:00:00+00,7.1,7.4,7,7.15,2.88,75507,1085.43,215
2005-04-05 00:00:00+00,7.1,7.1,7,7.1,-0.7,30363,429.75,81
2005-04-06 00:00:00+00,7.2,7.3,7.15,7.3,2.82,84941,1235.06,150
2005-04-07 00:00:00+00,7.25,7.3,7.15,7.15,-2.05,37495,541.11,70
2005-04-11 00:00:00+00,7.1,7.2,7.05,7.2,0.7,9353,133.08,38
2005-04-12 00:00:00+00,7.1,7.1,6.95,7,-2.78,19859,279.94,60
2005-04-13 00:00:00+00,7,7,6.8,6.85,-2.14,25942,356.64,65
2005-04-14 00:00:00+00,6.8,7,6.8,6.8,-0.73,45434,622.14,76
2005-04-15 00:00:00+00,6.85,6.9,6.7,6.8,0,54121,733.74,68
2005-04-18 00:00:00+00,6.65,6.7,6.45,6.7,-1.47,66587,877.5,120
2005-04-19 00:00:00+00,6.55,6.8,6.5,6.65,-0.75,57603,768.15,99
2005-04-20 00:00:00+00,6.75,6.9,6.5,6.5,-2.26,112659,1505.1,105
2005-04-21 00:00:00+00,6.45,6.6,6.35,6.6,1.54,38987,506.86,73
2005-04-22 00:00:00+00,6.65,6.65,6.45,6.5,-1.52,22310,292.07,27
2005-04-25 00:00:00+00,6.4,6.55,6.35,6.5,0,45458,588.55,66
2005-04-26 00:00:00+00,6.45,6.5,6.4,6.45,-0.77,42066,544.35,54
2005-04-27 00:00:00+00,6.4,6.5,6.35,6.5,0.78,33319,427.15,55
2005-04-28 00:00:00+00,6.4,6.65,6.35,6.65,2.31,83143,1088.63,97
2005-04-29 00:00:00+00,6.65,6.9,6.65,6.75,1.5,79376,1082.79,101
2005-05-02 00:00:00+00,6.8,6.8,6.7,6.7,-0.74,5880,79.15,17
2005-05-04 00:00:00+00,6.6,6.65,6.45,6.5,-2.99,91601,1202.08,63
2005-05-05 00:00:00+00,6.65,6.65,6.35,6.5,0,44043,569.02,67
2005-05-06 00:00:00+00,6.85,7,6.6,6.75,3.85,258335,3494.98,376
2005-05-09 00:00:00+00,6.7,6.95,6.6,6.7,-0.74,214916,2900.58,328
2005-05-10 00:00:00+00,6.75,6.75,6.4,6.55,-2.24,82995,1080.24,165
2005-05-11 00:00:00+00,6.55,6.6,6.45,6.6,0.76,45716,598.44,82
2005-05-12 00:00:00+00,6.6,6.6,6.4,6.45,-2.27,47284,613.16,79
2005-05-13 00:00:00+00,6.4,6.75,6.35,6.65,3.1,147073,1923.84,185
2005-05-16 00:00:00+00,6.55,6.6,6.45,6.6,-0.75,15507,202.58,46
2005-05-17 00:00:00+00,6.65,6.8,6.5,6.55,-0.76,56924,751.41,110
2005-05-18 00:00:00+00,6.6,6.65,6.5,6.5,-0.76,17277,227.24,53
2005-05-19 00:00:00+00,6.55,6.65,6.45,6.55,0.77,18522,241.98,53
2005-05-20 00:00:00+00,6.5,6.7,6.45,6.6,0.76,53642,708.76,121
2005-05-23 00:00:00+00,6.55,6.85,6.55,6.75,2.27,76682,1034.27,130
2005-05-24 00:00:00+00,6.65,6.85,6.65,6.8,0.74,37492,509.73,56
2005-05-25 00:00:00+00,6.75,7.05,6.75,6.95,2.21,144433,2012.98,238
2005-05-27 00:00:00+00,7.1,7.15,7,7,0.72,44761,635.04,72
2005-05-30 00:00:00+00,6.95,7.5,6.95,7.5,7.14,186262,2720.93,282
2005-05-31 00:00:00+00,7.55,7.7,7.45,7.55,0.67,203114,3079.37,271
2005-06-01 00:00:00+00,7.5,7.55,7.4,7.4,-1.99,77501,1154.44,120
2005-06-02 00:00:00+00,7.4,7.6,7.4,7.45,0.68,81761,1222.78,101
2005-06-03 00:00:00+00,7.35,7.35,7.2,7.35,-1.34,22910,333.3,58
2005-06-06 00:00:00+00,7.25,7.45,7.2,7.45,1.36,41088,605.73,57
2005-06-07 00:00:00+00,7.5,7.5,7.25,7.4,-0.67,24012,353.49,51
2005-06-08 00:00:00+00,7.4,7.4,7.2,7.2,-2.7,57086,834.34,111
2005-06-09 00:00:00+00,7.2,7.3,7.15,7.2,0,41141,593.01,71
2005-06-10 00:00:00+00,7.2,7.25,6.9,6.95,-3.47,92541,1294.57,178
2005-06-13 00:00:00+00,7,7.15,7,7.1,2.16,49391,698.1,81
2005-06-14 00:00:00+00,7.05,7.05,6.95,7.05,-0.7,55065,772.76,68
2005-06-15 00:00:00+00,7.05,7.05,6.95,7,-0.71,33343,468.35,45
2005-06-16 00:00:00+00,7,7.1,6.8,7,0,72312,1010.74,92
2005-06-17 00:00:00+00,6.95,7,6.85,6.9,-1.43,42760,593.13,74
2005-06-20 00:00:00+00,6.95,7,6.85,6.9,0,45830,632.84,49
2005-06-21 00:00:00+00,6.9,7,6.75,7,1.45,48418,667.03,94
2005-06-22 00:00:00+00,7,7.05,6.85,6.9,-1.43,62349,861.28,94
2005-06-23 00:00:00+00,6.95,7,6.85,6.9,0,39866,550.51,58
2005-06-24 00:00:00+00,6.85,7.35,6.85,7.2,4.35,205338,2962.3,245
2005-06-27 00:00:00+00,7.2,7.3,7.1,7.2,0,68825,993.7,68
2005-06-28 00:00:00+00,7.2,7.3,7.05,7.2,0,44551,638.64,79
2005-06-29 00:00:00+00,7.15,7.15,7.1,7.15,-0.69,19071,272.09,42
2005-06-30 00:00:00+00,7.1,7.15,7,7.15,0,37667,532.88,57
2005-07-01 00:00:00+00,7.2,7.6,7.15,7.55,5.59,318019,4705.84,297
2005-07-04 00:00:00+00,7.6,8,7.6,7.8,3.31,313532,4905.32,339
2005-07-05 00:00:00+00,7.85,7.95,7.65,7.65,-1.92,67442,1049.2,106
2005-07-06 00:00:00+00,7.7,7.95,7.65,7.95,3.92,145683,2286.44,163
2005-07-07 00:00:00+00,7.95,8,7.65,7.75,-2.52,91646,1421.15,161
2005-07-08 00:00:00+00,7.85,7.9,7.7,7.85,1.29,39104,610.7,76
2005-07-11 00:00:00+00,7.85,7.85,7.55,7.65,-2.55,78469,1203.21,141
2005-07-12 00:00:00+00,7.7,7.85,7.55,7.85,2.61,66059,1016.87,98
2005-07-13 00:00:00+00,7.85,7.95,7.7,7.85,0,65921,1032.35,96
2005-07-14 00:00:00+00,7.8,7.85,7.75,7.8,-0.64,73491,1147.69,79
2005-07-15 00:00:00+00,7.9,7.9,7.65,7.8,0,51912,801.16,53
2005-07-18 00:00:00+00,7.8,7.85,7.55,7.55,-3.21,118267,1819.44,147
2005-07-19 00:00:00+00,7.65,7.75,7.5,7.75,2.65,38251,585.15,82
2005-07-20 00:00:00+00,7.7,7.7,7.4,7.4,-4.52,139311,2087.56,148
2005-07-21 00:00:00+00,7.5,7.75,7.5,7.65,3.38,140143,2139.58,231
2005-07-22 00:00:00+00,7.6,7.6,7.3,7.5,-1.96,111109,1651.91,187
2005-07-25 00:00:00+00,7.4,7.45,7.3,7.4,-1.33,47352,698.6,136
2005-07-26 00:00:00+00,7.7,8.25,7.65,8.2,10.81,688199,10994.36,701
2005-07-27 00:00:00+00,8.2,8.45,8,8.35,1.83,466333,7703.33,573
2005-07-28 00:00:00+00,8.25,8.5,8.2,8.4,0.6,220052,3668.99,252
2005-07-29 00:00:00+00,8.35,8.7,8.35,8.5,1.19,201672,3446.81,224
2005-08-01 00:00:00+00,8.5,8.5,8.3,8.45,-0.59,68050,1140.59,123
2005-08-02 00:00:00+00,8.5,8.55,8.3,8.45,0,97114,1636.32,121
2005-08-03 00:00:00+00,8.35,8.4,8.25,8.35,-1.18,38970,648.48,65
2005-08-04 00:00:00+00,8.25,8.25,8,8.2,-1.8,103053,1677.25,155
2005-08-05 00:00:00+00,8.25,8.35,8.1,8.25,0.61,56974,937.22,84
2005-08-08 00:00:00+00,8.25,8.6,8.25,8.45,2.42,172026,2928.93,250
2005-08-09 00:00:00+00,8.5,8.5,8.25,8.4,-0.59,68241,1139.92,106
2005-08-10 00:00:00+00,8.4,8.4,8.25,8.35,-0.6,31331,521.39,65
2005-08-11 00:00:00+00,8.3,8.45,8.25,8.35,0,85025,1416.06,117
2005-08-12 00:00:00+00,8.25,8.45,8.2,8.4,0.6,60669,1003.57,136
2005-08-16 00:00:00+00,8.5,8.5,8.35,8.45,0.6,64375,1084.04,91
2005-08-17 00:00:00+00,8.4,8.4,8.3,8.35,-1.18,25913,433.96,57
2005-08-18 00:00:00+00,8.35,8.35,8.25,8.35,0,32619,542.16,60
2005-08-19 00:00:00+00,8.3,8.35,8.25,8.3,-0.6,36843,611.54,58
2005-08-22 00:00:00+00,8.3,8.3,8.2,8.3,0,35815,590.67,80
2005-08-23 00:00:00+00,8.3,8.3,8,8.15,-1.81,59998,973.68,91
2005-08-24 00:00:00+00,8.15,8.25,8,8.2,0.61,250381,4025.34,127
2005-08-25 00:00:00+00,8.15,8.2,8.05,8.15,-0.61,13813,224.87,40
2005-08-26 00:00:00+00,8.15,8.2,8.1,8.15,0,11170,181.77,30
2005-08-29 00:00:00+00,8.1,8.55,8.1,8.5,4.29,245391,4112.53,284
2005-08-30 00:00:00+00,8.5,8.65,8.35,8.45,-0.59,109929,1876.3,166
2005-08-31 00:00:00+00,8.45,8.45,8.25,8.35,-1.18,58075,970.7,95
2005-09-01 00:00:00+00,8.3,8.45,8.15,8.3,-0.6,25182,416.83,80
2005-09-02 00:00:00+00,8.25,8.35,8.15,8.2,-1.2,41853,687.58,60
2005-09-05 00:00:00+00,8.1,8.2,8,8.2,0,101078,1638.53,55
2005-09-06 00:00:00+00,8.2,8.35,8.2,8.3,1.22,22729,375.05,50
2005-09-07 00:00:00+00,8.3,8.45,8.3,8.4,1.2,75504,1265.29,120
2005-09-08 00:00:00+00,8.4,8.45,8.3,8.35,-0.6,22480,375.69,43
2005-09-09 00:00:00+00,8.35,8.55,8.3,8.3,-0.6,126195,2127.09,127
2005-09-12 00:00:00+00,8.3,8.35,8.15,8.3,0,49971,826.82,84
2005-09-13 00:00:00+00,8.45,8.55,8.35,8.4,1.2,173862,2930,212
2005-09-14 00:00:00+00,8.35,8.7,8.3,8.7,3.57,198692,3408.05,248
2005-09-15 00:00:00+00,9.2,9.4,9,9.1,4.6,584825,10799.25,716
2005-09-16 00:00:00+00,9.15,9.2,8.85,9,-1.1,143598,2594.34,243
