date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,1.19,1.19,1.17,1.18,0,193573,457.47,93
2005-01-04 00:00:00+00,1.17,1.18,1.16,1.17,-0.85,79698,186.44,62
2005-01-05 00:00:00+00,1.17,1.18,1.15,1.17,0,195382,453.89,85
2005-01-06 00:00:00+00,1.15,1.18,1.14,1.18,0.85,406391,939.55,161
2005-01-07 00:00:00+00,1.18,1.19,1.17,1.18,0,252539,593.52,90
2005-01-10 00:00:00+00,1.18,1.18,1.16,1.17,-0.85,133430,312.45,61
2005-01-11 00:00:00+00,1.16,1.17,1.15,1.17,0,98638,229.12,51
2005-01-12 00:00:00+00,1.17,1.19,1.16,1.16,-0.85,301291,708.55,108
2005-01-13 00:00:00+00,1.16,1.19,1.16,1.18,1.72,295957,698.48,137
2005-01-14 00:00:00+00,1.18,1.18,1.15,1.17,-0.85,342104,796.93,118
2005-01-17 00:00:00+00,1.18,1.18,1.15,1.16,-0.85,273215,633.24,77
2005-01-18 00:00:00+00,1.16,1.16,1.13,1.15,-0.86,270799,618.68,104
2005-01-19 00:00:00+00,1.15,1.15,1.07,1.14,-0.87,224669,502.2,131
2005-01-20 00:00:00+00,1.12,1.12,1.09,1.11,-2.63,391223,862.39,174
2005-01-21 00:00:00+00,1.1,1.1,1.07,1.07,-3.6,210446,455.19,121
2005-01-24 00:00:00+00,1.07,1.14,1.06,1.13,5.61,304484,674.4,186
2005-01-25 00:00:00+00,1.13,1.16,1.12,1.14,0.88,248549,564.41,134
2005-01-26 00:00:00+00,1.13,1.14,1.1,1.12,-1.75,307457,686.31,132
2005-01-27 00:00:00+00,1.12,1.13,1.11,1.11,-0.89,183831,411.34,61
2005-01-28 00:00:00+00,1.1,1.16,1.09,1.13,1.8,586734,1329.05,425
2005-01-31 00:00:00+00,1.14,1.15,1.12,1.13,0,320441,726.96,135
2005-02-01 00:00:00+00,1.13,1.15,1.12,1.14,0.88,281621,639,131
2005-02-02 00:00:00+00,1.15,1.15,1.11,1.12,-1.75,523054,1174.27,197
2005-02-03 00:00:00+00,1.12,1.12,1.09,1.11,-0.89,538356,1188.37,215
2005-02-04 00:00:00+00,1.13,1.19,1.11,1.17,5.41,1583340,3667.83,585
2005-02-07 00:00:00+00,1.18,1.22,1.16,1.19,1.71,1649909,3936.46,539
2005-02-08 00:00:00+00,1.22,1.23,1.18,1.18,-0.84,1142301,2746.2,326
2005-02-09 00:00:00+00,1.17,1.18,1.15,1.16,-1.69,313862,730.19,150
2005-02-10 00:00:00+00,1.17,1.18,1.14,1.17,0.86,464060,1072.92,156
2005-02-11 00:00:00+00,1.14,1.15,1.11,1.12,-4.27,930585,2099.06,319
