date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,56.1,57.2,56.1,57,0.35,35476,4034.78,157
2005-01-04 00:00:00+00,56.8,57.3,56.4,57.3,0.53,75736,8622.65,188
2005-01-05 00:00:00+00,56.7,57.7,56.5,57.6,0.52,90099,10304.16,219
2005-01-06 00:00:00+00,57,57.8,57,57.5,-0.17,181948,20922.38,195
2005-01-07 00:00:00+00,57.5,57.7,56.5,57.1,-0.7,20348,2325.25,112
2005-01-10 00:00:00+00,56.5,57.4,56.5,57.3,0.35,37861,4330.26,118
2005-01-11 00:00:00+00,57.3,57.3,56.6,57.1,-0.35,73138,8339.35,124
2005-01-12 00:00:00+00,57.1,57.3,56.7,57,-0.18,161992,18507.4,155
2005-01-13 00:00:00+00,55.5,56.9,55.5,56,-1.75,108510,12248.88,106
2005-01-14 00:00:00+00,55.7,56.4,55.5,56.4,0.71,16616,1850.61,79
2005-01-17 00:00:00+00,56.7,57.3,56.6,57,1.06,61998,7065.44,186
2005-01-18 00:00:00+00,56.6,56.6,55.1,56,-1.75,28537,3187.49,123
2005-01-19 00:00:00+00,55.4,56.3,55.4,56,0,48183,5366.22,153
2005-01-20 00:00:00+00,55,56,54.1,55.6,-0.71,57437,6364.09,202
2005-01-21 00:00:00+00,55,55.5,54.6,55.5,-0.18,22719,2491.07,103
2005-01-24 00:00:00+00,55,55.3,53.4,55.3,-0.36,43775,4808.61,156
2005-01-25 00:00:00+00,55.3,56.1,55.3,55.8,0.9,130669,14621.56,113
2005-01-26 00:00:00+00,55.6,56.2,55.4,56,0.36,197111,22054.15,109
2005-01-27 00:00:00+00,55.8,56.4,55.8,56,0,49105,5504.54,101
2005-01-28 00:00:00+00,56.1,56.6,55.8,56.3,0.54,45701,5147.14,86
2005-01-31 00:00:00+00,56,57,56,56.8,0.89,17838,2019.46,102
2005-02-01 00:00:00+00,56.3,58,56.3,57.9,1.94,100014,11412.06,279
2005-02-02 00:00:00+00,57.7,59.5,57.7,59.3,2.42,247023,29182.81,253
2005-02-03 00:00:00+00,59,59.2,58.6,58.7,-1.01,163530,19288.66,160
2005-02-04 00:00:00+00,58.1,58.6,57.6,58,-1.19,105874,12291.96,187
2005-02-07 00:00:00+00,58,59.9,57.5,59.9,3.28,104341,12196.65,204
2005-02-08 00:00:00+00,59.8,61,59.8,60.1,0.33,89760,10793.87,214
2005-02-09 00:00:00+00,59.5,60.2,59,59.9,-0.33,98805,11851.06,177
2005-02-10 00:00:00+00,60.3,61.9,59.1,61,1.84,113405,13802.16,272
2005-02-11 00:00:00+00,60.3,61.1,60,60.7,-0.49,57357,6945.08,155
2005-02-14 00:00:00+00,61.5,62.5,60.5,61.5,1.32,153486,18811.73,390
2005-02-15 00:00:00+00,61,61.5,60.5,61,-0.81,62334,7607.71,141
2005-02-16 00:00:00+00,60.9,62,60.8,61.9,1.48,98532,12109.71,262
2005-02-17 00:00:00+00,62,63,61.9,62.7,1.29,233825,29291.87,367
2005-02-18 00:00:00+00,62.5,63.6,61.6,62,-1.12,289745,36536.49,335
2005-02-21 00:00:00+00,61.5,62.7,61.5,62.4,0.65,97864,12206.27,185
2005-02-22 00:00:00+00,62.2,62.3,61.5,62,-0.64,161663,20005.99,209
2005-02-23 00:00:00+00,61.8,62.5,60.8,61.5,-0.81,104094,12794,254
2005-02-24 00:00:00+00,62,62.8,61.2,62.5,1.63,128924,16058.1,235
2005-02-25 00:00:00+00,62.9,63.7,62.8,63.2,1.12,155863,19690.02,389
2005-02-28 00:00:00+00,63.3,63.5,62.5,62.8,-0.63,72895,9167.01,169
2005-03-01 00:00:00+00,62.7,63,61.1,62.7,-0.16,36064,4497.34,197
2005-03-02 00:00:00+00,62.3,62.6,61.5,61.9,-1.28,112897,14061.52,187
2005-03-03 00:00:00+00,61.5,61.8,60.1,60.9,-1.62,28518,3475.56,152
2005-03-04 00:00:00+00,61.4,61.4,61,61.3,0.66,60147,7373.64,148
2005-03-07 00:00:00+00,61,61,60.4,60.9,-0.65,79009,9619.98,131
2005-03-08 00:00:00+00,60.5,61.8,60.3,61.5,0.99,53939,6609.33,152
2005-03-09 00:00:00+00,61,63.6,61,63.6,3.41,158748,19998,273
2005-03-10 00:00:00+00,63.5,63.5,61.4,62.4,-1.89,74997,9367.71,156
2005-03-11 00:00:00+00,62.4,62.7,60.4,61.5,-1.44,35755,4411.12,167
2005-03-14 00:00:00+00,61,61.7,61,61.5,0,70606,8660.44,138
2005-03-15 00:00:00+00,61.5,62.6,61.5,61.8,0.49,203045,25344.13,253
2005-03-16 00:00:00+00,61,61,59.1,59.4,-3.88,90974,10863.08,217
2005-03-17 00:00:00+00,60.1,61.2,60.1,60.8,2.36,155152,18845.61,272
2005-03-18 00:00:00+00,60.8,61.3,60.7,61.2,0.66,90641,11061.63,176
2005-03-21 00:00:00+00,60.7,61.1,60.5,60.5,-1.14,152859,18574.33,140
2005-03-22 00:00:00+00,60.1,60.6,60.1,60.5,0,88357,10689.57,158
2005-03-23 00:00:00+00,60,60.6,60,60.4,-0.17,23844,2874.56,105
2005-03-24 00:00:00+00,60.5,61.2,60.5,60.9,0.83,129574,15798.1,149
2005-03-29 00:00:00+00,60.1,60.4,59.8,60.3,-0.99,17162,2063.17,78
2005-03-30 00:00:00+00,59.8,60.3,59.6,59.9,-0.66,8075,967.54,51
2005-03-31 00:00:00+00,60,60,54.2,59.1,-1.34,186613,22165.07,157
2005-04-01 00:00:00+00,59.2,59.6,58.8,59.2,0.17,252219,29792.69,186
2005-04-04 00:00:00+00,59.3,59.8,59,59.3,0.17,75418,8942.99,117
2005-04-05 00:00:00+00,59,59.5,59,59.4,0.17,11441,1354.87,57
2005-04-06 00:00:00+00,59.2,59.8,59.2,59.8,0.67,18134,2157.3,66
2005-04-07 00:00:00+00,60,60,58,58,-3.01,21269,2519.4,88
2005-04-11 00:00:00+00,58.1,59.7,58.1,59.5,2.59,33994,4041.3,65
2005-04-12 00:00:00+00,59.5,60.9,58.8,60.5,1.68,145448,17260.43,181
2005-04-13 00:00:00+00,60.5,62.4,60.5,62,2.48,146705,18151.4,333
2005-04-14 00:00:00+00,61.7,62,60.6,62,0,53365,6582.56,156
2005-04-15 00:00:00+00,60.7,62,60.6,61.9,-0.16,25950,3180.52,130
2005-04-18 00:00:00+00,60,60.8,59.8,60,-3.07,75145,9023.19,192
2005-04-19 00:00:00+00,60,60.4,59.6,60.1,0.17,160607,19305.6,157
2005-04-20 00:00:00+00,59.6,60.5,59.6,59.6,-0.83,64729,7779.11,114
2005-04-21 00:00:00+00,59.1,60.3,59.1,60,0.67,98742,11849.34,85
2005-04-22 00:00:00+00,58.1,61,58.1,60.6,1,94954,11239.19,153
2005-04-25 00:00:00+00,60.6,60.8,60.1,60.5,-0.17,35003,4236.05,84
2005-04-26 00:00:00+00,60.2,60.7,60.2,60.5,0,129416,15651.57,137
2005-04-27 00:00:00+00,60,60,59.5,60,-0.83,102073,12241.15,90
2005-04-28 00:00:00+00,59.6,60.4,59.6,60,0,164145,19694.18,146
2005-04-29 00:00:00+00,60,60.3,59.2,59.9,-0.17,87951,10506.36,110
2005-05-02 00:00:00+00,59.9,59.9,59.3,59.5,-0.67,61812,7354.33,83
2005-05-04 00:00:00+00,59.5,59.5,58.8,59,-0.84,86509,10213.83,148
2005-05-05 00:00:00+00,59,59.9,59,59.7,1.19,113530,13529.53,111
2005-05-06 00:00:00+00,59.9,59.9,58.8,59.1,-1.01,104037,12298.05,114
2005-05-09 00:00:00+00,59,59,57.9,58.3,-1.35,58512,6836.33,92
2005-05-10 00:00:00+00,58,58.3,56,56.4,-3.26,120952,13793.59,205
2005-05-11 00:00:00+00,55.9,58.1,55.9,57.8,2.48,180261,20624.04,410
2005-05-12 00:00:00+00,60.1,61.2,59.7,60.7,5.02,323270,39094.18,479
2005-05-13 00:00:00+00,60.8,63,60.7,62.9,3.62,228975,28372.03,451
2005-05-16 00:00:00+00,63,63.2,62.6,63,0.16,112870,14195.46,185
2005-05-17 00:00:00+00,63,63.4,62.7,62.9,-0.16,47888,6029.66,89
2005-05-18 00:00:00+00,62.9,68,62.9,65,3.34,243345,31717.75,525
2005-05-19 00:00:00+00,66.2,67.4,65,65,0,374358,49731.45,451
2005-05-20 00:00:00+00,65.1,66.7,65.1,66,1.54,448350,59488.59,243
2005-05-23 00:00:00+00,65.6,66,65.6,65.6,-0.61,30766,4039.69,102
2005-05-24 00:00:00+00,65.6,66.9,65.5,66.1,0.76,23801,3144.23,113
2005-05-25 00:00:00+00,66.2,67,66.2,67,1.36,36953,4936.76,149
2005-05-27 00:00:00+00,66.3,70,66.3,68.6,2.39,153583,21123.67,260
2005-05-30 00:00:00+00,69.3,70,68.1,68.9,0.44,76766,10610.79,213
2005-05-31 00:00:00+00,68.8,69,68.4,68.7,-0.29,89102,12244.46,223
2005-06-01 00:00:00+00,68,68,66,66.5,-3.2,143460,19148.97,321
2005-06-02 00:00:00+00,66.6,67.5,66.3,67.1,0.9,50450,6760.09,201
2005-06-03 00:00:00+00,68.2,68.2,67,67.5,0.6,138037,18679.72,237
2005-06-06 00:00:00+00,67.5,67.8,66.5,66.7,-1.19,162708,21711.48,115
2005-06-07 00:00:00+00,66.7,66.9,66,66.8,0.15,102559,13601.71,149
2005-06-08 00:00:00+00,66.5,66.7,66,66,-1.2,112114,14839.56,194
2005-06-09 00:00:00+00,66,66.4,65.6,66,0,93860,12395.05,111
2005-06-10 00:00:00+00,66.1,66.8,66,66.4,0.61,70835,9397.94,128
2005-06-13 00:00:00+00,66.4,66.5,65.9,66.1,-0.45,49316,6514.43,88
2005-06-14 00:00:00+00,66,66.3,65,65,-1.66,92404,12158.42,209
2005-06-15 00:00:00+00,64.3,65.7,64.3,65.5,0.77,341711,44675.24,274
2005-06-16 00:00:00+00,65.5,67,65.5,66.7,1.83,94093,12539.11,232
2005-06-17 00:00:00+00,66.9,66.9,65.5,66,-1.05,66799,8825.18,127
2005-06-20 00:00:00+00,65.6,66.5,65.6,66.3,0.45,21757,2882.29,111
2005-06-21 00:00:00+00,66.1,67,66.1,66.8,0.75,95526,12745.25,157
2005-06-22 00:00:00+00,66.4,69.4,66.4,69,3.29,100173,13731.67,311
2005-06-23 00:00:00+00,69.5,70.7,68.1,68.5,-0.72,72590,10086.57,285
2005-06-24 00:00:00+00,67.9,67.9,66,67,-2.19,215153,28673.3,278
2005-06-27 00:00:00+00,66.6,66.6,65.6,65.7,-1.94,210900,27864.79,316
2005-06-28 00:00:00+00,65.8,66.1,65.2,65.2,-0.76,73852,9692.99,132
2005-06-29 00:00:00+00,65.2,65.5,64.5,64.5,-1.07,52212,6791.42,166
2005-06-30 00:00:00+00,64.3,64.7,63.5,64,-0.78,165898,21304.33,382
2005-07-01 00:00:00+00,64,65.3,63.8,65.1,2.52,125394,16202.97,344
