date,open,high,low,close,difference,volume,turnover,transactions
2010-11-08 00:00:00+00,29.1,29.3,28,28.84,6.81,413709,23899.06,753
2010-11-09 00:00:00+00,29.1,31,29,30.5,5.76,244198,14438.06,715
2010-11-10 00:00:00+00,30.65,30.65,30,30.2,-0.98,94995,5743.35,211
2010-11-12 00:00:00+00,30.02,31.5,30,31.19,3.28,98668,6108.9,261
2010-11-15 00:00:00+00,31.75,31.84,30.93,30.93,-0.83,106486,6648.12,189
2010-11-16 00:00:00+00,30.93,30.93,30,30.5,-1.39,120907,7308.38,131
2010-11-17 00:00:00+00,30.33,30.33,29.05,29.7,-2.62,137842,8197.35,88
2010-11-18 00:00:00+00,30.1,30.7,29.9,30.6,3.03,447870,27348.78,86
2010-11-19 00:00:00+00,30.4,30.65,30.4,30.6,0,113011,6909.51,55
2010-11-22 00:00:00+00,30.6,30.9,30,30,-1.96,62683,3831.54,60
2010-11-23 00:00:00+00,30,30,29.22,29.4,-2,4080,240.44,39
2010-11-24 00:00:00+00,30.3,30.3,29.55,30.12,2.45,218358,13115.88,58
2010-11-25 00:00:00+00,30.11,30.38,30.1,30.35,0.76,177057,10747.06,30
2010-11-26 00:00:00+00,30.3,30.5,30.12,30.3,-0.16,144914,8792.61,68
2010-11-29 00:00:00+00,30.05,30.3,30,30.19,-0.36,91811,5545.32,29
2010-11-30 00:00:00+00,30.25,30.25,29.65,30,-0.63,62553,3747.52,37
2010-12-01 00:00:00+00,30,30.75,29.75,30.7,2.33,63948,3875.66,68
2010-12-02 00:00:00+00,30.85,31.31,30.5,31,0.98,111267,6872.49,103
2010-12-03 00:00:00+00,31.1,32,30.91,32,3.23,132723,8356.5,156
2010-12-06 00:00:00+00,31.99,32.1,31.8,32.1,0.31,71462,4566.43,120
2010-12-07 00:00:00+00,32,32.1,31.45,31.6,-1.56,100306,6341.92,87
2010-12-08 00:00:00+00,31.47,31.47,31.3,31.34,-0.82,76589,4799.61,89
2010-12-09 00:00:00+00,31.49,31.49,31,31.37,0.1,228276,14322.54,153
2010-12-10 00:00:00+00,31.37,31.37,31,31.29,-0.26,71306,4447.43,60
2010-12-13 00:00:00+00,31.29,31.29,31.01,31.17,-0.38,53969,3368.75,26
2010-12-14 00:00:00+00,31.15,31.19,30.65,31,-0.55,49748,3088.69,31
2010-12-15 00:00:00+00,31.09,31.09,29.5,30.46,-1.74,70100,4271.19,67
2010-12-16 00:00:00+00,30.45,30.98,29.9,30.5,0.13,93034,5630.71,65
2010-12-17 00:00:00+00,30.5,31,30.2,30.9,1.31,36310,2211.23,13
2010-12-20 00:00:00+00,30.4,30.98,30.1,30.88,-0.06,44977,2769.86,23
2010-12-21 00:00:00+00,30.9,31.1,30.8,31.1,0.71,140967,8734.24,47
2010-12-22 00:00:00+00,31.15,31.9,31,31.72,1.99,17267,1092.61,51
2010-12-23 00:00:00+00,31.7,31.97,31.4,31.72,0,13482,857.66,36
2010-12-27 00:00:00+00,31.9,33.9,31.7,33.85,6.72,39652,2596.71,141
2010-12-28 00:00:00+00,34,34.89,33.36,34.89,3.07,59192,4034.96,189
2010-12-29 00:00:00+00,35,36.49,34.61,35.5,1.75,34171,2420.31,201
2010-12-30 00:00:00+00,35,35.55,34.65,35.2,-0.85,13954,977.29,79
2010-12-31 00:00:00+00,35.5,35.5,34.8,34.86,-0.97,4064,284.3,32
2011-01-03 00:00:00+00,34.87,36.99,34.3,36.75,5.42,18014,640.15,102
2011-01-04 00:00:00+00,36.79,36.79,35.51,36,-2.04,82567,2972.43,119
2011-01-05 00:00:00+00,35.61,36,35,35.69,-0.86,20917,738.53,92
2011-01-07 00:00:00+00,35.99,36.5,35.69,36.5,2.27,5857,210.93,48
2011-01-10 00:00:00+00,36.53,38.6,36.5,37.7,3.29,25575,957.77,177
2011-01-11 00:00:00+00,38.5,38.6,37.7,38.3,1.59,8601,329.33,91
2011-01-12 00:00:00+00,38.2,38.2,35.6,37.6,-1.83,48446,1793.35,268
2011-01-13 00:00:00+00,37.36,37.9,35.81,37.9,0.8,137787,5090.96,385
2011-01-14 00:00:00+00,37.9,38.6,37.5,37.8,-0.26,50064,1918,120
2011-01-17 00:00:00+00,38.2,38.21,37.45,38.21,1.08,205578,7712.9,128
2011-01-18 00:00:00+00,38.61,41.9,38.61,41.68,9.08,111754,4623.64,371
2011-01-19 00:00:00+00,43.28,43.35,42,42.49,1.94,44735,1898.58,289
2011-01-20 00:00:00+00,42.5,42.55,42.01,42.01,-1.13,12196,515.07,63
2011-01-21 00:00:00+00,42,42.15,40.5,41.53,-1.14,184588,7688.44,212
2011-01-24 00:00:00+00,41.7,42.5,41.45,42.35,1.97,26718,1125.14,259
2011-01-25 00:00:00+00,42.4,43.35,41.8,42.75,0.94,26780,1144.39,213
2011-01-26 00:00:00+00,43,44.78,43,43.8,2.46,59273,2606.29,299
2011-01-27 00:00:00+00,44.37,44.37,42.71,42.95,-1.94,38991,1692.93,201
2011-01-28 00:00:00+00,43.2,43.4,41.8,42,-2.21,51278,2162.37,202
2011-01-31 00:00:00+00,41.6,41.7,40.06,41.39,-1.45,19699,806.97,203
2011-02-01 00:00:00+00,41.4,42.4,41,41.41,0.05,22783,947.1,147
