date,open,high,low,close,difference,volume,turnover,transactions
2015-11-06 00:00:00+00,7.7,7.7,7.5,7.6,-1.3,2838,21.31,13
2015-11-09 00:00:00+00,7.6,7.6,7.6,7.6,0,780,5.93,4
2015-11-10 00:00:00+00,7.52,7.52,7.5,7.5,-1.32,1227,9.21,3
2015-11-12 00:00:00+00,0,0,0,7.5,0,0,0,0
2015-11-13 00:00:00+00,7.55,7.55,7.41,7.5,0,1542,11.55,8
2015-11-16 00:00:00+00,7.86,7.86,7.79,7.79,3.87,525,4.1,6
2015-11-17 00:00:00+00,7.78,7.78,7.5,7.69,-1.28,6854,51.61,21
2015-11-18 00:00:00+00,7.74,7.74,7.41,7.65,-0.52,3513,26.31,8
2015-11-19 00:00:00+00,7.5,7.75,7.5,7.65,0,1721,13.23,12
2015-11-20 00:00:00+00,7.75,7.8,7.5,7.65,0,15353,116.73,29
2015-11-23 00:00:00+00,7.65,7.65,7.51,7.65,0,3735,28.08,6
2015-11-24 00:00:00+00,7.51,7.65,7.5,7.65,0,5450,40.93,8
2015-11-25 00:00:00+00,7.46,7.6,7.45,7.45,-2.61,6236,46.85,13
2015-11-26 00:00:00+00,7.5,7.5,7.23,7.45,0,18271,135.15,28
2015-11-27 00:00:00+00,7.4,7.4,7.23,7.39,-0.81,7449,54.54,7
2015-11-30 00:00:00+00,7.39,7.45,7.35,7.45,0.81,2418,17.99,8
2015-12-01 00:00:00+00,7.4,7.4,7.3,7.3,-2.01,3949,28.94,6
2015-12-02 00:00:00+00,7.28,7.28,7,7.01,-3.97,19752,138.81,27
2015-12-03 00:00:00+00,7.05,7.05,7,7.01,0,4800,33.64,10
2015-12-04 00:00:00+00,7.03,7.05,7.02,7.05,0.57,1516,10.66,5
2015-12-07 00:00:00+00,7.1,7.1,7.1,7.1,0.71,790,5.61,2
2015-12-08 00:00:00+00,7.1,7.11,7.1,7.1,0,246,1.75,7
2015-12-09 00:00:00+00,7.1,7.1,6.98,6.98,-1.69,4668,32.71,11
2015-12-10 00:00:00+00,6.95,7,6.91,7,0.29,12826,89.53,15
2015-12-11 00:00:00+00,7,7,6.91,7,0,10371,72.57,8
2015-12-14 00:00:00+00,6.91,6.95,6.31,6.31,-9.86,13068,87.17,31
2015-12-15 00:00:00+00,6.31,6.32,6.15,6.2,-1.74,23087,143.66,29
2015-12-16 00:00:00+00,6.24,6.5,6.2,6.5,4.84,4040,25.47,9
2015-12-17 00:00:00+00,6.51,6.51,6.5,6.5,0,944,6.14,4
2015-12-18 00:00:00+00,6.65,6.65,6.6,6.6,1.54,570,3.78,5
2015-12-21 00:00:00+00,6.35,6.4,6.2,6.4,-3.03,6931,43.58,11
2015-12-22 00:00:00+00,6.41,6.64,6.41,6.41,0.16,2557,16.5,8
2015-12-23 00:00:00+00,6.44,6.44,6.31,6.37,-0.62,6999,44.74,17
2015-12-28 00:00:00+00,6.3,6.38,6.26,6.38,0.16,4395,27.76,11
2015-12-29 00:00:00+00,6.42,6.42,6.4,6.41,0.47,3345,21.43,8
2015-12-30 00:00:00+00,6.41,6.61,6.4,6.61,3.12,3700,24.13,12
2016-01-04 00:00:00+00,6.6,6.63,6.6,6.63,0.3,1757,11.61,4
2016-01-05 00:00:00+00,6.6,6.62,6.5,6.62,-0.15,480,3.15,4
2016-01-07 00:00:00+00,6.63,6.63,6.63,6.63,0.15,97,0.64,2
2016-01-08 00:00:00+00,6.55,6.92,6.55,6.92,4.37,4284,28.98,9
2016-01-11 00:00:00+00,6.9,6.9,6.8,6.9,-0.29,1862,12.75,3
2016-01-12 00:00:00+00,6.66,6.9,6.66,6.9,0,350,2.36,2
2016-01-13 00:00:00+00,6.9,6.97,6.8,6.97,1.01,386,2.68,4
2016-01-14 00:00:00+00,6.8,6.8,6.65,6.8,-2.44,1785,12.1,15
2016-01-15 00:00:00+00,6.97,6.97,6.9,6.94,2.06,13216,91.8,13
2016-01-18 00:00:00+00,6.8,6.8,6.8,6.8,-2.02,2500,17,3
2016-01-19 00:00:00+00,6.7,6.8,6.7,6.8,0,300,2.02,2
2016-01-20 00:00:00+00,6.66,6.66,6.4,6.4,-5.88,3379,22.19,10
2016-01-21 00:00:00+00,6,6,6,6,-6.25,2770,16.62,4
2016-01-22 00:00:00+00,6.05,6.18,6,6.08,1.33,1745,10.6,4
2016-01-25 00:00:00+00,6.1,6.1,6.08,6.08,0,750,4.56,2
2016-01-26 00:00:00+00,6.07,6.07,5.95,6,-1.32,4032,24.19,10
2016-01-27 00:00:00+00,5.77,5.82,5.75,5.82,-3,2313,13.34,6
2016-01-28 00:00:00+00,5.83,6,5.81,6,3.09,1073,6.29,5
2016-01-29 00:00:00+00,6,6,5.9,6,0,2572,15.41,10
2016-02-01 00:00:00+00,6,6,5.91,5.91,-1.5,3466,20.76,5
2016-02-02 00:00:00+00,5.85,5.85,5.8,5.85,-1.02,1140,6.66,8
2016-02-03 00:00:00+00,5.85,5.85,5.85,5.85,0,369,2.16,1
2016-02-04 00:00:00+00,5.8,6,5.78,5.81,-0.68,2955,17.53,6
2016-02-05 00:00:00+00,5.82,5.99,5.82,5.99,3.1,1037,6.04,2
2016-02-08 00:00:00+00,5.99,6,5.81,6,0.17,2854,16.95,11
2016-02-09 00:00:00+00,5.99,5.99,5.99,5.99,-0.17,550,3.29,4
2016-02-10 00:00:00+00,5.78,5.8,5.75,5.8,-3.17,3501,20.15,7
2016-02-11 00:00:00+00,5.8,5.8,5.8,5.8,0,1007,5.84,4
2016-02-12 00:00:00+00,5.82,5.82,5.55,5.82,0.34,7936,44.5,19
2016-02-15 00:00:00+00,5.82,5.91,5.82,5.91,1.55,1400,8.19,3
2016-02-16 00:00:00+00,5.91,5.91,5.91,5.91,0,300,1.77,3
2016-02-17 00:00:00+00,5.98,5.98,5.97,5.97,1.02,205,1.22,2
