date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,24.7,24.8,24.2,24.8,0.4,2508,122.99,26
2005-01-04 00:00:00+00,24.9,25,24.5,24.8,0,4576,226.53,32
2005-01-05 00:00:00+00,24.3,24.6,24.2,24.6,-0.81,2018,97.83,15
2005-01-06 00:00:00+00,24.7,25.1,23.3,24.5,-0.41,6339,310.5,43
2005-01-07 00:00:00+00,24.7,24.7,24.2,24.2,-1.22,1765,85.68,12
2005-01-10 00:00:00+00,24.3,24.4,24,24.4,0.83,283,13.65,7
2005-01-11 00:00:00+00,24,24,23.6,23.9,-2.05,1034,49.4,13
2005-01-12 00:00:00+00,23.7,23.8,23.3,23.4,-2.09,5636,264.98,40
2005-01-13 00:00:00+00,23.4,23.5,22.5,22.5,-3.85,10319,470.42,84
2005-01-14 00:00:00+00,22.2,22.7,22.1,22.7,0.89,598,26.76,11
2005-01-17 00:00:00+00,22.4,22.8,21.5,22.8,0.44,8645,381.08,43
2005-01-18 00:00:00+00,22.5,22.7,22,22.5,-1.32,1607,71.09,19
2005-01-19 00:00:00+00,21.7,22.6,21.6,22.5,0,835,36.93,14
2005-01-20 00:00:00+00,22.5,22.5,22.5,22.5,0,60,2.7,2
2005-01-21 00:00:00+00,22,22,21.6,22,-2.22,4989,217.04,39
2005-01-24 00:00:00+00,21.4,22,20.6,21.2,-3.64,8445,360.02,43
2005-01-25 00:00:00+00,20.7,21.7,20.5,21.4,0.94,15430,640.61,91
2005-01-26 00:00:00+00,21.5,21.7,20.8,21.5,0.47,4350,184.84,39
2005-01-27 00:00:00+00,21.7,22,21.7,22,2.33,798,35.08,12
2005-01-28 00:00:00+00,22.2,22.2,22,22.1,0.45,1141,50.62,9
2005-01-31 00:00:00+00,22.4,22.4,22.1,22.3,0.9,3832,170.29,25
2005-02-01 00:00:00+00,22.4,22.4,21.9,22.3,0,3725,165.1,20
2005-02-02 00:00:00+00,22.3,22.5,22,22.4,0.45,2880,128.62,17
2005-02-03 00:00:00+00,22.1,22.7,22.1,22.5,0.45,3868,173.07,30
2005-02-04 00:00:00+00,22.8,24.2,22.7,23.6,4.89,21481,1014.44,109
2005-02-07 00:00:00+00,23.8,23.9,23.1,23.9,1.27,3103,146.22,31
2005-02-08 00:00:00+00,23.9,23.9,23.5,23.5,-1.67,1884,88.89,23
2005-02-09 00:00:00+00,23.6,23.6,23,23.2,-1.28,1058,49.03,12
2005-02-10 00:00:00+00,22.9,23.5,22.9,22.9,-1.29,2020,93.44,14
2005-02-11 00:00:00+00,22.6,23.1,22.6,22.9,0,2898,132.71,18
2005-02-14 00:00:00+00,22.5,23,22.5,23,0.44,1833,82.57,11
2005-02-15 00:00:00+00,23,23,22.5,22.5,-2.17,1968,89.43,20
2005-02-16 00:00:00+00,22.8,22.8,22.5,22.5,0,968,43.63,10
2005-02-17 00:00:00+00,23,23.3,23,23.3,3.56,3255,150.24,20
2005-02-18 00:00:00+00,22.7,23,22.7,22.7,-2.58,1205,54.77,14
2005-02-21 00:00:00+00,23.1,23.2,22.9,23.2,2.2,417,19.2,5
2005-02-22 00:00:00+00,23.1,23.5,22.9,23.5,1.29,2040,94.76,30
2005-02-23 00:00:00+00,23.7,25.2,23.5,24.9,5.96,12444,602.29,114
2005-02-24 00:00:00+00,24.9,24.9,24.2,24.5,-1.61,1764,86.48,28
2005-02-25 00:00:00+00,24.5,24.5,23.5,24.1,-1.63,2656,127.5,35
2005-02-28 00:00:00+00,24,24.1,23.9,23.9,-0.83,6457,309.97,25
2005-03-01 00:00:00+00,23.8,24.2,23.8,24.2,1.26,854,40.86,17
2005-03-02 00:00:00+00,24,24.2,23.9,23.9,-1.24,6084,292.01,31
