date,open,high,low,close,difference,volume,turnover,transactions
2007-12-07 00:00:00+00,47.25,48,47.25,48,1.8,95,9.04,3
2007-12-10 00:00:00+00,48.53,49.11,48.53,49.11,2.31,402,39.41,9
2007-12-11 00:00:00+00,48.4,49.4,48.4,48.67,-0.9,299,29.07,6
2007-12-12 00:00:00+00,0,0,0,48.67,0,0,0,0
2007-12-13 00:00:00+00,48.53,48.87,48.53,48.87,0.41,133,12.99,5
2007-12-14 00:00:00+00,49.4,49.4,48.58,48.74,-0.27,322,31.41,5
2007-12-17 00:00:00+00,48.62,49.03,48.62,48.87,0.27,544,53.17,11
2007-12-18 00:00:00+00,48.52,48.8,48.52,48.55,-0.65,147,14.29,5
2007-12-19 00:00:00+00,48.79,48.8,48.79,48.79,0.49,216,21.08,3
2007-12-20 00:00:00+00,48.8,49.99,48.8,49.31,1.07,813,80.22,8
2007-12-21 00:00:00+00,48.53,48.53,48.53,48.53,-1.58,19,1.84,3
2007-12-27 00:00:00+00,0,0,0,48.53,0,0,0,0
2007-12-28 00:00:00+00,48.82,48.82,48.82,48.82,0.6,68,6.64,2
2008-01-02 00:00:00+00,48.82,49,48.82,49,0.37,348,34.08,4
2008-01-03 00:00:00+00,49,49.75,49,49.01,0.02,722,71.46,14
2008-01-04 00:00:00+00,48.02,49.11,48.02,49.11,0.2,461,44.81,7
2008-01-07 00:00:00+00,49,49.7,48.05,49.5,0.79,219,21.66,7
2008-01-08 00:00:00+00,49.11,49.5,49.11,49.36,-0.28,799,78.95,5
2008-01-09 00:00:00+00,49.21,49.5,49.2,49.5,0.28,711,70.09,10
2008-01-10 00:00:00+00,48.82,49.52,48.82,49.52,0.04,3293,325.52,19
2008-01-11 00:00:00+00,49.5,49.5,49.5,49.5,-0.04,107,10.59,1
2008-01-14 00:00:00+00,49.06,49.5,49.06,49.5,0,565,55.69,10
2008-01-15 00:00:00+00,48.82,49.06,48.82,49.06,-0.89,150,14.71,5
2008-01-16 00:00:00+00,49.06,49.55,48.82,49.55,1,1837,180.78,20
2008-01-17 00:00:00+00,48.82,49,48.82,49,-1.11,142,13.87,5
2008-01-18 00:00:00+00,49.3,49.5,48.82,48.82,-0.37,86,8.43,3
2008-01-21 00:00:00+00,48.82,48.82,48.82,48.82,0,18,1.76,1
2008-01-22 00:00:00+00,48.81,49,48.5,49,0.37,1217,118.77,12
2008-01-23 00:00:00+00,0,0,0,49,0,0,0,0
2008-01-24 00:00:00+00,48.63,49.01,48.63,49.01,0.02,1027,100.26,7
2008-01-25 00:00:00+00,49.2,49.2,49.1,49.15,0.29,607,59.66,4
2008-01-28 00:00:00+00,49.15,49.2,49,49.2,0.1,119,11.69,4
2008-01-29 00:00:00+00,49.22,49.22,49.22,49.22,0.04,269,26.48,4
2008-01-30 00:00:00+00,49.22,49.22,49.22,49.22,0,162,15.95,3
2008-01-31 00:00:00+00,49.7,49.8,49.1,49.1,-0.24,453,44.85,3
2008-02-01 00:00:00+00,0,0,0,49.1,0,0,0,0
2008-02-04 00:00:00+00,49.22,49.23,49.22,49.23,0.26,389,38.3,4
2008-02-05 00:00:00+00,49.23,49.23,49.23,49.23,0,176,17.33,3
2008-02-06 00:00:00+00,49.23,49.23,49,49.1,-0.26,245,24.1,3
2008-02-07 00:00:00+00,49.1,49.1,49.1,49.1,0,182,17.87,1
2008-02-08 00:00:00+00,0,0,0,49.1,0,0,0,0
2008-02-11 00:00:00+00,49.21,49.21,49.21,49.21,0.22,208,20.47,3
2008-02-12 00:00:00+00,49.25,49.25,49.22,49.22,0.02,88,8.66,3
2008-02-13 00:00:00+00,49.21,49.21,49.21,49.21,-0.02,35,3.44,1
2008-02-14 00:00:00+00,49.21,49.21,49.16,49.16,-0.1,273,26.86,3
2008-02-15 00:00:00+00,0,0,0,49.16,0,0,0,0
2008-02-18 00:00:00+00,49,49,48.5,48.5,-1.34,3617,354.46,3
2008-02-19 00:00:00+00,49,49,49,49,1.03,40,3.92,1
2008-02-20 00:00:00+00,48.5,48.5,48.5,48.5,-1.02,160,15.52,1
2008-02-21 00:00:00+00,49.51,49.51,49.51,49.51,2.08,31,3.07,1
2008-02-22 00:00:00+00,49.51,49.51,49.51,49.51,0,11,1.09,1
2008-02-25 00:00:00+00,49,49.51,49,49.51,0,180,17.65,2
2008-02-26 00:00:00+00,49.51,49.51,48.5,48.5,-2.04,158,15.33,2
2008-02-27 00:00:00+00,0,0,0,48.5,0,0,0,0
2008-02-28 00:00:00+00,48.5,49.2,48.5,49.2,1.44,56,5.5,2
2008-02-29 00:00:00+00,49.5,49.5,49.2,49.2,0,260,25.59,3
2008-03-03 00:00:00+00,48.9,48.9,48.6,48.6,-1.22,171,16.63,2
2008-03-04 00:00:00+00,49,49.01,49,49.01,0.84,726,71.15,3
2008-03-05 00:00:00+00,49,49,49,49,-0.02,440,43.12,1
2008-03-06 00:00:00+00,49,49,49,49,0,160,15.68,1
2008-03-07 00:00:00+00,0,0,0,49,0,0,0,0
2008-03-10 00:00:00+00,0,0,0,49,0,0,0,0
2008-03-11 00:00:00+00,49,49,49,49,0,100,9.8,1
2008-03-12 00:00:00+00,49,49.5,49,49.5,1.02,94,9.22,3
2008-03-13 00:00:00+00,49,49,49,49,-1.01,138,13.52,2
2008-03-14 00:00:00+00,49.45,49.5,49,49,0,178,17.48,3
2008-03-17 00:00:00+00,49,49.4,49,49.4,0.82,1851,182.19,3
2008-03-18 00:00:00+00,48.5,48.5,48.5,48.5,-1.82,167,16.2,1
2008-03-19 00:00:00+00,48.5,48.5,48.5,48.5,0,12,1.16,1
2008-03-20 00:00:00+00,48.51,48.51,48.51,48.51,0.02,50,4.85,1
2008-03-25 00:00:00+00,48.5,49,48.5,49,1.01,276,26.92,3
2008-03-26 00:00:00+00,49,49,49,49,0,92,9.02,2
2008-03-27 00:00:00+00,0,0,0,49,0,0,0,0
2008-03-28 00:00:00+00,0,0,0,49,0,0,0,0
2008-03-31 00:00:00+00,48.5,48.5,48.5,48.5,-1.02,110,10.67,1
2008-04-01 00:00:00+00,49.2,49.2,49.2,49.2,1.44,58,5.71,2
2008-04-02 00:00:00+00,49,49,49,49,-0.41,142,13.92,1
2008-04-03 00:00:00+00,0,0,0,49,0,0,0,0
2008-04-04 00:00:00+00,49,49,49,49,0,13,1.27,1
2008-04-07 00:00:00+00,49,49,49,49,0,46,4.51,2
2008-04-08 00:00:00+00,49,49,49,49,0,86,8.43,2
2008-04-09 00:00:00+00,49,49,49,49,0,37,3.63,1
2008-04-10 00:00:00+00,0,0,0,49,0,0,0,0
2008-04-11 00:00:00+00,0,0,0,49,0,0,0,0
2008-04-14 00:00:00+00,49,49,49,49,0,50,4.9,1
2008-04-15 00:00:00+00,0,0,0,49,0,0,0,0
2008-04-16 00:00:00+00,49,49,49,49,0,299,29.3,4
2008-04-17 00:00:00+00,49,49,49,49,0,10,0.98,1
2008-04-18 00:00:00+00,49,49,49,49,0,486,47.63,5
2008-04-21 00:00:00+00,49,49,49,49,0,470,46.06,5
2008-04-22 00:00:00+00,49,49,49,49,0,55,5.39,2
2008-04-23 00:00:00+00,49,49,49,49,0,152,14.9,4
2008-04-24 00:00:00+00,49,49,49,49,0,173,16.95,2
2008-04-25 00:00:00+00,49,49,49,49,0,453,44.39,3
2008-04-28 00:00:00+00,0,0,0,49,0,0,0,0
2008-04-29 00:00:00+00,49,49,49,49,0,46,4.51,3
