date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,4.08,4.08,4,4.04,-0.49,15116,121.91,48
2005-01-04 00:00:00+00,4.08,4.18,4.05,4.11,1.73,51974,427.15,106
2005-01-05 00:00:00+00,4.09,4.1,4,4.09,-0.49,28790,233.29,60
2005-01-06 00:00:00+00,4,4.08,3.99,4.06,-0.73,25962,208.85,59
2005-01-07 00:00:00+00,4.01,4.05,4,4.04,-0.49,17762,142.74,35
2005-01-10 00:00:00+00,4.05,4.05,3.86,3.91,-3.22,37952,297.68,94
2005-01-11 00:00:00+00,3.9,3.93,3.6,3.65,-6.65,106701,787.61,243
2005-01-12 00:00:00+00,3.64,3.77,3.64,3.69,1.1,44246,328.24,111
2005-01-13 00:00:00+00,3.69,3.86,3.6,3.83,3.79,60965,456.16,146
2005-01-14 00:00:00+00,3.83,3.95,3.83,3.83,0,37441,291.44,83
2005-01-17 00:00:00+00,3.74,3.79,3.66,3.74,-2.35,13246,98.13,39
2005-01-18 00:00:00+00,3.65,3.66,3.55,3.63,-2.94,35228,254.38,76
2005-01-19 00:00:00+00,3.63,3.63,3.43,3.53,-2.75,31255,218.39,84
2005-01-20 00:00:00+00,3.47,3.53,3.42,3.49,-1.13,11113,76.85,29
2005-01-21 00:00:00+00,3.48,3.48,3.21,3.27,-6.3,73047,482.55,157
2005-01-24 00:00:00+00,3.12,3.26,2.99,3.16,-3.36,225145,1392.08,342
2005-01-25 00:00:00+00,3.19,3.33,3.08,3.27,3.48,71322,465.55,153
2005-01-26 00:00:00+00,3.31,3.37,3.28,3.31,1.22,34756,232.06,65
2005-01-27 00:00:00+00,3.35,3.35,3.21,3.3,-0.3,50661,329.46,67
2005-01-28 00:00:00+00,3.4,4.22,3.39,4.22,27.88,370475,2839.83,708
2005-01-31 00:00:00+00,4.5,4.84,4.41,4.59,8.77,451781,4198.77,783
2005-02-01 00:00:00+00,4.62,4.67,4.24,4.4,-4.14,107203,948.65,242
2005-02-02 00:00:00+00,4.35,4.45,4.2,4.3,-2.27,74422,643.23,177
2005-02-03 00:00:00+00,4.24,4.34,4.15,4.24,-1.4,57697,488.41,121
2005-02-04 00:00:00+00,4.3,4.31,4.16,4.31,1.65,36788,312.71,70
2005-02-07 00:00:00+00,4.4,4.67,4.35,4.55,5.57,116238,1057.6,230
2005-02-08 00:00:00+00,4.57,4.57,4.23,4.43,-2.64,46793,414.86,93
2005-02-09 00:00:00+00,4.3,4.32,4.2,4.27,-3.61,27597,234.58,72
2005-02-10 00:00:00+00,4.22,4.38,4.22,4.34,1.64,31803,274.65,79
2005-02-11 00:00:00+00,4.34,4.4,4.25,4.32,-0.46,23980,206.7,45
2005-02-14 00:00:00+00,4.26,4.3,4.22,4.3,-0.46,29121,247.93,37
2005-02-15 00:00:00+00,4.39,4.64,4.39,4.58,6.51,125752,1137.49,278
2005-02-16 00:00:00+00,4.53,4.58,4.37,4.37,-4.59,61100,543.89,111
2005-02-17 00:00:00+00,4.37,4.4,4.25,4.3,-1.6,38657,332.51,77
2005-02-18 00:00:00+00,4.28,4.4,4.18,4.18,-2.79,60759,516.85,113
2005-02-21 00:00:00+00,4.17,4.28,4.16,4.24,1.44,24860,208.86,57
2005-02-22 00:00:00+00,4.29,4.32,4.23,4.28,0.94,13061,111.75,32
2005-02-23 00:00:00+00,4.25,4.25,4.05,4.2,-1.87,29954,250.87,66
2005-02-24 00:00:00+00,4.16,4.2,4.09,4.16,-0.95,31002,256.79,66
2005-02-25 00:00:00+00,4.3,4.3,4.16,4.19,0.72,56099,473.19,87
2005-02-28 00:00:00+00,4.2,4.24,4.04,4.24,1.19,43077,357.16,85
2005-03-01 00:00:00+00,4.25,4.25,4.07,4.1,-3.3,23638,193.89,64
2005-03-02 00:00:00+00,4.06,4.14,3.97,3.97,-3.17,70492,569.83,118
2005-03-03 00:00:00+00,4,4.13,4,4.02,1.26,37539,304.37,69
2005-03-04 00:00:00+00,4.02,4.04,3.9,3.98,-1,22260,176.27,67
2005-03-07 00:00:00+00,4.03,4.03,3.85,3.88,-2.51,17931,140.23,42
2005-03-08 00:00:00+00,3.88,3.88,3.68,3.76,-3.09,25635,192.01,77
2005-03-09 00:00:00+00,3.81,3.81,3.61,3.67,-2.39,19111,139.95,58
2005-03-10 00:00:00+00,3.65,3.89,3.62,3.77,2.72,39198,295.79,98
2005-03-11 00:00:00+00,3.8,3.87,3.61,3.72,-1.33,16192,120.37,51
2005-03-14 00:00:00+00,3.71,3.79,3.63,3.69,-0.81,5255,38.51,16
2005-03-15 00:00:00+00,3.6,3.68,3.59,3.6,-2.44,13114,94.68,27
2005-03-16 00:00:00+00,3.6,3.6,3.31,3.37,-6.39,38801,266.96,93
2005-03-17 00:00:00+00,3.35,3.44,3.21,3.36,-0.3,19359,129.28,63
2005-03-18 00:00:00+00,3.41,3.43,3.36,3.43,2.08,7802,52.89,26
2005-03-21 00:00:00+00,3.4,3.4,3.31,3.33,-2.92,10149,67.82,25
2005-03-22 00:00:00+00,3.33,3.55,3.33,3.46,3.9,27947,192.1,73
2005-03-23 00:00:00+00,3.47,3.52,3.32,3.38,-2.31,13648,93.18,40
2005-03-24 00:00:00+00,3.39,3.46,3.38,3.42,1.18,10769,73.31,25
2005-03-29 00:00:00+00,3.46,3.54,3.42,3.47,1.46,22284,154.82,44
2005-03-30 00:00:00+00,3.48,3.82,3.48,3.8,9.51,58338,426.08,153
2005-03-31 00:00:00+00,3.87,3.87,3.69,3.78,-0.53,43717,331.2,82
2005-04-01 00:00:00+00,3.69,3.8,3.67,3.7,-2.12,26968,200.79,49
2005-04-04 00:00:00+00,3.68,3.68,3.46,3.5,-5.41,25318,177.99,67
2005-04-05 00:00:00+00,3.5,3.52,3.45,3.47,-0.86,10696,74.39,28
2005-04-06 00:00:00+00,3.56,3.58,3.45,3.58,3.17,7135,50.2,24
2005-04-07 00:00:00+00,3.61,3.61,3.53,3.59,0.28,3429,24.48,14
2005-04-11 00:00:00+00,3.52,3.52,3.49,3.51,-2.23,4854,34.06,16
2005-04-12 00:00:00+00,3.48,3.55,3.48,3.55,1.14,2628,18.62,12
2005-04-13 00:00:00+00,3.5,3.52,3.5,3.5,-1.41,6120,42.91,14
2005-04-14 00:00:00+00,3.51,3.51,3.49,3.49,-0.29,3748,26.22,12
2005-04-15 00:00:00+00,3.36,3.41,3.34,3.36,-3.72,13631,92.1,29
2005-04-18 00:00:00+00,3.36,3.36,3.18,3.2,-4.76,42770,277.01,56
2005-04-19 00:00:00+00,3.2,3.52,3.16,3.47,8.44,25941,175.07,69
