date,open,high,low,close,difference,volume,turnover,transactions
2016-01-08 00:00:00+00,1.9,1.9,1.9,1.9,-6.4,491,0.93,3
2016-01-11 00:00:00+00,1.93,1.93,1.93,1.93,1.58,1000,1.93,3
2016-01-12 00:00:00+00,1.93,1.93,1.87,1.87,-3.11,428,0.8,6
2016-01-13 00:00:00+00,1.87,1.93,1.87,1.9,1.6,753,1.42,6
2016-01-14 00:00:00+00,1.9,1.9,1.87,1.87,-1.58,500,0.94,9
2016-01-15 00:00:00+00,1.87,1.87,1.86,1.86,-0.53,2008,3.74,4
2016-01-18 00:00:00+00,1.86,1.95,1.86,1.95,4.84,2520,4.77,5
2016-01-19 00:00:00+00,1.98,1.98,1.98,1.98,1.54,3,0.01,3
2016-01-20 00:00:00+00,1.98,1.98,1.98,1.98,0,5,0.01,5
2016-01-21 00:00:00+00,1.98,1.98,1.92,1.92,-3.03,105,0.2,6
2016-01-22 00:00:00+00,0,0,0,1.92,0,0,0,0
2016-01-25 00:00:00+00,1.93,1.93,1.93,1.93,0.52,100,0.19,1
2016-01-26 00:00:00+00,0,0,0,1.93,0,0,0,0
2016-01-27 00:00:00+00,0,0,0,1.93,0,0,0,0
2016-01-28 00:00:00+00,1.88,1.88,1.82,1.88,-2.59,2054,3.8,5
2016-01-29 00:00:00+00,0,0,0,1.88,0,0,0,0
2016-02-01 00:00:00+00,0,0,0,1.88,0,0,0,0
2016-02-02 00:00:00+00,0,0,0,1.88,0,0,0,0
2016-02-03 00:00:00+00,1.85,1.85,1.85,1.85,-1.6,798,1.48,10
2016-02-04 00:00:00+00,1.85,1.85,1.83,1.83,-1.08,493,0.91,5
2016-02-05 00:00:00+00,1.83,1.83,1.8,1.8,-1.64,2806,5.06,8
2016-02-08 00:00:00+00,1.8,1.8,1.8,1.8,0,700,1.26,2
2016-02-09 00:00:00+00,1.82,1.82,1.82,1.82,1.11,14,0.03,14
2016-02-10 00:00:00+00,0,0,0,1.82,0,0,0,0
2016-02-11 00:00:00+00,1.82,1.82,1.82,1.82,0,14,0.03,7
2016-02-12 00:00:00+00,1.82,1.82,1.82,1.82,0,11,0.02,11
2016-02-15 00:00:00+00,0,0,0,1.82,0,0,0,0
2016-02-16 00:00:00+00,0,0,0,1.82,0,0,0,0
2016-02-17 00:00:00+00,0,0,0,1.82,0,0,0,0
2016-02-18 00:00:00+00,1.84,1.84,1.84,1.84,1.1,1000,1.84,1
2016-02-19 00:00:00+00,1.84,1.84,1.75,1.75,-4.89,1405,2.5,9
2016-02-22 00:00:00+00,1.75,1.84,1.75,1.84,5.14,1200,2.17,7
2016-02-23 00:00:00+00,0,0,0,1.84,0,0,0,0
2016-02-24 00:00:00+00,0,0,0,1.84,0,0,0,0
2016-02-25 00:00:00+00,1.84,1.84,1.84,1.84,0,47,0.09,47
2016-02-26 00:00:00+00,1.84,1.84,1.84,1.84,0,17,0.03,6
2016-02-29 00:00:00+00,1.84,1.9,1.84,1.9,3.26,5360,9.92,6
2016-03-01 00:00:00+00,1.88,1.88,1.79,1.79,-5.79,4435,7.95,28
2016-03-02 00:00:00+00,0,0,0,1.79,0,0,0,0
2016-03-03 00:00:00+00,0,0,0,1.79,0,0,0,0
2016-03-04 00:00:00+00,0,0,0,1.79,0,0,0,0
2016-03-07 00:00:00+00,1.79,1.79,1.7,1.7,-5.03,1047,1.78,85
2016-03-08 00:00:00+00,1.65,1.65,1.61,1.61,-5.29,468,0.75,56
2016-03-09 00:00:00+00,1.61,1.61,1.61,1.61,0,5103,8.22,39
2016-03-10 00:00:00+00,1.6,1.6,1.6,1.6,-0.62,33,0.05,28
2016-03-11 00:00:00+00,1.6,1.6,1.44,1.44,-10,1120,1.63,6
2016-03-14 00:00:00+00,1.37,1.42,1.35,1.42,-1.39,3395,4.65,38
2016-03-15 00:00:00+00,1.41,1.41,1.3,1.4,-1.41,438,0.59,21
2016-03-16 00:00:00+00,1.36,1.4,1.35,1.4,0,1646,2.3,27
2016-03-17 00:00:00+00,1.3,1.38,1.3,1.38,-1.43,248,0.34,14
2016-03-18 00:00:00+00,1.37,1.37,1.37,1.37,-0.72,207,0.28,15
2016-03-21 00:00:00+00,1.3,1.4,1.3,1.39,1.46,2312,3.06,15
2016-03-22 00:00:00+00,1.38,1.38,1.38,1.38,-0.72,150,0.21,1
2016-03-23 00:00:00+00,1.4,1.4,1.4,1.4,1.45,1050,1.47,17
2016-03-24 00:00:00+00,1.4,1.4,1.4,1.4,0,715,1,16
2016-03-29 00:00:00+00,0,0,0,1.4,0,0,0,0
2016-03-30 00:00:00+00,1.35,1.35,1.35,1.35,-3.57,300,0.41,2
2016-03-31 00:00:00+00,1.36,1.36,1.23,1.3,-3.7,6824,8.96,19
2016-04-01 00:00:00+00,1.28,1.54,1.28,1.54,18.46,2559,3.79,14
2016-04-04 00:00:00+00,1.44,1.45,1.44,1.44,-6.49,7101,10.24,8
2016-04-05 00:00:00+00,1.44,1.44,1.44,1.44,0,4191,6.04,5
2016-04-06 00:00:00+00,1.53,1.53,1.51,1.51,4.86,176,0.27,12
2016-04-07 00:00:00+00,1.51,1.51,1.45,1.45,-3.97,221,0.32,16
2016-04-08 00:00:00+00,1.45,1.45,1.45,1.45,0,10,0.01,5
2016-04-11 00:00:00+00,1.5,1.5,1.5,1.5,3.45,339,0.51,8
2016-04-12 00:00:00+00,1.5,1.5,1.49,1.5,0,615,0.92,3
2016-04-13 00:00:00+00,1.5,1.5,1.5,1.5,0,15,0.02,1
2016-04-14 00:00:00+00,1.5,1.5,1.49,1.5,0,415,0.62,3
2016-04-15 00:00:00+00,1.5,1.5,1.5,1.5,0,25,0.04,1
2016-04-18 00:00:00+00,1.5,1.51,1.5,1.51,0.67,267,0.4,22
2016-04-19 00:00:00+00,1.51,1.51,1.51,1.51,0,12,0.02,4
2016-04-20 00:00:00+00,1.51,1.51,1.51,1.51,0,10,0.02,5
2016-04-21 00:00:00+00,1.51,1.51,1.51,1.51,0,10,0.02,5
2016-04-22 00:00:00+00,1.51,1.51,1.51,1.51,0,24,0.04,12
2016-04-25 00:00:00+00,1.51,1.51,1.51,1.51,0,10,0.02,1
2016-04-26 00:00:00+00,1.51,1.51,1.42,1.44,-4.64,1198,1.73,16
2016-04-27 00:00:00+00,0,0,0,1.44,0,0,0,0
2016-04-28 00:00:00+00,0,0,0,1.44,0,0,0,0
2016-04-29 00:00:00+00,0,0,0,1.44,0,0,0,0
2016-05-02 00:00:00+00,0,0,0,1.44,0,0,0,0
2016-05-04 00:00:00+00,1.5,1.5,1.5,1.5,4.17,237,0.36,9
2016-05-05 00:00:00+00,1.5,1.5,1.5,1.5,0,28,0.04,10
2016-05-06 00:00:00+00,1.44,1.55,1.44,1.55,3.33,5996,9.06,6
2016-05-09 00:00:00+00,1.6,1.61,1.6,1.61,3.87,250,0.4,11
2016-05-10 00:00:00+00,1.61,1.61,1.61,1.61,0,10,0.02,5
2016-05-11 00:00:00+00,1.61,1.61,1.61,1.61,0,14,0.02,7
2016-05-12 00:00:00+00,1.6,1.6,1.6,1.6,-0.62,8,0.01,4
2016-05-13 00:00:00+00,1.6,1.6,1.6,1.6,0,30,0.05,15
2016-05-16 00:00:00+00,1.55,1.55,1.36,1.36,-15,6192,8.82,8
2016-05-17 00:00:00+00,1.36,1.36,1.36,1.36,0,10,0.01,5
2016-05-18 00:00:00+00,1.36,1.36,1.36,1.36,0,10,0.01,5
2016-05-19 00:00:00+00,1.36,1.36,1.33,1.33,-2.21,8189,10.98,8
2016-05-20 00:00:00+00,1.3,1.35,1.3,1.35,1.5,69,0.09,19
2016-05-23 00:00:00+00,1.35,1.35,1.35,1.35,0,7,0.01,7
2016-05-24 00:00:00+00,1.35,1.35,1.35,1.35,0,13,0.02,6
2016-05-25 00:00:00+00,1.35,1.35,1.35,1.35,0,15,0.02,1
2016-05-27 00:00:00+00,1.35,1.35,1.35,1.35,0,10,0.01,5
2016-05-30 00:00:00+00,1.34,1.34,1.34,1.34,-0.74,22,0.03,11
2016-05-31 00:00:00+00,1.34,1.34,1.3,1.3,-2.99,574,0.75,13
2016-06-01 00:00:00+00,1.29,1.36,1.29,1.36,4.62,214,0.28,3
2016-06-02 00:00:00+00,0,0,0,1.36,0,0,0,0
2016-06-03 00:00:00+00,0,0,0,1.36,0,0,0,0
2016-06-06 00:00:00+00,0,0,0,1.36,0,0,0,0
2016-06-07 00:00:00+00,1.36,1.36,1.36,1.36,0,200,0.27,1
2016-06-08 00:00:00+00,0,0,0,1.36,0,0,0,0
2016-06-09 00:00:00+00,0,0,0,1.36,0,0,0,0
2016-06-10 00:00:00+00,1.32,1.32,1.32,1.32,-2.94,1,0,1
2016-06-13 00:00:00+00,1.36,1.36,1.36,1.36,3.03,24,0.03,5
2016-06-14 00:00:00+00,1.35,1.35,1.35,1.35,-0.74,249,0.34,249
2016-06-15 00:00:00+00,1.36,1.36,1.29,1.3,-3.7,2349,3.05,82
2016-06-16 00:00:00+00,0,0,0,1.3,0,0,0,0
2016-06-17 00:00:00+00,1.28,1.28,1.24,1.24,-4.62,1800,2.24,4
2016-06-20 00:00:00+00,1.25,1.34,1.25,1.34,8.06,500,0.65,3
2016-06-21 00:00:00+00,1.34,1.36,1.34,1.36,1.49,184,0.25,13
2016-06-22 00:00:00+00,1.3,1.3,1.26,1.3,-4.41,4516,5.71,6
2016-06-23 00:00:00+00,0,0,0,1.3,0,0,0,0
2016-06-24 00:00:00+00,0,0,0,1.3,0,0,0,0
2016-06-27 00:00:00+00,1.29,1.29,1.29,1.29,-0.77,10,0.01,2
2016-06-28 00:00:00+00,1.29,1.29,1.29,1.29,0,20,0.03,3
2016-06-29 00:00:00+00,1.2,1.29,1.2,1.29,0,449,0.54,5
2016-06-30 00:00:00+00,1.25,1.29,1.21,1.29,0,117,0.15,9
2016-07-01 00:00:00+00,1.21,1.27,1.21,1.22,-5.43,73,0.09,7
2016-07-04 00:00:00+00,1.28,1.28,1.18,1.22,0,1816,2.16,12
2016-07-05 00:00:00+00,1.22,1.22,1.15,1.22,0,380,0.46,15
2016-07-06 00:00:00+00,1.22,1.22,1.11,1.22,0,7661,9.22,18
2016-07-07 00:00:00+00,1.21,1.21,1.11,1.2,-1.64,66,0.08,5
