date,open,high,low,close,difference,volume,turnover,transactions
2009-10-23 00:00:00+00,15.5,15.75,15.1,15.4,2.67,114354,3542.18,434
2009-10-26 00:00:00+00,15.49,15.49,15.26,15.3,-0.65,17090,525.43,94
2009-10-27 00:00:00+00,15.3,15.58,15.1,15.58,1.83,68975,2098.17,70
2009-10-28 00:00:00+00,15.49,15.49,15.09,15.11,-3.02,14462,437.58,54
2009-10-29 00:00:00+00,15.12,15.12,14.6,14.81,-1.99,25026,747.31,71
2009-10-30 00:00:00+00,14.64,14.8,14.6,14.7,-0.74,18800,552.51,43
2009-11-02 00:00:00+00,14.8,14.8,14.65,14.7,0,26792,790.17,48
2009-11-03 00:00:00+00,14.7,14.99,14.5,14.85,1.02,5130,149.82,32
2009-11-04 00:00:00+00,14.95,14.95,14.7,14.7,-1.01,5585,164.67,15
2009-11-05 00:00:00+00,14.55,14.99,14.55,14.57,-0.88,5900,173.89,40
2009-11-06 00:00:00+00,14.6,14.87,14.45,14.86,1.99,4820,140.7,35
2009-11-09 00:00:00+00,14.56,15.5,14.56,15.12,1.75,11637,353.58,52
2009-11-10 00:00:00+00,15.35,15.35,15.02,15.2,0.53,9868,299.98,39
2009-11-12 00:00:00+00,15.15,15.2,14.98,14.98,-1.45,11801,354.82,24
2009-11-13 00:00:00+00,15.05,15.1,15.05,15.1,0.8,1015,30.61,8
2009-11-16 00:00:00+00,15.3,15.44,15.01,15.13,0.2,10925,332.75,63
2009-11-17 00:00:00+00,15.02,15.1,15,15,-0.86,2632,79.25,18
2009-11-18 00:00:00+00,15,15,14.7,14.8,-1.33,7731,230.76,38
2009-11-19 00:00:00+00,14.75,14.84,14.63,14.65,-1.01,5372,158.03,30
2009-11-20 00:00:00+00,14.75,14.86,14.61,14.86,1.43,1421,41.62,11
2009-11-23 00:00:00+00,14.6,14.7,14.6,14.66,-1.35,183,5.35,3
2009-11-24 00:00:00+00,14.66,14.74,14.61,14.65,-0.07,3102,91.02,55
2009-11-25 00:00:00+00,14.65,14.69,14.51,14.51,-0.96,2531,73.7,21
2009-11-26 00:00:00+00,14.59,14.59,14.3,14.4,-0.76,1474,42.41,13
2009-11-27 00:00:00+00,14,14.38,13.9,14.36,-0.28,24955,699.97,78
2009-11-30 00:00:00+00,14.06,14.5,13.95,14.35,-0.07,11143,312.32,51
2009-12-01 00:00:00+00,14.2,14.24,14.02,14.19,-1.11,10724,303.04,38
2009-12-02 00:00:00+00,14.19,14.2,14,14.19,0,37846,1063.42,33
2009-12-03 00:00:00+00,14.01,14.85,14,14.85,4.65,38499,1100.05,59
2009-12-04 00:00:00+00,14.83,15,14.51,14.97,0.81,8415,249.56,41
2009-12-07 00:00:00+00,14.97,14.97,14.7,14.89,-0.53,8730,257.48,24
2009-12-08 00:00:00+00,14.98,16.24,14.98,15.82,6.25,369764,11578.29,814
2009-12-09 00:00:00+00,16.02,16.65,15.95,16.5,4.3,207387,6756.43,484
2009-12-10 00:00:00+00,16.69,16.72,16.12,16.2,-1.82,42394,1400.62,217
2009-12-11 00:00:00+00,16.3,16.39,16.05,16.23,0.19,37196,1201.18,102
2009-12-14 00:00:00+00,16.11,16.25,15.9,16.1,-0.8,34844,1122.37,129
2009-12-15 00:00:00+00,16.04,16.2,16.04,16.16,0.37,29593,951.66,68
2009-12-16 00:00:00+00,16.04,16.28,16.01,16.28,0.74,64668,2088.68,117
2009-12-17 00:00:00+00,16.25,16.39,16.05,16.19,-0.55,67632,2184.7,62
2009-12-18 00:00:00+00,16.25,16.25,15.88,16.2,0.06,63488,2047.35,47
2009-12-21 00:00:00+00,16.2,16.25,16.15,16.15,-0.31,19433,629.72,66
2009-12-22 00:00:00+00,16.15,16.16,15.95,16.15,0,37647,1211.14,59
2009-12-23 00:00:00+00,16.18,16.18,15.96,16.17,0.12,8975,289.34,37
2009-12-28 00:00:00+00,16.15,16.19,16.1,16.15,-0.12,5673,182.99,43
2009-12-29 00:00:00+00,16.12,16.28,16.06,16.15,0,9283,300.43,49
2009-12-30 00:00:00+00,16.1,16.27,16.1,16.19,0.25,1971,63.73,15
2009-12-31 00:00:00+00,16.16,16.2,16.05,16.15,-0.25,1650,53.25,17
2010-01-04 00:00:00+00,16.15,16.25,15.91,16.2,0.31,31671,1022.32,76
2010-01-05 00:00:00+00,16.26,16.39,16.1,16.3,0.62,39503,1285.26,95
2010-01-06 00:00:00+00,16.27,16.3,16.17,16.2,-0.61,47831,1550.1,68
2010-01-07 00:00:00+00,16.3,16.3,15.95,16,-1.23,12559,402.74,74
2010-01-08 00:00:00+00,16.09,16.09,15.47,15.47,-3.31,23600,743.24,122
2010-01-11 00:00:00+00,15.49,15.7,15.1,15.13,-2.2,121892,3772.05,114
2010-01-12 00:00:00+00,15.13,15.25,14.9,15.08,-0.33,60408,1823.66,60
2010-01-13 00:00:00+00,15.1,15.9,15.07,15.81,4.84,441019,13331.21,78
2010-01-14 00:00:00+00,16,16,15.5,15.5,-1.96,54399,1708.41,48
2010-01-15 00:00:00+00,15.5,15.8,15.21,15.6,0.65,3613,112.87,31
2010-01-18 00:00:00+00,15.74,16.2,15.7,16.06,2.95,103490,3317.63,158
2010-01-19 00:00:00+00,16.06,16.09,15.82,16,-0.37,11024,352.19,59
2010-01-20 00:00:00+00,16.04,16.04,15.74,15.75,-1.56,16696,528.6,55
2010-01-21 00:00:00+00,15.8,15.8,15.6,15.6,-0.95,26472,830.41,54
2010-01-22 00:00:00+00,15.55,15.7,15.52,15.53,-0.45,13288,413.13,71
2010-01-25 00:00:00+00,15.59,15.87,15.28,15.76,1.48,9202,288.1,48
2010-01-26 00:00:00+00,15.51,15.76,15.26,15.65,-0.7,9180,285.52,46
2010-01-27 00:00:00+00,15.65,15.89,15.5,15.87,1.41,2931,92.04,27
2010-01-28 00:00:00+00,15.86,16.2,15.65,16,0.82,679373,21275.4,109
2010-01-29 00:00:00+00,16,16.09,15.9,16.07,0.44,13606,435.6,62
2010-02-01 00:00:00+00,16.08,16.08,15.9,16.05,-0.12,13315,425.23,36
2010-02-02 00:00:00+00,16.05,16.66,16.05,16.45,2.49,256854,8421.8,176
2010-02-03 00:00:00+00,16.44,17.18,16.28,17.1,3.95,83480,2808.51,201
2010-02-04 00:00:00+00,17.2,17.5,16.82,16.83,-1.58,68915,2354.78,210
2010-02-05 00:00:00+00,16.7,16.76,16.26,16.76,-0.42,48439,1604.61,149
2010-02-08 00:00:00+00,16.5,17.17,16.31,16.76,0,23782,795.81,85
2010-02-09 00:00:00+00,16.95,17,16.6,16.9,0.84,11919,400.89,50
2010-02-10 00:00:00+00,16.99,17,16.6,16.6,-1.78,27957,943.44,67
2010-02-11 00:00:00+00,16.8,16.94,16.68,16.85,1.51,6231,209.05,33
2010-02-12 00:00:00+00,16.95,17.25,16.95,17,0.89,211470,7223.75,187
2010-02-15 00:00:00+00,17.05,17.75,17.05,17.5,2.94,49825,1730.54,129
2010-02-16 00:00:00+00,17.65,17.75,17.38,17.4,-0.57,43568,1526.5,111
2010-02-17 00:00:00+00,17.55,17.9,17.44,17.9,2.87,29524,1046.18,111
2010-02-18 00:00:00+00,18,18.25,17.71,18.15,1.4,41075,1488.94,117
2010-02-19 00:00:00+00,17.81,18.2,17.81,18.15,0,20000,721.98,104
2010-02-22 00:00:00+00,18.57,18.57,18,18.4,1.38,61768,2279.03,124
2010-02-23 00:00:00+00,18.64,18.65,18.1,18.5,0.54,21240,783.24,89
2010-02-24 00:00:00+00,18.45,18.5,18.03,18.03,-2.54,16336,595.52,84
2010-02-25 00:00:00+00,18.28,18.59,18.02,18.43,2.22,120131,4396.81,111
2010-02-26 00:00:00+00,18.36,19.33,18.36,18.9,2.55,43396,1654.42,198
2010-03-01 00:00:00+00,19,19.4,18.81,19.19,1.53,24219,927.34,97
2010-03-02 00:00:00+00,19.1,19.5,18.9,19.12,-0.36,157077,5988.77,284
2010-03-03 00:00:00+00,19.32,19.49,18.9,18.9,-1.15,30296,1156.4,146
2010-03-04 00:00:00+00,18.7,18.7,18.2,18.31,-3.12,32066,1181.31,183
2010-03-05 00:00:00+00,18.36,19.9,18.2,19.9,8.68,106533,4103.56,423
2010-03-08 00:00:00+00,19.91,20.75,19.72,20.51,3.07,206742,8330.63,377
2010-03-09 00:00:00+00,20.51,21,20.5,20.8,1.41,41493,1728.35,213
2010-03-10 00:00:00+00,20.9,21.65,20.9,21.15,1.68,51305,2194.4,176
2010-03-11 00:00:00+00,21.25,21.25,20.6,20.65,-2.36,24573,1021.83,142
2010-03-12 00:00:00+00,20.8,21.24,20.6,20.8,0.73,35191,1470.21,162
2010-03-15 00:00:00+00,20.82,20.82,18.81,20,-3.85,70787,2822.1,307
2010-03-16 00:00:00+00,20,20.12,19.8,19.95,-0.25,72898,2913.86,214
2010-03-17 00:00:00+00,20.2,20.2,19.73,19.86,-0.45,60459,2417.14,151
2010-03-18 00:00:00+00,19.7,19.75,19.2,19.34,-2.62,73732,2857.89,211
2010-03-19 00:00:00+00,19.34,19.7,19.29,19.65,1.6,17589,687.28,92
2010-03-22 00:00:00+00,19.7,19.79,19.23,19.6,-0.25,50010,1942.2,93
2010-03-23 00:00:00+00,19.63,19.93,19.55,19.75,0.77,45310,1791.16,102
2010-03-24 00:00:00+00,19.76,19.95,19.4,19.52,-1.16,11047,435.09,74
2010-03-25 00:00:00+00,19.52,19.78,19.3,19.6,0.41,15679,610.59,69
2010-03-26 00:00:00+00,19.59,19.59,19.1,19.22,-1.94,43834,1691.89,101
2010-03-29 00:00:00+00,19.05,19.09,18.55,18.7,-2.71,91755,3438.17,251
2010-03-30 00:00:00+00,18.64,18.99,18.46,18.65,-0.27,89119,3326.59,143
2010-03-31 00:00:00+00,18.55,18.66,17.76,17.85,-4.29,61528,2249.5,271
2010-04-01 00:00:00+00,17.88,18.5,17.8,17.88,0.17,153255,5558.1,296
2010-04-06 00:00:00+00,18.3,18.3,17.4,17.5,-2.13,60968,2148.83,272
2010-04-07 00:00:00+00,17.55,17.55,16.9,17.3,-1.14,64926,2222.79,274
2010-04-08 00:00:00+00,17.15,17.24,17.06,17.08,-1.27,25131,862.02,104
2010-04-09 00:00:00+00,17.18,17.7,16.92,17.59,2.99,31627,1096.76,199
2010-04-12 00:00:00+00,17.65,18.07,17.65,17.97,2.16,35244,1266.72,178
2010-04-13 00:00:00+00,18.12,18.2,16.79,16.9,-5.95,164543,5639.93,694
2010-04-14 00:00:00+00,16.99,17.33,16.9,17.33,2.54,24232,827.68,159
2010-04-15 00:00:00+00,17.3,17.38,17.12,17.34,0.06,18448,636.02,104
2010-04-16 00:00:00+00,17.35,17.35,17.09,17.31,-0.17,8959,309.33,53
2010-04-19 00:00:00+00,16.83,16.83,16.36,16.7,-3.52,35504,1180.57,181
2010-04-20 00:00:00+00,16.7,17.1,16.5,17.1,2.4,9894,336.09,69
2010-04-21 00:00:00+00,17.15,17.34,16.56,16.56,-3.16,21791,736.93,106
2010-04-22 00:00:00+00,16.62,16.8,16.4,16.4,-0.97,14595,482.64,91
2010-04-23 00:00:00+00,16.41,16.79,16.4,16.73,2.01,8333,275.39,70
