date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,109,109,107,108.5,-0.46,87410,5416.05,161
2005-01-04 00:00:00+00,108,108,106,108,-0.46,69639,3866.46,312
2005-01-05 00:00:00+00,106.5,106.5,105,106,1.13,154448,8654.42,276
2005-01-06 00:00:00+00,103.5,107.5,103,107.5,1.42,72305,4031.09,197
2005-01-07 00:00:00+00,105,106.5,104.5,106.5,-0.93,64795,3586.19,297
2005-01-10 00:00:00+00,104.5,105,104,105,0.75,54662,5392.98,134
2005-01-11 00:00:00+00,106.5,109,104.5,108.5,3.33,54521,3679.18,190
2005-01-12 00:00:00+00,108,108,106.5,108,-0.46,55603,3177.12,104
2005-01-13 00:00:00+00,107,108,107,108,0,36930,1933.61,188
2005-01-14 00:00:00+00,106.5,108,106.5,108,0,118561,6032.52,320
2005-01-17 00:00:00+00,107.5,107.5,107.5,107.5,0.39,25247,1309.49,113
2005-01-18 00:00:00+00,105.5,105.5,104,104,-1.17,71032,3752.41,149
2005-01-19 00:00:00+00,103.5,107,103.5,107,2.88,54766,3336.4,221
2005-01-20 00:00:00+00,105,106.5,105,106.5,0.78,78173,4053,151
2005-01-21 00:00:00+00,104,104,104,104,-0.38,216708,11229.8,149
2005-01-24 00:00:00+00,103.5,104,103.5,104,0,56261,3365.59,126
2005-01-25 00:00:00+00,104,106,104,106,1.92,18603,999.03,79
2005-01-26 00:00:00+00,106,106,105.5,106,0,12926,874.32,73
2005-01-27 00:00:00+00,107,107,105.5,105.5,-0.47,15380,817.54,86
2005-01-28 00:00:00+00,105.5,106.5,105,105,0,16547,896.95,81
2005-01-31 00:00:00+00,104.5,106.5,104.5,104.5,1.53,24965,1375.84,145
2005-02-01 00:00:00+00,106,108.5,105.5,108.5,3.83,52995,3270.33,252
2005-02-02 00:00:00+00,109,110,108.5,110,1.38,20265,1323.12,155
2005-02-03 00:00:00+00,109.5,109.5,108.5,109,0,7029,474.2,68
2005-02-04 00:00:00+00,107.5,109.5,107.5,109.5,0.46,21512,1917.36,84
2005-02-07 00:00:00+00,109.5,109.5,106.5,109.5,1.13,16177,1012.48,95
2005-02-08 00:00:00+00,109,109,108,108.5,1.49,57105,3211.75,170
2005-02-09 00:00:00+00,108.5,109,108.5,109,0.46,17218,1113.88,94
2005-02-10 00:00:00+00,108.5,109.5,108.5,109.5,0.46,12518,727.17,80
2005-02-11 00:00:00+00,108.5,109.5,108.5,109.5,0,55956,3148.54,110
2005-02-14 00:00:00+00,109.5,110,108.5,109.5,0,23084,1429.88,108
2005-02-15 00:00:00+00,109,110.5,109,110.5,1.12,32280,1921.72,99
2005-02-16 00:00:00+00,110,112,108.5,112,1.36,20310,1659.35,164
2005-02-17 00:00:00+00,112,112,112,112,3.31,168188,11112.7,505
2005-02-18 00:00:00+00,112,112,110,112,2.14,127218,7427.75,444
2005-02-21 00:00:00+00,110,111,110,111,1.05,56555,3293.34,203
2005-02-22 00:00:00+00,112,113.5,110,112,0.9,56468,4066.68,233
2005-02-23 00:00:00+00,112,112,111,112,0.7,21761,1866.06,108
2005-02-24 00:00:00+00,112,113.5,112,113.5,1.34,112853,6527.58,113
2005-02-25 00:00:00+00,113.5,117,113.5,115,1.32,105783,9340.73,342
2005-02-28 00:00:00+00,112,114,111,112,4.48,268783,16366.84,910
2005-03-01 00:00:00+00,114.5,114.5,111.5,114,1.79,160935,9820.36,499
2005-03-02 00:00:00+00,115,115,112,112.5,-1.32,90389,5477.56,317
2005-03-03 00:00:00+00,113,116,112,112,-0.44,65347,4127.75,277
2005-03-04 00:00:00+00,112,113.5,112,113,1.74,27269,1695.89,160
2005-03-07 00:00:00+00,114,115.5,113,115.5,3.08,53811,3470.39,211
2005-03-08 00:00:00+00,116,116,115,115,-0.33,41799,2587.9,205
2005-03-09 00:00:00+00,115.5,116.5,115,116.5,1.3,47135,3099.7,273
2005-03-10 00:00:00+00,114.5,115.5,112,115.5,-0.86,21997,1614.86,135
2005-03-11 00:00:00+00,115,116.5,114,114.5,-0.87,34933,2285.63,135
2005-03-14 00:00:00+00,113.5,114.5,112.5,114.5,0,18543,1101.13,100
2005-03-15 00:00:00+00,110,114,110,114,1.03,9556,580.49,85
2005-03-16 00:00:00+00,111,113,111,113,-0.88,98367,5705.43,229
2005-03-17 00:00:00+00,110,113.5,110,113.5,0.44,75619,4713.85,205
2005-03-18 00:00:00+00,111,113,110.5,113,-0.44,46796,2742.68,164
2005-03-21 00:00:00+00,111,111,108.5,109,-1.07,50372,2906.56,137
2005-03-22 00:00:00+00,109,110.5,108.5,110.5,1.38,34348,2071.61,140
2005-03-23 00:00:00+00,110,110.5,109,110,1.08,25818,1482.15,105
2005-03-24 00:00:00+00,110,110.5,110,110,2.13,33083,1938.69,135
2005-03-29 00:00:00+00,110,110,110,110,2.43,57037,3423.39,127
2005-03-30 00:00:00+00,111.5,111.5,109,111,2.03,134216,8081.07,191
2005-03-31 00:00:00+00,110,111.5,109,111.5,1.83,58422,3576.22,163
2005-04-01 00:00:00+00,112,112,110,110,2.04,58599,3554.92,177
2005-04-04 00:00:00+00,109,110,109,110,0,11675,733.76,67
2005-04-05 00:00:00+00,109.5,111,107.5,110,0,13051,859.34,113
2005-04-06 00:00:00+00,108,109.5,108,109.5,1.68,29876,1809.35,107
2005-04-07 00:00:00+00,108,110.5,108,110.5,0.91,337201,19431.17,828
2005-04-11 00:00:00+00,108.5,110,108,110,0,31908,1805.67,153
2005-04-12 00:00:00+00,108,110,108,110,0,37442,2120.97,85
2005-04-13 00:00:00+00,108,109.5,108,109.5,-0.45,60394,3392.08,151
2005-04-14 00:00:00+00,109.5,118,108,118,7.76,111118,6558.44,299
2005-04-15 00:00:00+00,112,114,111.5,111.5,-1.52,76302,4130.93,203
2005-04-18 00:00:00+00,109,111.5,108.5,111.5,0,46164,2430.9,182
2005-04-19 00:00:00+00,109,111,109,111,-0.45,49937,2571.81,109
