date,open,high,low,close,difference,volume,turnover,transactions
2006-10-10 00:00:00+00,280,325,275,303.5,21.4,72752,42926.88,885
2006-10-11 00:00:00+00,315,315,306,315,3.79,14230,8928.45,190
2006-10-12 00:00:00+00,315,315,305,308,-2.22,1464,911.17,57
2006-10-13 00:00:00+00,307.9,308,290.2,290.2,-5.78,635,378.83,76
2006-10-16 00:00:00+00,283.1,304,283.1,300,3.38,3477,2100.44,59
2006-10-17 00:00:00+00,301,306,295.1,299.9,-0.03,2738,1660.39,25
2006-10-18 00:00:00+00,300,307,296.1,306.5,2.2,1241,755.73,22
2006-10-19 00:00:00+00,300,305.9,300,300,-2.12,1272,772.5,18
2006-10-20 00:00:00+00,299,304,297,304,1.33,1102,667.46,19
2006-10-23 00:00:00+00,300,302,296.9,297,-2.3,375,224.51,17
2006-10-24 00:00:00+00,296.2,296.2,293,293.6,-1.14,2334,1370.52,28
2006-10-25 00:00:00+00,293,295.9,282.5,295.9,0.78,1273,736.82,36
2006-10-26 00:00:00+00,295,300,295,300,1.39,5145,3086.44,13
2006-10-27 00:00:00+00,295,308,295,300,0,1102,667,17
2006-10-30 00:00:00+00,295,300,295,300,0,493,293.25,6
2006-10-31 00:00:00+00,300,300,295,295,-1.67,905,534.02,17
2006-11-02 00:00:00+00,295,301,295,301,2.03,56,33.55,8
2006-11-03 00:00:00+00,301,301,295,295,-1.99,587,347.61,11
2006-11-06 00:00:00+00,295,303,295,302.9,2.68,192,115.38,12
2006-11-07 00:00:00+00,304,304,294,302,-0.3,565,340.78,13
2006-11-08 00:00:00+00,304,310,303,310,2.65,712,433.96,31
2006-11-09 00:00:00+00,310,314.5,307,314.5,1.45,166,103.41,9
2006-11-10 00:00:00+00,314.5,318,294,310,-1.43,1177,715.54,40
2006-11-13 00:00:00+00,310,310,305,310,0,117,72.23,8
2006-11-14 00:00:00+00,309,309,300.2,308,-0.65,21,12.76,5
2006-11-15 00:00:00+00,312,315,305,315,2.27,2266,1395.55,15
2006-11-16 00:00:00+00,314,315,314,314.9,-0.03,224,140.92,8
2006-11-17 00:00:00+00,314,314,314,314,-0.29,1373,862.24,7
2006-11-20 00:00:00+00,314.9,321,314.9,321,2.23,2525,1608.36,24
2006-11-21 00:00:00+00,321,330.5,319,326.8,1.81,10785,7049.04,23
2006-11-22 00:00:00+00,330,347.9,329,347.9,6.46,3543,2358.78,23
2006-11-23 00:00:00+00,350,350,340,349,0.32,136,93.01,10
2006-11-24 00:00:00+00,350,350,344,350,0.29,410,283.44,11
2006-11-27 00:00:00+00,349,372.5,347,372.5,6.43,284,199.07,13
2006-11-28 00:00:00+00,372,378,366.5,378,1.48,311,230.62,8
2006-11-29 00:00:00+00,375,375,370,370,-2.12,448,331.98,18
2006-11-30 00:00:00+00,379,390,378,390,5.41,146,110.82,13
2006-12-01 00:00:00+00,397,410,397,410,5.13,5062,4049.68,13
2006-12-04 00:00:00+00,415,416,387,400,-2.44,907,725.99,55
2006-12-05 00:00:00+00,392,412,386.1,412,3,187,149.05,17
2006-12-06 00:00:00+00,416,416,386.2,410,-0.49,1526,1246.81,36
2006-12-07 00:00:00+00,410,410,400,405.1,-1.2,2133,1725.18,28
2006-12-08 00:00:00+00,409,410,409,410,1.21,144,118,6
2006-12-11 00:00:00+00,410,410,400,400,-2.44,48,38.61,8
2006-12-12 00:00:00+00,399.9,405,399,405,1.25,4076,3283.27,15
