date,open,high,low,close,difference,volume,turnover,transactions
2005-01-10 00:00:00+00,12.6,13.3,12.05,12.2,16.19,241942,6099.79,554
2005-01-11 00:00:00+00,12.1,12.4,11.7,12.1,-0.82,57678,1395.87,145
2005-01-12 00:00:00+00,11.7,12.15,11.45,12,-0.83,41392,979.93,115
2005-01-13 00:00:00+00,12,12.45,12,12.4,3.33,38251,936.2,66
2005-01-14 00:00:00+00,12.4,12.6,12.05,12.6,1.61,19631,488.34,52
2005-01-17 00:00:00+00,12.5,12.6,12.4,12.55,-0.4,30286,759.92,45
2005-01-18 00:00:00+00,12.55,13,12.5,12.8,1.99,36257,919.08,62
2005-01-19 00:00:00+00,12.8,12.9,12.8,12.8,0,30673,785.75,20
2005-01-20 00:00:00+00,12.8,12.8,12.8,12.8,0,21895,560.51,20
2005-01-21 00:00:00+00,0,0,0,12.8,0,0,0,0
2005-01-24 00:00:00+00,12.8,12.8,12.4,12.6,-1.56,8873,221.53,13
2005-01-25 00:00:00+00,12.1,12.6,12.1,12.6,0,864,21.56,7
2005-01-26 00:00:00+00,12.4,12.5,12.4,12.5,-0.79,11877,294.55,6
2005-01-27 00:00:00+00,12.2,12.6,12.15,12.6,0.8,5393,134.74,27
2005-01-28 00:00:00+00,12.3,12.6,12.3,12.6,0,15389,384.56,21
2005-01-31 00:00:00+00,12.5,12.65,12.5,12.65,0.4,1207,30.22,4
2005-02-01 00:00:00+00,12.4,12.8,12.4,12.8,1.19,5205,132.78,17
2005-02-02 00:00:00+00,12.6,12.8,12.6,12.8,0,14165,361.88,31
2005-02-03 00:00:00+00,12.65,12.8,12.65,12.8,0,14230,364.12,16
2005-02-04 00:00:00+00,12.55,12.8,12.55,12.8,0,5379,137.66,5
2005-02-07 00:00:00+00,12.8,12.8,12.75,12.8,0,10410,266.48,7
2005-02-08 00:00:00+00,12.8,12.8,12.8,12.8,0,3000,76.8,4
2005-02-09 00:00:00+00,12.8,12.8,12.8,12.8,0,34573,885.07,4
2005-02-10 00:00:00+00,12.8,12.8,12.8,12.8,0,2603,66.64,6
2005-02-11 00:00:00+00,12.85,12.85,12.85,12.85,0.39,5453,140.14,6
2005-02-14 00:00:00+00,12.7,12.7,12.7,12.7,-1.17,1546,39.27,3
2005-02-15 00:00:00+00,12.75,12.8,12.75,12.8,0.79,255,6.51,2
2005-02-16 00:00:00+00,12.8,13,12.8,13,1.56,16600,425.32,12
2005-02-17 00:00:00+00,13.2,13.2,12.7,12.9,-0.77,2630,68.26,16
2005-02-18 00:00:00+00,12.65,13,12.6,13,0.78,800,20.57,4
2005-02-21 00:00:00+00,12.7,12.7,12.7,12.7,-2.31,127,3.23,1
2005-02-22 00:00:00+00,12.7,12.7,12.7,12.7,0,2000,50.8,4
2005-02-23 00:00:00+00,12.85,12.85,12.85,12.85,1.18,2000,51.4,6
2005-02-24 00:00:00+00,12.6,12.9,12.35,12.9,0.39,6303,160.35,22
2005-02-25 00:00:00+00,13,13,12.95,13,0.78,5000,129.77,18
2005-02-28 00:00:00+00,12.7,13,12.5,13,0,7030,179,18
2005-03-01 00:00:00+00,12.7,13,12.4,13,0,35779,903.84,20
2005-03-02 00:00:00+00,13.05,13.05,13,13,0,4667,121.35,6
2005-03-03 00:00:00+00,12.7,13,12.7,13,0,1709,44.42,3
2005-03-04 00:00:00+00,12.85,13.1,12.85,13.1,0.77,153,3.98,3
2005-03-07 00:00:00+00,13,13,13,13,-0.76,10000,260,1
2005-03-08 00:00:00+00,0,0,0,13,0,0,0,0
2005-03-09 00:00:00+00,12.7,12.9,12.7,12.9,-0.77,800,20.52,2
2005-03-10 00:00:00+00,0,0,0,12.9,0,0,0,0
2005-03-11 00:00:00+00,0,0,0,12.9,0,0,0,0
2005-03-14 00:00:00+00,12.6,12.9,12.6,12.9,0,1250,32.22,4
2005-03-15 00:00:00+00,0,0,0,12.9,0,0,0,0
2005-03-16 00:00:00+00,12.65,12.7,12,12.7,-1.55,3450,85.96,12
2005-03-17 00:00:00+00,12.4,12.65,12.1,12.1,-4.72,2844,70.58,13
2005-03-18 00:00:00+00,0,0,0,12.1,0,0,0,0
2005-03-21 00:00:00+00,12.2,12.2,12.2,12.2,0.83,1500,36.6,1
2005-03-22 00:00:00+00,12.2,12.2,12.2,12.2,0,55,1.34,1
2005-03-23 00:00:00+00,11.95,12.2,11.95,12.2,0,9598,233.84,13
2005-03-24 00:00:00+00,11.95,12.2,11.95,12.2,0,10100,245.89,8
2005-03-29 00:00:00+00,11.95,11.95,11.95,11.95,-2.05,700,16.73,1
2005-03-30 00:00:00+00,11.75,11.85,11.6,11.85,-0.84,20172,468.68,3
2005-03-31 00:00:00+00,11.9,12,11.9,12,1.27,830,19.91,2
2005-04-01 00:00:00+00,0,0,0,12,0,0,0,0
2005-04-04 00:00:00+00,0,0,0,12,0,0,0,0
2005-04-05 00:00:00+00,11.75,11.75,11.75,11.75,-2.08,700,16.45,1
2005-04-06 00:00:00+00,0,0,0,11.75,0,0,0,0
2005-04-07 00:00:00+00,0,0,0,11.75,0,0,0,0
2005-04-11 00:00:00+00,11.5,11.5,11.25,11.5,-2.13,1640,37.65,5
2005-04-12 00:00:00+00,11.7,11.7,11.7,11.7,1.74,500,11.7,4
2005-04-13 00:00:00+00,0,0,0,11.7,0,0,0,0
2005-04-14 00:00:00+00,11.5,11.5,11.5,11.5,-1.71,450,10.35,1
2005-04-15 00:00:00+00,11.65,11.75,11.65,11.75,2.17,14068,330.51,7
2005-04-18 00:00:00+00,11.7,11.7,11.25,11.25,-4.26,970,22.3,4
2005-04-19 00:00:00+00,11.25,11.25,11.25,11.25,0,340,7.65,1
2005-04-20 00:00:00+00,0,0,0,11.25,0,0,0,0
2005-04-21 00:00:00+00,0,0,0,11.25,0,0,0,0
2005-04-22 00:00:00+00,11.5,11.5,11.5,11.5,2.22,1700,39.1,1
2005-04-25 00:00:00+00,0,0,0,11.5,0,0,0,0
2005-04-26 00:00:00+00,11.25,11.25,11.2,11.25,-2.17,26209,587.2,4
2005-04-27 00:00:00+00,11,11.2,10.8,11.05,-1.78,6545,144.08,12
2005-04-28 00:00:00+00,0,0,0,11.05,0,0,0,0
2005-04-29 00:00:00+00,0,0,0,11.05,0,0,0,0
2005-05-02 00:00:00+00,10.8,10.8,10.8,10.8,-2.26,172,3.72,1
2005-05-04 00:00:00+00,10.8,10.8,10.8,10.8,0,294,6.35,2
2005-05-05 00:00:00+00,0,0,0,10.8,0,0,0,0
2005-05-06 00:00:00+00,0,0,0,10.8,0,0,0,0
2005-05-09 00:00:00+00,11.05,11.75,11,11.1,2.78,16884,376.89,35
2005-05-10 00:00:00+00,11.1,11.25,11.05,11.25,1.35,1100,24.36,4
2005-05-11 00:00:00+00,0,0,0,11.25,0,0,0,0
2005-05-12 00:00:00+00,0,0,0,11.25,0,0,0,0
2005-05-13 00:00:00+00,11,11,11,11,-2.22,80,1.76,1
2005-05-16 00:00:00+00,0,0,0,11,0,0,0,0
2005-05-17 00:00:00+00,10.75,10.75,10.75,10.75,-2.27,80,1.72,1
2005-05-18 00:00:00+00,10.55,10.9,10.5,10.7,-0.47,3096,65.22,9
