date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,23.4,23.6,23.4,23.4,0.43,581,27.36,5
2005-01-04 00:00:00+00,23.6,25.9,23.6,25.5,8.97,52677,2572.42,200
2005-01-05 00:00:00+00,25.5,25.5,24.5,24.8,-2.75,8283,414.89,71
2005-01-06 00:00:00+00,24.8,25.9,24.4,25.2,1.61,9750,490.9,58
2005-01-07 00:00:00+00,25.5,25.8,25.2,25.2,0,3782,193.91,31
2005-01-10 00:00:00+00,25.5,25.5,24.7,25.1,-0.4,3075,154.8,32
2005-01-11 00:00:00+00,25.1,26,25,26,3.59,17697,906.61,71
2005-01-12 00:00:00+00,26,26,25.7,26,0,5475,284.34,27
2005-01-13 00:00:00+00,26,26.5,26,26.5,1.92,3424,180.77,27
2005-01-14 00:00:00+00,26.5,27,26.1,27,1.89,6188,329.38,41
2005-01-17 00:00:00+00,26.6,27,26.6,27,0,4474,241.1,26
2005-01-18 00:00:00+00,26.9,26.9,25.8,26.2,-2.96,982,51.68,14
2005-01-19 00:00:00+00,25.6,26,25.5,25.5,-2.67,2941,151.02,27
2005-01-20 00:00:00+00,25.5,25.7,25.1,25.2,-1.18,1150,57.94,10
2005-01-21 00:00:00+00,25.3,25.4,25.1,25.4,0.79,3588,180.48,8
2005-01-24 00:00:00+00,25.8,26,25.1,25.8,1.57,4313,220.62,14
2005-01-25 00:00:00+00,26,26.3,25.9,26.3,1.94,5369,279.76,16
2005-01-26 00:00:00+00,26.5,26.7,25.9,26.4,0.38,2216,116.92,18
2005-01-27 00:00:00+00,26.3,26.3,25.9,25.9,-1.89,7653,397.93,44
2005-01-28 00:00:00+00,26.2,26.5,26.2,26.5,2.32,257,13.47,4
2005-01-31 00:00:00+00,26.6,27.5,26.5,27.5,3.77,6548,352.14,48
2005-02-01 00:00:00+00,27.6,29.3,27.6,28.9,5.09,6368,362.05,38
2005-02-02 00:00:00+00,29.3,29.3,28.5,28.8,-0.35,3829,220.57,29
2005-02-03 00:00:00+00,28.4,28.8,27.5,28.3,-1.74,3177,177.38,30
2005-02-04 00:00:00+00,28.2,28.2,27,27.4,-3.18,7889,431.91,71
2005-02-07 00:00:00+00,27.7,27.7,26.4,26.9,-1.82,4089,222.66,43
2005-02-08 00:00:00+00,26.5,27.7,26.5,27.5,2.23,4769,258.4,14
2005-02-09 00:00:00+00,27.1,27.6,27,27.6,0.36,2012,108.71,8
2005-02-10 00:00:00+00,28.2,28.5,27.8,28,1.45,2747,154.97,29
2005-02-11 00:00:00+00,28.1,28.5,28,28.3,1.07,2005,113.16,11
2005-02-14 00:00:00+00,28.9,29.5,28.5,29.1,2.83,18772,1088.9,83
2005-02-15 00:00:00+00,29.5,29.5,28.6,29.1,0,11392,665.91,51
2005-02-16 00:00:00+00,28.1,29.2,28.1,29.2,0.34,8000,460.41,38
2005-02-17 00:00:00+00,29.2,31.6,29,31,6.16,19366,1155.51,96
2005-02-18 00:00:00+00,30.3,30.4,29.4,30,-3.23,6259,375.15,61
2005-02-21 00:00:00+00,30.2,30.4,29.5,30,0,1829,110.41,18
2005-02-22 00:00:00+00,29.5,30.5,29.5,30.5,1.67,2622,157.19,14
2005-02-23 00:00:00+00,29.8,30,29.4,30,-1.64,1565,93.05,14
2005-02-24 00:00:00+00,30,30.5,30,30.5,1.67,1632,98.4,17
2005-02-25 00:00:00+00,30.5,31,29.8,31,1.64,3588,217.17,28
2005-02-28 00:00:00+00,31,31.3,29.9,30.5,-1.61,2300,141.22,18
2005-03-01 00:00:00+00,30.9,30.9,30.3,30.3,-0.66,518,31.92,6
2005-03-02 00:00:00+00,30.2,30.2,29,30,-0.99,2962,176.45,34
2005-03-03 00:00:00+00,28.8,30.6,28.8,29,-3.33,7315,435.67,55
2005-03-04 00:00:00+00,29.6,30.1,29.5,30,3.45,10507,629.74,57
2005-03-07 00:00:00+00,30.5,30.5,30,30.4,1.33,1948,118.36,16
2005-03-08 00:00:00+00,30,30,30,30,-1.32,2435,146.1,6
2005-03-09 00:00:00+00,30.5,32.5,30.5,32.2,7.33,8496,542.05,100
2005-03-10 00:00:00+00,32.5,33.5,32,33.5,4.04,13494,876.47,69
2005-03-11 00:00:00+00,32.5,34.5,32.1,33.5,0,7618,503.78,90
2005-03-14 00:00:00+00,34.2,35,33.6,35,4.48,3083,213.73,42
2005-03-15 00:00:00+00,35.3,36.5,35,35.6,1.71,10284,733.61,83
2005-03-16 00:00:00+00,35.3,35.6,34.2,34.7,-2.53,4978,349.4,44
2005-03-17 00:00:00+00,34.4,34.4,32.7,32.7,-5.76,9825,651.47,92
2005-03-18 00:00:00+00,32.4,33.5,32.4,33.2,1.53,3545,234.92,29
2005-03-21 00:00:00+00,33,33,32.5,32.7,-1.51,832,54.53,18
2005-03-22 00:00:00+00,32.8,34.2,32.8,33.9,3.67,1515,101.27,31
2005-03-23 00:00:00+00,33.7,35.4,33.1,35,3.24,2010,139.08,27
2005-03-24 00:00:00+00,35.4,36.5,35.3,35.9,2.57,8762,626.63,76
2005-03-29 00:00:00+00,36,36,35,35.8,-0.28,1228,87.44,28
2005-03-30 00:00:00+00,35.8,35.8,35.2,35.2,-1.68,1433,101.61,18
2005-03-31 00:00:00+00,35.1,35.2,34.5,35.2,0,2470,173.59,23
2005-04-01 00:00:00+00,34.7,34.8,34.7,34.7,-1.42,10318,716.42,22
