date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,49,49,47.2,49,0,382,37.26,9
2005-01-04 00:00:00+00,49,49,49,49,0,31,3.04,3
2005-01-05 00:00:00+00,49,49,47.2,47.2,-3.67,13,1.27,3
2005-01-06 00:00:00+00,49.4,49.4,47.2,49,3.81,92,8.75,4
2005-01-07 00:00:00+00,0,0,0,49,0,0,0,0
2005-01-10 00:00:00+00,48.9,49,48.9,49,0,67,6.56,7
2005-01-11 00:00:00+00,47.5,47.5,47.5,47.5,-3.06,75,7.13,5
2005-01-12 00:00:00+00,47.6,47.6,47.6,47.6,0.21,261,24.85,1
2005-01-13 00:00:00+00,49.3,49.3,49.3,49.3,3.57,10,0.99,1
2005-01-14 00:00:00+00,49.2,49.2,49.2,49.2,-0.2,57,5.61,3
2005-01-17 00:00:00+00,0,0,0,49.2,0,0,0,0
2005-01-18 00:00:00+00,47.7,47.7,47.5,47.5,-3.46,1855,176.38,6
2005-01-19 00:00:00+00,48.8,48.8,48.8,48.8,2.74,15,1.46,1
2005-01-20 00:00:00+00,48.8,48.8,48.8,48.8,0,38,3.71,1
2005-01-21 00:00:00+00,47.6,48.4,46.1,48.4,-0.82,2049,191.84,8
2005-01-24 00:00:00+00,0,0,0,48.4,0,0,0,0
2005-01-25 00:00:00+00,0,0,0,48.4,0,0,0,0
2005-01-26 00:00:00+00,0,0,0,48.4,0,0,0,0
2005-01-27 00:00:00+00,48.9,48.9,48.9,48.9,1.03,133,13.01,4
2005-01-28 00:00:00+00,0,0,0,48.9,0,0,0,0
2005-01-31 00:00:00+00,48.3,49.4,48.3,49.4,1.02,2382,233.13,26
2005-02-01 00:00:00+00,0,0,0,49.4,0,0,0,0
2005-02-02 00:00:00+00,0,0,0,49.4,0,0,0,0
2005-02-03 00:00:00+00,0,0,0,49.4,0,0,0,0
2005-02-04 00:00:00+00,49,49.4,49,49.4,0,2421,239.11,9
2005-02-07 00:00:00+00,49.2,49.2,49,49,-0.81,63,6.19,3
2005-02-08 00:00:00+00,0,0,0,49,0,0,0,0
2005-02-09 00:00:00+00,47,49.2,47,49.2,0.41,154,14.67,5
2005-02-10 00:00:00+00,49.3,49.3,49.3,49.3,0.2,30,2.96,3
2005-02-11 00:00:00+00,47.7,48,46.5,47.8,-3.04,705,66.71,17
2005-02-14 00:00:00+00,46.3,47.5,46.3,47,-1.67,518,48.55,11
2005-02-15 00:00:00+00,47,47,47,47,0,51,4.79,2
2005-02-16 00:00:00+00,0,0,0,47,0,0,0,0
2005-02-17 00:00:00+00,46.1,46.2,46.1,46.1,-1.91,266,24.53,5
2005-02-18 00:00:00+00,46.1,47.1,46.1,47.1,2.17,169,15.6,5
2005-02-21 00:00:00+00,47.4,47.6,47.4,47.6,1.06,80,7.59,3
2005-02-22 00:00:00+00,47.6,47.6,46.1,46.1,-3.15,399,37.2,10
2005-02-23 00:00:00+00,47.1,47.1,46.1,46.1,0,631,58.69,14
2005-02-24 00:00:00+00,46.1,46.5,46.1,46.5,0.87,168,15.5,4
2005-02-25 00:00:00+00,47.9,48,47.1,47.5,2.15,1113,106.67,10
2005-02-28 00:00:00+00,47.9,49.8,47.9,49.8,4.84,800,78.26,15
2005-03-01 00:00:00+00,0,0,0,49.8,0,0,0,0
2005-03-02 00:00:00+00,49.4,49.8,49,49.8,0,1533,152.39,12
2005-03-03 00:00:00+00,48.1,49.5,48.1,49.5,-0.6,550,54.28,8
2005-03-04 00:00:00+00,49.3,49.3,49.3,49.3,-0.4,60,5.92,1
2005-03-07 00:00:00+00,48.1,49.3,48.1,49,-0.61,433,42.43,4
2005-03-08 00:00:00+00,48.1,49.4,48.1,49.4,0.82,63,6.09,3
2005-03-09 00:00:00+00,49.4,51,49.4,51,3.24,2835,283.3,15
2005-03-10 00:00:00+00,51.5,51.9,49.8,51.8,1.57,386,39.85,9
2005-03-11 00:00:00+00,51,51.8,49.3,51.8,0,203,20.74,9
2005-03-14 00:00:00+00,51.8,51.8,50.3,51.5,-0.58,2596,262.01,12
2005-03-15 00:00:00+00,0,0,0,51.5,0,0,0,0
2005-03-16 00:00:00+00,51.5,51.5,51.4,51.4,-0.19,131,13.47,3
2005-03-17 00:00:00+00,51,51,51,51,-0.78,55,5.61,1
2005-03-18 00:00:00+00,49.3,53,49.3,52.4,2.75,666,68.55,12
2005-03-21 00:00:00+00,53,53.9,51.6,52,-0.76,1612,171.08,16
2005-03-22 00:00:00+00,52.5,52.9,51.8,52.9,1.73,648,67.52,11
2005-03-23 00:00:00+00,53,53.5,51.5,51.5,-2.65,184,19.5,5
2005-03-24 00:00:00+00,51,52,51,52,0.97,60,6.19,2
2005-03-29 00:00:00+00,0,0,0,52,0,0,0,0
2005-03-30 00:00:00+00,50.2,51.3,50,50,-3.85,2070,207.62,23
2005-03-31 00:00:00+00,52.5,52.5,52.5,52.5,5,29,3.05,1
2005-04-01 00:00:00+00,0,0,0,52.5,0,0,0,0
2005-04-04 00:00:00+00,0,0,0,52.5,0,0,0,0
