date,open,high,low,close,difference,volume,turnover,transactions
2009-01-07 00:00:00+00,7.5,8,7.3,7.3,-4.58,43560,670.6,71
2009-01-08 00:00:00+00,7.05,7.16,7.03,7.16,-1.92,4084,58.25,7
2009-01-09 00:00:00+00,0,0,0,7.16,0,0,0,0
2009-01-12 00:00:00+00,7.11,7.62,7.11,7.19,0.42,1839,26.92,10
2009-01-13 00:00:00+00,7.02,7.59,7.02,7.59,5.56,3278,46.33,7
2009-01-14 00:00:00+00,7.59,7.79,7.25,7.69,1.32,16707,245.49,27
2009-01-15 00:00:00+00,7.4,7.4,7.4,7.4,-3.77,648,9.59,3
2009-01-16 00:00:00+00,7.22,7.58,7.22,7.3,-1.35,1198,17.46,5
2009-01-19 00:00:00+00,7.74,7.74,7.74,7.74,6.03,1,0.02,1
2009-01-20 00:00:00+00,7.2,7.44,7.06,7.44,-3.88,879,12.64,3
2009-01-21 00:00:00+00,7.45,7.45,7.15,7.15,-3.9,301,4.3,3
2009-01-22 00:00:00+00,7.1,7.3,7.1,7.3,2.1,363,5.16,3
2009-01-23 00:00:00+00,7.43,7.43,7.01,7.4,1.37,352,4.94,5
2009-01-26 00:00:00+00,7.43,7.43,6.88,6.98,-5.68,3184,44.6,6
2009-01-27 00:00:00+00,6.98,6.98,6.83,6.94,-0.57,1143,15.9,17
2009-01-28 00:00:00+00,6.98,6.98,6.98,6.98,0.58,10,0.14,1
2009-01-29 00:00:00+00,6.9,6.9,6.9,6.9,-1.15,1056,14.57,7
2009-01-30 00:00:00+00,6.82,6.82,6.74,6.8,-1.45,1931,26.09,8
2009-02-02 00:00:00+00,6.9,6.9,5.91,6.29,-7.5,7054,91.61,12
2009-02-03 00:00:00+00,6.3,6.3,6,6,-4.61,1033,13,3
2009-02-04 00:00:00+00,6,6,5.7,5.82,-3,2694,31.26,11
2009-02-05 00:00:00+00,5.4,5.9,5.1,5.74,-1.37,14111,153.77,21
2009-02-06 00:00:00+00,5.74,6.89,5.74,6.13,6.79,3799,45.33,11
2009-02-09 00:00:00+00,5.8,6.17,5.8,6.17,0.65,3810,45.83,9
2009-02-10 00:00:00+00,6.32,6.53,6,6.53,5.83,10491,134.4,12
2009-02-11 00:00:00+00,6.68,6.89,6.5,6.54,0.15,7357,98.27,7
2009-02-12 00:00:00+00,6.7,6.7,6.7,6.7,2.45,323,4.33,1
2009-02-13 00:00:00+00,6.7,6.77,6.7,6.77,1.04,438,5.92,4
2009-02-16 00:00:00+00,6.6,6.7,6,6,-11.37,3301,40.22,15
2009-02-17 00:00:00+00,5.8,5.8,5.42,5.42,-9.67,5210,59.95,8
2009-02-18 00:00:00+00,5.29,5.29,5.18,5.28,-2.58,4727,49.58,11
2009-02-19 00:00:00+00,5.41,5.41,5.39,5.39,2.08,933,10.07,4
2009-02-20 00:00:00+00,5.39,5.39,5.39,5.39,0,10,0.11,1
2009-02-23 00:00:00+00,5.15,5.37,5.15,5.37,-0.37,1290,13.41,6
2009-02-24 00:00:00+00,5.39,5.9,4.86,5.9,9.87,16481,165.92,28
2009-02-25 00:00:00+00,5.74,6.4,5.74,6,1.69,2884,34.73,15
2009-02-26 00:00:00+00,6.05,6.29,6.05,6.29,4.83,7250,89.62,9
2009-02-27 00:00:00+00,6,6.2,6,6.2,-1.43,1378,16.56,2
2009-03-02 00:00:00+00,6.07,6.07,6.04,6.04,-2.58,632,7.63,3
