date,open,high,low,close,difference,volume,turnover,transactions
2017-11-03 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-06 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-07 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-08 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-09 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-10 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-13 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-14 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-15 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-16 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-17 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-20 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-21 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-22 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-23 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-24 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-27 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-28 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-29 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-11-30 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-12-01 00:00:00+00,0,0,0,1.8,0,0,0,0
2017-12-04 00:00:00+00,2.24,2.24,2.24,2.24,24.44,1030,2.31,5
2017-12-05 00:00:00+00,0,0,0,2.24,0,0,0,0
2017-12-06 00:00:00+00,0,0,0,2.24,0,0,0,0
2017-12-07 00:00:00+00,0,0,0,2.24,0,0,0,0
2017-12-08 00:00:00+00,2.2,2.2,2.2,2.2,-1.79,50,0.11,1
2017-12-11 00:00:00+00,0,0,0,2.2,0,0,0,0
2017-12-12 00:00:00+00,0,0,0,2.2,0,0,0,0
2017-12-13 00:00:00+00,0,0,0,2.2,0,0,0,0
2017-12-14 00:00:00+00,0,0,0,2.2,0,0,0,0
2017-12-15 00:00:00+00,0,0,0,2.2,0,0,0,0
2017-12-18 00:00:00+00,0,0,0,2.2,0,0,0,0
2017-12-19 00:00:00+00,2.2,2.2,2.2,2.2,0,70,0.15,1
2017-12-20 00:00:00+00,0,0,0,2.2,0,0,0,0
2017-12-21 00:00:00+00,0,0,0,2.2,0,0,0,0
2017-12-22 00:00:00+00,0,0,0,2.2,0,0,0,0
2017-12-27 00:00:00+00,0,0,0,2.2,0,0,0,0
2017-12-28 00:00:00+00,0,0,0,2.2,0,0,0,0
2017-12-29 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-03 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-04 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-05 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-08 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-09 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-10 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-11 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-12 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-15 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-16 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-17 00:00:00+00,0,0,0,2.2,0,0,0,0
2018-01-18 00:00:00+00,2,2,2,2,-9.09,70,0.14,1
2018-01-19 00:00:00+00,0,0,0,2,0,0,0,0
2018-01-22 00:00:00+00,0,0,0,2,0,0,0,0
2018-01-23 00:00:00+00,0,0,0,2,0,0,0,0
2018-01-24 00:00:00+00,0,0,0,2,0,0,0,0
2018-01-25 00:00:00+00,0,0,0,2,0,0,0,0
2018-01-26 00:00:00+00,0,0,0,2,0,0,0,0
2018-01-29 00:00:00+00,2.1,2.1,2.1,2.1,5,50,0.11,1
2018-01-30 00:00:00+00,2.1,2.1,2.1,2.1,0,500,1.05,1
2018-01-31 00:00:00+00,0,0,0,2.1,0,0,0,0
2018-02-01 00:00:00+00,2.1,2.1,2.1,2.1,0,500,1.05,2
2018-02-02 00:00:00+00,0,0,0,2.1,0,0,0,0
2018-02-05 00:00:00+00,0,0,0,2.1,0,0,0,0
2018-02-06 00:00:00+00,2.1,2.1,2.1,2.1,0,500,1.05,1
2018-02-07 00:00:00+00,0,0,0,2.1,0,0,0,0
2018-02-08 00:00:00+00,0,0,0,2.1,0,0,0,0
2018-02-09 00:00:00+00,0,0,0,2.1,0,0,0,0
2018-02-12 00:00:00+00,0,0,0,2.1,0,0,0,0
2018-02-13 00:00:00+00,0,0,0,2.1,0,0,0,0
2018-02-14 00:00:00+00,0,0,0,2.1,0,0,0,0
2018-02-15 00:00:00+00,2.1,2.1,2.1,2.1,0,33,0.07,1
2018-02-16 00:00:00+00,2.1,2.1,2,2,-4.76,4774,9.99,2
2018-02-19 00:00:00+00,0,0,0,2,0,0,0,0
2018-02-20 00:00:00+00,0,0,0,2,0,0,0,0
2018-02-21 00:00:00+00,0,0,0,2,0,0,0,0
2018-02-22 00:00:00+00,0,0,0,2,0,0,0,0
2018-02-23 00:00:00+00,2,2,2,2,0,193,0.39,1
2018-02-26 00:00:00+00,0,0,0,2,0,0,0,0
2018-02-27 00:00:00+00,0,0,0,2,0,0,0,0
2018-02-28 00:00:00+00,2,2,2,2,0,300,0.6,1
2018-03-01 00:00:00+00,0,0,0,2,0,0,0,0
2018-03-02 00:00:00+00,0,0,0,2,0,0,0,0
2018-03-05 00:00:00+00,0,0,0,2,0,0,0,0
2018-03-06 00:00:00+00,0,0,0,2,0,0,0,0
2018-03-07 00:00:00+00,1.81,1.81,1.81,1.81,-9.5,4500,8.15,2
2018-03-08 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-09 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-12 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-13 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-14 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-15 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-16 00:00:00+00,1.81,1.81,1.81,1.81,0,535,0.97,1
2018-03-19 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-20 00:00:00+00,1.81,1.81,1.81,1.81,0,1520,2.75,2
2018-03-21 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-22 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-23 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-26 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-27 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-28 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-03-29 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-04-03 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-04-04 00:00:00+00,0,0,0,1.81,0,0,0,0
2018-04-05 00:00:00+00,0,0,0,1.81,0,0,0,0
