date,open,high,low,close,difference,volume,turnover,transactions
2015-01-28 00:00:00+00,0.1,0.11,0.1,0.11,10,20563,2.25,6
2015-01-29 00:00:00+00,0.13,0.15,0.13,0.15,36.36,96247,12.71,10
2015-01-30 00:00:00+00,0.15,0.18,0.15,0.18,20,36860,5.59,10
2015-02-02 00:00:00+00,0.16,0.16,0.15,0.15,-16.67,7380,1.18,3
2015-02-03 00:00:00+00,0.17,0.17,0.17,0.17,13.33,1000,0.17,1
2015-02-04 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-05 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-06 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-09 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-10 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-11 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-12 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-13 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-16 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-17 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-18 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-19 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-20 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-23 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-24 00:00:00+00,0,0,0,0.17,0,0,0,0
2015-02-25 00:00:00+00,1.95,1.95,1.94,1.94,14.12,2043,3.98,5
2015-02-26 00:00:00+00,1.94,1.94,1.94,1.94,0,250,0.49,4
2015-02-27 00:00:00+00,1.91,1.91,1.91,1.91,-1.55,1400,2.67,3
2015-03-02 00:00:00+00,1.85,1.85,1.85,1.85,-3.14,600,1.11,2
2015-03-03 00:00:00+00,0,0,0,1.85,0,0,0,0
2015-03-04 00:00:00+00,1.7,1.7,1.7,1.7,-8.11,1000,1.7,2
2015-03-05 00:00:00+00,1.69,1.69,1.67,1.67,-1.76,2600,4.36,7
2015-03-06 00:00:00+00,0,0,0,1.67,0,0,0,0
2015-03-09 00:00:00+00,1.6,1.6,1.6,1.6,-4.19,40,0.06,1
2015-03-10 00:00:00+00,1.5,1.5,1.5,1.5,-6.25,231,0.35,2
2015-03-11 00:00:00+00,1.4,1.4,1.4,1.4,-6.67,956,1.34,2
2015-03-12 00:00:00+00,0,0,0,1.4,0,0,0,0
2015-03-13 00:00:00+00,1.45,1.45,1.45,1.45,3.57,3700,5.37,7
2015-03-16 00:00:00+00,1.45,1.45,1.45,1.45,0,339,0.49,3
2015-03-17 00:00:00+00,1.62,1.62,1.62,1.62,11.72,100,0.16,1
2015-03-18 00:00:00+00,0,0,0,1.62,0,0,0,0
2015-03-19 00:00:00+00,0,0,0,1.62,0,0,0,0
2015-03-20 00:00:00+00,0,0,0,1.62,0,0,0,0
2015-03-23 00:00:00+00,1.62,1.62,1.62,1.62,0,3999,6.48,5
2015-03-24 00:00:00+00,1.6,1.62,1.6,1.62,0,461,0.74,5
2015-03-25 00:00:00+00,0,0,0,1.62,0,0,0,0
2015-03-26 00:00:00+00,0,0,0,1.62,0,0,0,0
2015-03-27 00:00:00+00,0,0,0,1.62,0,0,0,0
2015-03-30 00:00:00+00,0,0,0,1.62,0,0,0,0
2015-03-31 00:00:00+00,0,0,0,1.62,0,0,0,0
2015-04-01 00:00:00+00,0,0,0,1.62,0,0,0,0
2015-04-02 00:00:00+00,1.49,1.49,1.49,1.49,-8.02,97,0.14,1
2015-04-07 00:00:00+00,0,0,0,1.49,0,0,0,0
2015-04-08 00:00:00+00,0,0,0,1.49,0,0,0,0
2015-04-09 00:00:00+00,1.48,1.48,1.34,1.34,-10.07,20,0.03,2
2015-04-10 00:00:00+00,0,0,0,1.34,0,0,0,0
2015-04-13 00:00:00+00,1.48,1.48,1.48,1.48,10.45,10,0.01,1
2015-04-14 00:00:00+00,0,0,0,1.48,0,0,0,0
2015-04-15 00:00:00+00,0,0,0,1.48,0,0,0,0
2015-04-16 00:00:00+00,1.48,1.48,1.48,1.48,0,595,0.88,4
2015-04-17 00:00:00+00,0,0,0,1.48,0,0,0,0
2015-04-20 00:00:00+00,1.49,1.49,1.49,1.49,0.68,5,0.01,1
2015-04-21 00:00:00+00,1.49,1.49,1.49,1.49,0,198,0.3,1
2015-04-22 00:00:00+00,0,0,0,1.49,0,0,0,0
2015-04-23 00:00:00+00,1.02,1.02,1.02,1.02,-31.54,2483,2.53,8
2015-04-24 00:00:00+00,0,0,0,1.02,0,0,0,0
2015-04-27 00:00:00+00,1.01,1.01,1.01,1.01,-0.98,3300,3.33,5
2015-04-28 00:00:00+00,0.91,0.91,0.91,0.91,-9.9,300,0.27,1
2015-04-29 00:00:00+00,0,0,0,0.91,0,0,0,0
2015-04-30 00:00:00+00,1,1,1,1,9.89,1000,1,2
2015-05-04 00:00:00+00,0,0,0,1,0,0,0,0
2015-05-05 00:00:00+00,0,0,0,1,0,0,0,0
2015-05-06 00:00:00+00,0,0,0,1,0,0,0,0
2015-05-07 00:00:00+00,0,0,0,1,0,0,0,0
2015-05-08 00:00:00+00,1,1,1,1,0,120,0.12,2
2015-05-11 00:00:00+00,0.9,0.9,0.9,0.9,-10,50,0.05,1
2015-05-12 00:00:00+00,0,0,0,0.9,0,0,0,0
2015-05-13 00:00:00+00,0.81,0.81,0.81,0.81,-10,127,0.1,1
2015-05-14 00:00:00+00,0.74,0.84,0.74,0.84,3.7,344,0.26,3
2015-05-15 00:00:00+00,0.88,0.88,0.88,0.88,4.76,350,0.31,2
2015-05-18 00:00:00+00,0.89,0.89,0.89,0.89,1.14,700,0.62,4
2015-05-19 00:00:00+00,0,0,0,0.89,0,0,0,0
2015-05-20 00:00:00+00,0,0,0,0.89,0,0,0,0
2015-05-21 00:00:00+00,0.9,0.98,0.9,0.98,10.11,14739,14.24,12
2015-05-22 00:00:00+00,1,1,1,1,2.04,100,0.1,1
2015-05-25 00:00:00+00,0,0,0,1,0,0,0,0
2015-05-26 00:00:00+00,1,1,1,1,0,130,0.13,2
2015-05-27 00:00:00+00,0,0,0,1,0,0,0,0
2015-05-28 00:00:00+00,0,0,0,1,0,0,0,0
2015-05-29 00:00:00+00,0,0,0,1,0,0,0,0
2015-06-01 00:00:00+00,0,0,0,1,0,0,0,0
2015-06-02 00:00:00+00,0,0,0,1,0,0,0,0
2015-06-03 00:00:00+00,0,0,0,1,0,0,0,0
2015-06-05 00:00:00+00,0,0,0,1,0,0,0,0
2015-06-08 00:00:00+00,0,0,0,1,0,0,0,0
2015-06-09 00:00:00+00,0,0,0,1,0,0,0,0
2015-06-10 00:00:00+00,0,0,0,1,0,0,0,0
2015-06-11 00:00:00+00,0,0,0,1,0,0,0,0
2015-06-12 00:00:00+00,0,0,0,1,0,0,0,0
2015-06-15 00:00:00+00,0,0,0,1,0,0,0,0
2015-06-16 00:00:00+00,0.8,0.8,0.8,0.8,-20,112,0.09,1
2015-06-17 00:00:00+00,0,0,0,0.8,0,0,0,0
2015-06-18 00:00:00+00,0.72,0.8,0.72,0.8,0,250,0.18,2
2015-06-19 00:00:00+00,0,0,0,0.8,0,0,0,0
2015-06-22 00:00:00+00,0,0,0,0.8,0,0,0,0
2015-06-23 00:00:00+00,0.72,0.8,0.72,0.8,0,174,0.13,2
2015-06-24 00:00:00+00,0,0,0,0.8,0,0,0,0
2015-06-25 00:00:00+00,0,0,0,0.8,0,0,0,0
2015-06-26 00:00:00+00,0,0,0,0.8,0,0,0,0
2015-06-29 00:00:00+00,0.65,0.65,0.65,0.65,-18.75,53,0.03,1
2015-06-30 00:00:00+00,0,0,0,0.65,0,0,0,0
2015-07-01 00:00:00+00,0.8,0.8,0.8,0.8,23.08,800,0.64,2
2015-07-02 00:00:00+00,0.8,0.8,0.8,0.8,0,517,0.41,3
2015-07-03 00:00:00+00,0.89,0.89,0.8,0.8,0,2550,2.05,5
2015-07-06 00:00:00+00,0.8,0.8,0.8,0.8,0,580,0.46,2
2015-07-07 00:00:00+00,0.8,0.8,0.8,0.8,0,85,0.07,2
2015-07-08 00:00:00+00,0,0,0,0.8,0,0,0,0
2015-07-09 00:00:00+00,0.88,0.88,0.88,0.88,10,111,0.1,4
2015-07-10 00:00:00+00,0,0,0,0.88,0,0,0,0
2015-07-13 00:00:00+00,0,0,0,0.88,0,0,0,0
2015-07-14 00:00:00+00,0.88,0.88,0.88,0.88,0,1,0,1
2015-07-15 00:00:00+00,0.88,0.88,0.88,0.88,0,10,0.01,2
2015-07-16 00:00:00+00,0,0,0,0.88,0,0,0,0
2015-07-17 00:00:00+00,0,0,0,0.88,0,0,0,0
2015-07-20 00:00:00+00,0,0,0,0.88,0,0,0,0
2015-07-21 00:00:00+00,0,0,0,0.88,0,0,0,0
2015-07-22 00:00:00+00,0.8,0.8,0.72,0.72,-18.18,345,0.26,6
2015-07-23 00:00:00+00,0.59,0.59,0.59,0.59,-18.06,1000,0.59,3
2015-07-24 00:00:00+00,0,0,0,0.59,0,0,0,0
2015-07-27 00:00:00+00,0,0,0,0.59,0,0,0,0
2015-07-28 00:00:00+00,0,0,0,0.59,0,0,0,0
2015-07-29 00:00:00+00,0,0,0,0.59,0,0,0,0
2015-07-30 00:00:00+00,0,0,0,0.59,0,0,0,0
2015-07-31 00:00:00+00,0.54,0.59,0.54,0.59,0,195,0.11,2
2015-08-03 00:00:00+00,0,0,0,0.59,0,0,0,0
2015-08-04 00:00:00+00,0,0,0,0.59,0,0,0,0
2015-08-05 00:00:00+00,0,0,0,0.59,0,0,0,0
2015-08-06 00:00:00+00,0,0,0,0.59,0,0,0,0
2015-08-07 00:00:00+00,0.65,0.65,0.65,0.65,10.17,50,0.03,1
2015-08-10 00:00:00+00,0.75,0.75,0.75,0.75,15.38,50,0.04,1
2015-08-11 00:00:00+00,0,0,0,0.75,0,0,0,0
2015-08-12 00:00:00+00,0.86,0.86,0.86,0.86,14.67,50,0.04,1
2015-08-13 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-08-14 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-08-17 00:00:00+00,0.86,0.86,0.86,0.86,0,1,0,1
2015-08-18 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-08-19 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-08-20 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-08-21 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-08-24 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-08-25 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-08-26 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-08-27 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-08-28 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-08-31 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-09-01 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-09-02 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-09-03 00:00:00+00,0.86,0.86,0.86,0.86,0,5,0,2
2015-09-04 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-09-07 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-09-08 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-09-09 00:00:00+00,0,0,0,0.86,0,0,0,0
2015-09-10 00:00:00+00,0.78,0.78,0.78,0.78,-9.3,30,0.02,2
2015-09-11 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-14 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-15 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-16 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-17 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-18 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-21 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-22 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-23 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-24 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-25 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-28 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-29 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-09-30 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-10-01 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-10-02 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-10-05 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-10-06 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-10-07 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-10-08 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-10-09 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-10-12 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-10-13 00:00:00+00,0,0,0,0.78,0,0,0,0
2015-10-14 00:00:00+00,0.72,0.72,0.72,0.72,-7.69,2000,1.44,6
2015-10-15 00:00:00+00,0.74,0.74,0.74,0.74,2.78,2065,1.53,7
2015-10-16 00:00:00+00,0,0,0,0.74,0,0,0,0
2015-10-19 00:00:00+00,0,0,0,0.74,0,0,0,0
2015-10-20 00:00:00+00,0,0,0,0.74,0,0,0,0
2015-10-21 00:00:00+00,0,0,0,0.74,0,0,0,0
2015-10-22 00:00:00+00,0,0,0,0.74,0,0,0,0
2015-10-23 00:00:00+00,0,0,0,0.74,0,0,0,0
2015-10-26 00:00:00+00,0,0,0,0.74,0,0,0,0
2015-10-27 00:00:00+00,0,0,0,0.74,0,0,0,0
2015-10-28 00:00:00+00,0,0,0,0.74,0,0,0,0
2015-10-29 00:00:00+00,0.69,0.69,0.69,0.69,-6.76,10,0.01,1
2015-10-30 00:00:00+00,0,0,0,0.69,0,0,0,0
2015-11-02 00:00:00+00,0,0,0,0.69,0,0,0,0
2015-11-03 00:00:00+00,0,0,0,0.69,0,0,0,0
