date,open,high,low,close,difference,volume,turnover,transactions
2011-03-04 00:00:00+00,2.26,2.37,2.25,2.36,0.43,19690,46.1,18
2011-03-07 00:00:00+00,2.39,2.39,2.26,2.3,-2.54,5809,13.58,16
2011-03-08 00:00:00+00,2.34,2.34,2.23,2.24,-2.61,10999,24.65,12
2011-03-09 00:00:00+00,2.29,2.29,2.2,2.24,0,8490,18.82,16
2011-03-10 00:00:00+00,2.21,2.3,2.19,2.3,2.68,2202,4.86,8
2011-03-11 00:00:00+00,2.3,2.3,2.22,2.3,0,10885,24.92,14
2011-03-14 00:00:00+00,2.2,2.33,2.2,2.3,0,1045,2.36,6
2011-03-15 00:00:00+00,2.33,2.33,2.18,2.27,-1.3,2175,4.79,9
2011-03-16 00:00:00+00,2.27,2.27,2.27,2.27,0,351,0.8,2
2011-03-17 00:00:00+00,2.27,2.27,2.27,2.27,0,1,0,1
2011-03-18 00:00:00+00,2.27,2.27,2.25,2.27,0,457,1.03,4
2011-03-21 00:00:00+00,2.27,2.27,2.27,2.27,0,5,0.01,1
2011-03-22 00:00:00+00,2.27,2.27,2.2,2.2,-3.08,11300,25.3,5
2011-03-23 00:00:00+00,2.15,2.19,2.15,2.19,-0.45,7302,15.71,7
2011-03-24 00:00:00+00,2.3,2.3,2.25,2.25,2.74,11,0.02,2
2011-03-25 00:00:00+00,2.28,2.28,2.15,2.15,-4.44,1020,2.28,3
2011-03-28 00:00:00+00,2.29,2.29,2.29,2.29,6.51,1000,2.29,2
2011-03-29 00:00:00+00,2.29,2.29,2.28,2.29,0,5468,12.48,6
2011-03-30 00:00:00+00,2.27,2.27,2.18,2.26,-1.31,102,0.22,3
2011-03-31 00:00:00+00,2.27,2.27,2.04,2.19,-3.1,46455,97.74,45
2011-04-01 00:00:00+00,2.08,2.19,2.08,2.19,0,539,1.13,4
2011-04-04 00:00:00+00,2.1,2.19,2.09,2.09,-4.57,3120,6.58,11
2011-04-05 00:00:00+00,2.09,2.16,2.07,2.09,0,5768,12.05,13
2011-04-06 00:00:00+00,2.1,2.1,2,2,-4.31,25663,52.15,17
2011-04-07 00:00:00+00,2.01,2.03,1.98,2,0,5631,11.33,10
2011-04-08 00:00:00+00,2,2,2,2,0,184,0.37,2
2011-04-11 00:00:00+00,2,2,1.85,1.9,-5,33356,63.14,40
2011-04-12 00:00:00+00,1.99,1.99,1.9,1.9,0,8832,16.78,8
2011-04-13 00:00:00+00,1.91,1.95,1.91,1.91,0.53,3282,6.27,9
2011-04-14 00:00:00+00,1.93,1.93,1.9,1.9,-0.52,8327,15.85,9
2011-04-15 00:00:00+00,1.91,1.91,1.9,1.91,0.53,3710,7.08,7
2011-04-18 00:00:00+00,1.93,1.93,1.9,1.9,-0.52,1601,3.06,7
2011-04-19 00:00:00+00,1.93,1.93,1.84,1.84,-3.16,2811,5.18,3
2011-04-20 00:00:00+00,1.89,1.89,1.83,1.89,2.72,1610,3,5
2011-04-21 00:00:00+00,1.93,1.93,1.93,1.93,2.12,120,0.23,1
2011-04-26 00:00:00+00,1.93,1.93,1.93,1.93,0,890,1.72,3
2011-04-27 00:00:00+00,1.86,1.86,1.86,1.86,-3.63,2300,4.28,4
2011-04-28 00:00:00+00,1.86,1.86,1.86,1.86,0,76,0.14,2
2011-04-29 00:00:00+00,1.86,1.91,1.86,1.91,2.69,4400,8.4,4
2011-05-02 00:00:00+00,1.93,1.93,1.83,1.9,-0.52,3931,7.26,7
2011-05-04 00:00:00+00,1.93,1.93,1.83,1.91,0.53,1941,3.63,5
2011-05-05 00:00:00+00,1.93,1.93,1.93,1.93,1.05,100,0.19,1
2011-05-06 00:00:00+00,1.93,1.93,1.9,1.9,-1.55,800,1.52,2
2011-05-09 00:00:00+00,1.88,1.88,1.79,1.84,-3.16,19060,34.69,19
2011-05-10 00:00:00+00,1.79,1.84,1.79,1.83,-0.54,1233,2.25,4
2011-05-11 00:00:00+00,1.78,1.8,1.74,1.8,-1.64,7270,12.77,9
2011-05-12 00:00:00+00,1.7,1.75,1.68,1.75,-2.78,4761,8.05,13
2011-05-13 00:00:00+00,1.72,1.72,1.7,1.72,-1.71,6824,11.72,9
2011-05-16 00:00:00+00,1.63,1.63,1.5,1.52,-11.63,21338,32.98,35
2011-05-17 00:00:00+00,1.38,1.49,1.38,1.49,-1.97,15425,21.54,15
2011-05-18 00:00:00+00,1.5,1.55,1.45,1.55,4.03,14865,22.13,14
2011-05-19 00:00:00+00,1.55,1.55,1.52,1.52,-1.94,2965,4.53,9
2011-05-20 00:00:00+00,1.53,1.54,1.5,1.52,0,3360,5.07,7
2011-05-23 00:00:00+00,1.53,1.53,1.48,1.52,0,3530,5.31,7
