date,open,high,low,close,difference,volume,turnover,transactions
2007-02-01 00:00:00+00,5.42,6.15,5.42,5.92,4.78,127255,1463.97,317
2007-02-02 00:00:00+00,6,6.06,5.75,5.76,-2.7,47559,560.02,114
2007-02-05 00:00:00+00,5.85,5.98,5.5,5.96,3.47,108598,1261,146
2007-02-06 00:00:00+00,5.98,6.05,5.96,6.05,1.51,64940,780.64,155
2007-02-07 00:00:00+00,6.06,6.99,6.06,6.85,13.22,219318,2878.74,432
2007-02-08 00:00:00+00,7.01,7.41,6.5,6.75,-1.46,285180,4006.17,641
2007-02-09 00:00:00+00,6.8,7.29,6.75,7.24,7.26,217130,3058.26,321
2007-02-12 00:00:00+00,7.36,7.99,7.05,7.78,7.46,193152,2874.24,346
2007-02-13 00:00:00+00,7.95,8.27,7.76,8.05,3.47,122127,1955.41,282
2007-02-14 00:00:00+00,10.1,10.49,9.51,9.8,21.74,617719,12284.93,1428
2007-02-15 00:00:00+00,9.89,9.89,8.86,9.7,-1.02,373351,7030.05,1131
2007-02-16 00:00:00+00,9.7,9.77,9.06,9.25,-4.64,133293,2476.39,442
2007-02-19 00:00:00+00,9.4,9.4,8.72,9.01,-2.59,90431,1632.02,337
2007-02-20 00:00:00+00,9.12,10.78,9.01,10.28,14.1,373720,7513.01,1014
2007-02-21 00:00:00+00,10.28,10.28,9.86,9.93,-3.4,179268,3596.42,557
2007-02-22 00:00:00+00,10,10.09,9.83,9.93,0,81025,1614.76,264
2007-02-23 00:00:00+00,9.95,9.95,9.5,9.82,-1.11,69552,1346.25,226
2007-02-26 00:00:00+00,10,10,9.4,9.7,-1.22,75257,1443.37,215
2007-02-27 00:00:00+00,9.41,9.7,8.4,8.9,-8.25,102428,1854.23,335
2007-02-28 00:00:00+00,8.12,8.8,8.11,8.76,-1.57,127199,2187.75,310
2007-03-01 00:00:00+00,8.95,9.19,8.11,8.35,-4.68,61105,1055.77,220
2007-03-02 00:00:00+00,8.31,8.65,8.2,8.41,0.72,36233,602.29,130
2007-03-05 00:00:00+00,8.16,8.16,7.67,7.75,-7.85,77934,1223.6,262
2007-03-06 00:00:00+00,7.9,8.5,7.62,8.33,7.48,72153,1157.18,246
2007-03-07 00:00:00+00,8.76,8.97,8.51,8.7,4.44,91212,1597.39,280
2007-03-08 00:00:00+00,8.99,9.4,8.99,9.28,6.67,61802,1134.89,199
2007-03-09 00:00:00+00,9.5,9.6,9.11,9.28,0,55982,1051.81,200
2007-03-12 00:00:00+00,9.21,9.23,8.9,8.95,-3.56,53114,961.6,174
2007-03-13 00:00:00+00,8.95,8.95,8.51,8.75,-2.23,43422,756.03,172
2007-03-14 00:00:00+00,8.3,8.75,8.3,8.74,-0.11,30600,517.95,101
2007-03-15 00:00:00+00,8.88,9.2,8.8,9.15,4.69,48008,865.12,130
2007-03-16 00:00:00+00,9.2,9.2,8.8,9,-1.64,28912,521.19,82
2007-03-19 00:00:00+00,9,9.1,8.7,8.99,-0.11,42283,756.74,122
2007-03-20 00:00:00+00,8.99,9.1,8.8,9,0.11,28327,506.29,99
2007-03-21 00:00:00+00,8.99,9.1,8.8,9,0,40305,718.19,137
2007-03-22 00:00:00+00,9.01,9.05,8.87,8.92,-0.89,58557,1049.98,153
2007-03-23 00:00:00+00,8.99,9.39,8.91,9.35,4.82,110389,2029.08,280
2007-03-26 00:00:00+00,9.8,10.25,9.8,10.06,7.59,252599,5067.51,463
2007-03-27 00:00:00+00,10.55,10.64,9.68,9.7,-3.58,151484,3080.32,375
2007-03-28 00:00:00+00,9.5,9.68,9.23,9.59,-1.13,60838,1153.97,171
2007-03-29 00:00:00+00,9.42,9.68,9.35,9.61,0.21,42865,815.39,145
2007-03-30 00:00:00+00,10.2,10.38,9.72,9.86,2.6,126065,2558.79,334
2007-04-02 00:00:00+00,10.07,11,9.15,10.45,5.98,208860,4323.82,513
2007-04-03 00:00:00+00,10.4,10.5,10,10.32,-1.24,92209,1895.03,196
2007-04-04 00:00:00+00,10.5,10.55,9.8,9.95,-3.59,75906,1536.44,209
2007-04-05 00:00:00+00,9.81,10,9.6,9.99,0.4,48705,959.86,136
2007-04-10 00:00:00+00,10.2,10.5,9.98,10.19,2,53702,1089.7,179
2007-04-11 00:00:00+00,10.02,10.19,10,10,-1.86,36850,743.75,119
2007-04-12 00:00:00+00,10,10.13,9.15,9.6,-4,53779,1041.33,158
2007-04-13 00:00:00+00,9.27,9.69,9.27,9.6,0,10278,197.33,59
2007-04-16 00:00:00+00,9.7,9.7,9.36,9.37,-2.4,43637,828.65,92
2007-04-17 00:00:00+00,9.24,9.3,8.41,9.1,-2.88,60428,1090.98,189
2007-04-18 00:00:00+00,9.25,9.25,8.8,9,-1.1,38486,690.47,147
2007-04-19 00:00:00+00,8.81,9.5,8.75,9.5,5.56,29298,534.43,113
2007-04-20 00:00:00+00,9.65,9.65,9.21,9.31,-2,47364,886.61,103
2007-04-23 00:00:00+00,9.5,9.5,8.88,8.9,-4.4,30050,543.64,115
2007-04-24 00:00:00+00,8.9,8.9,8.6,8.9,0,24407,426.36,68
2007-04-25 00:00:00+00,8.9,9.19,8.7,9.19,3.26,19730,350.41,55
2007-04-26 00:00:00+00,9.19,9.2,8.9,9.07,-1.31,9373,169.72,38
2007-04-27 00:00:00+00,8.99,8.99,8.72,8.9,-1.87,13564,241.18,32
2007-04-30 00:00:00+00,9.2,9.7,9.2,9.29,4.38,34121,639.57,131
2007-05-02 00:00:00+00,9.35,9.35,9.02,9.06,-2.48,12347,225.28,72
2007-05-04 00:00:00+00,9.06,9.2,9.02,9.1,0.44,22833,413.32,80
2007-05-07 00:00:00+00,9.15,9.15,8.81,8.94,-1.76,16625,296.88,64
2007-05-08 00:00:00+00,8.92,8.98,8.81,8.81,-1.45,15225,270.95,49
2007-05-09 00:00:00+00,8.7,8.76,8.56,8.56,-2.84,19858,342.24,88
2007-05-10 00:00:00+00,8.67,8.67,8.5,8.53,-0.35,15100,259.02,33
2007-05-11 00:00:00+00,8.53,8.96,8.1,8.96,5.04,46910,806.65,98
2007-05-14 00:00:00+00,9.2,9.2,8.81,9.1,1.56,19437,348.65,61
2007-05-15 00:00:00+00,8.82,9.1,8.71,9.1,0,9999,177.5,23
2007-05-16 00:00:00+00,9.05,9.05,8.6,8.9,-2.2,9825,172.57,29
2007-05-17 00:00:00+00,9,9,8.8,8.85,-0.56,5368,95.03,21
2007-05-18 00:00:00+00,8.98,9.2,8.6,9.05,2.26,71674,1281.87,167
2007-05-21 00:00:00+00,9.19,9.19,8.67,8.7,-3.87,48947,859.24,137
2007-05-22 00:00:00+00,8.64,8.78,8.43,8.46,-2.76,35346,603.07,127
2007-05-23 00:00:00+00,8.5,8.5,8.2,8.4,-0.71,22027,365.19,70
2007-05-24 00:00:00+00,8.38,8.59,8.2,8.59,2.26,7433,124.95,32
2007-05-25 00:00:00+00,8.68,8.68,8.15,8.22,-4.31,26681,442.23,93
2007-05-28 00:00:00+00,8.22,8.38,8.2,8.35,1.58,14462,239.14,59
2007-05-29 00:00:00+00,8.35,8.35,8.16,8.2,-1.8,13382,219.49,68
2007-05-30 00:00:00+00,8.32,8.32,8.09,8.2,0,7674,126.68,29
2007-05-31 00:00:00+00,8.15,8.32,8.15,8.22,0.24,9206,151.36,38
2007-06-01 00:00:00+00,8.47,9.1,8.4,8.8,7.06,119704,2109.78,375
2007-06-04 00:00:00+00,9.13,9.13,8.5,8.55,-2.84,22788,400.26,82
2007-06-05 00:00:00+00,8.55,8.55,8.3,8.33,-2.57,11938,199.32,58
2007-06-06 00:00:00+00,8.3,8.3,8.2,8.25,-0.96,8363,137.59,33
2007-06-08 00:00:00+00,8.1,8.58,7.82,8.57,3.88,22124,364.51,59
2007-06-11 00:00:00+00,8.8,8.8,8.57,8.7,1.52,14753,254.23,35
2007-06-12 00:00:00+00,8.69,8.69,8.31,8.31,-4.48,1203,20.47,9
2007-06-13 00:00:00+00,8.35,8.65,8.2,8.42,1.32,7322,123.15,30
