date,open,high,low,close,difference,volume,turnover,transactions
2016-03-17 00:00:00+00,0,0,0,1.05,0,0,0,0
2016-03-18 00:00:00+00,0,0,0,1.05,0,0,0,0
2016-03-21 00:00:00+00,0,0,0,1.05,0,0,0,0
2016-03-22 00:00:00+00,0,0,0,1.05,0,0,0,0
2016-03-23 00:00:00+00,0,0,0,1.05,0,0,0,0
2016-03-24 00:00:00+00,0,0,0,1.05,0,0,0,0
2016-03-29 00:00:00+00,0,0,0,1.05,0,0,0,0
2016-03-30 00:00:00+00,0,0,0,1.05,0,0,0,0
2016-03-31 00:00:00+00,0,0,0,1.05,0,0,0,0
2016-04-01 00:00:00+00,1.02,1.02,0.92,0.92,-12.38,100,0.1,2
2016-04-04 00:00:00+00,1.01,1.01,1.01,1.01,9.78,10,0.01,1
2016-04-05 00:00:00+00,1.03,1.03,1.02,1.02,0.99,2005,2.05,5
2016-04-06 00:00:00+00,0,0,0,1.02,0,0,0,0
2016-04-07 00:00:00+00,0,0,0,1.02,0,0,0,0
2016-04-08 00:00:00+00,0.83,0.83,0.83,0.83,-18.63,1000,0.83,1
2016-04-11 00:00:00+00,0.7,0.7,0.63,0.63,-24.1,1001,0.7,3
2016-04-12 00:00:00+00,0,0,0,0.63,0,0,0,0
2016-04-13 00:00:00+00,0,0,0,0.63,0,0,0,0
2016-04-14 00:00:00+00,0,0,0,0.63,0,0,0,0
2016-04-15 00:00:00+00,0.63,0.65,0.63,0.65,3.17,6099,3.94,4
2016-04-18 00:00:00+00,0.65,0.65,0.65,0.65,0,484,0.31,1
2016-04-19 00:00:00+00,0.71,0.71,0.71,0.71,9.23,100,0.07,2
2016-04-20 00:00:00+00,0.78,0.78,0.78,0.78,9.86,50,0.04,1
2016-04-21 00:00:00+00,0.7,0.77,0.7,0.77,-1.28,8535,5.98,5
2016-04-22 00:00:00+00,0,0,0,0.77,0,0,0,0
2016-04-25 00:00:00+00,0,0,0,0.77,0,0,0,0
2016-04-26 00:00:00+00,0,0,0,0.77,0,0,0,0
2016-04-27 00:00:00+00,0.6,0.6,0.6,0.6,-22.08,20000,12,3
2016-04-28 00:00:00+00,0.62,0.62,0.62,0.62,3.33,216,0.13,2
2016-04-29 00:00:00+00,0,0,0,0.62,0,0,0,0
2016-05-02 00:00:00+00,0,0,0,0.62,0,0,0,0
2016-05-04 00:00:00+00,0.68,0.68,0.68,0.68,9.68,110,0.07,4
2016-05-05 00:00:00+00,0,0,0,0.68,0,0,0,0
2016-05-06 00:00:00+00,0.74,0.81,0.74,0.81,19.12,250,0.2,3
2016-05-09 00:00:00+00,0.92,0.92,0.92,0.92,13.58,50,0.05,2
2016-05-10 00:00:00+00,0,0,0,0.92,0,0,0,0
2016-05-11 00:00:00+00,0,0,0,0.92,0,0,0,0
2016-05-12 00:00:00+00,0.74,0.74,0.74,0.74,-19.57,526,0.39,2
2016-05-13 00:00:00+00,0,0,0,0.74,0,0,0,0
2016-05-16 00:00:00+00,0.92,0.92,0.92,0.92,24.32,100,0.09,3
2016-05-17 00:00:00+00,0,0,0,0.92,0,0,0,0
2016-05-18 00:00:00+00,0,0,0,0.92,0,0,0,0
2016-05-19 00:00:00+00,0,0,0,0.92,0,0,0,0
2016-05-20 00:00:00+00,0,0,0,0.92,0,0,0,0
2016-05-23 00:00:00+00,0,0,0,0.92,0,0,0,0
2016-05-24 00:00:00+00,0,0,0,0.92,0,0,0,0
2016-05-25 00:00:00+00,0,0,0,0.92,0,0,0,0
2016-05-27 00:00:00+00,0,0,0,0.92,0,0,0,0
2016-05-30 00:00:00+00,0,0,0,0.92,0,0,0,0
2016-05-31 00:00:00+00,0.9,0.9,0.9,0.9,-2.17,1000,0.9,1
2016-06-01 00:00:00+00,0.95,0.95,0.95,0.95,5.56,100,0.1,1
2016-06-02 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-03 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-06 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-07 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-08 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-09 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-10 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-13 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-14 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-15 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-16 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-17 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-20 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-21 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-22 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-23 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-24 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-27 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-28 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-29 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-06-30 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-07-01 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-07-04 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-07-05 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-07-06 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-07-07 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-07-08 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-07-11 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-07-12 00:00:00+00,0,0,0,0.95,0,0,0,0
2016-07-13 00:00:00+00,0.88,0.88,0.88,0.88,-7.37,2127,1.87,2
