date,open,high,low,close,difference,volume,turnover,transactions
2017-12-12 00:00:00+00,11.5,12.37,11.5,12,6.19,17774,212.59,86
2017-12-13 00:00:00+00,12,12,11.2,11.7,-2.5,22329,258.8,80
2017-12-14 00:00:00+00,11.7,11.7,11.36,11.49,-1.79,7337,83.7,30
2017-12-15 00:00:00+00,11.3,11.3,10.88,10.9,-5.13,23025,252.97,94
2017-12-18 00:00:00+00,10.8,11,10.51,11,0.92,16059,172.84,56
2017-12-19 00:00:00+00,11.2,11.2,10.5,10.6,-3.64,21896,237.98,119
2017-12-20 00:00:00+00,10.7,10.7,9.85,10,-5.66,43155,441.23,186
2017-12-21 00:00:00+00,10,10.39,9.61,10.39,3.9,24867,248.93,111
2017-12-22 00:00:00+00,10.4,10.4,9.9,10.25,-1.35,33293,337.8,135
2017-12-27 00:00:00+00,10.11,10.19,9.85,9.85,-3.9,32368,323.05,100
2017-12-28 00:00:00+00,9.85,10.1,9.85,10.1,2.54,14464,144.42,38
2017-12-29 00:00:00+00,10.09,10.19,10,10.1,0,146063,1479.27,75
2018-01-03 00:00:00+00,10.1,10.1,10,10,-0.99,10472,105.11,30
2018-01-04 00:00:00+00,10.05,10.95,9.9,10.9,9,13668,140.17,59
2018-01-05 00:00:00+00,10.9,11.45,10.9,11.15,2.29,12762,142.7,82
2018-01-08 00:00:00+00,11.2,11.4,10.55,11.2,0.45,35822,400.6,86
2018-01-09 00:00:00+00,11.2,11.2,10.65,10.65,-4.91,29241,316.9,97
2018-01-10 00:00:00+00,10.8,10.9,9.76,10.9,2.35,123745,1269.2,369
2018-01-11 00:00:00+00,11.05,11.4,10.6,11,0.92,162086,1791.46,151
2018-01-12 00:00:00+00,10.4,10.4,9.58,9.66,-12.18,345846,3402.39,1019
2018-01-15 00:00:00+00,9.64,10.1,9.6,9.78,1.24,49781,489.07,244
2018-01-16 00:00:00+00,9.8,9.8,9.62,9.7,-0.82,37728,367.92,114
2018-01-17 00:00:00+00,9.76,9.8,9.52,9.56,-1.44,69780,669.94,198
2018-01-18 00:00:00+00,9.54,9.8,9.3,9.7,1.46,50722,479.4,200
2018-01-19 00:00:00+00,9.74,9.74,9.56,9.7,0,41355,401.05,117
2018-01-22 00:00:00+00,9.7,9.9,9.7,9.78,0.82,22097,216.6,98
2018-01-23 00:00:00+00,9.88,9.88,9.74,9.8,0.2,28324,277.94,65
2018-01-24 00:00:00+00,9.88,9.92,9.7,9.8,0,23081,226.38,56
2018-01-25 00:00:00+00,9.8,9.8,9.7,9.8,0,37196,362.55,34
2018-01-26 00:00:00+00,9.74,9.86,9.64,9.76,-0.41,14155,137.62,40
2018-01-29 00:00:00+00,9.66,9.76,9.44,9.6,-1.64,49257,471.65,118
2018-01-30 00:00:00+00,9.54,9.7,9.52,9.6,0,59592,572.03,64
2018-01-31 00:00:00+00,9.7,9.72,9.52,9.52,-0.83,37550,359.65,76
2018-02-01 00:00:00+00,9.6,9.7,9.54,9.64,1.26,21098,203.5,61
2018-02-02 00:00:00+00,9.64,9.64,9.38,9.4,-2.49,18776,177.71,66
2018-02-05 00:00:00+00,9.38,9.38,8.92,9.3,-1.06,82945,758.21,247
2018-02-06 00:00:00+00,9,9.04,8.7,9,-3.23,54309,485.12,147
2018-02-07 00:00:00+00,9,9.3,9,9.2,2.22,6615,60.9,29
2018-02-08 00:00:00+00,9.2,9.28,8.96,8.98,-2.39,31984,289.43,83
2018-02-09 00:00:00+00,8.8,8.9,8.72,8.88,-1.11,105207,928.06,85
2018-02-12 00:00:00+00,8.84,9.06,8.84,8.98,1.13,5489,49.12,33
2018-02-13 00:00:00+00,9.04,9.04,8.9,8.96,-0.22,6812,61.15,28
2018-02-14 00:00:00+00,8.82,9,8.82,8.98,0.22,7693,68.7,30
2018-02-15 00:00:00+00,8.92,8.98,8.92,8.96,-0.22,7786,69.63,12
