date,open,high,low,close,difference,volume,turnover,transactions
2013-01-15 00:00:00+00,6.2,6.58,6.2,6.53,5.32,5883,37.85,35
2013-01-16 00:00:00+00,6.53,6.99,6.53,6.85,4.9,12316,83.8,60
2013-01-17 00:00:00+00,6.9,7.13,6.85,6.9,0.73,6721,46.82,29
2013-01-18 00:00:00+00,6.95,7.1,6.85,7.05,2.17,2380,16.6,14
2013-01-21 00:00:00+00,7.05,7.05,6.8,7.02,-0.43,807,5.57,11
2013-01-22 00:00:00+00,7.02,7.02,6.85,6.9,-1.71,2616,18.06,10
2013-01-23 00:00:00+00,6.85,6.85,6.6,6.7,-2.9,324,2.19,6
2013-01-24 00:00:00+00,6.85,6.85,6.85,6.85,2.24,1,0.01,1
2013-01-25 00:00:00+00,6.85,6.85,6.25,6.4,-6.57,836,5.29,8
2013-01-28 00:00:00+00,6.4,6.4,6.39,6.39,-0.16,216,1.38,4
2013-01-29 00:00:00+00,6.38,6.6,6.38,6.6,3.29,119,0.76,3
2013-01-30 00:00:00+00,6.55,6.6,6.3,6.5,-1.52,412,2.63,6
2013-01-31 00:00:00+00,6.45,6.45,6.21,6.21,-4.46,1445,8.98,12
2013-02-01 00:00:00+00,6.21,6.28,6,6.25,0.64,2474,15.25,20
2013-02-04 00:00:00+00,6.4,6.4,6.25,6.25,0,353,2.21,3
2013-02-05 00:00:00+00,6.25,6.25,6.25,6.25,0,6,0.04,3
2013-02-06 00:00:00+00,6.4,6.4,6.15,6.15,-1.6,1767,10.87,7
2013-02-07 00:00:00+00,6.15,6.25,6.15,6.25,1.63,1123,6.97,4
2013-02-08 00:00:00+00,6.25,6.38,6.25,6.38,2.08,69,0.43,3
2013-02-11 00:00:00+00,6.38,6.38,6.25,6.25,-2.04,1427,8.92,4
2013-02-12 00:00:00+00,6.25,6.25,6.25,6.25,0,579,3.62,2
2013-02-13 00:00:00+00,6.4,6.4,6.4,6.4,2.4,1,0.01,1
2013-02-14 00:00:00+00,6.38,6.38,6.38,6.38,-0.31,5,0.03,1
2013-02-15 00:00:00+00,6.4,6.4,6.25,6.25,-2.04,326,2.04,3
2013-02-18 00:00:00+00,6.38,6.38,6.25,6.25,0,375,2.34,2
2013-02-19 00:00:00+00,6.25,6.25,6.1,6.2,-0.8,942,5.75,8
2013-02-20 00:00:00+00,6.2,6.25,6.2,6.25,0.81,322,2,5
2013-02-21 00:00:00+00,6.25,6.25,6.25,6.25,0,322,2.01,4
2013-02-22 00:00:00+00,6.25,6.25,6.25,6.25,0,2,0.01,2
2013-02-25 00:00:00+00,6.25,6.25,6.01,6.25,0,279,1.68,3
2013-02-26 00:00:00+00,6.25,6.25,6.25,6.25,0,310,1.94,4
2013-02-27 00:00:00+00,6.28,6.28,6.28,6.28,0.48,1,0.01,1
2013-02-28 00:00:00+00,6.27,6.27,6.25,6.25,-0.48,304,1.9,2
2013-03-01 00:00:00+00,6.25,6.25,6.25,6.25,0,276,1.73,3
2013-03-04 00:00:00+00,6.25,6.25,6.15,6.25,0,421,2.62,6
2013-03-05 00:00:00+00,6.25,6.25,6,6,-4,2193,13.17,6
2013-03-06 00:00:00+00,0,0,0,6,0,0,0,0
2013-03-07 00:00:00+00,6,6,6,6,0,232,1.39,2
2013-03-08 00:00:00+00,6,6.05,5.85,6.05,0.83,520,3.09,6
2013-03-11 00:00:00+00,6.05,6.15,6,6.15,1.65,636,3.86,188
2013-03-12 00:00:00+00,6.22,6.4,6.18,6.4,4.07,1106,7.03,239
2013-03-13 00:00:00+00,6.45,6.45,6.29,6.45,0.78,132,0.83,5
2013-03-14 00:00:00+00,6.45,6.45,6.2,6.44,-0.16,250,1.55,4
2013-03-15 00:00:00+00,6.45,6.5,6.45,6.5,0.93,16,0.1,3
2013-03-18 00:00:00+00,6.49,6.5,6.3,6.5,0,71,0.45,4
2013-03-19 00:00:00+00,6.5,6.5,6.5,6.5,0,2,0.01,2
2013-03-20 00:00:00+00,6.5,6.5,6.2,6.38,-1.85,675,4.19,4
2013-03-21 00:00:00+00,6.3,6.3,6.3,6.3,-1.25,1,0.01,1
2013-03-22 00:00:00+00,6.25,6.25,6,6,-4.76,2598,15.73,6
2013-03-25 00:00:00+00,6,6,6,6,0,250,1.5,1
2013-03-26 00:00:00+00,6,6,5.52,5.52,-8,2799,15.99,6
2013-03-27 00:00:00+00,5.52,5.52,5.52,5.52,0,694,3.83,2
2013-03-28 00:00:00+00,5.53,5.53,5.53,5.53,0.18,1,0.01,1
2013-04-02 00:00:00+00,5.6,5.76,5.6,5.6,1.27,1967,11.15,8
2013-04-03 00:00:00+00,6,6,5.87,6,7.14,766,4.54,6
2013-04-04 00:00:00+00,6,6,5.95,5.95,-0.83,374,2.23,3
2013-04-05 00:00:00+00,6,6,6,6,0.84,240,1.44,2
2013-04-08 00:00:00+00,6,6,6,6,0,627,3.76,6
2013-04-09 00:00:00+00,6,6,5.9,5.9,-1.67,1742,10.32,4
2013-04-10 00:00:00+00,6,6,5.99,6,1.69,374,2.24,4
2013-04-11 00:00:00+00,6,6,6,6,0,368,2.21,3
2013-04-12 00:00:00+00,0,0,0,6,0,0,0,0
2013-04-15 00:00:00+00,0,0,0,6,0,0,0,0
2013-04-17 00:00:00+00,5.99,5.99,5.99,5.99,-0.17,1,0.01,1
2013-04-18 00:00:00+00,5.98,5.98,5.79,5.79,-3.34,351,2.03,3
2013-04-19 00:00:00+00,5.9,5.9,5.9,5.9,1.9,1,0.01,1
2013-04-22 00:00:00+00,5.9,5.9,5.9,5.9,0,1,0.01,1
2013-04-23 00:00:00+00,5.9,5.9,5.53,5.55,-5.93,1371,7.59,3
2013-04-24 00:00:00+00,5.55,5.55,5.55,5.55,0,50,0.28,1
2013-04-25 00:00:00+00,0,0,0,5.55,0,0,0,0
2013-04-26 00:00:00+00,0,0,0,5.55,0,0,0,0
2013-04-29 00:00:00+00,0,0,0,5.55,0,0,0,0
2013-04-30 00:00:00+00,0,0,0,5.55,0,0,0,0
