date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,504,517,497,501,-1.76,6890,6980.64,203
2005-01-04 00:00:00+00,495,505,495,498,-0.6,5016,4987.6,107
2005-01-05 00:00:00+00,492.5,492.5,488,490,-1.61,14492,14204.67,129
2005-01-06 00:00:00+00,486,501,486,490,0,27111,26732.07,209
2005-01-07 00:00:00+00,504.5,504.5,489,495.5,1.12,11589,11445.79,203
2005-01-10 00:00:00+00,495.5,497,490,492.5,-0.61,4704,4647.56,143
2005-01-11 00:00:00+00,496.5,496.5,466,466,-5.38,10200,9933.54,129
2005-01-12 00:00:00+00,489.5,489.5,485,485,4.08,18866,18381.63,130
2005-01-13 00:00:00+00,489.5,493,484,484,-0.21,4791,4687.45,114
2005-01-14 00:00:00+00,485,501,485,498,2.89,8623,8527.35,159
2005-01-17 00:00:00+00,500,504.5,494,494,-0.8,21546,21445.99,148
2005-01-18 00:00:00+00,495,495,480,482,-2.43,11968,11572.86,110
2005-01-19 00:00:00+00,482,486,464,465,-3.53,35251,33172.51,314
2005-01-20 00:00:00+00,469,474.5,469,471,1.29,22134,20853.92,194
2005-01-21 00:00:00+00,467,477.5,467,470,-0.21,7371,6936.01,70
2005-01-24 00:00:00+00,464,470,464,469,-0.21,6596,6150.8,127
2005-01-25 00:00:00+00,473.5,474,461,461,-1.71,18788,17727.85,149
2005-01-26 00:00:00+00,469,472,465,470,1.95,4875,4572.99,93
2005-01-27 00:00:00+00,473.5,473.5,465.5,465.5,-0.96,17152,16112.72,92
2005-01-28 00:00:00+00,465.5,480,465.5,480,3.11,32537,30896.36,184
2005-01-31 00:00:00+00,479,491.5,479,491.5,2.4,13805,13506.67,141
2005-02-01 00:00:00+00,491.5,504,491.5,499.5,1.63,22629,22617.63,248
2005-02-02 00:00:00+00,499.5,499.5,493.5,495,-0.9,23841,23689.44,115
2005-02-03 00:00:00+00,494,499.5,494,499,0.81,16687,16648.25,100
2005-02-04 00:00:00+00,495.5,504,495.5,504,1,18815,18842.56,156
2005-02-07 00:00:00+00,503,507,499,507,0.6,26614,26782.21,168
2005-02-08 00:00:00+00,506.5,506.5,497,502,-0.99,11637,11678.01,123
2005-02-09 00:00:00+00,496,501.5,490,499.5,-0.5,17656,17587.52,91
2005-02-10 00:00:00+00,492.5,501.5,492.5,499,-0.1,17436,17403.63,205
2005-02-11 00:00:00+00,499.5,499.5,491.5,496,-0.6,20410,20222.27,129
2005-02-14 00:00:00+00,495.5,503,490,490,-1.21,8065,8050.78,183
2005-02-15 00:00:00+00,490.5,502,490,491.5,0.31,19690,19655.08,193
2005-02-16 00:00:00+00,495,506.5,493,500,1.73,31382,31450.7,178
2005-02-17 00:00:00+00,503,509.5,501.5,508.5,1.7,26518,26898.06,224
2005-02-18 00:00:00+00,505,523,500,515.5,1.38,38760,39995.38,335
2005-02-21 00:00:00+00,510,525,510,523.5,1.55,25845,26951.87,262
2005-02-22 00:00:00+00,526.5,528,515,525,0.29,30121,31494.51,253
2005-02-23 00:00:00+00,514.5,521,514.5,521,-0.76,11850,12266.56,145
2005-02-24 00:00:00+00,527.5,533,521.5,528,1.34,38832,40825.03,267
2005-02-25 00:00:00+00,533,540,533,540,2.27,52663,56474.37,296
2005-02-28 00:00:00+00,540,540,525,535,-0.93,16041,17164.39,207
2005-03-01 00:00:00+00,530.5,535,530.5,535,0,14742,15733.56,189
2005-03-02 00:00:00+00,531,533.5,501,511,-4.49,5199,5464.66,216
2005-03-03 00:00:00+00,505,526,505,526,2.94,21069,21904.83,344
2005-03-04 00:00:00+00,530,535,525,530,0.76,8378,8864.39,129
2005-03-07 00:00:00+00,532,532,527,531,0.19,14550,15412.17,160
2005-03-08 00:00:00+00,527,531,520.5,531,0,9939,10507.68,172
2005-03-09 00:00:00+00,531,554,531,549,3.39,68974,75667.27,433
2005-03-10 00:00:00+00,545,547.5,535,535,-2.55,4787,5156.57,78
2005-03-11 00:00:00+00,533.5,533.5,518,526.5,-1.59,21895,22920.6,184
2005-03-14 00:00:00+00,525,529,516.5,525,-0.28,7528,7860.35,106
2005-03-15 00:00:00+00,525,529,520,520,-0.95,5322,5579.4,98
2005-03-16 00:00:00+00,517.5,522,504,504,-3.08,21459,22012.86,159
2005-03-17 00:00:00+00,505,505,476.5,481.5,-4.46,88390,85729.24,470
2005-03-18 00:00:00+00,485,489.5,482,483,0.31,49221,47826.92,247
2005-03-21 00:00:00+00,485,487,466,475,-1.66,32012,30747.93,272
2005-03-22 00:00:00+00,475,489,475,486,2.32,49348,47770.32,137
2005-03-23 00:00:00+00,475,492,475,488,0.41,19581,18988.02,181
2005-03-24 00:00:00+00,495,495,490,494,1.23,2034,2006.3,120
2005-03-29 00:00:00+00,499,499.5,485.5,499.5,1.11,17170,16823.54,188
2005-03-30 00:00:00+00,499,500,492,500,0.1,5705,5676.4,120
2005-03-31 00:00:00+00,500,505,496.5,502,0.4,9430,9455.64,139
2005-04-01 00:00:00+00,502,507,498,500,-0.4,11287,11369.89,124
2005-04-04 00:00:00+00,500.5,503,492,494,-1.2,5518,5462.25,72
2005-04-05 00:00:00+00,492,496.5,482,495,0.2,8986,8764.61,206
2005-04-06 00:00:00+00,489,503,488.5,503,1.62,18804,18639.44,181
2005-04-07 00:00:00+00,503,505,490,497,-1.19,10690,10619.3,118
2005-04-11 00:00:00+00,486,500,486,500,0.6,15561,15309.49,160
2005-04-12 00:00:00+00,499,500,491.5,500,0,3884,3862.22,94
2005-04-13 00:00:00+00,500,500,491,491.5,-1.7,11068,10895.87,148
2005-04-14 00:00:00+00,491.5,491.5,487,488,-0.71,17392,17043.88,93
2005-04-15 00:00:00+00,486.5,487.5,479.5,483.5,-0.92,24183,23321.91,207
2005-04-18 00:00:00+00,480,480,465,475,-1.76,19159,18043.76,160
2005-04-19 00:00:00+00,479.5,479.5,465.5,467,-1.68,4146,3939.33,138
2005-04-20 00:00:00+00,470,471.5,467.5,471,0.86,46851,44088.52,179
2005-04-21 00:00:00+00,471,483,471,481,2.12,6853,6576.02,110
2005-04-22 00:00:00+00,486,492,485,489,1.66,7458,7296,156
2005-04-25 00:00:00+00,489,489,475,486,-0.61,2823,2728.88,92
2005-04-26 00:00:00+00,486,486,468,480,-1.23,26124,24680.79,212
2005-04-27 00:00:00+00,472,475,463.5,473,-1.46,18346,17337.37,148
2005-04-28 00:00:00+00,473,476,467,468,-1.06,23571,22216.33,124
2005-04-29 00:00:00+00,470.5,475,470.5,472,0.85,15248,14392.55,143
2005-05-02 00:00:00+00,475,478,473,475,0.64,4525,4302.34,43
2005-05-04 00:00:00+00,475.5,479,473.5,475,0,20192,19242.33,168
2005-05-05 00:00:00+00,478,481,476,480,1.05,2982,2856.44,88
2005-05-06 00:00:00+00,482,485,477.5,485,1.04,30090,29096.95,122
2005-05-09 00:00:00+00,488,488.5,483.5,487,0.41,3237,3155.8,90
2005-05-10 00:00:00+00,487,487,475,478.5,-1.75,39563,37784.62,140
2005-05-11 00:00:00+00,473,482.5,473,482.5,0.84,7721,7361.4,114
2005-05-12 00:00:00+00,480,484,475,482.5,0,11276,10750.07,121
2005-05-13 00:00:00+00,482.5,483,477.5,481,-0.31,22274,21424.29,94
2005-05-16 00:00:00+00,481,481,477,480,-0.21,3391,3245.11,38
2005-05-17 00:00:00+00,479.5,485,479.5,483,0.63,7809,7530.04,101
2005-05-18 00:00:00+00,483,496,483,496,2.69,9566,9386.76,144
2005-05-19 00:00:00+00,497,497,493,494.5,-0.3,11966,11865.64,101
2005-05-20 00:00:00+00,495,499,491,499,0.91,9647,9570.54,106
2005-05-23 00:00:00+00,500,500,494,496.5,-0.5,6786,6760.98,61
2005-05-24 00:00:00+00,492.5,497,492,496.5,0,3603,3558.23,57
2005-05-25 00:00:00+00,492,495.5,483,484,-2.52,16060,15608.14,148
2005-05-27 00:00:00+00,489,522,489,521.5,7.75,97172,99272.17,398
2005-05-30 00:00:00+00,520,520,510,513.5,-1.53,20856,21394.62,191
2005-05-31 00:00:00+00,510.5,516,510,512.5,-0.19,32642,33502.25,217
2005-06-01 00:00:00+00,510,514,503,508,-0.88,41882,42660.36,165
2005-06-02 00:00:00+00,514,519.5,510.5,519.5,2.26,21244,21899.88,173
2005-06-03 00:00:00+00,520,555,520,544,4.72,29262,31483.07,435
2005-06-06 00:00:00+00,543.5,550,533,544,0,32472,35451.2,241
2005-06-07 00:00:00+00,549,551,534.5,551,1.29,109017,118420.07,372
2005-06-08 00:00:00+00,550,552,539,549.5,-0.27,71381,78116.12,185
2005-06-09 00:00:00+00,545.5,558,545.5,558,1.55,18730,20748.19,248
2005-06-10 00:00:00+00,558,564,558,561,0.54,60827,68144.83,314
2005-06-13 00:00:00+00,550,585,545,570,1.6,70815,79913.04,446
2005-06-14 00:00:00+00,575,578,561,568,-0.35,44714,50804.62,221
2005-06-15 00:00:00+00,567,593,567,590,3.87,78774,91500.22,317
2005-06-16 00:00:00+00,600,605,590,598.5,1.44,85606,102288.16,262
2005-06-17 00:00:00+00,599,600,581,591.5,-1.17,22422,26827.93,242
2005-06-20 00:00:00+00,589.5,590,580,585,-1.1,48216,56399.18,272
2005-06-21 00:00:00+00,590,600,590,600,2.56,46162,54789.08,248
2005-06-22 00:00:00+00,597,610,597,610,1.67,76678,92309.48,237
2005-06-23 00:00:00+00,609,609,586,590,-3.28,27133,32356.9,243
2005-06-24 00:00:00+00,586,594,573,585,-0.85,70476,81542.62,198
2005-06-27 00:00:00+00,585,585,573,577.5,-1.28,45357,52263.65,287
2005-06-28 00:00:00+00,561,565,561,565,1.71,49231,55453.45,221
2005-06-29 00:00:00+00,565,569.5,564.5,565,0,48479,54957.97,159
2005-06-30 00:00:00+00,565,569.5,564,569.5,0.8,6019,6840.28,96
2005-07-01 00:00:00+00,569,569,562,567,-0.44,3265,3687.83,63
2005-07-04 00:00:00+00,568,568,562,564,-0.53,103726,117011.09,95
