date,open,high,low,close,difference,volume,turnover,transactions
2013-08-13 00:00:00+00,0.4,0.41,0.4,0.4,0,79016,32.25,16
2013-08-14 00:00:00+00,0.4,0.41,0.39,0.4,0,620156,248.77,31
2013-08-16 00:00:00+00,0.4,0.4,0.4,0.4,0,50473,20.19,14
2013-08-19 00:00:00+00,0.4,0.41,0.4,0.41,2.5,562705,226.34,33
2013-08-20 00:00:00+00,0.4,0.41,0.4,0.41,0,111223,44.94,16
2013-08-21 00:00:00+00,0.4,0.41,0.4,0.41,0,73820,29.86,15
2013-08-22 00:00:00+00,0.4,0.41,0.4,0.41,0,116789,47.38,15
2013-08-23 00:00:00+00,0.4,0.41,0.4,0.41,0,742020,303.91,35
2013-08-26 00:00:00+00,0.4,0.42,0.4,0.42,2.44,175113,71.85,14
2013-08-27 00:00:00+00,0.42,0.42,0.41,0.42,0,53901,22.49,20
2013-08-28 00:00:00+00,0.41,0.42,0.41,0.42,0,90220,37.52,23
2013-08-29 00:00:00+00,0.41,0.43,0.41,0.43,2.38,312400,132.61,35
2013-08-30 00:00:00+00,0.42,0.43,0.41,0.43,0,621673,264.82,52
2013-09-02 00:00:00+00,0.42,0.42,0.41,0.41,-4.65,1519617,625.78,54
2013-09-03 00:00:00+00,0.41,0.42,0.41,0.42,2.44,823134,338,24
2013-09-04 00:00:00+00,0.41,0.42,0.39,0.4,-4.76,199207,80.03,46
2013-09-05 00:00:00+00,0.4,0.41,0.39,0.4,0,662332,264.96,42
2013-09-06 00:00:00+00,0.4,0.4,0.39,0.4,0,450267,179.59,25
2013-09-09 00:00:00+00,0.4,0.4,0.38,0.39,-2.5,527174,205.77,56
2013-09-10 00:00:00+00,0.39,0.39,0.37,0.39,0,1620768,616.45,77
2013-09-11 00:00:00+00,0.38,0.4,0.38,0.38,-2.56,270655,105.44,36
2013-09-12 00:00:00+00,0.38,0.4,0.38,0.4,5.26,73014,28.98,14
2013-09-13 00:00:00+00,0.39,0.4,0.38,0.39,-2.5,559943,215.41,39
