date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,0.89,0.91,0.87,0.9,1.12,73091,130.42,90
2005-01-04 00:00:00+00,0.88,0.89,0.88,0.89,-1.11,32617,57.86,75
2005-01-05 00:00:00+00,0.89,0.89,0.87,0.88,-1.12,44573,78.48,93
2005-01-06 00:00:00+00,0.87,0.88,0.86,0.88,0,51331,89.46,90
2005-01-07 00:00:00+00,0.87,0.89,0.87,0.89,1.14,83718,148.05,97
2005-01-10 00:00:00+00,0.89,0.89,0.87,0.88,-1.12,106266,187.22,98
2005-01-11 00:00:00+00,0.88,0.88,0.87,0.88,0,9154,16.1,51
2005-01-12 00:00:00+00,0.89,0.9,0.86,0.9,2.27,211971,378.41,139
2005-01-13 00:00:00+00,0.91,0.99,0.91,0.96,6.67,1104717,2109.68,475
2005-01-14 00:00:00+00,0.97,0.98,0.93,0.94,-2.08,209651,399.58,132
2005-01-17 00:00:00+00,0.94,0.96,0.92,0.93,-1.06,83659,156.81,95
2005-01-18 00:00:00+00,0.92,0.95,0.91,0.92,-1.08,255065,474.86,150
2005-01-19 00:00:00+00,0.91,0.95,0.91,0.94,2.17,132538,247.75,89
2005-01-20 00:00:00+00,0.93,0.93,0.89,0.91,-3.19,126904,230.79,104
2005-01-21 00:00:00+00,0.9,0.91,0.88,0.89,-2.2,125446,223.72,73
2005-01-24 00:00:00+00,0.89,0.9,0.88,0.89,0,73131,130.28,62
2005-01-25 00:00:00+00,0.89,0.92,0.88,0.9,1.12,121673,219.91,101
2005-01-26 00:00:00+00,0.9,0.92,0.9,0.92,2.22,61397,112.23,71
2005-01-27 00:00:00+00,0.92,0.92,0.9,0.9,-2.17,35481,65.08,66
2005-01-28 00:00:00+00,0.92,0.92,0.91,0.91,1.11,65586,119.55,68
2005-01-31 00:00:00+00,0.91,0.93,0.91,0.93,2.2,1386646,2551.14,144
2005-02-01 00:00:00+00,0.94,0.94,0.92,0.92,-1.08,167502,311.98,115
2005-02-02 00:00:00+00,0.93,0.93,0.9,0.91,-1.09,257063,467.32,127
2005-02-03 00:00:00+00,0.92,0.92,0.9,0.92,1.1,107483,195.54,98
2005-02-04 00:00:00+00,0.91,0.92,0.91,0.92,0,131783,241.54,109
2005-02-07 00:00:00+00,0.92,0.92,0.9,0.91,-1.09,117381,214.48,104
2005-02-08 00:00:00+00,0.9,0.92,0.9,0.92,1.1,80819,146.58,94
2005-02-09 00:00:00+00,0.92,0.93,0.9,0.92,0,216484,398.14,114
2005-02-10 00:00:00+00,0.91,0.93,0.91,0.92,0,184367,339.39,120
2005-02-11 00:00:00+00,0.92,0.92,0.91,0.91,-1.09,163035,297.78,78
2005-02-14 00:00:00+00,0.92,0.92,0.91,0.91,0,181282,330.93,106
2005-02-15 00:00:00+00,0.91,0.92,0.89,0.89,-2.2,340563,611.87,118
2005-02-16 00:00:00+00,0.89,0.9,0.89,0.9,1.12,128081,230.08,67
2005-02-17 00:00:00+00,0.9,0.92,0.89,0.92,2.22,136953,248.84,105
2005-02-18 00:00:00+00,0.91,0.93,0.9,0.93,1.09,173459,318.2,108
2005-02-21 00:00:00+00,0.93,0.93,0.91,0.92,-1.08,221550,410.57,146
2005-02-22 00:00:00+00,0.92,0.93,0.9,0.9,-2.17,296782,538.09,161
2005-02-23 00:00:00+00,0.9,0.94,0.9,0.93,3.33,348187,643.92,146
2005-02-24 00:00:00+00,0.92,0.95,0.92,0.94,1.08,125595,234.65,120
2005-02-25 00:00:00+00,0.94,0.95,0.93,0.94,0,156326,295.63,113
2005-02-28 00:00:00+00,0.93,0.94,0.92,0.92,-2.13,84434,157.24,85
2005-03-01 00:00:00+00,0.92,0.94,0.92,0.92,0,45420,84.5,62
2005-03-02 00:00:00+00,0.93,0.94,0.92,0.92,0,108962,201.11,79
2005-03-03 00:00:00+00,0.91,0.92,0.91,0.92,0,44033,80.75,78
2005-03-04 00:00:00+00,0.91,0.94,0.91,0.94,2.17,35750,66.58,78
2005-03-07 00:00:00+00,0.94,1,0.94,0.97,3.19,389157,756.52,205
2005-03-08 00:00:00+00,0.97,1.03,0.97,1.03,6.19,718039,1450.59,357
2005-03-09 00:00:00+00,1.04,1.06,0.96,0.98,-4.85,561668,1144.77,328
2005-03-10 00:00:00+00,0.97,0.99,0.96,0.97,-1.02,292054,568.27,127
2005-03-11 00:00:00+00,0.96,0.97,0.94,0.96,-1.03,79098,150.83,75
2005-03-14 00:00:00+00,0.95,0.97,0.94,0.96,0,146563,281.36,100
2005-03-15 00:00:00+00,0.95,0.97,0.94,0.97,1.04,94027,179.19,80
2005-03-16 00:00:00+00,0.96,0.97,0.93,0.94,-3.09,124240,236.36,86
2005-03-17 00:00:00+00,0.94,0.97,0.93,0.95,1.06,194923,374.52,93
2005-03-18 00:00:00+00,0.95,0.97,0.95,0.97,2.11,140374,270.87,74
2005-03-21 00:00:00+00,0.96,0.98,0.96,0.97,0,144180,281.11,89
2005-03-22 00:00:00+00,0.98,0.98,0.97,0.97,0,32883,63.94,34
2005-03-23 00:00:00+00,0.98,1.02,0.98,1.01,4.12,291350,583.17,148
2005-03-24 00:00:00+00,1,1.02,1,1.01,0,134022,270.49,95
2005-03-29 00:00:00+00,1,1,0.98,0.98,-2.97,97289,193.22,66
2005-03-30 00:00:00+00,0.97,1.01,0.97,1.01,3.06,181731,363.42,94
2005-03-31 00:00:00+00,1,1.02,0.99,1.01,0,54245,109.13,63
2005-04-01 00:00:00+00,0.99,1.02,0.99,1.02,0.99,101476,204.47,80
2005-04-04 00:00:00+00,1.02,1.07,1.02,1.06,3.92,464798,970.78,231
2005-04-05 00:00:00+00,1.05,1.06,1.03,1.04,-1.89,85994,178.58,56
2005-04-06 00:00:00+00,1.02,1.03,1.01,1.02,-1.92,24046,48.99,36
2005-04-07 00:00:00+00,1.02,1.03,1.01,1.03,0.98,79107,160.42,44
2005-04-11 00:00:00+00,1.02,1.03,1,1.03,0,81823,167.36,66
2005-04-12 00:00:00+00,1.03,1.03,1.02,1.02,-0.97,157250,323.29,58
2005-04-13 00:00:00+00,1.01,1.02,1,1.01,-0.98,210385,423.56,82
2005-04-14 00:00:00+00,1,1.01,1,1.01,0,68671,137.52,65
2005-04-15 00:00:00+00,1,1.02,1,1.02,0.99,113152,227.24,74
2005-04-18 00:00:00+00,1,1.02,1,1.01,-0.98,137263,277.35,92
2005-04-19 00:00:00+00,1.01,1.02,1,1.02,0.99,107966,218.32,52
2005-04-20 00:00:00+00,1.01,1.02,1,1.02,0,219815,444.04,77
2005-04-21 00:00:00+00,1,1.01,0.98,1,-1.96,147424,294.17,47
2005-04-22 00:00:00+00,0.99,0.99,0.98,0.98,-2,48295,95.5,42
2005-04-25 00:00:00+00,0.99,1,0.98,1,2.04,28981,57.2,47
2005-04-26 00:00:00+00,0.99,1.01,0.99,1,0,185050,369.16,120
2005-04-27 00:00:00+00,1,1.01,0.99,1.01,1,86982,172.92,66
2005-04-28 00:00:00+00,0.99,1.01,0.99,1.01,0,68193,135.48,49
2005-04-29 00:00:00+00,0.99,1.01,0.99,1.01,0,58843,118.55,32
2005-05-02 00:00:00+00,0.99,1.01,0.99,1.01,0,21668,43.03,32
2005-05-04 00:00:00+00,0.99,1.01,0.99,1.01,0,22703,45.23,42
2005-05-05 00:00:00+00,1,1.01,1,1.01,0,89780,179.98,55
2005-05-06 00:00:00+00,1,1,0.99,1,-0.99,176147,351.31,91
2005-05-09 00:00:00+00,0.99,1,0.99,0.99,-1,115096,228.51,52
2005-05-10 00:00:00+00,0.99,0.99,0.99,0.99,0,173183,342.9,75
2005-05-11 00:00:00+00,0.99,1,0.98,1,1.01,52623,104.23,24
2005-05-12 00:00:00+00,0.99,1.01,0.99,1.01,1,14717,29.38,37
2005-05-13 00:00:00+00,0.99,1,0.99,0.99,-1.98,61294,121.38,36
2005-05-16 00:00:00+00,0.99,1,0.99,0.99,0,74334,147.34,51
2005-05-17 00:00:00+00,0.99,1,0.98,0.98,-1.01,114731,226.98,46
2005-05-18 00:00:00+00,0.98,1,0.97,1,2.04,17099,33.62,32
2005-05-19 00:00:00+00,0.99,1,0.97,1,0,110785,220.84,59
2005-05-20 00:00:00+00,0.98,1.02,0.98,1.01,1,155371,311.95,55
2005-05-23 00:00:00+00,0.99,1.02,0.99,1.01,0,93368,189.73,49
2005-05-24 00:00:00+00,1,1.02,1,1.01,0,37242,75.54,33
2005-05-25 00:00:00+00,1.01,1.03,1.01,1.01,0,128041,262.26,38
2005-05-27 00:00:00+00,1,1.01,1,1,-0.99,67648,136.51,29
2005-05-30 00:00:00+00,1,1.01,1,1,0,35075,70.28,20
2005-05-31 00:00:00+00,0.99,1.02,0.99,1.02,2,39026,78.55,32
2005-06-01 00:00:00+00,1.01,1.03,0.99,1,-1.96,185980,377.64,65
2005-06-02 00:00:00+00,1,1.01,1,1.01,1,24607,49.7,36
2005-06-03 00:00:00+00,1,1.02,1,1.01,0,154669,312.49,73
2005-06-06 00:00:00+00,1.01,1.02,1,1.01,0,133271,271.25,38
2005-06-07 00:00:00+00,1.01,1.03,1,1.02,0.99,299432,611.22,91
2005-06-08 00:00:00+00,1.01,1.02,1,1.02,0,145660,295.16,64
2005-06-09 00:00:00+00,1,1.03,1,1.03,0.98,66389,136.05,49
2005-06-10 00:00:00+00,1.02,1.05,1.02,1.04,0.97,244505,508,77
2005-06-13 00:00:00+00,1.04,1.04,1.03,1.04,0,17165,35.67,37
2005-06-14 00:00:00+00,1.02,1.05,1.02,1.04,0,155680,324.3,74
2005-06-15 00:00:00+00,1.04,1.04,1.03,1.04,0,138899,288.9,45
2005-06-16 00:00:00+00,1.03,1.1,1.03,1.08,3.85,546888,1172.56,205
2005-06-17 00:00:00+00,1.09,1.1,1.06,1.08,0,95948,207.38,74
2005-06-20 00:00:00+00,1.07,1.1,1.06,1.09,0.93,129554,280.59,112
2005-06-21 00:00:00+00,1.1,1.1,1.06,1.06,-2.75,75664,164.24,61
2005-06-22 00:00:00+00,1.11,1.22,1.1,1.18,11.32,1183898,2742.96,471
2005-06-23 00:00:00+00,1.21,1.25,1.18,1.2,1.69,565137,1370.85,219
2005-06-24 00:00:00+00,1.2,1.31,1.19,1.27,5.83,763379,1924.2,337
2005-06-27 00:00:00+00,1.25,1.27,1.24,1.25,-1.57,193191,482.83,114
2005-06-28 00:00:00+00,1.25,1.26,1.25,1.25,0,105895,264.74,78
2005-06-29 00:00:00+00,1.25,1.27,1.22,1.26,0.8,196715,491.86,118
2005-06-30 00:00:00+00,1.27,1.29,1.25,1.25,-0.79,40523,103.07,101
2005-07-01 00:00:00+00,1.24,1.27,1.24,1.24,-0.8,131851,329.74,85
2005-07-04 00:00:00+00,1.23,1.26,1.23,1.25,0.81,101295,253.24,73
2005-07-05 00:00:00+00,1.25,1.27,1.25,1.26,0.8,84736,212.18,60
2005-07-06 00:00:00+00,1.24,1.27,1.24,1.25,-0.79,23869,59.93,51
2005-07-07 00:00:00+00,1.25,1.28,1.25,1.25,0,138189,347.81,68
2005-07-08 00:00:00+00,1.26,1.31,1.25,1.31,4.8,180912,465.5,135
2005-07-11 00:00:00+00,1.32,1.36,1.3,1.34,2.29,118548,314.64,106
2005-07-12 00:00:00+00,1.34,1.34,1.29,1.3,-2.99,16011,42.49,56
2005-07-13 00:00:00+00,1.29,1.32,1.28,1.31,0.77,176854,460.12,86
2005-07-14 00:00:00+00,1.3,1.31,1.28,1.28,-2.29,52491,135.48,63
2005-07-15 00:00:00+00,1.23,1.27,1.23,1.27,-0.78,52471,131.2,65
2005-07-18 00:00:00+00,1.24,1.27,1.24,1.27,0,34780,87.33,60
2005-07-19 00:00:00+00,1.24,1.27,1.24,1.25,-1.57,60107,150.49,62
2005-07-20 00:00:00+00,1.25,1.29,1.25,1.26,0.8,59168,149.05,60
2005-07-21 00:00:00+00,1.25,1.29,1.25,1.28,1.59,171170,436.7,62
2005-07-22 00:00:00+00,1.28,1.28,1.25,1.26,-1.56,13820,34.63,32
