date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,31.2,31.2,31,31,-1.27,320,19.91,3
2005-01-04 00:00:00+00,30,30.5,30,30.5,-1.61,100000,6024,8
2005-01-05 00:00:00+00,30.5,30.5,29.7,30,-1.64,56134,3417.94,11
2005-01-06 00:00:00+00,30,30,30,30,0,8,0.48,1
2005-01-07 00:00:00+00,30,30,29.4,29.8,-0.67,15174,910.35,8
2005-01-10 00:00:00+00,29.8,30.4,29.8,30.1,1.01,6538,389.7,3
2005-01-11 00:00:00+00,30,30.4,29.7,30.4,1,101182,6111.47,31
2005-01-12 00:00:00+00,30.3,31.4,30.3,31.4,3.29,24571,1513.35,14
2005-01-13 00:00:00+00,31.3,33,31.3,32.8,4.46,237408,15526.42,51
2005-01-14 00:00:00+00,32.8,33.8,32.8,33.6,2.44,150694,10096.2,19
2005-01-17 00:00:00+00,33.9,34.1,33.8,34.1,1.49,134324,9108.75,52
2005-01-18 00:00:00+00,33.2,33.2,33.2,33.2,-2.64,500,33.2,1
2005-01-19 00:00:00+00,33.2,33.7,33.2,33.5,0.9,914,61.19,8
2005-01-20 00:00:00+00,33.9,34.1,33.6,33.9,1.19,38623,2620.64,31
2005-01-21 00:00:00+00,34,35,34,35,3.24,68931,4745.72,38
2005-01-24 00:00:00+00,36.4,37,35.4,36.3,3.71,2416,175.63,31
2005-01-25 00:00:00+00,36.3,36.6,36,36.6,0.83,32882,2387.89,18
2005-01-26 00:00:00+00,35.7,37,35.7,36.5,-0.27,31062,2282.08,19
2005-01-27 00:00:00+00,36.8,37,36.5,36.9,1.1,80555,5910.84,28
2005-01-28 00:00:00+00,37,37.5,37,37.2,0.81,45100,3356.23,28
2005-01-31 00:00:00+00,37.3,37.8,37,37.3,0.27,57677,4296.83,25
2005-02-01 00:00:00+00,37.7,37.7,36.2,36.6,-1.88,66735,4903.07,26
2005-02-02 00:00:00+00,36,36.9,35.2,36.7,0.27,87193,6344.65,28
2005-02-03 00:00:00+00,37.2,37.2,36.8,36.8,0.27,4317,320.62,13
2005-02-04 00:00:00+00,37.3,37.7,37.3,37.7,2.45,49992,3730.68,18
2005-02-07 00:00:00+00,37.5,38,37.5,37.6,-0.27,375,28.25,6
2005-02-08 00:00:00+00,37.5,38,36.8,38,1.06,5858,444.46,14
2005-02-09 00:00:00+00,38,39,38,39,2.63,55351,4301.05,21
2005-02-10 00:00:00+00,38.2,38.8,37.6,38.8,-0.51,4197,320,7
2005-02-11 00:00:00+00,37.6,37.6,37.3,37.5,-3.35,400,30,7
2005-02-14 00:00:00+00,38.3,38.3,37.6,37.7,0.53,532,40.54,7
2005-02-15 00:00:00+00,37.7,38,37.7,38,0.8,573,43.49,7
2005-02-16 00:00:00+00,37.8,38,37.8,38,0,19,1.44,2
2005-02-17 00:00:00+00,37.9,40,37.9,40,5.26,28644,2265.79,37
2005-02-18 00:00:00+00,40.8,40.8,39.5,40.1,0.25,35698,2831.22,15
2005-02-21 00:00:00+00,40.1,40.1,40,40,-0.25,218,17.45,5
2005-02-22 00:00:00+00,39,40.4,39,40.1,0.25,84310,6761.03,27
2005-02-23 00:00:00+00,39.5,40,39.5,40,-0.25,105025,8313,6
2005-02-24 00:00:00+00,40,40.1,40,40.1,0.25,1008,80.83,5
2005-02-25 00:00:00+00,40.6,42,40.6,41.3,2.99,277351,22899.46,17
2005-02-28 00:00:00+00,41.6,42,40.6,42,1.69,76046,6310.99,17
2005-03-01 00:00:00+00,38.2,41.5,38.2,41.5,-1.19,132,10.75,8
2005-03-02 00:00:00+00,39.3,40.9,39.3,40.9,-1.45,305,24.43,8
2005-03-03 00:00:00+00,40.8,41.5,40.6,41.5,1.47,50620,4190.84,13
2005-03-04 00:00:00+00,41.3,41.9,41.3,41.5,0,85035,7047.93,8
2005-03-07 00:00:00+00,41.5,41.5,41.1,41.1,-0.96,23819,1957.97,2
2005-03-08 00:00:00+00,42.1,43.5,42.1,43.2,5.11,153419,13012.15,46
2005-03-09 00:00:00+00,43.7,43.7,43,43.7,1.16,5490,477.01,21
2005-03-10 00:00:00+00,42.8,43.8,42.8,43.8,0.23,187,16.09,7
2005-03-11 00:00:00+00,43,43.6,42.5,43.5,-0.68,1190,101.94,12
2005-03-14 00:00:00+00,43.4,43.4,43.4,43.4,-0.23,25,2.17,1
2005-03-15 00:00:00+00,43,43.4,43,43.4,0,64,5.5,3
2005-03-16 00:00:00+00,42,42,39.8,39.8,-8.29,822,67.61,17
2005-03-17 00:00:00+00,39.5,40.8,39.5,40.7,2.26,107905,8754.4,20
2005-03-18 00:00:00+00,41,41.1,39.9,41,0.74,6423,519.42,14
2005-03-21 00:00:00+00,0,0,0,41,0,0,0,0
2005-03-22 00:00:00+00,39.8,39.8,39.1,39.5,-3.66,50023,3921.85,7
2005-03-23 00:00:00+00,39.6,39.6,38,39,-1.27,97252,7531.21,20
2005-03-24 00:00:00+00,39.3,40.7,39.3,40.6,4.1,9556,764.13,9
2005-03-29 00:00:00+00,40.5,41,40.5,41,0.99,25707,2082.36,7
2005-03-30 00:00:00+00,41.4,41.7,41,41.7,1.71,438,35.97,5
2005-03-31 00:00:00+00,41.7,42.4,41.7,42.4,1.68,30469,2561.9,16
2005-04-01 00:00:00+00,43,43,43,43,1.42,1,0.09,1
2005-04-04 00:00:00+00,43,43.3,43,43,0,57715,4981.94,7
2005-04-05 00:00:00+00,43.8,43.8,43.1,43.1,0.23,245,21.32,8
2005-04-06 00:00:00+00,42.3,42.3,40.2,41.2,-4.41,20463,1727.9,13
2005-04-07 00:00:00+00,41.1,42,41.1,41.2,0,154,12.8,5
2005-04-11 00:00:00+00,41.2,42,41.2,42,1.94,6,0.5,2
2005-04-12 00:00:00+00,42.3,42.4,42,42.2,0.48,25015,2105.27,9
2005-04-13 00:00:00+00,42.2,42.4,42.2,42.4,0.47,15531,1310.84,8
2005-04-14 00:00:00+00,41.6,42.3,41.6,41.6,-1.89,62,5.16,5
2005-04-15 00:00:00+00,41.6,41.6,41.5,41.5,-0.24,10039,833.24,14
2005-04-18 00:00:00+00,41,42,39.9,41.1,-0.96,80576,6631.95,16
2005-04-19 00:00:00+00,0,0,0,41.1,0,0,0,0
2005-04-20 00:00:00+00,41.1,41.2,41.1,41.2,0.24,11102,914.38,8
2005-04-21 00:00:00+00,40.5,41.2,40.5,41.2,0,4,0.33,2
2005-04-22 00:00:00+00,40,41.2,40,41.2,0,24,1.92,2
2005-04-25 00:00:00+00,39.8,40.5,39.3,39.4,-4.37,9521,757.86,5
2005-04-26 00:00:00+00,40,42,39.4,39.6,0.51,10112,800.9,10
2005-04-27 00:00:00+00,39,39,37.8,38.5,-2.78,5623,427.62,12
2005-04-28 00:00:00+00,38,39.5,38,39.5,2.6,74,5.63,4
2005-04-29 00:00:00+00,39.3,39.3,39.2,39.2,-0.76,250,19.61,2
2005-05-02 00:00:00+00,0,0,0,39.2,0,0,0,0
2005-05-04 00:00:00+00,39,39.6,38.1,39.6,1.02,76,5.88,3
2005-05-05 00:00:00+00,39.4,39.4,39.4,39.4,-0.51,7,0.55,1
2005-05-06 00:00:00+00,39.4,39.4,39,39,-1.02,246,19.29,3
2005-05-09 00:00:00+00,0,0,0,39,0,0,0,0
2005-05-10 00:00:00+00,38.5,38.5,38.5,38.5,-1.28,28,2.16,2
2005-05-11 00:00:00+00,0,0,0,38.5,0,0,0,0
2005-05-12 00:00:00+00,37,37,37,37,-3.9,200,14.8,1
2005-05-13 00:00:00+00,35.7,35.7,34.9,35,-5.41,41958,2937.36,12
2005-05-16 00:00:00+00,35,36,34.5,36,2.86,180,12.55,6
2005-05-17 00:00:00+00,35.5,35.5,34.5,34.5,-4.17,740,51.66,4
2005-05-18 00:00:00+00,35.7,35.7,35.7,35.7,3.48,1,0.07,1
2005-05-19 00:00:00+00,35.5,38.4,35.5,38.4,7.56,1289,92.77,8
2005-05-20 00:00:00+00,0,0,0,38.4,0,0,0,0
2005-05-23 00:00:00+00,0,0,0,38.4,0,0,0,0
2005-05-24 00:00:00+00,35.5,36,35.5,36,-6.25,29705,2128.06,9
2005-05-25 00:00:00+00,36.2,36.4,36.2,36.3,0.83,483,35.14,9
2005-05-27 00:00:00+00,36.4,36.4,36.4,36.4,0.28,188,13.69,3
2005-05-30 00:00:00+00,0,0,0,35.7,0,0,0,0
2005-05-31 00:00:00+00,35.7,36.5,35.7,35.7,0,2106,150.38,3
2005-06-01 00:00:00+00,35.7,35.7,35.5,35.5,-0.56,249,17.7,3
2005-06-02 00:00:00+00,35.5,36.2,35.5,36.2,1.97,1033,74.6,2
2005-06-03 00:00:00+00,36.4,37,36.4,37,2.21,926,67.79,9
2005-06-06 00:00:00+00,37.6,38.5,37.6,38.5,4.05,4941,379.19,12
2005-06-07 00:00:00+00,38.7,38.9,38.6,38.9,1.04,17630,1367.06,9
2005-06-08 00:00:00+00,39,39,38.6,38.6,-0.77,9016,698.24,6
2005-06-09 00:00:00+00,38,38,37.7,37.7,-2.33,6127,463.41,10
2005-06-10 00:00:00+00,38,38.1,38,38.1,1.06,21300,1621,10
2005-06-13 00:00:00+00,38.2,38.2,37.4,37.9,-0.52,13401,1010.89,11
2005-06-14 00:00:00+00,38.1,38.1,37.8,37.8,-0.26,28000,2124.3,8
2005-06-15 00:00:00+00,37.6,38.4,37.6,38.4,1.59,15461,1176.86,11
2005-06-16 00:00:00+00,38.6,39.5,38.6,39.4,2.6,37674,2958.77,22
2005-06-17 00:00:00+00,39.9,39.9,39.6,39.6,0.51,105151,8346.49,31
2005-06-20 00:00:00+00,0,0,0,39.6,0,0,0,0
2005-06-21 00:00:00+00,0,0,0,39.6,0,0,0,0
