date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,3.13,3.15,2.99,3.15,4.65,35762,218.38,48
2005-01-04 00:00:00+00,3.15,3.19,3.08,3.18,0.95,60409,380.33,68
2005-01-05 00:00:00+00,3.15,3.16,3.1,3.15,-0.94,46008,288.19,42
2005-01-06 00:00:00+00,3.07,3.18,3.03,3.18,0.95,20342,126.52,44
2005-01-07 00:00:00+00,3.09,3.19,3.09,3.19,0.31,12174,76.16,16
2005-01-10 00:00:00+00,3.15,3.46,3.15,3.46,8.46,100821,665.45,128
2005-01-11 00:00:00+00,3.45,3.52,3.29,3.52,1.73,38939,267.18,71
2005-01-12 00:00:00+00,3.55,3.66,3.53,3.6,2.27,93623,670.51,123
2005-01-13 00:00:00+00,3.6,3.74,3.5,3.62,0.56,55526,399.62,90
2005-01-14 00:00:00+00,3.75,3.75,3.5,3.68,1.66,27781,197.57,45
2005-01-17 00:00:00+00,3.7,3.7,3.65,3.65,-0.82,22105,161.69,27
2005-01-18 00:00:00+00,3.66,3.74,3.66,3.74,2.47,28395,209.83,45
2005-01-19 00:00:00+00,3.74,3.82,3.74,3.82,2.14,51681,393.72,61
2005-01-20 00:00:00+00,3.85,3.88,3.55,3.75,-1.83,38591,292.49,55
2005-01-21 00:00:00+00,3.61,3.82,3.61,3.66,-2.4,21153,156.88,45
2005-01-24 00:00:00+00,3.66,3.85,3.44,3.6,-1.64,33294,239.82,50
2005-01-25 00:00:00+00,3.6,3.6,3.43,3.46,-3.89,13638,94.65,35
2005-01-26 00:00:00+00,3.35,3.5,3.33,3.48,0.58,21419,145.71,31
2005-01-27 00:00:00+00,3.51,3.51,3.42,3.42,-1.72,8428,58.63,24
2005-01-28 00:00:00+00,3.42,3.7,3.42,3.59,4.97,16877,121.6,35
2005-01-31 00:00:00+00,3.61,3.69,3.45,3.66,1.95,10702,78.1,24
2005-02-01 00:00:00+00,3.58,3.65,3.5,3.57,-2.46,24700,175.19,44
2005-02-02 00:00:00+00,3.58,3.58,3.46,3.55,-0.56,9378,65.79,27
2005-02-03 00:00:00+00,3.54,3.54,3.44,3.5,-1.41,18213,126.73,30
2005-02-04 00:00:00+00,3.55,3.55,3.25,3.35,-4.29,45484,308.81,91
2005-02-07 00:00:00+00,3.44,3.55,3.4,3.47,3.58,7029,48.52,18
2005-02-08 00:00:00+00,3.36,3.36,3.2,3.34,-3.75,36174,236.03,71
2005-02-09 00:00:00+00,3.35,3.37,3.21,3.32,-0.6,5597,37.26,17
2005-02-10 00:00:00+00,3.32,3.36,3.3,3.36,1.2,7684,50.91,16
2005-02-11 00:00:00+00,3.39,3.39,3.18,3.23,-3.87,30920,202.52,57
2005-02-14 00:00:00+00,3.2,3.38,3.15,3.38,4.64,27265,175.74,45
2005-02-15 00:00:00+00,3.2,3.24,3.16,3.19,-5.62,55598,355.62,86
2005-02-16 00:00:00+00,3.19,3.19,3.04,3.04,-4.7,22739,141.54,64
2005-02-17 00:00:00+00,3.03,3.12,2.8,2.88,-5.26,116672,677.62,168
2005-02-18 00:00:00+00,2.9,3,2.8,2.91,1.04,52422,303.24,87
2005-02-21 00:00:00+00,2.93,2.98,2.86,2.93,0.69,19298,111.94,27
2005-02-22 00:00:00+00,2.91,2.93,2.85,2.9,-1.02,25737,147.39,27
2005-02-23 00:00:00+00,2.9,2.9,2.78,2.84,-2.07,28781,162.79,44
2005-02-24 00:00:00+00,2.83,2.92,2.8,2.86,0.7,40276,230.62,50
2005-02-25 00:00:00+00,2.83,2.86,2.75,2.75,-3.85,36176,201.94,65
2005-02-28 00:00:00+00,2.75,2.75,2.56,2.58,-6.18,69378,368.06,95
2005-03-01 00:00:00+00,2.7,2.95,2.69,2.93,13.57,154410,888.03,302
2005-03-02 00:00:00+00,2.85,2.9,2.77,2.81,-4.1,44372,250.22,83
2005-03-03 00:00:00+00,2.84,2.84,2.73,2.83,0.71,21622,121.37,35
2005-03-04 00:00:00+00,2.83,2.87,2.77,2.83,0,3116,17.54,12
2005-03-07 00:00:00+00,2.8,2.83,2.75,2.79,-1.41,19785,109.96,27
2005-03-08 00:00:00+00,2.81,2.82,2.7,2.76,-1.08,19716,107.29,30
2005-03-09 00:00:00+00,2.75,2.79,2.65,2.73,-1.09,32177,174,47
2005-03-10 00:00:00+00,2.73,2.78,2.7,2.73,0,8894,48.62,18
2005-03-11 00:00:00+00,2.75,2.79,2.71,2.78,1.83,6767,37.11,10
2005-03-14 00:00:00+00,2.69,2.78,2.66,2.78,0,5611,30.7,15
2005-03-15 00:00:00+00,2.72,2.78,2.71,2.75,-1.08,5870,31.9,14
2005-03-16 00:00:00+00,2.67,2.74,2.67,2.7,-1.82,5655,30.34,12
2005-03-17 00:00:00+00,2.65,2.69,2.56,2.69,-0.37,7302,38.51,11
2005-03-18 00:00:00+00,2.66,2.72,2.6,2.71,0.74,20924,110.96,30
2005-03-21 00:00:00+00,2.7,2.75,2.7,2.72,0.37,8066,43.84,13
2005-03-22 00:00:00+00,2.74,2.77,2.72,2.77,1.84,6487,35.6,20
2005-03-23 00:00:00+00,2.77,2.77,2.7,2.71,-2.17,5058,27.71,8
2005-03-24 00:00:00+00,2.7,2.7,2.67,2.7,-0.37,5087,27.35,8
2005-03-29 00:00:00+00,2.65,2.74,2.65,2.73,1.11,4010,21.67,7
2005-03-30 00:00:00+00,2.74,2.75,2.67,2.67,-2.2,5095,27.65,12
2005-03-31 00:00:00+00,2.7,2.7,2.65,2.68,0.37,5183,27.74,11
2005-04-01 00:00:00+00,2.66,2.66,2.65,2.65,-1.12,4708,24.96,10
2005-04-04 00:00:00+00,2.64,2.7,2.57,2.7,1.89,4148,21.83,11
2005-04-05 00:00:00+00,2.61,2.61,2.57,2.57,-4.81,10300,53.13,24
2005-04-06 00:00:00+00,2.6,2.6,2.5,2.6,1.17,14359,74.19,30
2005-04-07 00:00:00+00,2.63,2.67,2.6,2.6,0,4863,25.49,16
2005-04-11 00:00:00+00,2.65,2.77,2.65,2.68,3.08,24298,132.55,45
2005-04-12 00:00:00+00,2.72,2.8,2.7,2.79,4.1,23025,126.58,27
2005-04-13 00:00:00+00,2.79,2.79,2.6,2.74,-1.79,11222,60.66,22
2005-04-14 00:00:00+00,2.66,2.67,2.6,2.66,-2.92,22669,119.02,28
2005-04-15 00:00:00+00,2.6,2.66,2.6,2.66,0,1378,7.21,3
2005-04-18 00:00:00+00,2.56,2.7,2.53,2.65,-0.38,10148,52.24,25
2005-04-19 00:00:00+00,2.61,2.61,2.55,2.6,-1.89,4545,23.5,12
2005-04-20 00:00:00+00,2.55,2.55,2.55,2.55,-1.92,3487,17.78,6
2005-04-21 00:00:00+00,2.5,2.6,2.5,2.55,0,4820,24.25,17
2005-04-22 00:00:00+00,2.59,2.65,2.58,2.63,3.14,5077,26.38,9
2005-04-25 00:00:00+00,2.6,2.6,2.55,2.6,-1.14,6472,33.13,15
2005-04-26 00:00:00+00,2.55,2.55,2.5,2.55,-1.92,1910,9.59,5
2005-04-27 00:00:00+00,2.5,2.6,2.5,2.55,0,2391,12.19,6
2005-04-28 00:00:00+00,2.59,2.59,2.46,2.58,1.18,4757,24.08,20
2005-04-29 00:00:00+00,2.58,2.58,2.48,2.48,-3.88,9710,48.34,19
2005-05-02 00:00:00+00,2.55,2.55,2.55,2.55,2.82,47,0.24,1
2005-05-04 00:00:00+00,2.57,2.58,2.46,2.58,1.18,8012,40.68,15
2005-05-05 00:00:00+00,2.58,2.58,2.57,2.58,0,2815,14.52,5
2005-05-06 00:00:00+00,2.44,2.46,2.4,2.45,-5.04,10231,49.48,21
2005-05-09 00:00:00+00,2.37,2.44,2.31,2.44,-0.41,10769,50.84,29
2005-05-10 00:00:00+00,2.35,2.35,2.22,2.22,-9.02,19205,87.36,32
2005-05-11 00:00:00+00,2.06,2.16,1.9,2.08,-6.31,33799,138.38,60
2005-05-12 00:00:00+00,2.15,2.27,2.15,2.17,4.33,10031,43.78,22
2005-05-13 00:00:00+00,2.17,2.17,2.1,2.17,0,1676,7.13,4
2005-05-16 00:00:00+00,2.12,2.23,2.09,2.2,1.38,1905,8.24,7
2005-05-17 00:00:00+00,2.14,2.2,2.12,2.2,0,2266,9.69,5
