date,open,high,low,close,difference,volume,turnover,transactions
2011-04-21 00:00:00+00,111,128,111,122,14.02,34865,4310.3,428
2011-04-26 00:00:00+00,121.7,123.2,120,122,0,1351,164.96,47
2011-04-27 00:00:00+00,122.2,122.5,121.7,122.1,0.08,1291,157.5,19
2011-04-28 00:00:00+00,123,129,123,127.5,4.42,1679,211.78,41
2011-04-29 00:00:00+00,130,130,128.1,129,1.18,1695,218.57,28
2011-05-02 00:00:00+00,129,129.1,128.9,129,0,388,50.06,9
2011-05-04 00:00:00+00,129,130,125,130,0.78,14452,1871.85,29
2011-05-05 00:00:00+00,130,134.7,130,133.9,3,959,128.34,14
2011-05-06 00:00:00+00,130,132.5,129,132.5,-1.05,508,66.71,16
2011-05-09 00:00:00+00,134.8,134.9,130,134.9,1.81,3603,485.65,18
2011-05-10 00:00:00+00,134,134.9,132.5,134.9,0,256,34.46,6
2011-05-11 00:00:00+00,134.9,134.9,134,134.1,-0.59,1036,139.67,16
2011-05-12 00:00:00+00,134.8,138,134.5,138,2.91,3402,459.75,14
2011-05-13 00:00:00+00,149.9,158,145,150,8.7,5281,793.37,48
2011-05-16 00:00:00+00,148,158,148,157,4.67,1517,236.08,40
2011-05-17 00:00:00+00,159,164.4,155,155,-1.27,1470,237.91,50
2011-05-18 00:00:00+00,157,157,141.3,149,-3.87,498,73.77,19
2011-05-19 00:00:00+00,143,143,140,142.2,-4.56,530,74.52,9
2011-05-20 00:00:00+00,135.1,145,135.1,145,1.97,1053,147.36,22
2011-05-23 00:00:00+00,143,144.9,143,144,-0.69,225,32.26,10
2011-05-24 00:00:00+00,0,0,0,144,0,0,0,0
2011-05-25 00:00:00+00,140,140,140,140,-2.78,10,1.4,2
2011-05-26 00:00:00+00,140,142,140,142,1.43,724,102.78,3
2011-05-27 00:00:00+00,0,0,0,142,0,0,0,0
2011-05-30 00:00:00+00,144.7,154,144.7,150.5,5.99,110,16.5,7
2011-05-31 00:00:00+00,0,0,0,150.5,0,0,0,0
2011-06-01 00:00:00+00,145.5,152,145.5,152,1,83,12.4,3
