date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,7.9,8,7.9,8,3.9,22,0.35,2
2005-01-04 00:00:00+00,7.3,8,7.3,8,0,144,2.14,3
2005-01-05 00:00:00+00,0,0,0,8,0,0,0,0
2005-01-06 00:00:00+00,0,0,0,8,0,0,0,0
2005-01-07 00:00:00+00,0,0,0,8,0,0,0,0
2005-01-10 00:00:00+00,0,0,0,8,0,0,0,0
2005-01-11 00:00:00+00,0,0,0,8,0,0,0,0
2005-01-12 00:00:00+00,0,0,0,8,0,0,0,0
2005-01-13 00:00:00+00,0,0,0,8,0,0,0,0
2005-01-14 00:00:00+00,0,0,0,8,0,0,0,0
2005-01-17 00:00:00+00,0,0,0,8,0,0,0,0
2005-01-18 00:00:00+00,7.05,7.1,7.05,7.1,-11.25,666,9.41,6
2005-01-19 00:00:00+00,0,0,0,7.1,0,0,0,0
2005-01-20 00:00:00+00,7,7,7,7,-1.41,958,13.41,4
2005-01-21 00:00:00+00,7.1,7.1,7.1,7.1,1.43,6,0.09,1
2005-01-24 00:00:00+00,0,0,0,7.1,0,0,0,0
2005-01-25 00:00:00+00,0,0,0,7.1,0,0,0,0
2005-01-26 00:00:00+00,0,0,0,7.1,0,0,0,0
2005-01-27 00:00:00+00,7.4,7.4,7.4,7.4,4.23,810,11.99,2
2005-01-28 00:00:00+00,7.1,7.1,7.1,7.1,-4.05,194,2.75,3
2005-01-31 00:00:00+00,7.9,7.9,7.9,7.9,11.27,1,0.02,1
2005-02-01 00:00:00+00,7.4,7.4,7.4,7.4,-6.33,1074,15.9,6
2005-02-02 00:00:00+00,7.15,7.15,7.15,7.15,-3.38,45,0.64,1
2005-02-03 00:00:00+00,7.5,7.5,7.5,7.5,4.9,1,0.02,1
2005-02-04 00:00:00+00,0,0,0,7.5,0,0,0,0
2005-02-07 00:00:00+00,7.2,7.2,7.2,7.2,-4,50,0.72,1
2005-02-08 00:00:00+00,6.95,6.95,6.95,6.95,-3.47,580,8.06,4
2005-02-09 00:00:00+00,7,7,7,7,0.72,796,11.14,2
2005-02-10 00:00:00+00,7,7,7,7,0,90,1.26,2
2005-02-11 00:00:00+00,0,0,0,7,0,0,0,0
2005-02-14 00:00:00+00,5.7,6.8,5.7,6.8,-2.86,150,1.82,2
2005-02-15 00:00:00+00,7,7.45,7,7.45,9.56,1680,23.63,9
2005-02-16 00:00:00+00,0,0,0,7.45,0,0,0,0
2005-02-17 00:00:00+00,7.45,7.45,7.4,7.4,-0.67,1861,27.66,11
2005-02-18 00:00:00+00,7.2,7.4,7.2,7.4,0,343,4.96,5
2005-02-21 00:00:00+00,0,0,0,7.4,0,0,0,0
2005-02-22 00:00:00+00,0,0,0,7.4,0,0,0,0
2005-02-23 00:00:00+00,7,7,7,7,-5.41,116,1.62,3
2005-02-24 00:00:00+00,7,7,7,7,0,200,2.8,1
2005-02-25 00:00:00+00,7,7,7,7,0,306,4.28,2
2005-02-28 00:00:00+00,0,0,0,7,0,0,0,0
2005-03-01 00:00:00+00,7.15,7.15,7.15,7.15,2.14,735,10.51,6
2005-03-02 00:00:00+00,0,0,0,7.15,0,0,0,0
2005-03-03 00:00:00+00,0,0,0,7.15,0,0,0,0
2005-03-04 00:00:00+00,7,7,7,7,-2.1,200,2.8,1
2005-03-07 00:00:00+00,0,0,0,7,0,0,0,0
2005-03-08 00:00:00+00,0,0,0,7,0,0,0,0
2005-03-09 00:00:00+00,0,0,0,7,0,0,0,0
2005-03-10 00:00:00+00,0,0,0,7,0,0,0,0
2005-03-11 00:00:00+00,6.1,6.4,6.1,6.4,-8.57,1687,21.01,9
2005-03-14 00:00:00+00,6.3,6.3,6.3,6.3,-1.56,142,1.79,1
2005-03-15 00:00:00+00,6.5,6.7,6.5,6.7,6.35,277,3.69,3
2005-03-16 00:00:00+00,7.1,7.1,7.1,7.1,5.97,316,4.49,3
2005-03-17 00:00:00+00,0,0,0,7.1,0,0,0,0
2005-03-18 00:00:00+00,6.35,6.35,6.35,6.35,-10.56,50,0.64,1
2005-03-21 00:00:00+00,7,7,7,7,10.24,3,0.04,1
2005-03-22 00:00:00+00,0,0,0,7,0,0,0,0
2005-03-23 00:00:00+00,0,0,0,7,0,0,0,0
2005-03-24 00:00:00+00,0,0,0,7,0,0,0,0
2005-03-29 00:00:00+00,0,0,0,7,0,0,0,0
2005-03-30 00:00:00+00,0,0,0,7,0,0,0,0
2005-03-31 00:00:00+00,0,0,0,7,0,0,0,0
2005-04-01 00:00:00+00,0,0,0,7,0,0,0,0
2005-04-04 00:00:00+00,6.15,6.95,6.15,6.95,-0.71,280,3.73,5
2005-04-05 00:00:00+00,6.4,6.4,6.4,6.4,-7.91,164,2.1,3
2005-04-06 00:00:00+00,0,0,0,6.4,0,0,0,0
2005-04-07 00:00:00+00,6.5,6.9,6.5,6.9,7.81,352,4.84,5
2005-04-11 00:00:00+00,6.9,6.9,6.5,6.5,-5.8,280,3.85,4
2005-04-12 00:00:00+00,0,0,0,6.5,0,0,0,0
2005-04-13 00:00:00+00,6.5,6.5,6.5,6.5,0,253,3.29,1
2005-04-14 00:00:00+00,6.3,6.3,6.2,6.2,-4.62,1016,12.8,3
2005-04-15 00:00:00+00,6.3,6.4,6.3,6.4,3.23,600,7.61,3
2005-04-18 00:00:00+00,0,0,0,6.4,0,0,0,0
2005-04-19 00:00:00+00,0,0,0,6.4,0,0,0,0
2005-04-20 00:00:00+00,0,0,0,6.4,0,0,0,0
2005-04-21 00:00:00+00,0,0,0,6.4,0,0,0,0
2005-04-22 00:00:00+00,0,0,0,6.4,0,0,0,0
2005-04-25 00:00:00+00,0,0,0,6.4,0,0,0,0
2005-04-26 00:00:00+00,0,0,0,6.4,0,0,0,0
2005-04-27 00:00:00+00,0,0,0,6.4,0,0,0,0
2005-04-28 00:00:00+00,6.4,6.4,6.4,6.4,0,61,0.78,1
2005-04-29 00:00:00+00,6.6,6.6,6.6,6.6,3.13,100,1.32,1
2005-05-02 00:00:00+00,0,0,0,6.6,0,0,0,0
