date,open,high,low,close,difference,volume,turnover,transactions
2022-09-05 00:00:00+00,52.8,56.6,52,52,-1.52,1591,84.28,31
2022-09-06 00:00:00+00,53.2,53.2,43.5,51,-1.92,2401,112.92,82
2022-09-07 00:00:00+00,50.2,51,47,51,0,335,16.93,16
2022-09-08 00:00:00+00,49.2,51,47,47.6,-6.67,1634,79.84,39
2022-09-09 00:00:00+00,49.5,49.5,47.5,48.8,2.52,429,20.74,15
2022-09-12 00:00:00+00,47.9,48,44,46.7,-4.3,2509,113.7,65
2022-09-13 00:00:00+00,46.6,46.6,42.4,43.5,-6.85,1489,65.51,43
2022-09-14 00:00:00+00,43,44.8,43,44.1,1.38,469,20.75,14
2022-09-15 00:00:00+00,45.1,45.4,39.9,42.8,-2.95,5148,211.55,127
2022-09-16 00:00:00+00,41.2,41.9,38.5,41.3,-3.5,4592,182.54,79
2022-09-19 00:00:00+00,41.3,41.3,38.6,40.1,-2.91,2838,113.38,34
2022-09-20 00:00:00+00,41,41.9,41,41.9,4.49,287,11.94,17
2022-09-21 00:00:00+00,41.6,41.6,38,38,-9.31,3381,131.9,76
2022-09-22 00:00:00+00,37.7,39.3,34,36.6,-3.68,6319,224.37,117
2022-09-23 00:00:00+00,36.5,36.5,35,36.2,-1.09,1411,50.32,32
2022-09-26 00:00:00+00,36.2,36.2,33.6,34.8,-3.87,3094,106.29,49
2022-09-27 00:00:00+00,34.7,38.7,34.7,38.7,11.21,1015,37.16,37
2022-09-28 00:00:00+00,38.7,39.8,37.3,38.6,-0.26,768,29.24,24
2022-09-29 00:00:00+00,37.7,38,33.6,34.2,-11.4,3463,121.31,68
2022-09-30 00:00:00+00,35,35.4,32,34,-0.58,5185,174.72,102
2022-10-03 00:00:00+00,34.4,34.4,32.4,33,-2.94,1191,39.77,30
2022-10-04 00:00:00+00,33.4,35.6,31,33.6,1.82,3579,115.37,66
2022-10-05 00:00:00+00,33.6,36.1,33.6,36,7.14,1900,67,51
2022-10-06 00:00:00+00,36.2,36.5,33,33.8,-6.11,4273,145.37,85
2022-10-07 00:00:00+00,33.9,35.3,33,33,-2.37,2750,92.29,48
2022-10-10 00:00:00+00,34.3,34.3,32,32.9,-0.3,2256,74.29,30
2022-10-11 00:00:00+00,32,32.8,31.1,32.5,-1.22,6945,218.52,59
2022-10-12 00:00:00+00,32.4,33.3,32,32.8,0.92,649,21.01,21
2022-10-13 00:00:00+00,32.1,32.9,32,32.1,-2.13,2808,90.09,18
2022-10-14 00:00:00+00,32.8,33.6,31,33.1,3.12,2817,91.41,54
2022-10-17 00:00:00+00,33.5,33.5,32,32.2,-2.72,4764,155.11,59
2022-10-18 00:00:00+00,32.3,34.4,31,31,-3.73,7431,236.23,102
2022-10-19 00:00:00+00,31.5,31.7,30.6,31.5,1.61,3749,115.76,43
2022-10-20 00:00:00+00,31.1,32.4,30.8,32.4,2.86,1563,49.02,28
2022-10-21 00:00:00+00,32.4,32.4,30.9,30.9,-4.63,3897,121.32,63
2022-10-24 00:00:00+00,31,31.8,30.9,31.5,1.94,2073,64.61,46
2022-10-25 00:00:00+00,31.5,32,31,31.1,-1.27,3055,96.12,35
2022-10-26 00:00:00+00,32,33,31.4,31.5,1.29,2988,95.76,63
2022-10-27 00:00:00+00,31.6,32,31,31.8,0.95,6225,193.84,70
2022-10-28 00:00:00+00,31.6,31.7,30.8,31,-2.52,8284,256.92,49
2022-10-31 00:00:00+00,31.1,31.2,30.9,31.1,0.32,5307,164.63,41
2022-11-02 00:00:00+00,31.5,32.3,30.4,30.7,-1.29,4173,129.19,63
2022-11-03 00:00:00+00,30.7,31.4,29.9,30.9,0.65,8390,254.83,116
