date,open,high,low,close,difference,volume,turnover,transactions
2021-12-20 00:00:00+00,27,27.8,26,26.6,-0.75,3119,83.14,25
2021-12-21 00:00:00+00,27.2,27.2,26,26,-2.26,1419,37.36,17
2021-12-22 00:00:00+00,26,28.6,25,25,-3.85,4094,107.55,54
2021-12-23 00:00:00+00,25.2,26,23.6,23.6,-5.6,1486,36.32,21
2021-12-27 00:00:00+00,24,24,23,23.6,0,1150,27.02,10
2021-12-28 00:00:00+00,23.6,24,22,23.8,0.85,3214,73.18,33
2021-12-29 00:00:00+00,22.8,27,22.8,26.8,12.61,3859,95.64,33
2021-12-30 00:00:00+00,26,26.4,25,26.4,-1.49,1065,27.22,14
2022-01-03 00:00:00+00,26.4,26.4,25,26,-1.52,1298,33.57,12
2022-01-04 00:00:00+00,25.6,27.6,25,27.6,6.15,2052,52.56,16
2022-01-05 00:00:00+00,25.8,26.6,25.6,26,-5.8,2824,73.51,26
2022-01-07 00:00:00+00,26.6,26.6,26.4,26.4,1.54,124,3.29,3
2022-01-10 00:00:00+00,26.4,26.4,26.2,26.2,-0.76,178,4.67,3
2022-01-11 00:00:00+00,26.2,26.8,26.2,26.4,0.76,22,0.58,3
2022-01-12 00:00:00+00,26.4,26.8,26.4,26.8,1.52,264,6.98,7
2022-01-13 00:00:00+00,26.8,26.8,26.2,26.2,-2.24,125,3.28,2
2022-01-14 00:00:00+00,26.2,26.8,26.2,26.6,1.53,180,4.74,6
2022-01-17 00:00:00+00,26.6,26.6,26,26,-2.26,464,12.08,4
2022-01-18 00:00:00+00,26,26,26,26,0,1004,26.1,7
2022-01-19 00:00:00+00,26.8,26.8,26.8,26.8,3.08,140,3.75,6
2022-01-20 00:00:00+00,26.2,26.2,26.2,26.2,-2.24,50,1.31,1
2022-01-21 00:00:00+00,26,26,26,26,-0.76,188,4.89,3
2022-01-24 00:00:00+00,26,26,25,25.8,-0.77,491,12.73,7
2022-01-25 00:00:00+00,25,25.6,25,25.4,-1.55,234,5.92,5
2022-01-26 00:00:00+00,25,25,24.8,24.8,-2.36,444,11.08,6
2022-01-27 00:00:00+00,0,0,0,24.8,0,0,0,0
2022-01-28 00:00:00+00,24,24,24,24,-3.23,80,1.92,1
2022-01-31 00:00:00+00,24.8,25,24,25,4.17,200,4.95,4
2022-02-01 00:00:00+00,25,25,25,25,0,20,0.5,1
2022-02-02 00:00:00+00,25,25,24.4,24.4,-2.4,47,1.15,4
2022-02-03 00:00:00+00,25,25,24,24.8,1.64,155,3.78,5
2022-02-04 00:00:00+00,24.8,24.8,24.8,24.8,0,17,0.42,1
2022-02-07 00:00:00+00,24,24,23.8,23.8,-4.03,453,10.86,4
2022-02-08 00:00:00+00,0,0,0,23.8,0,0,0,0
2022-02-09 00:00:00+00,23.6,23.6,22.8,22.8,-4.2,856,19.76,11
2022-02-10 00:00:00+00,23,23,23,23,0.88,100,2.3,1
2022-02-11 00:00:00+00,0,0,0,23,0,0,0,0
2022-02-14 00:00:00+00,22,22,22,22,-4.35,220,4.84,5
2022-02-15 00:00:00+00,22.8,22.8,22.8,22.8,3.64,50,1.14,1
2022-02-16 00:00:00+00,22.8,22.8,22.8,22.8,0,1050,23.94,4
2022-02-17 00:00:00+00,22.2,22.2,22,22.2,-2.63,172,3.8,3
2022-02-18 00:00:00+00,22,23,22,23,3.6,357,7.99,3
2022-02-21 00:00:00+00,22,22,21.8,21.8,-5.22,823,18.07,11
2022-02-22 00:00:00+00,22,22,22,22,0.92,900,19.8,3
2022-02-23 00:00:00+00,22,22,22,22,0,605,13.31,4
2022-02-24 00:00:00+00,20,21.6,20,21,-4.55,360,7.47,10
2022-02-25 00:00:00+00,21.2,22,21.2,22,4.76,955,20.75,7
2022-02-28 00:00:00+00,22.2,22.2,22.2,22.2,0.91,104,2.31,2
2022-03-01 00:00:00+00,23,24,22.8,22.8,2.7,836,19.21,5
2022-03-02 00:00:00+00,22.8,23,22.8,22.8,0,480,10.99,6
2022-03-03 00:00:00+00,23,23,23,23,0.88,549,12.63,2
2022-03-04 00:00:00+00,23,23,23,23,0,1591,36.59,9
2022-03-07 00:00:00+00,23,23,22.6,22.6,-1.74,625,14.33,6
2022-03-08 00:00:00+00,22.4,22.4,22.4,22.4,-0.89,213,4.77,2
2022-03-09 00:00:00+00,22,22,21.2,22,-1.79,1435,31.52,5
2022-03-10 00:00:00+00,22,22,22,22,0,590,12.98,2
2022-03-11 00:00:00+00,21,21,21,21,-4.55,710,14.91,5
2022-03-14 00:00:00+00,21,21,21,21,0,380,7.98,1
2022-03-15 00:00:00+00,21,21,21,21,0,460,9.66,3
2022-03-16 00:00:00+00,21,21,20,20,-4.76,555,11.62,5
2022-03-17 00:00:00+00,20,20,20,20,0,243,4.86,5
2022-03-18 00:00:00+00,21,21,19.5,20,0,1071,21.51,12
2022-03-21 00:00:00+00,0,0,0,20,0,0,0,0
2022-03-22 00:00:00+00,20,20,20,20,0,130,2.6,2
2022-03-23 00:00:00+00,20,20,20,20,0,450,9,2
2022-03-24 00:00:00+00,21,21,21,21,5,400,8.4,4
2022-03-25 00:00:00+00,22,24.2,22,22,4.76,921,20.47,13
2022-03-28 00:00:00+00,22,22,21,21,-4.55,610,13.24,4
2022-03-29 00:00:00+00,21,21,21,21,0,468,9.83,3
2022-03-30 00:00:00+00,0,0,0,21,0,0,0,0
2022-03-31 00:00:00+00,21,21,21,21,0,430,9.03,2
2022-04-01 00:00:00+00,0,0,0,21,0,0,0,0
2022-04-04 00:00:00+00,22,22,21.4,21.4,1.9,635,13.65,3
2022-04-05 00:00:00+00,0,0,0,21.4,0,0,0,0
2022-04-06 00:00:00+00,21.4,21.4,21.4,21.4,0,35,0.75,3
2022-04-07 00:00:00+00,22,22,22,22,2.8,100,2.2,1
