date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,6.7,7.05,6.7,7.05,6.02,24358,338,49
2005-01-04 00:00:00+00,7.1,7.2,6.95,7.1,0.71,32032,452.59,66
2005-01-05 00:00:00+00,7.2,7.3,7.05,7.25,2.11,12467,180.02,33
2005-01-06 00:00:00+00,7.3,7.3,6.95,7.2,-0.69,1336,18.64,5
2005-01-07 00:00:00+00,7,7.15,6.95,7,-2.78,4380,61.35,17
2005-01-10 00:00:00+00,6.95,6.95,6.9,6.9,-1.43,4446,61.46,16
2005-01-11 00:00:00+00,6.9,6.95,6.8,6.95,0.72,2982,40.64,8
2005-01-12 00:00:00+00,6.8,6.8,6.65,6.8,-2.16,18019,242.94,22
2005-01-13 00:00:00+00,6.8,6.8,6.2,6.2,-8.82,8167,107.76,23
2005-01-14 00:00:00+00,6.5,6.75,6.4,6.7,8.06,12534,167.19,33
2005-01-17 00:00:00+00,6.7,6.7,6.45,6.45,-3.73,453,5.92,4
2005-01-18 00:00:00+00,6.7,6.7,6.6,6.6,2.33,18360,245.35,22
2005-01-19 00:00:00+00,6.5,6.55,6.5,6.55,-0.76,6566,85.41,8
2005-01-20 00:00:00+00,6.5,6.5,6.5,6.5,-0.76,4843,62.96,5
2005-01-21 00:00:00+00,6.6,6.6,6.6,6.6,1.54,8385,110.68,15
2005-01-24 00:00:00+00,0,0,0,6.6,0,0,0,0
2005-01-25 00:00:00+00,6.3,6.55,6.3,6.4,-3.03,6630,84.35,24
2005-01-26 00:00:00+00,6.4,6.45,6.4,6.45,0.78,8459,109.12,7
2005-01-27 00:00:00+00,6.5,6.6,6.5,6.6,2.33,6386,84.02,10
2005-01-28 00:00:00+00,6.65,7.1,6.65,7,6.06,26449,366.87,54
2005-01-31 00:00:00+00,7,7.1,6.9,7,0,9890,137.08,18
2005-02-01 00:00:00+00,6.9,6.9,6.9,6.9,-1.43,2,0.03,1
2005-02-02 00:00:00+00,6.8,7,6.8,6.9,0,7147,99.29,12
2005-02-03 00:00:00+00,6.65,7,6.65,7,1.45,4160,56.71,12
2005-02-04 00:00:00+00,6.9,6.9,6.9,6.9,-1.43,1237,17.07,10
2005-02-07 00:00:00+00,6.75,6.9,6.7,6.9,0,701,9.4,3
2005-02-08 00:00:00+00,6.65,7.1,6.65,7.1,2.9,68657,967.44,47
2005-02-09 00:00:00+00,6.9,7,6.9,6.9,-2.82,2918,40.34,6
2005-02-10 00:00:00+00,6.65,6.85,6.6,6.85,-0.72,4212,56.15,17
2005-02-11 00:00:00+00,6.85,7.2,6.85,7.2,5.11,15742,221.93,26
2005-02-14 00:00:00+00,7.35,7.8,7.35,7.55,4.86,41429,621.32,69
2005-02-15 00:00:00+00,7.5,7.5,7.45,7.5,-0.66,375,5.62,4
