date,open,high,low,close,difference,volume,turnover,transactions
2011-05-04 00:00:00+00,0,0,0,147.5,0,0,0,0
2011-05-05 00:00:00+00,150,150,133.3,133.3,-9.63,26,3.48,3
2011-05-06 00:00:00+00,0,0,0,133.3,0,0,0,0
2011-05-09 00:00:00+00,142.4,142.4,142.4,142.4,6.83,1,0.14,1
2011-05-10 00:00:00+00,0,0,0,142.4,0,0,0,0
2011-05-11 00:00:00+00,134.5,134.5,134.5,134.5,-5.55,21,2.82,1
2011-05-12 00:00:00+00,0,0,0,134.5,0,0,0,0
2011-05-13 00:00:00+00,140,140,140,140,4.09,1,0.14,1
2011-05-16 00:00:00+00,138.9,138.9,138.9,138.9,-0.79,4,0.56,1
2011-05-17 00:00:00+00,0,0,0,138.9,0,0,0,0
2011-05-18 00:00:00+00,139,139,139,139,0.07,1,0.14,1
2011-05-19 00:00:00+00,0,0,0,139,0,0,0,0
2011-05-20 00:00:00+00,125.5,130,125.5,126.1,-9.28,62,7.87,8
2011-05-23 00:00:00+00,0,0,0,126.1,0,0,0,0
2011-05-24 00:00:00+00,0,0,0,126.1,0,0,0,0
2011-05-25 00:00:00+00,126.2,126.2,126.2,126.2,0.08,13,1.64,1
2011-05-26 00:00:00+00,135,135,135,135,6.97,1,0.14,1
2011-05-27 00:00:00+00,0,0,0,135,0,0,0,0
2011-05-30 00:00:00+00,0,0,0,135,0,0,0,0
2011-05-31 00:00:00+00,0,0,0,135,0,0,0,0
2011-06-01 00:00:00+00,0,0,0,135,0,0,0,0
2011-06-02 00:00:00+00,130,130,130,130,-3.7,9,1.17,1
2011-06-03 00:00:00+00,0,0,0,130,0,0,0,0
2011-06-06 00:00:00+00,137.2,137.2,137.2,137.2,5.54,1,0.14,1
2011-06-07 00:00:00+00,137.2,139,137.2,137.2,0,81,11.12,12
2011-06-08 00:00:00+00,139,139,139,139,1.31,1,0.14,1
2011-06-09 00:00:00+00,130,136.9,130,136.9,-1.51,4,0.53,2
2011-06-10 00:00:00+00,0,0,0,136.9,0,0,0,0
2011-06-13 00:00:00+00,0,0,0,136.9,0,0,0,0
2011-06-14 00:00:00+00,0,0,0,136.9,0,0,0,0
2011-06-15 00:00:00+00,0,0,0,136.9,0,0,0,0
2011-06-16 00:00:00+00,0,0,0,136.9,0,0,0,0
2011-06-17 00:00:00+00,0,0,0,136.9,0,0,0,0
2011-06-20 00:00:00+00,125,136.9,125,136.9,0,35,4.39,3
2011-06-21 00:00:00+00,124.5,129,124,124,-9.42,68,8.47,5
2011-06-22 00:00:00+00,0,0,0,124,0,0,0,0
2011-06-24 00:00:00+00,124,124,124,124,0,3,0.37,1
2011-06-27 00:00:00+00,0,0,0,124,0,0,0,0
2011-06-28 00:00:00+00,124,124,118,118,-4.84,41,5.08,8
2011-06-29 00:00:00+00,109,109,109,109,-7.63,1,0.11,1
2011-06-30 00:00:00+00,0,0,0,109,0,0,0,0
2011-07-01 00:00:00+00,119,128,119,128,17.43,3,0.37,2
2011-07-04 00:00:00+00,0,0,0,128,0,0,0,0
2011-07-05 00:00:00+00,0,0,0,128,0,0,0,0
2011-07-06 00:00:00+00,120,126.9,120,126.9,-0.86,20,2.41,2
2011-07-07 00:00:00+00,0,0,0,126.9,0,0,0,0
2011-07-08 00:00:00+00,0,0,0,126.9,0,0,0,0
2011-07-11 00:00:00+00,0,0,0,126.9,0,0,0,0
2011-07-12 00:00:00+00,0,0,0,126.9,0,0,0,0
2011-07-13 00:00:00+00,124.9,124.9,124.9,124.9,-1.58,1,0.12,1
2011-07-14 00:00:00+00,0,0,0,124.9,0,0,0,0
2011-07-15 00:00:00+00,0,0,0,124.9,0,0,0,0
2011-07-18 00:00:00+00,0,0,0,124.9,0,0,0,0
2011-07-19 00:00:00+00,0,0,0,124.9,0,0,0,0
2011-07-20 00:00:00+00,0,0,0,124.9,0,0,0,0
2011-07-21 00:00:00+00,115,115,115,115,-7.93,1,0.12,1
2011-07-22 00:00:00+00,124.9,124.9,115,115,0,17,2.11,3
2011-07-25 00:00:00+00,112,128,112,128,11.3,41,4.61,3
2011-07-26 00:00:00+00,135,135,111,127.9,-0.08,24,2.75,4
2011-07-27 00:00:00+00,105,111,105,111,-13.21,15,1.6,5
2011-07-28 00:00:00+00,133,133,115,115.1,3.69,241,29.55,18
2011-07-29 00:00:00+00,116.1,120.6,116,120.6,4.78,35,4.07,4
2011-08-01 00:00:00+00,0,0,0,120.6,0,0,0,0
2011-08-02 00:00:00+00,0,0,0,120.6,0,0,0,0
2011-08-03 00:00:00+00,0,0,0,120.6,0,0,0,0
2011-08-04 00:00:00+00,0,0,0,120.6,0,0,0,0
2011-08-05 00:00:00+00,99.9,109.7,99.9,109.7,-9.04,65,6.59,8
2011-08-08 00:00:00+00,103,105.9,95,95,-13.4,77,7.51,14
2011-08-09 00:00:00+00,99.8,104.4,95,103.3,8.74,63,6.15,12
2011-08-10 00:00:00+00,103.4,103.4,94.5,94.5,-8.52,68,6.62,7
2011-08-11 00:00:00+00,89.2,98.1,88.1,88.1,-6.77,31,2.9,11
2011-08-12 00:00:00+00,89.9,104.9,89.9,104.9,19.07,22,2.09,4
2011-08-16 00:00:00+00,120,120,110,120,14.39,167,18.99,38
2011-08-17 00:00:00+00,0,0,0,120,0,0,0,0
2011-08-18 00:00:00+00,119,119,119,119,-0.83,1,0.12,1
2011-08-19 00:00:00+00,0,0,0,119,0,0,0,0
2011-08-22 00:00:00+00,107.1,116,107,115.9,-2.61,51,5.65,8
2011-08-23 00:00:00+00,119.9,119.9,102,102,-11.99,31,3.25,5
2011-08-24 00:00:00+00,108,108,108,108,5.88,1,0.11,1
2011-08-25 00:00:00+00,112,112,112,112,3.7,1,0.11,1
2011-08-26 00:00:00+00,0,0,0,112,0,0,0,0
