date,open,high,low,close,difference,volume,turnover,transactions
2009-07-22 00:00:00+00,60.05,61.4,60.05,61.1,-0.57,87012,10615,90
2009-07-23 00:00:00+00,61,63.2,60.5,62.75,2.7,34634,4246.91,158
2009-07-24 00:00:00+00,63.2,68.5,62.8,66.9,6.61,46946,6226.32,347
2009-07-27 00:00:00+00,68.2,69.95,66.05,67.5,0.9,63885,8597.85,239
2009-07-28 00:00:00+00,68,68,66.6,66.9,-0.89,60248,8135.88,121
2009-07-29 00:00:00+00,66.3,68,66,68,1.64,48761,6548.42,102
2009-07-30 00:00:00+00,68.05,68.45,68,68.35,0.51,32260,4405.93,98
2009-07-31 00:00:00+00,68.95,69,68.45,69,0.95,63836,8790.86,139
2009-08-03 00:00:00+00,69.2,69.8,68,68.5,-0.72,39822,5491.9,123
2009-08-04 00:00:00+00,69.1,69.1,66.55,67.55,-1.39,26834,3606.42,202
2009-08-05 00:00:00+00,67.1,67.55,67,67,-0.81,25343,3397.32,104
2009-08-06 00:00:00+00,67.1,67.2,66.6,67.2,0.3,38833,5204.46,74
2009-08-07 00:00:00+00,66.6,69.6,66.6,69.5,3.42,9112,1238.29,93
2009-08-10 00:00:00+00,69.5,70,68.3,70,0.72,16903,2354.42,117
2009-08-11 00:00:00+00,69.5,71.5,69.5,70,0,19669,2776.41,126
2009-08-12 00:00:00+00,69.5,69.5,67.9,69.5,-0.71,20775,2846.85,118
2009-08-13 00:00:00+00,69.5,72.95,69.5,72.5,4.32,37631,5400.93,194
2009-08-14 00:00:00+00,73,73,72.1,72.1,-0.55,13628,1984.04,101
2009-08-17 00:00:00+00,70.9,70.9,69.6,70,-2.91,12317,1723.97,96
2009-08-18 00:00:00+00,70,70,69,69.7,-0.43,24986,3486.95,78
2009-08-19 00:00:00+00,71.3,71.3,69.4,71,1.87,2000,282.08,43
2009-08-20 00:00:00+00,71,72,71,72,1.41,3789,542.67,56
2009-08-21 00:00:00+00,72.5,73,71.3,73,1.39,37939,5520.48,142
2009-08-24 00:00:00+00,73,73,71.8,72,-1.37,20230,2921.27,92
2009-08-25 00:00:00+00,72.9,72.9,69.85,70.3,-2.36,38077,5354.77,204
2009-08-26 00:00:00+00,70.3,71.5,69.8,69.9,-0.57,9614,1349.06,81
2009-08-27 00:00:00+00,69.8,70,68.75,70,0.14,88085,12317.37,114
2009-08-28 00:00:00+00,70,71.5,70,70.8,1.14,14852,2105.36,76
2009-08-31 00:00:00+00,70.8,71.3,69.8,71.3,0.71,4670,659.75,58
2009-09-01 00:00:00+00,71,71.8,68.1,69.8,-2.1,7222,1004.15,144
2009-09-02 00:00:00+00,68.1,68.1,66,67.5,-3.3,19861,2667.74,172
2009-09-03 00:00:00+00,66.6,69,66.6,68.9,2.07,4212,570.11,71
2009-09-04 00:00:00+00,68.9,70,67.2,69,0.15,31523,4401.37,70
2009-09-07 00:00:00+00,67.8,69,67.8,68.1,-1.3,12954,1768.8,86
2009-09-08 00:00:00+00,69.9,69.9,66.5,66.95,-1.69,51369,6934.66,113
2009-09-09 00:00:00+00,66.95,66.95,65.5,66,-1.42,37971,5013.8,95
2009-09-10 00:00:00+00,66.05,67.5,63.1,64.2,-2.73,35311,4597,234
2009-09-11 00:00:00+00,65,66,64.5,66,2.8,14582,1912.18,53
2009-09-14 00:00:00+00,65.7,65.7,63.4,63.7,-3.48,31930,4095.26,77
2009-09-15 00:00:00+00,64.1,65.5,64.1,64.5,1.26,22177,2861.75,57
2009-09-16 00:00:00+00,65.5,66.2,65,66.2,2.64,10258,1335.5,36
2009-09-17 00:00:00+00,66.55,68.9,66.55,68.7,3.78,17140,2343.26,156
2009-09-18 00:00:00+00,68.05,69.8,68,69.8,1.6,9484,1311.94,60
2009-09-21 00:00:00+00,69,71.5,69,71.1,1.86,16677,2357.89,124
2009-09-22 00:00:00+00,70.1,73.5,70.1,73.5,3.38,110947,16167.81,246
2009-09-23 00:00:00+00,73,73.9,71.5,73.5,0,10183,1490,128
2009-09-24 00:00:00+00,72.25,74,72.25,73.9,0.54,15787,2319.86,120
2009-09-25 00:00:00+00,73,73.5,72.15,73.5,-0.54,6775,989.77,53
2009-09-28 00:00:00+00,72.3,73.55,72.3,73.55,0.07,11205,1639.49,69
2009-09-29 00:00:00+00,73.55,73.55,73,73.5,-0.07,49666,7298.92,54
2009-09-30 00:00:00+00,72.35,73.8,72.3,73.7,0.27,9892,1451.42,59
2009-10-01 00:00:00+00,73.7,73.8,72.55,73.05,-0.88,5758,842.06,57
2009-10-02 00:00:00+00,72.5,73.7,72,73.7,0.89,8669,1260.42,66
2009-10-05 00:00:00+00,73,74.95,72.9,73.9,0.27,27114,4009.57,101
2009-10-06 00:00:00+00,74.5,75,73.9,74.95,1.42,8126,1209.52,91
2009-10-07 00:00:00+00,75,75,72.3,74.5,-0.6,3367,501.96,49
