date,open,high,low,close,difference,volume,turnover,transactions
2007-08-20 00:00:00+00,18.9,21.85,18.1,20.6,-10.43,264805,10578.74,703
2007-08-21 00:00:00+00,21.38,21.45,19.41,20.3,-1.46,55539,2252.96,168
2007-08-22 00:00:00+00,21,22.39,20.71,22,8.37,49856,2140.45,208
2007-08-23 00:00:00+00,22.74,23,22.08,22.5,2.27,34859,1575.48,122
2007-08-24 00:00:00+00,22.59,22.59,21.5,22,-2.22,22119,969.44,93
2007-08-27 00:00:00+00,22.49,22.7,22,22.6,2.73,58586,2643.41,151
2007-08-28 00:00:00+00,22.3,22.78,22.3,22.6,0,37503,1693.91,50
2007-08-29 00:00:00+00,22,23.2,21.6,23.2,2.65,34800,1583.3,93
2007-08-30 00:00:00+00,23.3,23.3,22.6,23.1,-0.43,52952,2430.48,57
2007-08-31 00:00:00+00,23,23.49,22.8,23.15,0.22,108939,5043.58,61
2007-09-03 00:00:00+00,23.5,24.3,23.1,24.1,4.1,82516,3926.19,106
2007-09-04 00:00:00+00,24.2,24.3,23.95,24.15,0.21,31892,1533.15,45
2007-09-05 00:00:00+00,24.24,24.35,24,24.2,0.21,253485,12173.24,90
2007-09-06 00:00:00+00,24.3,24.3,23.85,24.1,-0.41,56268,2699.01,53
2007-09-07 00:00:00+00,24.2,24.2,24,24.05,-0.21,57982,2783.64,54
2007-09-10 00:00:00+00,22.3,24.05,22.3,23.9,-0.62,86299,4127.13,51
2007-09-11 00:00:00+00,23.75,23.9,23.21,23.85,-0.21,152001,7233.77,73
2007-09-12 00:00:00+00,23.8,23.8,23.2,23.7,-0.63,7569,354.22,20
2007-09-13 00:00:00+00,23.3,23.5,22.77,23.15,-2.32,223700,10423.29,33
2007-09-14 00:00:00+00,23,23,22.16,22.97,-0.78,82081,3764.37,25
2007-09-17 00:00:00+00,22,22.5,21.65,22.2,-3.35,98570,4383.29,54
2007-09-18 00:00:00+00,22.89,22.9,21.14,22.55,1.58,36201,1612.37,57
2007-09-19 00:00:00+00,23.15,23.15,22.61,23.15,2.66,175523,8080.42,79
2007-09-20 00:00:00+00,23.19,23.23,23.05,23.22,0.3,34033,1576.7,26
2007-09-21 00:00:00+00,23.23,23.75,22.8,23.65,1.85,8959,417.08,22
2007-09-24 00:00:00+00,23.8,23.9,23.61,23.84,0.8,65020,3085.23,68
2007-09-25 00:00:00+00,23.89,23.95,23,23.94,0.42,61946,2919.55,40
2007-09-26 00:00:00+00,23.98,24,23.21,23.91,-0.13,49510,2341.15,17
2007-09-27 00:00:00+00,23.97,24.18,23.3,24.18,1.13,65609,3124.03,28
2007-09-28 00:00:00+00,24.15,24.15,23.51,24,-0.74,24804,1175.01,17
2007-10-01 00:00:00+00,23.11,24.1,23.11,24.1,0.42,20090,955.14,26
2007-10-02 00:00:00+00,24.1,24.1,23.61,24.1,0,13829,664.9,26
2007-10-03 00:00:00+00,23.22,24.05,23.22,24,-0.41,6065,290.58,17
2007-10-04 00:00:00+00,23.5,24.15,23.5,24.1,0.42,22400,1077.99,36
2007-10-05 00:00:00+00,24,24.1,23.76,24.1,0,14403,693.01,26
2007-10-08 00:00:00+00,24.19,24.19,23.65,23.86,-1,564,27.06,6
