date,open,high,low,close,difference,volume,turnover,transactions
2019-06-10 00:00:00+00,20.49,20.49,19.5,20,-1.48,23303,460.72,213
2019-06-11 00:00:00+00,19.4,20,19.01,19.1,-4.5,20716,401.08,221
2019-06-12 00:00:00+00,19.01,19.59,17.28,17.6,-7.85,43950,795.23,456
2019-06-13 00:00:00+00,17.6,19,17.4,17.4,-1.14,22154,398.84,187
2019-06-14 00:00:00+00,17.92,18.4,17.28,18.238,4.82,10654,190.62,105
2019-06-17 00:00:00+00,18.5,18.5,17.5,18.1,-0.76,2768,49.65,45
2019-06-18 00:00:00+00,18.4,18.4,17.2,17.6,-2.76,8101,142.62,101
2019-06-19 00:00:00+00,17.6,17.6,16.2,16.32,-7.27,29762,497.37,277
2019-06-21 00:00:00+00,16.4,17.45,16.4,17.006,4.2,19784,338.32,198
2019-06-24 00:00:00+00,17,17,16.12,16.58,-2.51,5940,98.23,71
2019-06-25 00:00:00+00,16.58,17.69,15.11,17.2,3.74,34757,566.67,340
2019-06-26 00:00:00+00,16.92,17.44,16.412,17.25,0.29,3881,65.85,56
2019-06-27 00:00:00+00,17.55,18.2,17.056,17.25,0,13642,240.37,144
2019-06-28 00:00:00+00,17.5,17.87,16.9,17.7,2.61,8705,151.21,106
2019-07-01 00:00:00+00,18.392,18.99,17.7,18.5,4.52,22291,406.47,185
2019-07-02 00:00:00+00,18.45,20.88,18.45,20.2,9.19,53786,1076.79,407
2019-07-03 00:00:00+00,20.2,20.2,19.322,19.9,-1.49,16329,322.92,133
2019-07-04 00:00:00+00,19.94,20,18.5,19,-4.52,20787,395.98,204
2019-07-05 00:00:00+00,18.8,19,18.1,18.45,-2.89,22144,406.32,158
2019-07-08 00:00:00+00,18.85,19,18.2,18.6,0.81,6075,113.27,66
2019-07-09 00:00:00+00,18.8,19.3,18.6,19,2.15,4909,93.28,59
2019-07-10 00:00:00+00,19.288,19.4,18.8,19.08,0.42,4384,83.69,82
2019-07-11 00:00:00+00,19.294,19.294,18.68,19.248,0.88,3009,57.34,43
2019-07-12 00:00:00+00,19.24,19.24,19,19,-1.29,2142,40.84,55
2019-07-15 00:00:00+00,19.248,20.23,19.2,19.548,2.88,16257,318.96,184
2019-07-16 00:00:00+00,19.796,20.5,19.2,19.7,0.78,20662,410.32,200
2019-07-17 00:00:00+00,20.19,20.3,19.84,20.005,1.55,11558,232.74,91
2019-07-18 00:00:00+00,20.39,20.39,19.7,20.145,0.7,5010,100.37,48
2019-07-19 00:00:00+00,20,20.4,19.74,20.27,0.62,3891,78.21,53
2019-07-22 00:00:00+00,20.28,20.35,19.512,20,-1.33,4576,91.65,66
2019-07-23 00:00:00+00,20.21,20.21,19.5,19.8,-1,5605,109.68,48
2019-07-24 00:00:00+00,19.8,19.8,19.5,19.5,-1.52,3460,67.68,21
2019-07-25 00:00:00+00,19.7,19.7,18.2,18.65,-4.36,26176,489.8,167
2019-07-26 00:00:00+00,18.65,18.7,18.34,18.666,0.09,6890,127.34,77
2019-07-29 00:00:00+00,18.666,18.77,18.3,18.55,-0.62,6098,112.7,72
2019-07-30 00:00:00+00,18.648,19,18.3,18.5,-0.27,4900,90.53,55
2019-07-31 00:00:00+00,18.93,18.93,17.9,18.5,0,10780,196.73,92
2019-08-01 00:00:00+00,18.598,18.598,18.4,18.5,0,3510,64.91,33
2019-08-02 00:00:00+00,18.6,18.6,18.11,18.5,0,2030,37.21,27
2019-08-05 00:00:00+00,18.5,18.5,17.5,17.798,-3.79,6033,108.9,75
2019-08-06 00:00:00+00,17.524,21,17.524,18.46,3.72,93099,1805.65,527
2019-08-07 00:00:00+00,18.8,20.45,18.79,19.95,8.07,31086,605.39,334
2019-08-08 00:00:00+00,20.395,22.3,20.395,21.9,9.77,111742,2390.77,614
2019-08-09 00:00:00+00,22.22,22.5,21.15,21.885,-0.07,36372,795.09,262
2019-08-12 00:00:00+00,21.8,21.995,20.595,21.5,-1.76,22339,471.92,208
2019-08-13 00:00:00+00,21,21.395,20.35,21,-2.33,16714,346.33,136
2019-08-14 00:00:00+00,21.25,21.25,20,20.7,-1.43,16042,328.11,104
2019-08-16 00:00:00+00,20.21,21.19,20.21,21.18,2.32,17547,365.2,156
2019-08-19 00:00:00+00,21.2,22.19,21.2,21.9,3.4,28137,614.83,164
2019-08-20 00:00:00+00,21.9,22.115,21.56,21.99,0.41,16214,353.57,138
2019-08-21 00:00:00+00,21.92,21.97,21.06,21.595,-1.8,10233,219.9,79
2019-08-22 00:00:00+00,21.2,21.495,20.5,21.14,-2.11,9556,200.7,111
2019-08-23 00:00:00+00,21.14,21.74,20.65,21.34,0.95,6585,140.42,74
2019-08-26 00:00:00+00,21.3,23.89,20.9,23.6,10.59,72720,1658.69,558
2019-08-27 00:00:00+00,23.35,24.39,23,23.4,-0.85,59639,1416.23,388
2019-08-28 00:00:00+00,23.7,23.7,22.64,22.8,-2.56,17542,403.1,156
2019-08-29 00:00:00+00,22.98,23.695,22.8,23.3,2.19,7156,165.83,95
2019-08-30 00:00:00+00,23.5,23.7,22.995,23.47,0.73,9288,216.9,123
2019-09-02 00:00:00+00,23.47,23.5,23,23.025,-1.9,9785,227.81,112
2019-09-03 00:00:00+00,23.19,23.29,21.92,22.84,-0.8,19649,439.62,190
