date,open,high,low,close,difference,volume,turnover,transactions
2015-06-24 00:00:00+00,14.7,14.98,14,14.98,-6.2,44541,646.06,253
2015-06-25 00:00:00+00,14.96,15.47,14.41,14.79,-1.27,19113,284.54,129
2015-06-26 00:00:00+00,14.52,14.6,14.21,14.25,-3.65,13966,199.46,100
2015-06-29 00:00:00+00,13,14.11,12,13.98,-1.89,42590,550.8,284
2015-06-30 00:00:00+00,13.6,13.9,13,13.8,-1.29,8106,110.12,68
2015-07-01 00:00:00+00,13.9,14.69,13.9,14.35,3.99,16765,241.6,111
2015-07-02 00:00:00+00,14.3,14.69,14,14.3,-0.35,2833,40.58,44
2015-07-03 00:00:00+00,14.36,14.58,14.1,14.17,-0.91,5182,73.72,55
2015-07-06 00:00:00+00,14.15,14.15,13.53,13.8,-2.61,2127,29.47,34
2015-07-07 00:00:00+00,14.15,14.15,12.65,12.7,-7.97,11950,157.18,99
2015-07-08 00:00:00+00,13.9,13.9,12.02,12.89,1.5,12314,156.19,102
2015-07-09 00:00:00+00,12.99,12.99,12.4,12.97,0.62,11627,147.16,57
2015-07-10 00:00:00+00,12.97,13.5,12.4,13,0.23,14164,181.91,112
2015-07-13 00:00:00+00,13,13.1,12.5,13,0,16130,207.2,98
2015-07-14 00:00:00+00,13.1,15.27,13.1,14.87,14.38,39148,568.53,249
2015-07-15 00:00:00+00,15.2,15.2,14.8,15.06,1.28,18505,278.76,141
2015-07-16 00:00:00+00,15.13,15.5,15.09,15.2,0.93,26139,397.75,130
2015-07-17 00:00:00+00,15.3,15.5,14.95,15,-1.32,12573,193.09,118
2015-07-20 00:00:00+00,15.1,15.1,14.09,14.09,-6.07,12697,182.33,101
2015-07-21 00:00:00+00,14,14.05,13.25,13.78,-2.2,11877,162.09,103
2015-07-22 00:00:00+00,13.8,13.99,13.6,13.79,0.07,2060,28.3,50
2015-07-23 00:00:00+00,13.95,14.18,13.5,13.7,-0.65,3612,49.69,73
2015-07-24 00:00:00+00,13.7,13.99,13.6,13.99,2.12,1955,26.89,28
2015-07-27 00:00:00+00,13.99,13.99,13.41,13.55,-3.15,2415,32.6,43
2015-07-28 00:00:00+00,13.89,13.89,12.95,13.32,-1.7,5722,75.68,74
2015-07-29 00:00:00+00,13.32,13.46,13.11,13.46,1.05,4200,55.47,58
2015-07-30 00:00:00+00,13.46,13.48,12.94,13.2,-1.93,6641,87.18,86
2015-07-31 00:00:00+00,13.38,13.38,12.8,13.13,-0.53,2731,35.4,57
2015-08-03 00:00:00+00,13.24,13.25,12.8,13.06,-0.53,3790,49.36,60
2015-08-04 00:00:00+00,13.24,13.4,12.81,13.19,1,3481,45.86,74
2015-08-05 00:00:00+00,13.05,13.98,13.05,13.94,5.69,7969,108.94,105
2015-08-06 00:00:00+00,13.94,13.94,13.55,13.94,0,2634,36.43,46
2015-08-07 00:00:00+00,13.8,14.88,13.8,14.88,6.74,10775,155.46,123
2015-08-10 00:00:00+00,14.88,15.29,14.81,14.9,0.13,17270,260.48,159
2015-08-11 00:00:00+00,14.97,14.97,13.9,14.06,-5.64,5597,80.43,79
2015-08-12 00:00:00+00,14.58,14.58,13.75,14,-0.43,5333,74.66,74
2015-08-13 00:00:00+00,14,14.7,13.9,14.3,2.14,6335,90.65,53
2015-08-14 00:00:00+00,14.3,14.7,14.26,14.4,0.7,764,10.98,27
2015-08-17 00:00:00+00,14.7,14.7,14.24,14.3,-0.69,2443,35.39,42
2015-08-18 00:00:00+00,14.23,14.3,14.17,14.29,-0.07,2118,30.1,29
2015-08-19 00:00:00+00,14.2,14.22,13.95,13.97,-2.24,3150,44.19,55
2015-08-20 00:00:00+00,14.29,14.29,13.57,14.28,2.22,6137,84.84,55
2015-08-21 00:00:00+00,14.28,14.28,13.65,14,-1.96,3041,42.23,49
2015-08-24 00:00:00+00,13,13.6,11.7,12.15,-13.21,31114,384.77,224
2015-08-25 00:00:00+00,11,12.1,11,11.6,-4.53,14302,167.76,151
2015-08-26 00:00:00+00,12.06,12.14,11.35,11.92,2.76,20369,238.61,185
2015-08-27 00:00:00+00,12.09,13.25,11.9,13.25,11.16,24411,302.58,322
2015-08-28 00:00:00+00,13.25,13.7,12.6,13.3,0.38,8772,116.85,87
2015-08-31 00:00:00+00,13.39,13.39,12.55,12.9,-3.01,5857,75.18,66
2015-09-01 00:00:00+00,12.5,12.66,12,12.1,-6.2,10714,130.74,143
2015-09-02 00:00:00+00,12.01,12.3,12,12.13,0.25,3675,44.71,49
2015-09-03 00:00:00+00,12.2,12.59,12.17,12.59,3.79,3199,39.25,47
2015-09-04 00:00:00+00,12.6,12.7,12.25,12.47,-0.95,3578,44.19,61
2015-09-07 00:00:00+00,12.49,12.65,12.4,12.4,-0.56,1347,16.76,33
2015-09-08 00:00:00+00,12.38,12.5,12.1,12.33,-0.56,1355,16.69,27
2015-09-09 00:00:00+00,12.4,12.99,12.26,12.99,5.35,4154,52.98,72
2015-09-10 00:00:00+00,12.98,13.38,12.82,13.3,2.39,11108,145.38,108
2015-09-11 00:00:00+00,13.3,13.3,12.5,12.66,-4.81,3656,47.13,71
2015-09-14 00:00:00+00,12.85,12.99,12.31,12.59,-0.55,11613,145.52,41
2015-09-15 00:00:00+00,12.42,13.2,12.4,12.75,1.27,4666,60.1,83
2015-09-16 00:00:00+00,12.95,13.25,12.9,12.96,1.65,5614,73.18,98
2015-09-17 00:00:00+00,12.97,13.7,12.96,13.69,5.63,12433,164.84,110
2015-09-18 00:00:00+00,13.9,14.98,13.8,14.2,3.73,32823,474.26,280
2015-09-21 00:00:00+00,14.3,14.7,14.21,14.62,2.96,5427,78.62,82
2015-09-22 00:00:00+00,14.7,14.8,13.72,13.72,-6.16,5647,81.57,93
2015-09-23 00:00:00+00,14,14.25,13.79,14.2,3.5,3462,48.77,61
2015-09-24 00:00:00+00,14.3,14.3,13.75,13.93,-1.9,2940,40.95,51
2015-09-25 00:00:00+00,13.94,14.2,12.81,13.57,-2.58,13038,176.05,131
2015-09-28 00:00:00+00,13.78,13.78,12.96,12.96,-4.5,4997,65.89,67
2015-09-29 00:00:00+00,13.22,13.4,12.97,13.1,1.08,4403,58.69,28
2015-09-30 00:00:00+00,13.6,13.99,13.39,13.99,6.79,2997,41.15,44
2015-10-01 00:00:00+00,13.8,13.87,13.01,13.29,-5,4812,63.92,52
2015-10-02 00:00:00+00,13.45,13.61,13.15,13.36,0.53,1325,17.79,22
2015-10-05 00:00:00+00,13.5,13.59,13.34,13.55,1.42,2140,28.77,25
2015-10-06 00:00:00+00,13.4,13.5,13.2,13.49,-0.44,2085,28.04,25
2015-10-07 00:00:00+00,13.49,13.56,12.97,13.5,0.07,3920,51.73,49
2015-10-08 00:00:00+00,13.02,13.49,12.92,13.49,-0.07,5278,69.53,54
2015-10-09 00:00:00+00,13.49,13.49,13,13.45,-0.3,2421,31.75,28
2015-10-12 00:00:00+00,13.21,13.42,13,13.09,-2.68,5931,77.45,54
2015-10-13 00:00:00+00,13.22,13.55,13.09,13.09,0,3710,49.6,39
2015-10-14 00:00:00+00,13.1,13.43,13,13.28,1.45,5577,73.2,70
2015-10-15 00:00:00+00,13.28,13.39,13.01,13.39,0.83,5194,68.77,64
2015-10-16 00:00:00+00,13.4,13.4,13.23,13.3,-0.67,1517,20.22,35
2015-10-19 00:00:00+00,13.4,14.2,13.26,13.97,5.04,14798,203.37,153
2015-10-20 00:00:00+00,14.06,14.8,14.06,14.37,2.86,23937,347.38,188
2015-10-21 00:00:00+00,14.45,14.58,13.75,14.35,-0.14,10608,150.95,150
2015-10-22 00:00:00+00,14.35,14.35,13.95,14.26,-0.63,4858,68.36,58
2015-10-23 00:00:00+00,14.27,14.27,13.91,14.07,-1.33,3414,47.83,54
2015-10-26 00:00:00+00,13.85,14.15,13.85,14.06,-0.07,2314,32.28,52
2015-10-27 00:00:00+00,14.06,14.06,13.8,13.99,-0.5,3864,53.94,45
2015-10-28 00:00:00+00,13.98,14.35,13.85,14.35,2.57,3754,52.94,60
2015-10-29 00:00:00+00,14.5,14.76,14.2,14.59,1.67,7058,102.63,97
2015-10-30 00:00:00+00,14.6,14.8,14.35,14.5,-0.62,15482,226.56,186
