date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,42.1,43,42.1,42.3,0.48,1145,97.27,25
2005-01-04 00:00:00+00,42.4,42.7,42,42.7,0.95,35987,3023.28,27
2005-01-05 00:00:00+00,44,44.7,43.2,43.5,1.87,9259,813.03,87
2005-01-06 00:00:00+00,43.5,44.9,43.5,44.9,3.22,2145,190.73,27
2005-01-07 00:00:00+00,44.2,45.5,44.2,45.4,1.11,1682,151.84,18
2005-01-10 00:00:00+00,45,45.4,45,45.4,0,5428,488.82,12
2005-01-11 00:00:00+00,45.6,46.3,45.6,46.3,1.98,2132,195.69,44
2005-01-12 00:00:00+00,46.5,49.5,46.5,49.5,6.91,9175,866.8,50
2005-01-13 00:00:00+00,49.5,49.5,49,49.5,0,7517,741.77,58
2005-01-14 00:00:00+00,48.6,49.4,48.5,48.5,-2.02,2991,292.36,41
2005-01-17 00:00:00+00,47.5,49.5,47.5,49.5,2.06,1154,111.29,22
2005-01-18 00:00:00+00,48.1,49.2,48.1,49.2,-0.61,6263,613.63,34
2005-01-19 00:00:00+00,48,52,48,50.5,2.64,42026,4243.98,77
2005-01-20 00:00:00+00,50.6,51.2,49.5,49.5,-1.98,41971,4187.76,44
2005-01-21 00:00:00+00,49.9,49.9,48,48,-3.03,2480,240.53,35
2005-01-24 00:00:00+00,48,50.5,47.3,50.5,5.21,39092,3749.26,65
2005-01-25 00:00:00+00,50.4,50.4,48.6,48.9,-3.17,437,43.35,12
2005-01-26 00:00:00+00,50,50.5,48,48,-1.84,10883,1048.81,22
2005-01-27 00:00:00+00,48.5,49,48,48.5,1.04,3028,296.45,9
2005-01-28 00:00:00+00,48.5,49,48.4,49,1.03,5307,519.05,15
2005-01-31 00:00:00+00,49,49.8,47.7,49,0,4647,458.3,21
2005-02-01 00:00:00+00,48.9,50,48.9,50,2.04,3068,301.81,20
2005-02-02 00:00:00+00,50,50.6,49.5,50.6,1.2,61393,6189.27,41
2005-02-03 00:00:00+00,50.6,50.6,50,50.6,0,29952,3007.29,24
2005-02-04 00:00:00+00,50,51.5,50,51.5,1.78,66579,6852.59,37
2005-02-07 00:00:00+00,50.3,51.9,50.2,51.6,0.19,107860,11109.3,38
2005-02-08 00:00:00+00,52,54,52,54,4.65,18866,1965.93,46
2005-02-09 00:00:00+00,53,53,52.3,52.3,-3.15,10915,1155.58,70
2005-02-10 00:00:00+00,51,53.9,50.5,52.1,-0.38,91705,9625.83,36
2005-02-11 00:00:00+00,53.6,53.6,52,52.1,0,2782,292.99,39
2005-02-14 00:00:00+00,52.1,52.2,50.9,51.9,-0.38,6515,670.39,27
2005-02-15 00:00:00+00,50.4,51,50.4,51,-1.73,6178,629.89,29
2005-02-16 00:00:00+00,51.7,53.7,51.7,52,1.96,8417,893.94,55
2005-02-17 00:00:00+00,53,54,53,54,3.85,25507,2732.77,54
2005-02-18 00:00:00+00,53.5,53.9,52.6,53.9,-0.19,2021,215.86,28
2005-02-21 00:00:00+00,52.7,53.8,52.7,53,-1.67,667,70.85,11
2005-02-22 00:00:00+00,53.9,53.9,51.2,51.2,-3.4,2355,246.64,29
2005-02-23 00:00:00+00,51.3,51.5,51,51,-0.39,6247,638.78,59
2005-02-24 00:00:00+00,50.5,51.2,49.3,50,-1.96,30881,3100.07,55
2005-02-25 00:00:00+00,49.1,49.9,49,49,-2,4251,417.14,45
2005-02-28 00:00:00+00,49,49,48.5,49,0,3056,297.48,17
2005-03-01 00:00:00+00,48.5,48.5,48.2,48.2,-1.63,1284,124.45,15
2005-03-02 00:00:00+00,48.5,49.2,48.5,49,1.66,6587,644.7,29
2005-03-03 00:00:00+00,48.6,49.5,48.5,49.5,1.02,2890,283.5,24
2005-03-04 00:00:00+00,49.8,50.9,49.5,50,1.01,2540,253.5,13
2005-03-07 00:00:00+00,48.9,49.8,48.8,48.8,-2.4,223,21.84,10
2005-03-08 00:00:00+00,49,51,48.6,49.5,1.43,17553,1738.21,25
2005-03-09 00:00:00+00,49.9,50,49.1,50,1.01,8322,831.92,22
2005-03-10 00:00:00+00,50,50,49.3,49.8,-0.4,103806,10359.66,20
2005-03-11 00:00:00+00,49.1,49.7,49.1,49.7,-0.2,101912,10129.25,7
2005-03-14 00:00:00+00,49.5,49.9,49.5,49.5,-0.4,63465,6283.09,12
2005-03-15 00:00:00+00,49.5,49.5,49.3,49.3,-0.4,53774,5323.57,15
2005-03-16 00:00:00+00,49,49.8,48.5,48.5,-1.62,56853,5563.7,40
2005-03-17 00:00:00+00,48.5,49.5,47.5,48,-1.03,6360,615.83,22
2005-03-18 00:00:00+00,46.8,48,46.8,47.7,-0.63,31725,3042.36,14
2005-03-21 00:00:00+00,47.1,47.9,47,47,-1.47,67284,6360.79,31
2005-03-22 00:00:00+00,47,47,47,47,0,21226,1995.24,12
2005-03-23 00:00:00+00,46.4,47.9,46.4,47.4,0.85,1747,165.64,12
2005-03-24 00:00:00+00,47.4,47.4,46.8,46.8,-1.27,429,40.56,8
2005-03-29 00:00:00+00,47.3,47.3,45.5,47,0.43,82926,7658.54,93
2005-03-30 00:00:00+00,47,49,47,49,4.26,691,66.99,13
2005-03-31 00:00:00+00,49,49,48,48.1,-1.84,896,87.64,15
2005-04-01 00:00:00+00,48.9,48.9,47.2,48.1,0,2832,272.46,14
2005-04-04 00:00:00+00,47.4,47.4,46.8,46.8,-2.7,78,7.33,7
2005-04-05 00:00:00+00,46,47.3,46,46.3,-1.07,769,71.25,18
2005-04-06 00:00:00+00,46.5,46.5,46,46.3,0,11549,1069.94,27
2005-04-07 00:00:00+00,47,47,46.1,46.2,-0.22,1415,131.06,6
2005-04-11 00:00:00+00,46.3,46.5,46.1,46.5,0.65,7025,650.11,9
2005-04-12 00:00:00+00,46.1,46.3,46,46.3,-0.43,23001,2129.8,18
2005-04-13 00:00:00+00,47.1,47.1,45.7,46.7,0.86,418,39.16,14
2005-04-14 00:00:00+00,47,47,45.8,46,-1.5,529,49.23,10
2005-04-15 00:00:00+00,46.8,47.1,46,47.1,2.39,532,49.63,18
2005-04-18 00:00:00+00,45.4,45.6,45.3,45.6,-3.18,125,11.36,5
2005-04-19 00:00:00+00,45,45.6,45,45.4,-0.44,18056,1638.64,25
2005-04-20 00:00:00+00,46.5,46.5,45,45.4,0,17909,1623.66,11
2005-04-21 00:00:00+00,46,46,45,46,1.32,25382,2294.71,7
2005-04-22 00:00:00+00,44.6,45.1,44.6,45,-2.17,55450,4990.46,28
2005-04-25 00:00:00+00,45,45,45,45,0,20,1.8,1
2005-04-26 00:00:00+00,45.9,45.9,44.5,44.5,-1.11,94,8.43,4
2005-04-27 00:00:00+00,44.1,44.5,44.1,44.5,0,14117,1256.4,11
2005-04-28 00:00:00+00,44.5,46.2,44.5,46,3.37,4210,386.28,25
2005-04-29 00:00:00+00,46,47.5,46,47.5,3.26,8105,747.07,9
2005-05-02 00:00:00+00,47.5,47.5,47,47,-1.05,275,26.03,3
2005-05-04 00:00:00+00,47,47.5,46,47,0,28187,2649.52,20
2005-05-05 00:00:00+00,46.3,47,46.3,47,0,10899,1024.48,7
2005-05-06 00:00:00+00,47.5,47.6,47.5,47.6,1.28,587,55.77,8
2005-05-09 00:00:00+00,48,50,48,49.5,3.99,729,71.87,13
2005-05-10 00:00:00+00,49.2,49.2,49.2,49.2,-0.61,68,6.69,1
2005-05-11 00:00:00+00,49,49,47.1,47.2,-4.07,5748,554.07,16
2005-05-12 00:00:00+00,47.2,48.5,46.1,46.2,-2.12,1098,102.34,12
2005-05-13 00:00:00+00,46.4,46.7,46.4,46.6,0.87,574,53.57,5
