date,open,high,low,close,difference,volume,turnover,transactions
2014-04-29 00:00:00+00,57,59.82,57,57.5,1.41,3751,222.72,17
2014-04-30 00:00:00+00,56.09,56.47,54.96,55.8,-2.96,102307,5672.03,10
2014-05-02 00:00:00+00,55.75,55.75,55.75,55.75,-0.09,30,1.67,1
2014-05-05 00:00:00+00,0,0,0,55.75,0,0,0,0
2014-05-06 00:00:00+00,57,58.1,57,58.1,4.22,8620,500.81,3
2014-05-07 00:00:00+00,56.85,56.85,56.85,56.85,-2.15,5000,284.25,1
2014-05-08 00:00:00+00,56.9,56.9,55.77,55.77,-1.9,850,48.12,3
2014-05-09 00:00:00+00,55.71,55.71,55.71,55.71,-0.11,35,1.95,1
2014-05-12 00:00:00+00,56,56,55.71,55.71,0,502,27.97,2
2014-05-13 00:00:00+00,55.54,55.54,55.54,55.54,-0.31,20,1.11,1
2014-05-14 00:00:00+00,55.54,55.54,55.54,55.54,0,12,0.67,1
2014-05-15 00:00:00+00,55,55.54,55,55.54,0,148,8.22,3
2014-05-16 00:00:00+00,0,0,0,55.54,0,0,0,0
2014-05-19 00:00:00+00,56.2,56.2,56.2,56.2,1.19,400,22.48,1
2014-05-20 00:00:00+00,0,0,0,56.2,0,0,0,0
2014-05-21 00:00:00+00,0,0,0,56.2,0,0,0,0
2014-05-22 00:00:00+00,56.2,58,56.2,58,3.2,495,28.4,6
2014-05-23 00:00:00+00,58,58,58,58,0,19,1.1,1
2014-05-26 00:00:00+00,57.7,57.7,57.7,57.7,-0.52,21729,1253.76,1
2014-05-27 00:00:00+00,58,58.33,58,58.33,1.09,3875,226.01,4
2014-05-28 00:00:00+00,0,0,0,58.33,0,0,0,0
2014-05-29 00:00:00+00,0,0,0,58.33,0,0,0,0
2014-05-30 00:00:00+00,0,0,0,58.33,0,0,0,0
2014-06-02 00:00:00+00,0,0,0,58.33,0,0,0,0
2014-06-03 00:00:00+00,56.75,56.75,53.18,56.43,-3.26,31500,1697.04,10
2014-06-04 00:00:00+00,56.67,56.67,53.01,56.5,0.12,16071,873.14,11
2014-06-05 00:00:00+00,0,0,0,56.5,0,0,0,0
2014-06-06 00:00:00+00,58.2,58.2,58.2,58.2,3.01,475,27.65,1
2014-06-09 00:00:00+00,57.7,57.7,57.7,57.7,-0.86,16,0.92,1
2014-06-10 00:00:00+00,58.21,58.21,58.21,58.21,0.88,5400,314.33,1
2014-06-11 00:00:00+00,58.22,58.88,58.22,58.88,1.15,10113,594.89,4
2014-06-12 00:00:00+00,55.94,57.91,55.94,57.91,-1.65,12,0.68,2
2014-06-13 00:00:00+00,0,0,0,57.91,0,0,0,0
2014-06-16 00:00:00+00,58.09,59,58.09,58.94,1.78,8686,511.51,6
2014-06-17 00:00:00+00,58.3,58.3,58.3,58.3,-1.09,50,2.92,1
2014-06-18 00:00:00+00,57.9,58,57.53,58,-0.51,518,30.04,3
2014-06-20 00:00:00+00,57.73,60.34,57.73,60.34,4.03,52012,3090.92,23
2014-06-23 00:00:00+00,59.29,59.29,58.92,59.2,-1.89,8338,494.29,4
2014-06-24 00:00:00+00,59.68,59.68,59.62,59.65,0.76,15,0.89,5
2014-06-25 00:00:00+00,59.93,59.93,59.93,59.93,0.47,4,0.24,1
2014-06-26 00:00:00+00,60.85,60.9,59,59.7,-0.38,3876,231.26,10
2014-06-27 00:00:00+00,60.9,60.9,59.85,60.12,0.7,14,0.84,3
2014-06-30 00:00:00+00,59.7,60,59.3,59.3,-1.36,9263,552.88,3
2014-07-01 00:00:00+00,58.8,58.8,58.8,58.8,-0.84,5500,323.4,2
2014-07-02 00:00:00+00,0,0,0,58.8,0,0,0,0
2014-07-03 00:00:00+00,0,0,0,58.8,0,0,0,0
2014-07-04 00:00:00+00,60,60,60,60,2.04,480,28.8,2
2014-07-07 00:00:00+00,59.4,59.4,59.4,59.4,-1,4,0.24,1
2014-07-08 00:00:00+00,58.89,58.89,58.59,58.59,-1.36,600,35.21,2
2014-07-09 00:00:00+00,58.45,59.65,58.45,59.65,1.81,760,44.88,2
2014-07-10 00:00:00+00,58.57,58.57,58.57,58.57,-1.81,30,1.76,1
2014-07-11 00:00:00+00,58.5,58.57,58.3,58.57,0,35045,2051.65,6
2014-07-14 00:00:00+00,58.3,58.41,58.3,58.41,-0.27,30400,1775.62,2
2014-07-15 00:00:00+00,58.12,58.55,58.04,58.55,0.24,21521,1259.45,5
2014-07-16 00:00:00+00,58.5,58.64,58.5,58.64,0.15,10723,628.73,4
2014-07-17 00:00:00+00,58.32,61,58.32,61,4.02,713,42.09,3
2014-07-18 00:00:00+00,55.04,59.26,55.04,59.02,-3.25,687,40.58,5
2014-07-21 00:00:00+00,58.79,59,58.79,59,-0.03,800,47.1,2
2014-07-22 00:00:00+00,59,59.2,58.98,58.98,-0.03,741,43.75,4
2014-07-23 00:00:00+00,58.63,59.32,58.63,59.32,0.58,550,32.45,2
2014-07-24 00:00:00+00,60.01,60.01,60.01,60.01,1.16,256,15.36,1
2014-07-25 00:00:00+00,60.5,60.5,60.41,60.41,0.67,723,43.7,3
2014-07-28 00:00:00+00,56.51,59.92,56.51,59.92,-0.81,6,0.35,2
2014-07-29 00:00:00+00,0,0,0,59.92,0,0,0,0
2014-07-30 00:00:00+00,0,0,0,59.92,0,0,0,0
2014-07-31 00:00:00+00,56.92,60,56.92,60,0.13,2349,140.26,4
2014-08-01 00:00:00+00,59.14,59.14,59.14,59.14,-1.43,900,53.23,1
2014-08-04 00:00:00+00,0,0,0,59.14,0,0,0,0
2014-08-05 00:00:00+00,60.85,60.85,58.67,58.67,-0.79,3127,185.85,5
2014-08-06 00:00:00+00,0,0,0,58.67,0,0,0,0
2014-08-07 00:00:00+00,0,0,0,58.67,0,0,0,0
2014-08-08 00:00:00+00,0,0,0,58.67,0,0,0,0
2014-08-11 00:00:00+00,0,0,0,58.67,0,0,0,0
2014-08-12 00:00:00+00,0,0,0,58.67,0,0,0,0
2014-08-13 00:00:00+00,0,0,0,58.67,0,0,0,0
2014-08-14 00:00:00+00,58.59,58.59,58.59,58.59,-0.14,3,0.18,1
2014-08-18 00:00:00+00,58.59,58.59,58.59,58.59,0,1,0.06,1
2014-08-19 00:00:00+00,0,0,0,58.59,0,0,0,0
2014-08-20 00:00:00+00,0,0,0,58.59,0,0,0,0
2014-08-21 00:00:00+00,59.81,59.81,59.81,59.81,2.08,31,1.85,1
2014-08-22 00:00:00+00,60,60.1,60,60.1,0.48,52,3.12,2
2014-08-25 00:00:00+00,0,0,0,60.1,0,0,0,0
2014-08-26 00:00:00+00,0,0,0,60.1,0,0,0,0
2014-08-27 00:00:00+00,60.8,60.9,60.8,60.9,1.33,725,44.13,2
2014-08-28 00:00:00+00,61.38,62.1,61.38,62.1,1.97,207,12.84,2
2014-08-29 00:00:00+00,0,0,0,62.1,0,0,0,0
2014-09-01 00:00:00+00,63,63,63,63,1.45,1,0.06,1
2014-09-02 00:00:00+00,63.14,63.58,63.14,63.58,0.92,2521,159.61,2
2014-09-03 00:00:00+00,0,0,0,63.58,0,0,0,0
2014-09-04 00:00:00+00,62.25,62.25,62.25,62.25,-2.09,9000,560.25,1
2014-09-05 00:00:00+00,0,0,0,62.25,0,0,0,0
2014-09-08 00:00:00+00,62,62.39,62,62.39,0.22,12,0.75,2
2014-09-09 00:00:00+00,0,0,0,62.39,0,0,0,0
2014-09-10 00:00:00+00,0,0,0,62.39,0,0,0,0
2014-09-11 00:00:00+00,64.11,64.11,64.11,64.11,2.76,1900,121.81,1
2014-09-12 00:00:00+00,0,0,0,64.11,0,0,0,0
2014-09-15 00:00:00+00,61.92,61.92,61.92,61.92,-3.42,1,0.06,1
2014-09-16 00:00:00+00,0,0,0,61.92,0,0,0,0
2014-09-17 00:00:00+00,0,0,0,61.92,0,0,0,0
2014-09-18 00:00:00+00,62,62,62,62,0.13,44,2.73,1
2014-09-19 00:00:00+00,63.2,63.7,63.1,63.7,2.74,30000,1897.42,7
2014-09-22 00:00:00+00,63.76,63.76,63.76,63.76,0.09,365,23.27,1
2014-09-23 00:00:00+00,62.6,62.6,62.6,62.6,-1.82,22,1.38,1
2014-09-24 00:00:00+00,0,0,0,62.6,0,0,0,0
2014-09-25 00:00:00+00,62,63.43,62,62.5,-0.16,5669,355.4,7
2014-09-26 00:00:00+00,63,63,63,63,0.8,355,22.37,1
2014-09-29 00:00:00+00,0,0,0,63,0,0,0,0
2014-09-30 00:00:00+00,63,64.7,63,64.7,2.7,1207,78.05,5
2014-10-01 00:00:00+00,0,0,0,64.7,0,0,0,0
2014-10-02 00:00:00+00,0,0,0,64.7,0,0,0,0
2014-10-03 00:00:00+00,0,0,0,64.7,0,0,0,0
2014-10-06 00:00:00+00,63.92,63.92,63.92,63.92,-1.21,37,2.37,1
2014-10-07 00:00:00+00,0,0,0,63.92,0,0,0,0
2014-10-08 00:00:00+00,63.8,63.89,63.8,63.89,-0.05,3000,191.57,3
2014-10-09 00:00:00+00,63.75,63.75,63.75,63.75,-0.22,500,31.88,1
2014-10-10 00:00:00+00,0,0,0,63.75,0,0,0,0
2014-10-13 00:00:00+00,64.65,64.65,64.65,64.65,1.41,8255,533.69,5
2014-10-14 00:00:00+00,64.34,64.34,64.2,64.2,-0.7,3820,245.25,3
2014-10-15 00:00:00+00,0,0,0,64.2,0,0,0,0
2014-10-16 00:00:00+00,60.49,60.64,59.66,60.64,-5.55,2050,124.11,3
2014-10-17 00:00:00+00,0,0,0,60.64,0,0,0,0
2014-10-20 00:00:00+00,60.24,60.24,60.04,60.04,-0.99,12,0.72,2
2014-10-21 00:00:00+00,0,0,0,60.04,0,0,0,0
2014-10-22 00:00:00+00,60.6,60.6,60.6,60.6,0.93,3,0.18,1
2014-10-23 00:00:00+00,0,0,0,60.6,0,0,0,0
2014-10-24 00:00:00+00,0,0,0,60.6,0,0,0,0
2014-10-27 00:00:00+00,0,0,0,60.6,0,0,0,0
2014-10-28 00:00:00+00,0,0,0,60.6,0,0,0,0
2014-10-29 00:00:00+00,0,0,0,60.6,0,0,0,0
2014-10-30 00:00:00+00,0,0,0,60.6,0,0,0,0
2014-10-31 00:00:00+00,0,0,0,60.6,0,0,0,0
2014-11-03 00:00:00+00,0,0,0,60.6,0,0,0,0
2014-11-04 00:00:00+00,0,0,0,60.6,0,0,0,0
2014-11-05 00:00:00+00,0,0,0,60.6,0,0,0,0
2014-11-06 00:00:00+00,60.6,63,60.6,63,3.96,123,7.74,2
2014-11-07 00:00:00+00,0,0,0,63,0,0,0,0
2014-11-10 00:00:00+00,0,0,0,63,0,0,0,0
2014-11-12 00:00:00+00,0,0,0,63,0,0,0,0
2014-11-13 00:00:00+00,57,62.6,57,62.6,-0.63,6,0.36,2
2014-11-14 00:00:00+00,0,0,0,62.6,0,0,0,0
2014-11-17 00:00:00+00,0,0,0,62.6,0,0,0,0
2014-11-18 00:00:00+00,62.72,62.72,62.72,62.72,0.19,3,0.19,1
2014-11-19 00:00:00+00,0,0,0,62.72,0,0,0,0
2014-11-20 00:00:00+00,62.8,62.8,62.8,62.8,0.13,12,0.75,1
2014-11-21 00:00:00+00,0,0,0,62.8,0,0,0,0
2014-11-24 00:00:00+00,0,0,0,62.8,0,0,0,0
2014-11-25 00:00:00+00,62.8,62.8,62.8,62.8,0,2,0.13,1
2014-11-26 00:00:00+00,62.5,62.5,62.5,62.5,-0.48,3,0.19,1
2014-11-27 00:00:00+00,62.81,62.83,62.81,62.83,0.53,53,3.33,2
2014-11-28 00:00:00+00,0,0,0,62.83,0,0,0,0
2014-12-01 00:00:00+00,0,0,0,62.83,0,0,0,0
2014-12-02 00:00:00+00,65.02,65.02,65.02,65.02,3.49,683,44.41,3
