date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,96.6,98.1,94.5,95.5,-1.55,14180,2751.7,143
2005-01-04 00:00:00+00,95.5,95.6,94.5,95.5,0,70405,13431.57,111
2005-01-05 00:00:00+00,94.5,95.1,94.4,95,-0.52,180856,34357.7,250
2005-01-06 00:00:00+00,94,96,94,95.5,0.53,36153,6906.74,146
2005-01-07 00:00:00+00,95.5,96,95,95.2,-0.31,52898,10127.91,163
2005-01-10 00:00:00+00,95.2,95.5,94.3,95,-0.21,27668,5258.25,155
2005-01-11 00:00:00+00,95,95,92.5,93.1,-2,75718,14109.13,198
2005-01-12 00:00:00+00,93,94.5,92.7,94.2,1.18,50731,9530.6,89
2005-01-13 00:00:00+00,94.2,94.8,93.7,94.2,0,29956,5648.25,70
2005-01-14 00:00:00+00,94.2,96.3,94.2,96.3,2.23,12784,2430.48,71
2005-01-17 00:00:00+00,97,97.5,95.5,97,0.73,33191,6439.29,100
2005-01-18 00:00:00+00,96.1,96.7,91,91,-6.19,27074,5169.77,121
2005-01-19 00:00:00+00,92.5,94,92.5,93,2.2,88192,16404.47,302
2005-01-20 00:00:00+00,93,94.6,91.1,92,-1.08,186635,34331.69,266
2005-01-21 00:00:00+00,91.2,92.9,91.2,91.4,-0.65,791,144.81,29
2005-01-24 00:00:00+00,90.9,91.4,90.3,91,-0.44,59371,10790.82,126
2005-01-25 00:00:00+00,91.9,92.2,91,92,1.1,107147,19576.33,158
2005-01-26 00:00:00+00,92.7,92.8,91.4,92,0,6884,1273.58,77
2005-01-27 00:00:00+00,92.3,93,92.3,92.6,0.65,6922,1284.49,46
2005-01-28 00:00:00+00,93,94,92.6,92.8,0.22,30238,5654.01,146
2005-01-31 00:00:00+00,93.2,94,93.2,93.8,1.08,24811,4652.32,144
2005-02-01 00:00:00+00,93.8,96.8,93.4,96.5,2.88,88589,16951.74,294
2005-02-02 00:00:00+00,97,97.8,94.6,94.6,-1.97,43955,8518.45,115
2005-02-03 00:00:00+00,94.2,96.5,94,95.9,1.37,117823,22405.67,114
2005-02-04 00:00:00+00,94,95.7,94,95,-0.94,20003,3810.54,76
2005-02-07 00:00:00+00,95,97.2,94.5,97.1,2.21,10894,2091.61,131
2005-02-08 00:00:00+00,97.1,97.1,95.6,96.4,-0.72,26097,5044.16,95
2005-02-09 00:00:00+00,96.5,97,95.6,96,-0.41,25465,4920.71,104
2005-02-10 00:00:00+00,97.1,97.1,94.7,95,-1.04,16963,3275.27,90
2005-02-11 00:00:00+00,96,96.3,94.6,94.6,-0.42,28859,5533.98,92
2005-02-14 00:00:00+00,95,95.9,94.6,95.5,0.95,59872,11431.65,119
2005-02-15 00:00:00+00,95.4,95.9,92.6,94.7,-0.84,36106,6868.57,149
2005-02-16 00:00:00+00,94.7,97.5,94.1,97.4,2.85,87815,17019.94,173
2005-02-17 00:00:00+00,97.7,101.5,97.7,100.5,3.18,87310,17483.91,379
2005-02-18 00:00:00+00,99.6,105.5,99,103,2.49,147928,30402.17,321
2005-02-21 00:00:00+00,100.5,106.5,100.5,104.5,1.46,80592,16882.23,295
2005-02-22 00:00:00+00,104.5,105.5,102,103,-1.44,23520,4858.1,219
2005-02-23 00:00:00+00,101,103.5,99.5,103,0,41078,8371.67,198
2005-02-24 00:00:00+00,103,104.5,103,103.5,0.49,62419,12960.3,109
2005-02-25 00:00:00+00,105,106.5,104,104,0.48,117521,24799.11,321
2005-02-28 00:00:00+00,104,105,102.5,104,0,73626,15321.25,132
