date,open,high,low,close,difference,volume,turnover,transactions
2017-12-19 00:00:00+00,0,0,0,389.5,0,0,0,0
2017-12-20 00:00:00+00,0,0,0,389.5,0,0,0,0
2017-12-21 00:00:00+00,0,0,0,389.5,0,0,0,0
2017-12-22 00:00:00+00,0,0,0,389.5,0,0,0,0
2017-12-27 00:00:00+00,0,0,0,389.5,0,0,0,0
2017-12-28 00:00:00+00,0,0,0,389.5,0,0,0,0
2017-12-29 00:00:00+00,0,0,0,389.5,0,0,0,0
2018-01-03 00:00:00+00,0,0,0,389.5,0,0,0,0
2018-01-04 00:00:00+00,400,400,400,400,2.7,100,40,3
2018-01-05 00:00:00+00,404.2,404.2,400,400,0,43,17.28,3
2018-01-08 00:00:00+00,400,400,400,400,0,3,1.2,1
2018-01-09 00:00:00+00,385,400.2,385,400.2,0.05,75,29.3,6
2018-01-10 00:00:00+00,380,380,380,380,-5.05,39,14.82,2
2018-01-11 00:00:00+00,380,387,380,387,1.84,81,30.98,5
2018-01-12 00:00:00+00,381,381,380,380,-1.81,20,7.61,2
2018-01-15 00:00:00+00,385,385,385,385,1.32,20,7.7,2
2018-01-16 00:00:00+00,393.5,402.8,393.5,402.8,4.62,70,27.89,3
2018-01-17 00:00:00+00,0,0,0,402.8,0,0,0,0
2018-01-18 00:00:00+00,402.8,402.8,402.8,402.8,0,1,0.4,1
2018-01-19 00:00:00+00,0,0,0,402.8,0,0,0,0
2018-01-22 00:00:00+00,402.8,402.8,402.8,402.8,0,10,4.03,1
2018-01-23 00:00:00+00,0,0,0,402,0,0,0,0
2018-01-24 00:00:00+00,0,0,0,402,0,0,0,0
2018-01-25 00:00:00+00,0,0,0,402,0,0,0,0
2018-01-26 00:00:00+00,0,0,0,402,0,0,0,0
2018-01-29 00:00:00+00,0,0,0,402,0,0,0,0
2018-01-30 00:00:00+00,0,0,0,402,0,0,0,0
2018-01-31 00:00:00+00,0,0,0,402,0,0,0,0
2018-02-01 00:00:00+00,396,396,396,396,-1.49,3,1.19,1
2018-02-02 00:00:00+00,0,0,0,396,0,0,0,0
2018-02-05 00:00:00+00,0,0,0,396,0,0,0,0
2018-02-06 00:00:00+00,0,0,0,396,0,0,0,0
2018-02-07 00:00:00+00,400,400,400,400,1.01,5,2,2
2018-02-08 00:00:00+00,0,0,0,400,0,0,0,0
2018-02-09 00:00:00+00,386,400,386,400,0,6,2.33,2
2018-02-12 00:00:00+00,400,400,400,400,0,3,1.2,1
2018-02-13 00:00:00+00,0,0,0,400,0,0,0,0
2018-02-14 00:00:00+00,396,396,396,396,-1,28,11.09,1
2018-02-15 00:00:00+00,0,0,0,396,0,0,0,0
2018-02-16 00:00:00+00,382,382,382,382,-3.54,20,7.64,1
2018-02-19 00:00:00+00,0,0,0,382,0,0,0,0
2018-02-20 00:00:00+00,0,0,0,382,0,0,0,0
2018-02-21 00:00:00+00,0,0,0,382,0,0,0,0
2018-02-22 00:00:00+00,0,0,0,382,0,0,0,0
