date,open,high,low,close,difference,volume,turnover,transactions
2007-12-07 00:00:00+00,0.96,1.01,0.95,1.01,5.21,1784769,3530.35,406
2007-12-10 00:00:00+00,1.02,1.09,0.99,1.05,3.96,1677869,3534.52,487
2007-12-11 00:00:00+00,1.06,1.07,0.99,1,-4.76,1084855,2211.89,346
2007-12-12 00:00:00+00,0.96,1.02,0.96,1.01,1,1428045,2830.5,321
2007-12-13 00:00:00+00,0.99,1,0.95,0.95,-5.94,1249238,2420.37,356
2007-12-14 00:00:00+00,0.96,0.96,0.92,0.92,-3.16,676781,1267.07,209
2007-12-17 00:00:00+00,0.91,0.92,0.86,0.86,-6.52,1782838,3133.38,332
2007-12-18 00:00:00+00,0.84,0.87,0.8,0.86,0,1605278,2685.01,370
2007-12-19 00:00:00+00,0.86,0.87,0.81,0.83,-3.49,2106754,3526.19,243
2007-12-20 00:00:00+00,0.83,0.86,0.78,0.79,-4.82,1730935,2795.6,492
2007-12-21 00:00:00+00,0.8,0.82,0.78,0.79,0,1853525,2957.03,484
2007-12-27 00:00:00+00,0.8,0.82,0.8,0.82,3.8,323120,524.91,140
2007-12-28 00:00:00+00,0.82,0.86,0.82,0.83,1.22,573703,962.4,234
2008-01-02 00:00:00+00,0.81,0.85,0.81,0.84,1.2,358337,595.66,106
2008-01-03 00:00:00+00,0.83,0.86,0.81,0.85,1.19,830203,1385.21,196
2008-01-04 00:00:00+00,0.85,0.9,0.83,0.85,0,1243379,2164.23,301
2008-01-07 00:00:00+00,0.83,0.84,0.81,0.83,-2.35,618513,1016.57,205
2008-01-08 00:00:00+00,0.83,0.84,0.81,0.83,0,609831,1001.63,162
2008-01-09 00:00:00+00,0.8,0.81,0.77,0.78,-6.02,865171,1358.34,212
2008-01-10 00:00:00+00,0.78,0.79,0.73,0.75,-3.85,824117,1262.72,214
2008-01-11 00:00:00+00,0.76,0.79,0.75,0.75,0,610203,936.35,163
2008-01-14 00:00:00+00,0.74,0.77,0.72,0.76,1.33,483978,710.4,169
2008-01-15 00:00:00+00,0.76,0.78,0.7,0.71,-6.58,463554,678.85,201
2008-01-16 00:00:00+00,0.66,0.69,0.64,0.65,-8.45,1245606,1646.78,363
2008-01-17 00:00:00+00,0.68,0.7,0.65,0.68,4.62,568040,767.12,182
