date,open,high,low,close,difference,volume,turnover,transactions
2008-06-02 00:00:00+00,0,0,0,10.7,0,0,0,0
2008-06-03 00:00:00+00,10.49,10.69,10.49,10.69,-0.09,25000,524.53,8
2008-06-04 00:00:00+00,10.68,10.68,10.68,10.68,-0.09,300,6.41,2
2008-06-05 00:00:00+00,0,0,0,10.68,0,0,0,0
2008-06-06 00:00:00+00,10.6,10.6,10.6,10.6,-0.75,7000,148.4,3
2008-06-09 00:00:00+00,0,0,0,10.6,0,0,0,0
2008-06-10 00:00:00+00,10.2,10.2,10.1,10.1,-4.72,275,5.57,2
2008-06-11 00:00:00+00,10.1,10.49,10.1,10.49,3.86,10140,204.94,3
2008-06-12 00:00:00+00,0,0,0,10.49,0,0,0,0
2008-06-13 00:00:00+00,10.49,10.49,10.02,10.02,-4.48,301,6.03,2
2008-06-16 00:00:00+00,10.02,10.02,10.02,10.02,0,1000,20.04,3
2008-06-17 00:00:00+00,10.02,10.1,10.02,10.1,0.8,4001,80.82,3
2008-06-18 00:00:00+00,10.4,10.4,10.4,10.4,2.97,1,0.02,1
2008-06-19 00:00:00+00,10.49,10.49,10.49,10.49,0.87,1,0.02,1
2008-06-20 00:00:00+00,10.49,10.49,10.49,10.49,0,1,0.02,1
2008-06-23 00:00:00+00,10,10,10,10,-4.67,1720,34.4,4
2008-06-24 00:00:00+00,10.1,10.5,10.1,10.3,3,1700,34.8,4
2008-06-25 00:00:00+00,10.49,10.49,10.49,10.49,1.84,1,0.02,1
2008-06-26 00:00:00+00,10.29,10.49,10,10.49,0,2121,43.54,5
2008-06-27 00:00:00+00,10.3,10.3,10.3,10.3,-1.81,750,15.45,1
2008-06-30 00:00:00+00,10.3,10.3,10.3,10.3,0,1,0.02,1
2008-07-01 00:00:00+00,9.83,9.83,9.83,9.83,-4.56,800,15.73,1
2008-07-02 00:00:00+00,0,0,0,9.83,0,0,0,0
2008-07-03 00:00:00+00,0,0,0,9.83,0,0,0,0
2008-07-04 00:00:00+00,0,0,0,9.83,0,0,0,0
2008-07-07 00:00:00+00,0,0,0,9.83,0,0,0,0
2008-07-08 00:00:00+00,9.85,9.85,9.85,9.85,0.2,800,15.76,1
2008-07-09 00:00:00+00,9.85,10.3,9.85,10.3,4.57,1800,36.26,4
2008-07-10 00:00:00+00,10.5,10.5,10.5,10.5,1.94,100,2.1,1
2008-07-11 00:00:00+00,10,10.5,10,10.5,0,158,3.31,2
2008-07-14 00:00:00+00,10.5,10.5,10.5,10.5,0,1,0.02,1
2008-07-15 00:00:00+00,10.5,10.5,10.5,10.5,0,1,0.02,1
2008-07-16 00:00:00+00,10,10,10,10,-4.76,750,15,1
2008-07-17 00:00:00+00,10,10,10,10,0,500,10,2
2008-07-18 00:00:00+00,10,10,10,10,0,1,0.02,1
2008-07-21 00:00:00+00,10,10,10,10,0,750,15,1
2008-07-22 00:00:00+00,10.4,10.4,9.91,10.4,4,299,6.12,4
2008-07-23 00:00:00+00,10.4,10.4,10.4,10.4,0,100,2.08,1
2008-07-24 00:00:00+00,9.93,10.94,9.93,10.94,5.19,1110,23.18,7
2008-07-25 00:00:00+00,11.02,11.02,11.02,11.02,0.73,100,2.2,1
2008-07-28 00:00:00+00,10.95,11,10.95,11,-0.18,200,4.39,2
2008-07-29 00:00:00+00,11,11,10.48,10.48,-4.73,861,18.05,3
2008-07-30 00:00:00+00,10.55,10.8,10.55,10.8,3.05,800,16.9,3
2008-07-31 00:00:00+00,10.95,10.95,10.95,10.95,1.39,170,3.72,1
