date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,6.25,6.55,6.2,6.55,0,3106,39.28,15
2005-01-04 00:00:00+00,0,0,0,6.55,0,0,0,0
2005-01-05 00:00:00+00,6.2,6.4,6.1,6.4,-2.29,2241,27.99,14
2005-01-06 00:00:00+00,6.1,6.2,6,6.15,-3.91,2565,31.49,13
2005-01-07 00:00:00+00,6.2,6.55,6.1,6.55,6.5,576,7.3,6
2005-01-10 00:00:00+00,6.4,6.4,6.25,6.25,-4.58,1180,14.99,5
2005-01-11 00:00:00+00,6.05,6.3,6.05,6.3,0.8,571,6.96,8
2005-01-12 00:00:00+00,6.05,6.15,6,6.05,-3.97,4092,49.7,18
2005-01-13 00:00:00+00,6.05,6.1,6,6.05,0,2825,34.04,18
2005-01-14 00:00:00+00,6.1,6.15,6,6,-0.83,1657,20.1,12
2005-01-17 00:00:00+00,6,6,5.5,5.7,-5,11552,134.72,43
2005-01-18 00:00:00+00,5.85,5.85,5.65,5.65,-0.88,1911,21.95,13
2005-01-19 00:00:00+00,5.65,5.85,5.55,5.85,3.54,2003,22.63,12
2005-01-20 00:00:00+00,5.9,5.9,5.85,5.9,0.85,1750,20.6,10
2005-01-21 00:00:00+00,5.8,5.85,5.5,5.55,-5.93,2441,27.8,14
2005-01-24 00:00:00+00,5.5,5.6,5.3,5.3,-4.5,3866,42.22,15
2005-01-25 00:00:00+00,5.65,5.75,5.35,5.7,7.55,476,5.22,7
2005-01-26 00:00:00+00,5.8,5.85,5.6,5.7,0,6551,75.16,23
2005-01-27 00:00:00+00,5.7,5.9,5.7,5.75,0.88,3545,41.27,19
2005-01-28 00:00:00+00,5.75,5.8,5.6,5.8,0.87,2690,30.66,12
2005-01-31 00:00:00+00,5.95,5.95,5.6,5.8,0,1502,17.4,7
2005-02-01 00:00:00+00,5.75,5.8,5.6,5.8,0,2162,24.71,14
2005-02-02 00:00:00+00,5.8,6,5.6,6,3.45,4279,50.25,30
2005-02-03 00:00:00+00,5.85,6.6,5.75,6.4,6.67,30379,382.72,117
2005-02-04 00:00:00+00,6.4,6.4,6.15,6.15,-3.91,9054,113.9,31
2005-02-07 00:00:00+00,6.15,6.15,5.9,6.15,0,9371,112.54,35
2005-02-08 00:00:00+00,6.15,6.15,5.95,6,-2.44,6606,79.55,26
2005-02-09 00:00:00+00,5.95,6.05,5.85,5.85,-2.5,2682,31.92,12
2005-02-10 00:00:00+00,5.8,6,5.7,5.85,0,1924,22.5,13
2005-02-11 00:00:00+00,6,6,5.9,5.95,1.71,995,11.79,7
2005-02-14 00:00:00+00,5.75,6.05,5.75,5.8,-2.52,7375,86.3,25
2005-02-15 00:00:00+00,5.75,5.85,5.65,5.85,0.86,3392,38.84,12
2005-02-16 00:00:00+00,5.85,5.95,5.8,5.9,0.85,5201,61.09,26
2005-02-17 00:00:00+00,5.75,5.8,5.6,5.8,-1.69,1989,22.83,8
2005-02-18 00:00:00+00,5.85,5.85,5.75,5.75,-0.86,211,2.46,3
2005-02-21 00:00:00+00,5.8,5.8,5.8,5.8,0.87,800,9.28,4
2005-02-22 00:00:00+00,5.85,5.85,5.7,5.7,-1.72,1496,17.1,8
2005-02-23 00:00:00+00,5.7,6.05,5.7,5.95,4.39,18568,217.43,34
2005-02-24 00:00:00+00,5.9,6,5.8,5.85,-1.68,1208,14.18,12
2005-02-25 00:00:00+00,5.85,5.85,5.7,5.7,-2.56,9805,112.57,22
2005-02-28 00:00:00+00,5.8,5.8,5.6,5.6,-1.75,3971,45.22,12
2005-03-01 00:00:00+00,5.8,5.8,5.75,5.8,3.57,16,0.18,3
2005-03-02 00:00:00+00,5.75,5.75,5.55,5.55,-4.31,1172,13.1,8
2005-03-03 00:00:00+00,5.4,5.5,5.4,5.5,-0.9,1256,13.6,9
2005-03-04 00:00:00+00,5.5,5.6,5.5,5.6,1.82,520,5.79,5
2005-03-07 00:00:00+00,5.6,5.6,5.6,5.6,0,2105,23.58,6
2005-03-08 00:00:00+00,5.45,5.45,5.35,5.4,-3.57,4150,44.58,10
