date,open,high,low,close,difference,volume,turnover,transactions
2021-04-19 00:00:00+00,174,175,170.98,171.98,-0.01,26344,4535.67,693
2021-04-20 00:00:00+00,172.8,172.8,150,154.04,-10.43,18376,2932.76,517
2021-04-21 00:00:00+00,155,169.96,150,168,9.06,10621,1726.95,250
2021-04-22 00:00:00+00,167,174.8,167,173.98,3.56,3543,610.28,55
2021-04-23 00:00:00+00,172,174.28,169.02,174.28,0.17,1643,282.59,28
2021-04-26 00:00:00+00,180,180,172.32,177.9,2.08,397,69.83,38
2021-04-27 00:00:00+00,178,178,175.64,177.86,-0.02,67,11.85,10
2021-04-28 00:00:00+00,177.96,177.96,169,177.46,-0.22,164,28.24,23
2021-04-29 00:00:00+00,177.94,177.94,171.02,176.94,-0.29,208,35.61,5
2021-04-30 00:00:00+00,176.9,178.58,172.42,178,0.6,594,104.92,22
2021-05-04 00:00:00+00,172.5,177.46,170.26,177.46,-0.3,10875,1886.65,23
2021-05-05 00:00:00+00,172.2,174,172.12,173,-2.51,7318,1262.76,26
2021-05-06 00:00:00+00,173,173,170.32,172,-0.58,5449,931.99,24
2021-05-07 00:00:00+00,172.96,172.96,171,171.6,-0.23,12763,2182.48,5
2021-05-10 00:00:00+00,172,172,169,171.98,0.22,620,106.01,15
2021-05-11 00:00:00+00,172,172,171,171,-0.57,51,8.75,7
2021-05-12 00:00:00+00,171,171.5,170,170,-0.58,8067,1375.63,29
2021-05-13 00:00:00+00,170.96,170.96,166.28,168.6,-0.82,2169,369.74,30
2021-05-14 00:00:00+00,169,170.5,167.52,170.5,1.13,16858,2849.59,19
2021-05-17 00:00:00+00,171.98,171.98,168.3,170,-0.29,454,77.41,12
2021-05-18 00:00:00+00,171,171,168.02,170.98,0.58,36,6.11,7
2021-05-19 00:00:00+00,170.96,170.98,170.5,170.98,0,4,0.68,4
2021-05-20 00:00:00+00,168,170.98,168,170.98,0,139,23.61,11
2021-05-21 00:00:00+00,166.2,170.96,166.2,170.96,-0.01,3,0.51,2
2021-05-24 00:00:00+00,170.96,170.96,166.4,170,-0.56,32,5.41,7
2021-05-25 00:00:00+00,166.5,169.5,166.5,169.5,-0.29,63,10.56,7
2021-05-26 00:00:00+00,170,170,166.52,169.9,0.24,32,5.44,4
2021-05-27 00:00:00+00,169.8,169.8,169.8,169.8,-0.06,5,0.85,2
2021-05-28 00:00:00+00,166.56,169.78,166.56,169.5,-0.18,28,4.71,5
2021-05-31 00:00:00+00,169.4,169.4,165.4,169,-0.3,89,14.77,9
2021-06-01 00:00:00+00,169,175,165.22,170,0.59,3002,511.2,29
2021-06-02 00:00:00+00,170,174,167,174,2.35,7106,1217.03,9
2021-06-04 00:00:00+00,174.5,174.9,173.9,174,0,14,2.44,6
2021-06-07 00:00:00+00,174,174,174,174,0,206,35.84,3
2021-06-08 00:00:00+00,174,178,174,178,2.3,1548,270.75,21
2021-06-09 00:00:00+00,178,184,178,184,3.37,586,105.36,32
2021-06-10 00:00:00+00,184,184,182.8,184,0,1190,218.84,13
2021-06-11 00:00:00+00,183.98,185,178.2,184.8,0.43,1909,351.46,35
2021-06-14 00:00:00+00,185,186,181.5,185.9,0.6,1444,267.17,27
2021-06-15 00:00:00+00,183.16,185.9,182.6,185.9,0,1212,223.61,54
2021-06-16 00:00:00+00,185.5,190,184,187.1,0.65,7440,1386.31,88
2021-06-17 00:00:00+00,186.9,187,183,185.5,-0.86,953,176.25,26
2021-06-18 00:00:00+00,185.5,188,185,187.94,1.32,1793,332.49,38
2021-06-21 00:00:00+00,185,187.86,184,187.86,-0.04,3486,648.7,21
2021-06-22 00:00:00+00,186.98,186.98,186.5,186.5,-0.72,194,36.19,4
2021-06-23 00:00:00+00,186.5,192.16,186,190,1.88,7763,1473.3,58
2021-06-24 00:00:00+00,194,197,192,195,2.63,258,50.29,25
2021-06-25 00:00:00+00,195,199,195,198,1.54,571,112.27,31
2021-06-28 00:00:00+00,198,200,192,200,1.01,2614,514.72,41
2021-06-29 00:00:00+00,200,203,197.1,201,0.5,3964,796.35,46
2021-06-30 00:00:00+00,198.58,202.4,198.58,198.8,-1.09,1670,333.78,30
2021-07-01 00:00:00+00,199.5,201.9,197.16,199.6,0.4,1120,223.24,26
2021-07-02 00:00:00+00,200,200,198,199.4,-0.1,1716,341.51,34
2021-07-05 00:00:00+00,199.4,199.4,194,199.4,0,2994,587.23,21
2021-07-06 00:00:00+00,195.5,199,195.5,199,-0.2,422,83.74,14
2021-07-07 00:00:00+00,196.04,198.9,196.04,198.9,-0.05,89,17.51,7
2021-07-08 00:00:00+00,198.8,198.8,194.6,198.6,-0.15,395,77.3,14
2021-07-09 00:00:00+00,198.6,198.6,193.3,198,-0.3,17772,3465.6,11
2021-07-12 00:00:00+00,197.4,197.5,193.46,197.5,-0.25,107,21.04,9
2021-07-13 00:00:00+00,198,198,180.3,191.9,-2.84,2211,417.46,89
2021-07-14 00:00:00+00,193,193,188,188,-2.03,348,65.58,14
2021-07-15 00:00:00+00,190.7,190.7,186,189,0.53,478,90.24,19
2021-07-16 00:00:00+00,188,198,188,195,3.17,1250,243.65,53
2021-07-19 00:00:00+00,195,196,194.5,195,0,283,55.22,22
2021-07-20 00:00:00+00,196,196,192.06,194.9,-0.05,143,27.76,8
2021-07-21 00:00:00+00,193,199,190,195,0.05,176,33.91,20
2021-07-22 00:00:00+00,195,195.5,190,195,0,150,28.59,9
2021-07-23 00:00:00+00,195,195.5,192,195.5,0.26,3063,588.29,6
2021-07-26 00:00:00+00,195.5,195.5,190,193,-1.28,7033,1336.37,10
2021-07-27 00:00:00+00,195,195,191,195,1.04,295,56.73,10
2021-07-28 00:00:00+00,195,195,190,192,-1.54,162,30.94,11
2021-07-29 00:00:00+00,192,194.98,189,192,0,39120,7433.11,18
2021-07-30 00:00:00+00,192,192,191,191,-0.52,66,12.61,5
2021-08-02 00:00:00+00,192,192,188.2,191,0,204,38.46,14
