date,open,high,low,close,difference,volume,turnover,transactions
2022-09-13 00:00:00+00,20,20,18,18.5,-4.15,2319,43.39,63
2022-09-14 00:00:00+00,19.2,19.2,18.1,18.9,2.16,106,1.93,8
2022-09-15 00:00:00+00,18.8,18.8,17.8,18.7,-1.06,759,13.68,28
2022-09-16 00:00:00+00,18.8,18.8,18.8,18.8,0.53,5,0.09,1
2022-09-19 00:00:00+00,18.4,18.4,17.5,17.5,-6.91,608,10.74,24
2022-09-20 00:00:00+00,17.6,18,17.6,18,2.86,7,0.12,2
2022-09-21 00:00:00+00,19.2,19.2,19.2,19.2,6.67,5,0.1,1
2022-09-22 00:00:00+00,19.2,19.2,17.4,18.1,-5.73,265,4.63,7
2022-09-23 00:00:00+00,18,18.1,18,18.1,0,65,1.17,6
2022-09-26 00:00:00+00,17.9,17.9,17.9,17.9,-1.11,8,0.14,3
2022-09-27 00:00:00+00,17.9,17.9,17.9,17.9,0,17,0.3,7
2022-09-28 00:00:00+00,17.9,17.9,17.9,17.9,0,12,0.21,7
2022-09-29 00:00:00+00,17.9,17.9,17.9,17.9,0,5,0.09,2
2022-09-30 00:00:00+00,17.9,17.9,17.9,17.9,0,2,0.04,1
2022-10-03 00:00:00+00,17.9,17.9,17.9,17.9,0,11,0.2,5
2022-10-04 00:00:00+00,17.9,17.9,17.9,17.9,0,15,0.27,6
2022-10-05 00:00:00+00,17.9,17.9,17.9,17.9,0,25,0.45,7
2022-10-06 00:00:00+00,17.9,18.1,17.3,17.9,0,189,3.32,21
2022-10-07 00:00:00+00,18.1,18.1,18.1,18.1,1.12,10,0.18,5
2022-10-10 00:00:00+00,18.1,18.1,17.4,18.1,0,107,1.87,10
2022-10-11 00:00:00+00,17.4,18.1,17.4,18.1,0,112,1.96,7
2022-10-12 00:00:00+00,18.1,18.1,18.1,18.1,0,2,0.04,1
2022-10-13 00:00:00+00,18.1,18.1,17.3,17.7,-2.21,547,9.53,22
2022-10-14 00:00:00+00,18.1,18.1,17.7,17.7,0,10,0.18,6
2022-10-17 00:00:00+00,18,18,18,18,1.69,7,0.13,2
2022-10-18 00:00:00+00,18,18,17.7,17.7,-1.67,12,0.21,4
2022-10-19 00:00:00+00,18,18,17.2,17.2,-2.82,12,0.21,3
2022-10-20 00:00:00+00,18,18,17.3,17.3,0.58,152,2.63,2
2022-10-21 00:00:00+00,17.4,17.4,17.4,17.4,0.58,3,0.05,1
2022-10-24 00:00:00+00,17.4,17.4,17.4,17.4,0,20,0.35,6
2022-10-25 00:00:00+00,17.5,17.5,17.5,17.5,0.57,9,0.16,5
2022-10-26 00:00:00+00,17.5,17.5,17.4,17.4,-0.57,9,0.16,6
2022-10-27 00:00:00+00,17.5,17.5,17.4,17.4,0,15,0.26,2
2022-10-28 00:00:00+00,17.4,17.4,16.8,17.4,0,68,1.15,7
2022-10-31 00:00:00+00,17.5,17.5,17.5,17.5,0.57,9,0.16,5
2022-11-02 00:00:00+00,17.5,17.5,17.4,17.4,-0.57,17,0.3,7
2022-11-03 00:00:00+00,17.5,17.5,16.7,17.4,0,930,15.59,11
2022-11-04 00:00:00+00,17.2,17.2,17.2,17.2,-1.15,5,0.09,1
2022-11-07 00:00:00+00,17.2,17.2,16.8,16.8,-2.33,10,0.17,6
2022-11-08 00:00:00+00,16.8,16.8,16.7,16.7,-0.6,12,0.2,6
2022-11-09 00:00:00+00,16.6,16.6,16.6,16.6,-0.6,13,0.22,7
2022-11-10 00:00:00+00,17.2,17.2,16.6,16.6,0,48,0.8,2
2022-11-14 00:00:00+00,16.6,16.6,16.6,16.6,0,40,0.66,6
2022-11-15 00:00:00+00,16.6,16.6,16.6,16.6,0,10,0.17,5
2022-11-16 00:00:00+00,17.2,17.2,17.2,17.2,3.61,5,0.09,1
2022-11-17 00:00:00+00,17.2,17.2,16.6,16.6,-3.49,18,0.31,6
2022-11-18 00:00:00+00,16.6,16.6,16.6,16.6,0,74,1.23,5
2022-11-21 00:00:00+00,15.9,16.6,15.9,16.6,0,32,0.52,7
2022-11-22 00:00:00+00,16.6,17.2,16.6,17.2,3.61,15,0.25,6
2022-11-23 00:00:00+00,17.2,17.2,17.2,17.2,0,2,0.03,1
2022-11-24 00:00:00+00,17.2,17.2,17.2,17.2,0,12,0.21,6
2022-11-25 00:00:00+00,17.2,17.2,16.1,17.2,0,9,0.15,8
2022-11-28 00:00:00+00,17.2,17.2,16.4,17.2,0,139,2.29,14
2022-11-29 00:00:00+00,17.2,17.2,17.2,17.2,0,2,0.03,1
2022-11-30 00:00:00+00,17.2,17.2,17.2,17.2,0,7,0.12,6
2022-12-01 00:00:00+00,17.2,17.2,17,17,-1.16,8,0.14,7
2022-12-02 00:00:00+00,17,17,16.5,16.9,-0.59,102,1.68,3
2022-12-05 00:00:00+00,17,17,17,17,0.59,9,0.15,5
2022-12-06 00:00:00+00,17.2,17.2,17.2,17.2,1.18,3,0.05,2
2022-12-07 00:00:00+00,17.2,17.2,17.2,17.2,0,3,0.05,2
2022-12-08 00:00:00+00,17.2,17.2,15.6,16.3,-5.23,2552,41.04,15
2022-12-09 00:00:00+00,17.2,17.2,15.5,16.4,0.61,587,9.15,5
2022-12-12 00:00:00+00,15.9,15.9,15.9,15.9,-3.05,5,0.08,5
2022-12-13 00:00:00+00,15.9,15.9,15.4,15.9,0,205,3.16,8
2022-12-14 00:00:00+00,15.4,15.7,15.4,15.7,-1.26,2,0.03,2
2022-12-15 00:00:00+00,15.7,15.7,15.3,15.3,-2.55,3,0.05,2
2022-12-16 00:00:00+00,15.4,16.5,15.4,15.7,2.61,143,2.25,11
2022-12-19 00:00:00+00,15.7,15.7,15.1,15.7,0,178,2.7,16
2022-12-20 00:00:00+00,15.7,15.7,15,15.1,-3.82,649,9.8,5
2022-12-21 00:00:00+00,15,15,13.8,14.5,-3.97,249,3.46,14
2022-12-22 00:00:00+00,14.5,14.5,14.5,14.5,0,3,0.04,2
2022-12-23 00:00:00+00,14.5,14.5,14.1,14.3,-1.38,23,0.33,5
2022-12-27 00:00:00+00,14.3,14.3,14.1,14.1,-1.4,81,1.14,2
2022-12-28 00:00:00+00,13.8,14,13.8,14,-0.71,65,0.9,14
2022-12-29 00:00:00+00,14,14,14,14,0,3,0.04,2
2022-12-30 00:00:00+00,14.4,14.4,14.4,14.4,2.86,2,0.03,1
2023-01-02 00:00:00+00,14.4,14.4,14.4,14.4,0,2,0.03,1
2023-01-03 00:00:00+00,14.4,14.4,14.4,14.4,0,2,0.03,1
2023-01-04 00:00:00+00,14.2,14.2,14.2,14.2,-1.39,6,0.09,1
2023-01-05 00:00:00+00,14.2,14.2,13.7,13.7,-3.52,32,0.44,2
2023-01-09 00:00:00+00,14.1,14.1,14.1,14.1,2.92,7,0.1,6
2023-01-10 00:00:00+00,14.1,14.1,13.5,13.5,-4.26,10,0.14,7
2023-01-11 00:00:00+00,13.3,13.4,13,13,-3.7,918,12.14,10
2023-01-12 00:00:00+00,13,13,12.9,13,0,49,0.64,8
2023-01-13 00:00:00+00,13,13,12.7,13,0,115,1.46,8
2023-01-16 00:00:00+00,13,13,12.7,12.7,-2.31,250,3.2,9
2023-01-17 00:00:00+00,12.7,13,12.7,12.9,1.57,193,2.49,9
2023-01-18 00:00:00+00,13,13,13,13,0.78,7,0.09,6
2023-01-19 00:00:00+00,13,13,12.5,12.9,-0.77,106,1.36,9
2023-01-20 00:00:00+00,12.8,12.8,12.2,12.8,-0.78,341,4.33,29
2023-01-23 00:00:00+00,12.8,12.8,12.5,12.8,0,45,0.57,10
2023-01-24 00:00:00+00,12.8,12.8,12.5,12.7,-0.78,106,1.34,13
2023-01-25 00:00:00+00,12.8,12.8,12.7,12.7,0,212,2.69,4
2023-01-26 00:00:00+00,12.8,12.8,12.6,12.8,0.79,14,0.18,7
2023-01-27 00:00:00+00,12.7,12.7,12.7,12.7,-0.78,106,1.35,6
2023-01-30 00:00:00+00,12.7,12.7,12.6,12.6,-0.79,56,0.71,9
2023-01-31 00:00:00+00,12.6,12.8,12.6,12.8,1.59,217,2.75,16
2023-02-01 00:00:00+00,12.8,12.8,12.7,12.8,0,37,0.47,7
2023-02-02 00:00:00+00,12.8,12.8,12.1,12.7,-0.78,143,1.79,20
2023-02-03 00:00:00+00,12.8,12.8,12.5,12.8,0.79,573,7.29,30
2023-02-06 00:00:00+00,12.8,12.8,12.8,12.8,0,57,0.73,2
2023-02-07 00:00:00+00,12.8,12.8,12.8,12.8,0,143,1.83,9
2023-02-08 00:00:00+00,12.8,12.8,12.8,12.8,0,6,0.08,5
2023-02-09 00:00:00+00,12.8,12.8,12.8,12.8,0,7,0.09,6
2023-02-10 00:00:00+00,12.8,12.8,12,12.5,-2.34,1700,20.82,25
2023-02-13 00:00:00+00,12.5,12.5,12.5,12.5,0,6,0.08,6
2023-02-14 00:00:00+00,12.8,12.8,12.3,12.5,0,41,0.51,5
2023-02-15 00:00:00+00,12.5,12.5,12,12.5,0,112,1.36,18
2023-02-16 00:00:00+00,12.8,12.8,12.3,12.5,0,67,0.84,12
2023-02-17 00:00:00+00,12.8,12.8,12.4,12.5,0,154,1.93,11
2023-02-20 00:00:00+00,12.8,12.8,12.7,12.8,2.4,38,0.49,6
2023-02-21 00:00:00+00,12.8,12.8,12.7,12.7,-0.78,8,0.1,8
2023-02-22 00:00:00+00,12.8,12.8,12.8,12.8,0.79,6,0.08,6
