date,open,high,low,close,difference,volume,turnover,transactions
2014-12-10 00:00:00+00,18.6,18.6,18,18.4,-1.08,1292,23.29,7
2014-12-11 00:00:00+00,18.4,18.4,17.5,18.06,-1.85,2291,40.37,24
2014-12-12 00:00:00+00,18,18,17.5,17.97,-0.5,1499,26.25,12
2014-12-15 00:00:00+00,18.19,18.19,18.19,18.19,1.22,5,0.09,1
2014-12-16 00:00:00+00,17.7,17.7,17.21,17.7,-2.69,4299,76.03,10
2014-12-17 00:00:00+00,17.69,17.69,16.43,17.5,-1.13,4952,85.57,30
2014-12-18 00:00:00+00,17.64,17.64,16.5,16.5,-5.71,1665,27.8,17
2014-12-19 00:00:00+00,16.52,18.39,16.52,18.39,11.45,3437,59.51,20
2014-12-22 00:00:00+00,18.29,18.29,17.5,18.19,-1.09,272,4.78,7
2014-12-23 00:00:00+00,18.14,18.14,17.5,17.98,-1.15,234,4.11,6
2014-12-29 00:00:00+00,17.98,17.98,17.5,17.8,-1,114,2,5
2014-12-30 00:00:00+00,17.79,17.79,17.79,17.79,-0.06,20,0.36,3
2015-01-02 00:00:00+00,18,18,18,18,1.18,30,0.54,1
2015-01-05 00:00:00+00,17.99,18.29,17.5,17.89,-0.61,175,3.1,6
2015-01-07 00:00:00+00,18,18,18,18,0.61,5,0.09,1
2015-01-08 00:00:00+00,17.98,18.25,17.9,18,0,1140,20.54,15
2015-01-09 00:00:00+00,18,18.29,17.4,17.4,-3.33,1581,27.84,10
2015-01-12 00:00:00+00,17.4,17.8,17.35,17.8,2.3,1659,28.87,12
2015-01-13 00:00:00+00,17.99,18,17.9,17.99,1.07,365,6.54,8
2015-01-14 00:00:00+00,17.84,17.84,17.5,17.5,-2.72,48,0.84,3
2015-01-15 00:00:00+00,17.05,17.85,16.5,17.64,0.8,1386,23.59,25
2015-01-16 00:00:00+00,17.64,17.79,17.64,17.79,0.85,156,2.75,4
2015-01-19 00:00:00+00,17.9,17.9,17.85,17.85,0.34,65,1.16,2
2015-01-20 00:00:00+00,17.78,17.8,17.78,17.8,-0.28,10,0.18,2
2015-01-21 00:00:00+00,17.69,17.69,17.2,17.65,-0.84,7037,121.35,19
2015-01-22 00:00:00+00,17.6,17.6,17,17,-3.68,240,4.14,5
2015-01-23 00:00:00+00,17,17,16.15,16.3,-4.12,8712,143.23,47
2015-01-26 00:00:00+00,16.65,16.65,15.8,16.28,-0.12,10500,172.8,21
