date,open,high,low,close,difference,volume,turnover,transactions
2006-12-20 00:00:00+00,88,88,84,84.5,-0.88,12954,2184.05,51
2006-12-21 00:00:00+00,85.8,85.8,84.5,85,0.59,109910,18603.3,30
2006-12-22 00:00:00+00,85.4,86,85,86,1.18,5220,888.39,19
2006-12-27 00:00:00+00,86.5,89,86,89,3.49,27309,4751.19,39
2006-12-28 00:00:00+00,88.7,88.7,88,88.5,-0.56,135,23.89,8
2006-12-29 00:00:00+00,0,0,0,88.5,0,0,0,0
2007-01-02 00:00:00+00,88,88,86,86,-2.82,92,16.05,5
2007-01-03 00:00:00+00,86.1,87,86,87,1.16,570,98.99,6
2007-01-04 00:00:00+00,87,87.8,87,87.8,0.92,73100,12720.32,19
2007-01-05 00:00:00+00,89,89,88.5,89,1.37,2080,368.9,23
2007-01-08 00:00:00+00,89,89,84.5,88.9,-0.11,512,90.56,8
2007-01-09 00:00:00+00,0,0,0,88.9,0,0,0,0
2007-01-10 00:00:00+00,88.9,88.9,87,87.1,-2.02,8195,1426.08,5
2007-01-11 00:00:00+00,87.1,87.1,87.1,87.1,0,21,3.66,1
2007-01-12 00:00:00+00,87,87,87,87,-0.11,56,9.74,1
2007-01-15 00:00:00+00,84.2,86,84.2,86,-1.15,71,12.06,3
2007-01-16 00:00:00+00,86,86,86,86,0,51,8.77,5
2007-01-17 00:00:00+00,86,86,86,86,0,47,8.08,3
2007-01-18 00:00:00+00,86.6,86.95,86,86,0,301,52.18,12
2007-01-19 00:00:00+00,86.95,86.95,85,85,-1.16,52,8.85,2
2007-01-22 00:00:00+00,85,86.1,85,86,1.18,4910,845.41,8
2007-01-23 00:00:00+00,87.5,89,87.5,89,3.49,1610,284.92,31
2007-01-24 00:00:00+00,89,90,89,89.1,0.11,1125,200.61,27
2007-01-25 00:00:00+00,89.1,92,89.1,90.1,1.12,891,162.22,14
2007-01-26 00:00:00+00,93,93.9,93,93.9,4.22,130,24.21,10
2007-01-29 00:00:00+00,93,93,89.4,90.15,-3.99,268,49.02,11
2007-01-30 00:00:00+00,91,91,87,89.5,-0.72,3805,684.9,14
2007-01-31 00:00:00+00,89.1,89.1,89,89,-0.56,20000,3560,2
2007-02-01 00:00:00+00,89.1,89.1,87.9,88,-1.12,53119,9348.96,8
2007-02-02 00:00:00+00,88,89.8,88,89.8,2.05,11438,2013.14,4
2007-02-05 00:00:00+00,90,90,90,90,0.22,81,14.58,5
2007-02-06 00:00:00+00,90,90,86.1,88,-2.22,4325,761.65,8
2007-02-07 00:00:00+00,88.5,88.5,88,88,0,60,10.59,2
2007-02-08 00:00:00+00,88,88,86.1,86.1,-2.16,202,34.93,7
2007-02-09 00:00:00+00,90.5,90.5,86.1,87,1.05,126,21.76,5
2007-02-12 00:00:00+00,0,0,0,87,0,0,0,0
2007-02-13 00:00:00+00,88,88,88,88,1.15,42,7.39,2
2007-02-14 00:00:00+00,88.5,88.5,84,84,-4.55,51962,8796.22,41
2007-02-15 00:00:00+00,85,85,84,84.1,0.12,68006,11438.37,11
2007-02-16 00:00:00+00,82,83,82,83,-1.31,447,74.07,5
2007-02-19 00:00:00+00,82,82.6,82,82.6,-0.48,64,10.57,2
2007-02-20 00:00:00+00,82,82,79.8,79.8,-3.39,1567,250.67,16
2007-02-21 00:00:00+00,80,83,80,83,4.01,236,37.85,9
2007-02-22 00:00:00+00,84.5,86.9,84.5,86.9,4.7,107,18.28,13
2007-02-23 00:00:00+00,86.9,87,86.9,86.9,0,331,57.53,14
2007-02-26 00:00:00+00,0,0,0,86.9,0,0,0,0
2007-02-27 00:00:00+00,83.15,83.15,83.15,83.15,-4.32,52,8.65,2
2007-02-28 00:00:00+00,83.15,83.15,83.15,83.15,0,40,6.65,1
2007-03-01 00:00:00+00,85,87,83.2,85,2.22,2541,426.21,8
2007-03-02 00:00:00+00,89.5,89.5,85,85,0,124,21.3,3
2007-03-05 00:00:00+00,83.15,83.15,80,80,-5.88,66,10.69,4
2007-03-06 00:00:00+00,80,83,80,83,3.75,250,41.21,8
2007-03-07 00:00:00+00,87.8,87.8,83,83,0,81,13.93,6
2007-03-08 00:00:00+00,0,0,0,83,0,0,0,0
2007-03-09 00:00:00+00,83.5,83.5,80,80,-3.61,50261,8043.61,10
2007-03-12 00:00:00+00,81.2,81.2,81.15,81.2,1.5,465,75.51,7
2007-03-13 00:00:00+00,82,82,80,80,-1.48,20100,3216.44,7
2007-03-14 00:00:00+00,80,80,80,80,0,163,26.08,5
2007-03-15 00:00:00+00,80,80,80,80,0,29123,4659.68,8
2007-03-16 00:00:00+00,83,84,81.55,82,2.5,15874,2591.12,8
2007-03-19 00:00:00+00,81.5,81.8,81,81,-1.22,56843,9248.7,11
2007-03-20 00:00:00+00,81.95,82,81.5,82,1.23,16506,2706.63,13
2007-03-21 00:00:00+00,81.05,82.9,81,82.9,1.1,3887,637.74,17
2007-03-22 00:00:00+00,82.9,84.5,82.9,84.5,1.93,67,11.13,3
2007-03-23 00:00:00+00,84.5,84.5,84.5,84.5,0,7020,1186.38,2
2007-03-26 00:00:00+00,83.5,86,83.5,86,1.78,240,40.75,8
2007-03-27 00:00:00+00,84.05,86.45,84,85,-1.16,70345,11958.43,10
2007-03-28 00:00:00+00,84.7,86.5,84.7,86.5,1.76,69810,11825.85,4
2007-03-29 00:00:00+00,86.5,86.5,86.5,86.5,0,65,11.25,2
2007-03-30 00:00:00+00,0,0,0,86.5,0,0,0,0
2007-04-02 00:00:00+00,85,85,84.8,84.8,-1.97,7,1.19,2
2007-04-03 00:00:00+00,0,0,0,84.8,0,0,0,0
2007-04-04 00:00:00+00,85,86.35,84.95,86,1.42,31352,5327.03,13
2007-04-05 00:00:00+00,85,85,83,85,-1.16,112,18.99,5
2007-04-10 00:00:00+00,85,85,82.1,82.1,-3.41,200110,33778.09,6
2007-04-11 00:00:00+00,84.5,90.3,84.5,86.5,5.36,296709,51027.89,91
2007-04-12 00:00:00+00,86.5,89.9,85,85,-1.73,283046,48574.85,32
2007-04-13 00:00:00+00,85.1,89.8,84,89.8,5.65,215720,36409.65,28
2007-04-16 00:00:00+00,89.9,90,84.15,85,-5.35,60322,10185.79,46
2007-04-17 00:00:00+00,87.9,89,85.6,89,4.71,52354,8975.64,23
2007-04-18 00:00:00+00,86,89.5,84.8,89,0,148068,25535.84,15
2007-04-19 00:00:00+00,89,89,85,85.15,-4.33,208350,35761.96,37
2007-04-20 00:00:00+00,85.95,87.5,85.95,87.5,2.76,131937,22680.2,8
2007-04-23 00:00:00+00,89,89,87.5,87.55,0.06,90540,15878.72,21
2007-04-24 00:00:00+00,88,89,87.65,89,1.66,40733,7249.78,31
2007-04-25 00:00:00+00,89,89,87.6,87.6,-1.57,12172,2140.59,3
2007-04-26 00:00:00+00,86.6,87.6,86,86,-1.83,15578,2679.62,8
2007-04-27 00:00:00+00,86,89,86,88.95,3.43,163428,28111.69,21
2007-04-30 00:00:00+00,87,87,85.75,86,-3.32,121200,20844.16,32
2007-05-02 00:00:00+00,86,86,84.4,85,-1.16,110918,18765.3,18
2007-05-04 00:00:00+00,88,93.4,88,93.4,9.88,52829,9509.28,47
2007-05-07 00:00:00+00,93.4,94.1,93.4,93.4,0,1025,191.48,18
2007-05-08 00:00:00+00,0,0,0,93.4,0,0,0,0
2007-05-09 00:00:00+00,88.4,91,85.5,86.2,-7.71,34476,6093.91,25
2007-05-10 00:00:00+00,92.95,92.95,88,88,2.09,587,103.75,23
2007-05-11 00:00:00+00,85.15,89.95,85.15,89.95,2.22,15,2.6,2
2007-05-14 00:00:00+00,91,91.5,85.25,91.2,1.39,1661,302.01,35
2007-05-15 00:00:00+00,91.3,92,91,91,-0.22,1713,312.13,19
2007-05-16 00:00:00+00,90.9,90.9,86.1,90.5,-0.55,1975,353.37,20
2007-05-17 00:00:00+00,91,95,91,94,3.87,4757,892.73,32
2007-05-18 00:00:00+00,94.4,94.5,94.4,94.4,0.43,172,32.48,3
2007-05-21 00:00:00+00,93,93,92,93,-1.48,339,62.8,6
2007-05-22 00:00:00+00,92,92,90,90,-3.23,4070,737.93,11
2007-05-23 00:00:00+00,92,93,88.05,93,3.33,5568,1019.07,14
2007-05-24 00:00:00+00,93.4,93.4,91.5,93.35,0.38,110004,20548.56,9
2007-05-25 00:00:00+00,94.9,95,93,94,0.7,5252,987.36,14
2007-05-28 00:00:00+00,94.95,94.95,94,94,0,3450,648.7,3
2007-05-29 00:00:00+00,92,93,92,93,-1.06,340,62.99,4
2007-05-30 00:00:00+00,91.75,94.3,91.75,94.3,1.4,320000,59100,14
2007-05-31 00:00:00+00,94.5,97.5,94.5,97,2.86,19482,3736.32,23
2007-06-01 00:00:00+00,97,97,95,95,-2.06,120365,22870.24,22
2007-06-04 00:00:00+00,96,96.5,96,96,1.05,396,76.17,7
2007-06-05 00:00:00+00,90.6,96.95,90.6,95.5,-0.52,100467,19187.59,12
2007-06-06 00:00:00+00,0,0,0,95.5,0,0,0,0
2007-06-08 00:00:00+00,95.3,95.3,95.05,95.05,-0.47,77118,14698.68,3
2007-06-11 00:00:00+00,93,96.9,93,96.9,1.95,41760,7934.94,14
2007-06-12 00:00:00+00,95,95,95,95,-1.96,20,3.8,1
2007-06-13 00:00:00+00,95,96.5,95,96.5,1.58,80136,15466.11,4
2007-06-14 00:00:00+00,0,0,0,96.5,0,0,0,0
2007-06-15 00:00:00+00,0,0,0,96.5,0,0,0,0
2007-06-18 00:00:00+00,0,0,0,96.5,0,0,0,0
2007-06-19 00:00:00+00,96,97,96,97,0.52,1350,261.44,15
2007-06-20 00:00:00+00,96,96,96,96,-1.03,138,26.5,2
2007-06-21 00:00:00+00,96.9,98.9,96.9,97.6,1.67,10423,2060.91,14
2007-06-22 00:00:00+00,97.6,97.6,97.6,97.6,0,60,11.71,2
2007-06-25 00:00:00+00,97.65,100.1,97.65,100.1,2.56,859,170.13,6
2007-06-26 00:00:00+00,97.1,97.1,97,97,-3.1,67,13,2
2007-06-27 00:00:00+00,95.05,95.05,95,95,-2.06,100,19,2
2007-06-28 00:00:00+00,0,0,0,95,0,0,0,0
2007-06-29 00:00:00+00,0,0,0,95,0,0,0,0
2007-07-02 00:00:00+00,92,94,91,94,-1.05,2530,474.92,14
2007-07-03 00:00:00+00,96.5,96.5,95.9,95.9,2.02,47000,9038.94,2
2007-07-04 00:00:00+00,97,97.1,97,97.1,1.25,118,22.91,5
2007-07-05 00:00:00+00,97.5,97.5,97.5,97.5,0.41,9,1.76,1
2007-07-06 00:00:00+00,98,101,98,101,3.59,822,164.57,20
2007-07-09 00:00:00+00,100.9,101.2,100.9,101,0,3090,624.21,6
2007-07-10 00:00:00+00,100,105,97.5,97.5,-3.47,761,151.4,7
2007-07-11 00:00:00+00,97.5,102,97.5,102,4.62,88,17.79,6
2007-07-12 00:00:00+00,105,105,105,105,2.94,67,14.07,3
2007-07-13 00:00:00+00,105.5,108.4,105.5,108.4,3.24,133,28.73,4
2007-07-16 00:00:00+00,108.4,113,100.1,100.1,-7.66,650,143.55,20
2007-07-17 00:00:00+00,113,113,108,113,12.89,915,203.6,15
2007-07-18 00:00:00+00,115.5,123.7,108.5,114,0.88,51903,11313.7,30
2007-07-19 00:00:00+00,114,117.8,108,112,-1.75,6651,1487.38,19
2007-07-20 00:00:00+00,108,109,105,105,-6.25,87176,18607.01,33
2007-07-23 00:00:00+00,105,105.5,105,105.5,0.48,62599,13159.39,3
2007-07-24 00:00:00+00,0,0,0,105.5,0,0,0,0
2007-07-25 00:00:00+00,105.5,105.5,105.5,105.5,0,18,3.8,1
2007-07-26 00:00:00+00,104,104,104,104,-1.42,50000,10400,1
2007-07-27 00:00:00+00,95,100,95,100,-3.85,84,16.55,3
2007-07-30 00:00:00+00,99,99.9,99,99,-1,127,25.17,3
2007-07-31 00:00:00+00,102,108.9,102,108.9,10,107,22.62,8
2007-08-01 00:00:00+00,110,110,104.6,104.6,-3.95,40,8.69,3
2007-08-02 00:00:00+00,98.05,98.05,98.05,98.05,-6.26,12,2.35,2
2007-08-03 00:00:00+00,98.05,107.8,98.05,107.8,9.94,21,4.14,3
2007-08-06 00:00:00+00,106.9,106.9,106.9,106.9,-0.83,1,0.21,1
2007-08-07 00:00:00+00,0,0,0,106.9,0,0,0,0
2007-08-08 00:00:00+00,105,109.6,105,109.6,2.53,100124,21946.93,8
2007-08-09 00:00:00+00,117.7,117.7,115,115,4.93,193130,45460.17,17
2007-08-10 00:00:00+00,114,120.1,113,120.1,4.43,299858,71745.9,35
2007-08-13 00:00:00+00,111.9,122,109.1,109.2,-9.08,512,113.06,24
2007-08-14 00:00:00+00,114.9,119,114.9,119,8.97,62899,14873.84,10
2007-08-16 00:00:00+00,115,115,105,113.9,-4.29,193,42.35,12
2007-08-17 00:00:00+00,110,115,110,115,0.97,40565,9327.9,9
2007-08-20 00:00:00+00,116.7,116.7,116,116,0.87,65,15.13,5
2007-08-21 00:00:00+00,116.7,116.7,110,110,-5.17,111,24.77,6
2007-08-22 00:00:00+00,110.1,110.5,107,110.5,0.45,89,19.4,6
2007-08-23 00:00:00+00,110,110.1,110,110,-0.45,69,15.18,5
2007-08-24 00:00:00+00,117,117,112,112,1.82,81,18.52,4
2007-08-27 00:00:00+00,114,115.9,111,115.9,3.48,803,185.24,8
2007-08-28 00:00:00+00,112.1,112.1,112.1,112.1,-3.28,2,0.45,1
2007-08-29 00:00:00+00,115,115.1,114.9,115,2.59,508,116.88,9
2007-08-30 00:00:00+00,0,0,0,115,0,0,0,0
2007-08-31 00:00:00+00,0,0,0,115,0,0,0,0
