date,open,high,low,close,difference,volume,turnover,transactions
2009-01-06 00:00:00+00,8.2,13.85,8.2,11,54.93,60409,1432.52,458
2009-01-07 00:00:00+00,11.43,12.5,9.63,10,-9.09,46685,989.09,271
2009-01-08 00:00:00+00,10,10.29,9.37,9.98,-0.2,16183,317.39,60
2009-01-09 00:00:00+00,9.6,9.99,9.2,9.6,-3.81,6877,130.24,39
2009-01-12 00:00:00+00,9.65,10.42,9,9.97,3.85,6338,120.11,36
2009-01-13 00:00:00+00,9.5,9.5,9,9.45,-5.22,5801,107.49,18
2009-01-14 00:00:00+00,9,9.05,9,9.05,-4.23,1110,20.04,4
2009-01-15 00:00:00+00,9,9,9,9,-0.55,814,14.65,3
2009-01-16 00:00:00+00,8.8,9.05,8.8,9,0,379,6.72,4
2009-01-19 00:00:00+00,8.85,8.85,8.29,8.5,-5.56,2673,46.04,7
2009-01-20 00:00:00+00,8.01,8.01,7.5,7.7,-9.41,5131,80.08,12
2009-01-21 00:00:00+00,7.36,7.36,7.03,7.36,-4.42,1551,22.76,5
2009-01-22 00:00:00+00,7.36,7.36,7.01,7.3,-0.82,712,10.05,7
2009-01-23 00:00:00+00,7.32,7.32,7.32,7.32,0.27,2099,30.73,2
2009-01-26 00:00:00+00,0,0,0,7.32,0,0,0,0
2009-01-27 00:00:00+00,7.2,7.36,7.2,7.36,0.55,301,4.33,3
2009-01-28 00:00:00+00,7.36,7.36,7.18,7.18,-2.45,360,5.19,2
2009-01-29 00:00:00+00,7.36,7.36,7.01,7.36,2.51,52,0.73,4
2009-01-30 00:00:00+00,7.16,7.35,7.16,7.35,-0.14,201,2.88,2
2009-02-02 00:00:00+00,7.05,7.34,7.01,7.34,-0.14,323,4.55,3
2009-02-03 00:00:00+00,7.35,7.35,7.35,7.35,0.14,5,0.07,1
2009-02-04 00:00:00+00,7.35,7.35,7.35,7.35,0,5,0.07,1
2009-02-05 00:00:00+00,7.06,7.06,7,7,-4.76,2281,32.08,10
2009-02-06 00:00:00+00,6.9,6.9,6.7,6.86,-2,258,3.46,3
2009-02-09 00:00:00+00,6.86,6.86,6.86,6.86,0,5,0.07,1
2009-02-10 00:00:00+00,6.88,6.88,6.55,6.58,-4.08,3061,40.36,5
2009-02-11 00:00:00+00,6.35,6.58,6.34,6.58,0,2156,27.37,6
2009-02-12 00:00:00+00,6.5,6.58,6.15,6.15,-6.53,3373,42.41,7
2009-02-13 00:00:00+00,6.15,6.3,6.06,6.07,-1.3,2295,28.42,12
2009-02-16 00:00:00+00,6.2,7.5,6.2,7.5,23.56,16405,225.75,72
2009-02-17 00:00:00+00,8.22,9.04,7.88,7.88,5.07,36327,605.43,148
2009-02-18 00:00:00+00,7.65,8,6.7,7.05,-10.53,9482,134.21,47
2009-02-19 00:00:00+00,7.1,7.1,6.46,7.1,0.71,8262,114.01,26
2009-02-20 00:00:00+00,7,7.1,6.5,6.75,-4.93,2627,35.64,12
2009-02-23 00:00:00+00,6.75,6.75,6.43,6.7,-0.74,2517,33.01,18
2009-02-24 00:00:00+00,6.75,6.75,6.75,6.75,0.75,110,1.49,2
2009-02-25 00:00:00+00,6.75,6.75,6.75,6.75,0,110,1.49,2
2009-02-26 00:00:00+00,6.43,6.7,6.01,6.2,-8.15,5591,69.96,14
2009-02-27 00:00:00+00,6.19,6.19,6,6.01,-3.06,6236,75.36,14
2009-03-02 00:00:00+00,5.75,5.9,5.7,5.9,-1.83,1775,20.38,8
2009-03-03 00:00:00+00,5.6,5.6,5.32,5.5,-6.78,4471,49.52,8
2009-03-04 00:00:00+00,5.45,5.55,5.45,5.45,-0.91,1473,16.34,3
2009-03-05 00:00:00+00,5.55,5.55,5.55,5.55,1.83,440,4.88,2
2009-03-06 00:00:00+00,5.4,5.4,5,5.35,-3.6,7739,80.61,17
2009-03-09 00:00:00+00,5.23,5.23,5.23,5.23,-2.24,1997,20.89,2
2009-03-10 00:00:00+00,5.33,5.85,5.33,5.85,11.85,8106,89.34,13
2009-03-11 00:00:00+00,6.1,6.25,6.02,6.25,6.84,8915,109.74,18
2009-03-12 00:00:00+00,6.08,6.3,6.01,6.3,0.8,4190,51.51,8
2009-03-13 00:00:00+00,6.2,6.35,6.02,6.3,0,4190,52.2,8
2009-03-16 00:00:00+00,6.35,6.4,6.3,6.3,0,628,7.97,6
2009-03-17 00:00:00+00,6.3,6.4,6.3,6.4,1.59,1225,15.44,3
2009-03-18 00:00:00+00,6.1,6.25,6.1,6.25,-2.34,600,7.35,3
2009-03-19 00:00:00+00,6.38,6.4,6.38,6.4,2.4,1357,17.32,3
2009-03-20 00:00:00+00,6.34,6.34,6.34,6.34,-0.94,170,2.16,2
2009-03-23 00:00:00+00,6.34,6.34,6.05,6.1,-3.79,3300,40.58,11
2009-03-24 00:00:00+00,6.3,6.4,6.15,6.4,4.92,1524,19.2,7
2009-03-25 00:00:00+00,6.45,6.45,6.45,6.45,0.78,866,11.17,2
2009-03-26 00:00:00+00,6.45,6.5,6.2,6.21,-3.72,4770,60.44,15
2009-03-27 00:00:00+00,6.4,6.4,6.4,6.4,3.06,2,0.03,1
2009-03-30 00:00:00+00,6.35,6.65,6.35,6.65,3.91,5090,65.93,17
2009-03-31 00:00:00+00,6.43,6.6,6.35,6.6,-0.75,3763,48.28,9
2009-04-01 00:00:00+00,6.6,7.49,6.6,7.14,8.18,5370,72.22,11
2009-04-02 00:00:00+00,7.14,7.14,7.14,7.14,0,1051,15.01,4
2009-04-03 00:00:00+00,7.39,7.45,7.39,7.45,4.34,650,9.63,3
2009-04-06 00:00:00+00,7.45,8.27,7.45,8.1,8.72,3575,56.39,12
2009-04-07 00:00:00+00,8.27,8.66,8.25,8.66,6.91,5224,87.08,17
2009-04-08 00:00:00+00,8.2,8.8,8.2,8.8,1.62,2500,42.3,9
2009-04-09 00:00:00+00,8.5,9.67,8.5,9.67,9.89,3348,59.96,14
2009-04-14 00:00:00+00,9.5,9.66,9.22,9.49,-1.86,1330,25.05,11
2009-04-15 00:00:00+00,9.21,9.3,9.21,9.3,-2,752,13.88,4
2009-04-16 00:00:00+00,9.21,9.25,9.21,9.21,-0.97,1015,18.71,3
2009-04-17 00:00:00+00,9.21,9.21,9,9,-2.28,960,17.33,4
2009-04-20 00:00:00+00,8.55,8.6,8.5,8.5,-5.56,1130,19.27,5
2009-04-21 00:00:00+00,8.5,8.92,8.5,8.92,4.94,3747,65.87,7
2009-04-22 00:00:00+00,9.4,9.4,9,9.3,4.26,350,6.46,3
2009-04-23 00:00:00+00,9,9,9,9,-3.23,1293,23.27,2
2009-04-24 00:00:00+00,9,9.34,8.58,9,0,2541,44.73,8
2009-04-27 00:00:00+00,0,0,0,9,0,0,0,0
2009-04-28 00:00:00+00,8.58,9,8.58,9,0,321,5.55,2
2009-04-29 00:00:00+00,9,9,9,9,0,20,0.36,1
2009-04-30 00:00:00+00,9,9.43,9,9.43,4.78,2859,51.62,9
2009-05-04 00:00:00+00,9.2,10.23,9,9.97,5.73,1846,34.77,9
2009-05-05 00:00:00+00,10,10,9.85,9.9,-0.7,3610,71.47,8
2009-05-06 00:00:00+00,9.7,9.7,9.25,9.7,-2.02,989,19.18,6
2009-05-07 00:00:00+00,9.69,9.7,9.69,9.7,0,888,17.23,2
2009-05-08 00:00:00+00,9.24,9.7,9.24,9.7,0,617,11.45,2
2009-05-11 00:00:00+00,9.24,9.69,9.24,9.69,-0.1,100,1.89,2
2009-05-12 00:00:00+00,9.24,9.69,9.24,9.69,0,142,2.66,2
2009-05-13 00:00:00+00,9.7,10.2,9.7,9.72,0.31,4150,82.12,8
2009-05-14 00:00:00+00,9.27,9.72,9.27,9.72,0,100,1.86,2
2009-05-15 00:00:00+00,9.26,9.72,8.75,9.1,-6.38,7078,127.97,29
2009-05-18 00:00:00+00,8.99,9.6,8.5,9.6,5.49,7053,125.92,31
2009-05-19 00:00:00+00,9.26,9.49,9.05,9.49,-1.15,4488,82.33,20
2009-05-20 00:00:00+00,9.49,9.5,9.05,9.43,-0.63,1690,31.42,14
2009-05-21 00:00:00+00,9.34,9.43,9.34,9.43,0,1500,28.18,8
2009-05-22 00:00:00+00,9.43,9.43,9.39,9.4,-0.32,465,8.75,4
2009-05-25 00:00:00+00,9.01,9.43,9,9.43,0.32,737,13.55,4
2009-05-26 00:00:00+00,9.43,10.36,9.35,10.34,9.65,4482,88.24,16
2009-05-27 00:00:00+00,10.35,10.35,9.6,10.32,-0.19,3630,72.67,20
2009-05-28 00:00:00+00,10.47,10.48,10,10.48,1.55,2890,58.89,8
2009-05-29 00:00:00+00,10.3,11.34,10.3,11.34,8.21,2450,51.66,10
2009-06-01 00:00:00+00,11.15,11.79,11.15,11.79,3.97,3547,82.12,23
2009-06-02 00:00:00+00,12.07,12.07,11.6,11.6,-1.61,85,2,2
2009-06-03 00:00:00+00,11.6,12,11.5,12,3.45,1490,35.39,7
2009-06-04 00:00:00+00,12,12,12,12,0,724,17.38,6
2009-06-05 00:00:00+00,0,0,0,12,0,0,0,0
2009-06-08 00:00:00+00,12,12.91,12,12.7,5.83,2531,63.37,10
2009-06-09 00:00:00+00,12.91,12.91,11.72,12.3,-3.15,2337,56.5,8
2009-06-10 00:00:00+00,0,0,0,12.3,0,0,0,0
2009-06-12 00:00:00+00,0,0,0,12.3,0,0,0,0
2009-06-15 00:00:00+00,0,0,0,12.3,0,0,0,0
2009-06-16 00:00:00+00,11.61,12.18,11.61,12.18,-0.98,335,8.01,3
2009-06-17 00:00:00+00,0,0,0,12.18,0,0,0,0
2009-06-18 00:00:00+00,11.6,12.78,11.6,12.18,0,1812,43.85,10
2009-06-19 00:00:00+00,11.81,12.06,11.5,12.06,-0.99,1752,41.17,7
2009-06-22 00:00:00+00,11.81,11.81,11.25,11.25,-6.72,691,16.26,3
2009-06-23 00:00:00+00,11.81,12.31,11.5,12.31,9.42,2959,69.9,10
2009-06-24 00:00:00+00,12.34,12.34,12.34,12.34,0.24,107,2.64,1
2009-06-25 00:00:00+00,12.33,12.34,12.33,12.34,0,260,6.41,5
2009-06-26 00:00:00+00,12.32,12.32,12.32,12.32,-0.16,220,5.42,1
2009-06-29 00:00:00+00,0,0,0,12.02,0,0,0,0
2009-06-30 00:00:00+00,0,0,0,12.02,0,0,0,0
2009-07-01 00:00:00+00,12.01,12.1,12.01,12.1,0.67,90,2.17,2
2009-07-02 00:00:00+00,12.1,12.5,12.1,12.5,3.31,725,17.6,3
2009-07-03 00:00:00+00,12.35,12.5,12.35,12.5,0,206,5.12,4
2009-07-06 00:00:00+00,12.36,12.5,12.36,12.5,0,520,12.98,4
2009-07-07 00:00:00+00,12.36,12.5,12.32,12.5,0,785,19.57,7
2009-07-08 00:00:00+00,12.5,12.5,12.5,12.5,0,200,5,1
2009-07-09 00:00:00+00,12.5,12.5,12.26,12.46,-0.32,260,6.47,3
2009-07-10 00:00:00+00,12.45,12.5,12.26,12.26,-1.61,385,9.56,3
2009-07-13 00:00:00+00,12.38,12.5,12.38,12.5,1.96,838,20.92,4
2009-07-14 00:00:00+00,12.5,12.5,12.5,12.5,0,250,6.25,2
2009-07-15 00:00:00+00,12.5,13.74,12.5,13.74,9.92,2447,61.44,8
2009-07-16 00:00:00+00,13.99,13.99,13.2,13.64,-0.73,232,6.19,6
2009-07-17 00:00:00+00,13.64,13.64,13.64,13.64,0,40,1.09,1
2009-07-20 00:00:00+00,13.65,13.65,13.64,13.65,0.07,176,4.8,3
2009-07-21 00:00:00+00,13.65,13.65,13,13.65,0,1388,36.3,5
2009-07-22 00:00:00+00,13,13.55,13,13.55,-0.73,1800,47.32,5
2009-07-23 00:00:00+00,13.65,13.65,13.5,13.65,0.74,778,21.08,4
2009-07-24 00:00:00+00,0,0,0,13.65,0,0,0,0
2009-07-27 00:00:00+00,13.5,13.65,13,13.5,-1.1,1950,51.6,7
2009-07-28 00:00:00+00,13.65,14,13.6,13.95,3.33,3595,98.89,14
2009-07-29 00:00:00+00,14.32,14.6,14.2,14.28,2.37,5771,167.34,16
2009-07-30 00:00:00+00,13.99,14,13.99,14,-1.96,900,25.18,6
2009-07-31 00:00:00+00,14,14.9,13.65,14.9,6.43,2648,73.93,9
2009-08-03 00:00:00+00,14.68,14.7,14.68,14.7,-1.34,611,17.96,4
2009-08-04 00:00:00+00,14.89,14.89,14.65,14.65,-0.34,1053,31.09,4
2009-08-05 00:00:00+00,14.01,14.01,14.01,14.01,-4.37,47,1.32,1
2009-08-06 00:00:00+00,14.6,14.65,14.6,14.65,4.57,154,4.5,2
2009-08-07 00:00:00+00,14.64,14.64,14.64,14.64,-0.07,15,0.44,1
2009-08-10 00:00:00+00,14.03,14.63,14.03,14.63,-0.07,110,3.12,4
2009-08-11 00:00:00+00,14.01,14.01,14,14,-4.31,402,11.26,4
2009-08-12 00:00:00+00,14.46,14.46,14.46,14.46,3.29,163,4.71,2
2009-08-13 00:00:00+00,14.2,14.2,14.2,14.2,-1.8,55,1.56,1
2009-08-14 00:00:00+00,14.32,14.65,14.32,14.64,3.1,98,2.81,3
2009-08-17 00:00:00+00,14.63,14.63,14.05,14.63,-0.07,1220,34.6,4
2009-08-18 00:00:00+00,14.57,14.57,14.57,14.57,-0.41,100,2.91,1
2009-08-19 00:00:00+00,14,14.57,14,14.57,0,103,2.94,2
2009-08-20 00:00:00+00,0,0,0,14.57,0,0,0,0
2009-08-21 00:00:00+00,14.05,14.57,14.05,14.57,0,600,16.96,2
2009-08-24 00:00:00+00,14.57,14.57,14.57,14.57,0,3,0.09,1
2009-08-25 00:00:00+00,14.57,14.57,14.57,14.57,0,100,2.91,1
2009-08-26 00:00:00+00,0,0,0,14.57,0,0,0,0
2009-08-27 00:00:00+00,14.57,14.7,14.57,14.7,0.89,216,6.31,4
2009-08-28 00:00:00+00,14,14,14,14,-4.76,26,0.73,1
2009-08-31 00:00:00+00,14.7,16.17,14.5,16.09,14.93,3333,101.8,15
2009-09-01 00:00:00+00,15.53,16.05,15,16,-0.56,2949,91.99,15
2009-09-02 00:00:00+00,15.5,15.7,15.5,15.7,-1.88,616,19.1,3
2009-09-03 00:00:00+00,15.7,16.01,14.97,16.01,1.97,1370,43.21,7
2009-09-04 00:00:00+00,15.5,15.7,15.5,15.7,-1.94,1005,31.16,3
2009-09-07 00:00:00+00,15,15.7,15,15.7,0,1549,47.15,4
2009-09-08 00:00:00+00,15.4,15.65,15.3,15.65,-0.32,1210,37.27,4
2009-09-09 00:00:00+00,16.1,16.16,16,16.16,3.26,1214,38.93,8
2009-09-10 00:00:00+00,16.14,17.7,16.14,17.07,5.63,1499,49.05,13
2009-09-11 00:00:00+00,17.06,17.97,17.06,17.97,5.27,1769,61.24,8
2009-09-14 00:00:00+00,23.8,23.8,20.58,21.3,18.53,6717,300.01,43
2009-09-15 00:00:00+00,21.3,22.03,19.2,20,-6.1,4267,177.85,37
2009-09-16 00:00:00+00,19.7,19.9,18.86,18.86,-5.7,952,36.84,6
2009-09-17 00:00:00+00,19,19,18.39,18.39,-2.49,828,30.88,3
2009-09-18 00:00:00+00,17.43,18.3,16.6,18.3,-0.49,2475,85.18,24
2009-09-21 00:00:00+00,18.3,18.4,18,18,-1.64,830,30.17,9
2009-09-22 00:00:00+00,17.16,17.16,16.6,16.6,-7.78,620,21.14,4
2009-09-23 00:00:00+00,17.41,18,16.7,17.99,8.37,2081,71.66,24
2009-09-24 00:00:00+00,17.43,17.43,17.3,17.3,-3.84,354,12.33,4
2009-09-25 00:00:00+00,17.4,17.5,17.2,17.43,0.75,892,30.9,7
2009-09-28 00:00:00+00,17.43,17.43,17.43,17.43,0,219,7.63,1
2009-09-29 00:00:00+00,17.43,17.43,17.4,17.4,-0.17,90,3.13,3
2009-09-30 00:00:00+00,16.6,17,15.66,17,-2.3,952,31.43,6
2009-10-01 00:00:00+00,16.35,16.95,15.9,16.95,-0.29,3807,124.26,15
2009-10-02 00:00:00+00,17,17,16.95,16.95,0,314,10.67,2
2009-10-05 00:00:00+00,16.99,16.99,16.2,16.95,0,652,21.5,6
2009-10-06 00:00:00+00,16.2,16.69,16.2,16.69,-1.53,1082,35.15,6
2009-10-07 00:00:00+00,15.95,16.68,15.95,16.68,-0.06,15,0.49,2
2009-10-08 00:00:00+00,15.97,16.6,15.9,16.6,-0.48,1981,63.05,13
2009-10-09 00:00:00+00,15.9,15.9,15.9,15.9,-4.22,3065,97.47,5
2009-10-12 00:00:00+00,15.9,15.9,14.7,14.7,-7.55,2027,62.21,18
2009-10-13 00:00:00+00,14.05,14.5,13.99,14.1,-4.08,1261,35.44,15
2009-10-14 00:00:00+00,13.66,14,13.66,13.66,-3.12,464,12.88,7
2009-10-15 00:00:00+00,14.26,14.27,14,14,2.49,279,7.91,5
2009-10-16 00:00:00+00,13.62,14.25,13.12,14.25,1.79,2256,62.04,16
2009-10-19 00:00:00+00,14.28,14.28,13.34,13.5,-5.26,1194,32.75,7
2009-10-20 00:00:00+00,13.3,13.34,13.21,13.21,-2.15,3197,84.93,14
2009-10-21 00:00:00+00,13.21,14.17,13.21,13.5,2.2,2055,56.9,14
2009-10-22 00:00:00+00,14.14,14.14,13.5,13.5,0,263,7.13,4
2009-10-23 00:00:00+00,13.5,13.5,13.5,13.5,0,1,0.03,1
2009-10-26 00:00:00+00,13.5,14.17,13.5,13.5,0,866,23.78,3
2009-10-27 00:00:00+00,12.88,13.4,12.88,13.4,-0.74,146,3.76,3
2009-10-28 00:00:00+00,13.4,13.48,13.4,13.48,0.6,102,2.73,3
2009-10-29 00:00:00+00,13.41,13.42,13.41,13.41,-0.52,225,6.04,4
2009-10-30 00:00:00+00,0,0,0,13.41,0,0,0,0
2009-11-02 00:00:00+00,12.9,13,12.86,13,-3.06,375,9.66,6
2009-11-03 00:00:00+00,12.86,12.86,11.61,12.2,-6.15,2166,53.49,13
