date,open,high,low,close,difference,volume,turnover,transactions
2008-09-30 00:00:00+00,1.58,3.5,1.24,1.28,28,1573674,5357.07,1210
2008-10-01 00:00:00+00,1.2,1.3,0.95,0.95,-25.78,3123435,6692.29,1542
2008-10-02 00:00:00+00,0.99,1.07,0.93,0.95,0,4350317,8943.89,1307
2008-10-03 00:00:00+00,0.95,0.99,0.95,0.97,2.11,790240,1529.49,330
2008-10-06 00:00:00+00,0.9,0.93,0.79,0.8,-17.53,1097441,1868.52,519
2008-10-07 00:00:00+00,0.83,0.85,0.71,0.77,-3.75,974859,1497.98,489
2008-10-08 00:00:00+00,0.7,0.77,0.66,0.74,-3.9,1133541,1588.07,413
2008-10-09 00:00:00+00,0.75,0.81,0.74,0.76,2.7,839308,1306.08,335
2008-10-10 00:00:00+00,0.67,0.73,0.65,0.7,-7.89,494705,678.98,212
2008-10-13 00:00:00+00,0.75,0.78,0.74,0.78,11.43,407604,617.86,196
2008-10-14 00:00:00+00,0.84,0.87,0.81,0.81,3.85,710777,1178.04,321
2008-10-15 00:00:00+00,0.88,1.02,0.85,0.92,13.58,3493490,6660.82,1179
2008-10-16 00:00:00+00,0.88,1.03,0.85,0.99,7.61,3000410,5915.61,824
2008-10-17 00:00:00+00,1.02,1.02,0.92,0.96,-3.03,1810883,3517.58,560
2008-10-20 00:00:00+00,1,1,0.95,0.97,1.04,587794,1136.45,221
2008-10-21 00:00:00+00,0.96,0.98,0.93,0.93,-4.12,621673,1184.51,213
2008-10-22 00:00:00+00,0.9,0.93,0.86,0.88,-5.38,525879,939.68,230
2008-10-23 00:00:00+00,0.86,0.92,0.83,0.92,4.55,502148,886.03,241
2008-10-24 00:00:00+00,0.88,0.91,0.87,0.9,-2.17,1054492,1887.2,341
2008-10-27 00:00:00+00,0.91,0.95,0.91,0.94,4.44,2424961,4539.82,642
2008-10-28 00:00:00+00,0.95,1,0.8,0.85,-9.57,3065302,5789.75,1098
2008-10-29 00:00:00+00,0.88,0.89,0.85,0.89,4.71,866029,1504.47,373
2008-10-30 00:00:00+00,0.88,0.88,0.8,0.85,-4.49,1854194,3125.79,552
2008-10-31 00:00:00+00,0.83,0.86,0.81,0.86,1.18,884887,1488.61,326
2008-11-03 00:00:00+00,0.91,1.01,0.9,1,16.28,3516438,6783.89,956
2008-11-04 00:00:00+00,1.02,1.16,0.93,1.01,1,7887368,16752.28,2382
2008-11-05 00:00:00+00,1.01,1.03,0.84,0.85,-15.84,5244041,9827.67,1788
2008-11-06 00:00:00+00,0.81,0.85,0.79,0.8,-5.88,1781354,2930.08,591
2008-11-07 00:00:00+00,0.82,0.85,0.8,0.83,3.75,1844365,3036.25,430
2008-11-10 00:00:00+00,0.85,0.86,0.81,0.81,-2.41,696526,1152.39,251
2008-11-12 00:00:00+00,0.8,0.8,0.72,0.72,-11.11,909143,1374.04,342
2008-11-13 00:00:00+00,0.7,0.74,0.67,0.7,-2.78,740447,1049.49,276
2008-11-14 00:00:00+00,0.73,0.74,0.68,0.7,0,809418,1153.86,260
2008-11-17 00:00:00+00,0.69,0.7,0.67,0.68,-2.86,1233252,1667.29,249
2008-11-18 00:00:00+00,0.68,0.68,0.62,0.64,-5.88,731411,937.21,253
2008-11-19 00:00:00+00,0.62,0.65,0.61,0.62,-3.13,375193,467.56,137
2008-11-20 00:00:00+00,0.57,0.6,0.54,0.55,-11.29,454291,519.14,177
2008-11-21 00:00:00+00,0.57,0.61,0.54,0.57,3.64,936116,1069.16,309
2008-11-24 00:00:00+00,0.57,0.62,0.57,0.61,7.02,1562802,1872.71,357
2008-11-25 00:00:00+00,0.61,0.64,0.58,0.59,-3.28,1006756,1224.08,269
2008-11-26 00:00:00+00,0.59,0.64,0.57,0.64,8.47,854117,1022.42,234
2008-11-27 00:00:00+00,0.64,0.67,0.62,0.62,-3.13,906906,1170.17,263
2008-11-28 00:00:00+00,0.62,0.63,0.6,0.61,-1.61,314484,387.05,111
2008-12-01 00:00:00+00,0.61,0.64,0.61,0.61,0,285296,354.63,135
2008-12-02 00:00:00+00,0.59,0.63,0.58,0.62,1.64,454749,556.71,175
2008-12-03 00:00:00+00,0.63,0.75,0.61,0.75,20.97,6432363,8807.93,1257
2008-12-04 00:00:00+00,0.76,0.8,0.71,0.71,-5.33,3851981,5852.09,1014
2008-12-05 00:00:00+00,0.7,0.72,0.65,0.66,-7.04,2427321,3280.36,566
2008-12-08 00:00:00+00,0.68,0.71,0.66,0.69,4.55,1816460,2488.04,476
2008-12-09 00:00:00+00,0.69,0.73,0.68,0.71,2.9,1656318,2329.52,439
2008-12-10 00:00:00+00,0.7,0.77,0.69,0.73,2.82,2769248,4140.09,674
2008-12-11 00:00:00+00,0.73,0.75,0.7,0.71,-2.74,1081406,1543.92,278
2008-12-12 00:00:00+00,0.68,0.7,0.66,0.68,-4.23,1029866,1398.48,258
2008-12-15 00:00:00+00,0.69,0.69,0.63,0.65,-4.41,1192790,1565.67,358
2008-12-16 00:00:00+00,0.64,0.67,0.63,0.65,0,508040,660.19,193
2008-12-17 00:00:00+00,0.65,0.65,0.61,0.61,-6.15,889118,1109.78,279
2008-12-18 00:00:00+00,0.62,0.63,0.58,0.59,-3.28,441611,530.36,154
2008-12-19 00:00:00+00,0.58,0.67,0.57,0.65,10.17,1298118,1615.04,395
2008-12-22 00:00:00+00,0.65,0.69,0.62,0.62,-4.62,1231597,1622.16,421
2008-12-23 00:00:00+00,0.62,0.62,0.6,0.62,0,298360,362.62,129
2008-12-29 00:00:00+00,0.61,0.64,0.6,0.62,0,205952,254.86,102
2008-12-30 00:00:00+00,0.61,0.62,0.6,0.61,-1.61,315748,385.82,93
2008-12-31 00:00:00+00,0.61,0.62,0.61,0.61,0,88664,108.41,49
2009-01-05 00:00:00+00,0.63,0.64,0.61,0.62,1.64,419784,522.18,134
2009-01-06 00:00:00+00,0.61,0.68,0.59,0.66,6.45,3344263,4336.18,748
2009-01-07 00:00:00+00,0.67,0.68,0.63,0.63,-4.55,979923,1273.39,235
2009-01-08 00:00:00+00,0.62,0.65,0.62,0.62,-1.59,966593,1223.21,217
2009-01-09 00:00:00+00,0.63,0.64,0.62,0.62,0,822555,1034.47,201
2009-01-12 00:00:00+00,0.61,0.63,0.61,0.61,-1.61,339168,418.37,130
2009-01-13 00:00:00+00,0.61,0.62,0.59,0.61,0,622987,747.28,161
2009-01-14 00:00:00+00,0.62,0.7,0.62,0.62,1.64,4260952,5603.01,1031
2009-01-15 00:00:00+00,0.64,0.67,0.64,0.65,4.84,2494504,3260.79,561
2009-01-16 00:00:00+00,0.66,0.66,0.61,0.62,-4.62,1208302,1531.42,345
2009-01-19 00:00:00+00,0.62,0.62,0.57,0.58,-6.45,1275127,1517.22,351
2009-01-20 00:00:00+00,0.58,0.59,0.55,0.56,-3.45,979519,1111.87,219
2009-01-21 00:00:00+00,0.55,0.59,0.53,0.57,1.79,1768436,1989.69,408
2009-01-22 00:00:00+00,0.58,0.59,0.54,0.56,-1.75,681463,765.39,150
2009-01-23 00:00:00+00,0.55,0.55,0.53,0.55,-1.79,406591,440.72,124
2009-01-26 00:00:00+00,0.55,0.55,0.52,0.53,-3.64,575132,614.54,144
2009-01-27 00:00:00+00,0.54,0.54,0.5,0.5,-5.66,712662,731.97,191
2009-01-28 00:00:00+00,0.51,0.51,0.48,0.5,0,728431,715.46,195
2009-01-29 00:00:00+00,0.49,0.52,0.48,0.49,-2,883254,887.28,197
2009-01-30 00:00:00+00,0.49,0.5,0.48,0.5,2.04,268203,264.86,97
2009-02-02 00:00:00+00,0.48,0.49,0.45,0.45,-10,692998,649.12,140
2009-02-03 00:00:00+00,0.46,0.47,0.41,0.43,-4.44,600498,527.9,161
2009-02-04 00:00:00+00,0.44,0.45,0.41,0.43,0,583841,502.69,146
2009-02-05 00:00:00+00,0.42,0.54,0.4,0.53,23.26,5380962,5315.74,1124
2009-02-06 00:00:00+00,0.57,0.69,0.56,0.65,22.64,8531647,10761.38,1846
2009-02-09 00:00:00+00,0.66,0.66,0.6,0.6,-7.69,3157701,3973.5,859
2009-02-10 00:00:00+00,0.6,0.79,0.57,0.79,31.67,8939087,12337.68,1908
2009-02-11 00:00:00+00,0.77,0.81,0.74,0.77,-2.53,12546337,19300.9,2904
2009-02-12 00:00:00+00,0.77,0.78,0.66,0.68,-11.69,3354878,4893.9,878
2009-02-13 00:00:00+00,0.71,0.74,0.65,0.67,-1.47,2646721,3682.9,786
2009-02-16 00:00:00+00,0.65,0.67,0.61,0.61,-8.96,2192701,2788.29,606
2009-02-17 00:00:00+00,0.58,0.62,0.55,0.56,-8.2,2591479,3029.08,631
2009-02-18 00:00:00+00,0.57,0.62,0.52,0.59,5.36,3278264,3787.25,766
2009-02-19 00:00:00+00,0.62,0.65,0.6,0.62,5.08,2354292,2933.09,603
2009-02-20 00:00:00+00,0.6,0.65,0.57,0.62,0,3803572,4680.54,799
2009-02-23 00:00:00+00,0.63,0.66,0.62,0.63,1.61,1753826,2233.7,333
2009-02-24 00:00:00+00,0.62,0.63,0.59,0.61,-3.17,1072391,1307.89,279
2009-02-25 00:00:00+00,0.63,0.64,0.58,0.6,-1.64,1444750,1774.84,362
2009-02-26 00:00:00+00,0.6,0.6,0.58,0.6,0,782341,916.23,209
