date,open,high,low,close,difference,volume,turnover,transactions
2006-10-25 00:00:00+00,120,121.9,119,121.6,4.47,1042854,250043.1,3366
2006-10-26 00:00:00+00,123.5,124.4,122,122,0.33,669691,164865.52,1605
2006-10-27 00:00:00+00,123,123,120.5,120.7,-1.07,192615,46772.2,578
2006-10-30 00:00:00+00,120.8,120.8,118.5,119,-1.41,84894,20231.95,414
2006-10-31 00:00:00+00,119.2,121,118.5,121,1.68,106614,25657.58,171
2006-11-02 00:00:00+00,121.4,122.2,120,121,0,287899,70199.38,276
2006-11-03 00:00:00+00,122,122,119,120.5,-0.41,81679,19678.18,204
2006-11-06 00:00:00+00,120.5,121.6,120.5,121.3,0.66,81369,19733.17,175
2006-11-07 00:00:00+00,122,122,120.7,121.8,0.41,142857,34729.26,186
2006-11-08 00:00:00+00,120.9,121.9,120.7,121.8,0,49675,12040.85,120
2006-11-09 00:00:00+00,121.7,122.5,121.6,121.9,0.08,135452,33100.41,304
2006-11-10 00:00:00+00,122,122,120.7,121.5,-0.33,84017,20287.18,91
2006-11-13 00:00:00+00,121.7,123.6,121.5,123,1.23,48970,12048.21,238
2006-11-14 00:00:00+00,123.2,123.4,122,122.9,-0.08,46126,11334.82,101
2006-11-15 00:00:00+00,122.7,122.7,120.2,121,-1.55,106507,25734.5,220
2006-11-16 00:00:00+00,121.2,124.1,120.4,123.9,2.4,20345,4998.58,165
2006-11-17 00:00:00+00,124,124,123,123.5,-0.32,4046,1000.67,74
2006-11-20 00:00:00+00,123.4,124.4,122.5,124.2,0.57,48000,11843.78,111
2006-11-21 00:00:00+00,124,126.2,123.5,126.1,1.53,19826,4970.81,203
2006-11-22 00:00:00+00,126.3,127,125,127,0.71,23404,5927.51,151
2006-11-23 00:00:00+00,127,129,126.8,127.3,0.24,65812,16802.99,179
2006-11-24 00:00:00+00,127.5,127.5,124.6,126.8,-0.39,33921,8540.57,241
2006-11-27 00:00:00+00,127,127.5,125.7,126.8,0,16035,4063.03,80
2006-11-28 00:00:00+00,125.7,127,124.9,126,-0.63,6810,1709.81,90
2006-11-29 00:00:00+00,126.5,128,125.2,128,1.59,8213,2090.89,105
2006-11-30 00:00:00+00,128,129.2,126.8,127.3,-0.55,15536,3988.48,105
2006-12-01 00:00:00+00,128,129.6,127.5,129.6,1.81,28845,7379.54,116
2006-12-04 00:00:00+00,129.3,130,129,130,0.31,12755,3311.73,130
2006-12-05 00:00:00+00,130.2,133,130.2,132.2,1.69,40143,10554.79,201
2006-12-06 00:00:00+00,133.3,135,132,132.5,0.23,32429,8667.94,193
2006-12-07 00:00:00+00,132.5,134,132,133.8,0.98,19789,5258.32,106
2006-12-08 00:00:00+00,133.6,135,132.7,135,0.9,9124,2444.48,110
2006-12-11 00:00:00+00,135,139,133.9,137,1.48,37800,10347.63,206
2006-12-12 00:00:00+00,138,139.1,135.7,135.8,-0.88,58236,15909.52,170
2006-12-13 00:00:00+00,135.8,137,134,137,0.88,11579,3130.48,106
