date,open,high,low,close,difference,volume,turnover,transactions
2008-11-25 00:00:00+00,1.78,1.78,1.65,1.78,4.71,8292,29.3,19
2008-11-26 00:00:00+00,1.75,2,1.74,1.83,2.81,46909,174.52,53
2008-11-27 00:00:00+00,1.75,1.75,1.68,1.75,-4.37,4418,15.03,10
2008-11-28 00:00:00+00,1.74,1.74,1.6,1.65,-5.71,1850,6.08,8
2008-12-01 00:00:00+00,1.7,1.7,1.47,1.47,-10.91,3523,10.94,7
2008-12-02 00:00:00+00,1.49,1.54,1.33,1.54,4.76,4663,13.46,15
2008-12-03 00:00:00+00,1.45,1.54,1.45,1.54,0,101,0.31,2
2008-12-04 00:00:00+00,1.54,1.6,1.5,1.6,3.9,8304,25.74,6
2008-12-05 00:00:00+00,1.7,1.7,1.6,1.65,3.13,420,1.37,6
2008-12-08 00:00:00+00,1.7,1.75,1.67,1.75,6.06,3302,11.2,10
2008-12-09 00:00:00+00,1.7,1.74,1.7,1.74,-0.57,3091,10.6,10
2008-12-10 00:00:00+00,1.74,1.74,1.66,1.74,0,7221,24.59,5
2008-12-11 00:00:00+00,1.69,1.69,1.69,1.69,-2.87,111,0.38,1
2008-12-12 00:00:00+00,1.6,1.7,1.6,1.7,0.59,2234,7.19,7
2008-12-15 00:00:00+00,1.65,1.7,1.65,1.7,0,2600,8.59,2
2008-12-16 00:00:00+00,1.75,1.75,1.63,1.63,-4.12,519,1.72,4
2008-12-17 00:00:00+00,1.58,1.68,1.58,1.68,3.07,1600,5.08,2
2008-12-18 00:00:00+00,0,0,0,1.68,0,0,0,0
2008-12-19 00:00:00+00,1.73,1.73,1.61,1.71,1.79,2653,8.76,4
2008-12-22 00:00:00+00,1.76,1.81,1.65,1.7,-0.58,2120,7.24,5
2008-12-23 00:00:00+00,1.73,1.73,1.73,1.73,1.76,10,0.03,1
2008-12-29 00:00:00+00,1.68,1.7,1.68,1.7,-1.73,4502,15.13,2
2008-12-30 00:00:00+00,1.73,1.73,1.6,1.7,0,2321,7.67,5
2008-12-31 00:00:00+00,1.7,1.72,1.62,1.72,1.18,1704,5.77,8
2009-01-05 00:00:00+00,1.75,1.75,1.7,1.7,-1.16,4560,15.51,3
2009-01-06 00:00:00+00,0,0,0,1.7,0,0,0,0
2009-01-07 00:00:00+00,1.58,1.69,1.58,1.58,-7.06,53,0.17,3
2009-01-08 00:00:00+00,1.7,1.7,1.55,1.55,-1.9,1010,3.13,4
2009-01-09 00:00:00+00,1.7,1.7,1.7,1.7,9.68,86,0.29,3
2009-01-12 00:00:00+00,1.7,1.75,1.7,1.75,2.94,411,1.43,4
2009-01-13 00:00:00+00,1.67,1.75,1.67,1.75,0,3512,11.96,6
2009-01-14 00:00:00+00,1.67,1.74,1.67,1.74,-0.57,779,2.6,2
2009-01-15 00:00:00+00,0,0,0,1.74,0,0,0,0
2009-01-16 00:00:00+00,1.65,1.68,1.63,1.68,-3.45,1334,4.4,5
2009-01-19 00:00:00+00,1.75,1.75,1.75,1.75,4.17,2503,8.76,3
2009-01-20 00:00:00+00,1.75,1.75,1.75,1.75,0,1,0,1
2009-01-21 00:00:00+00,1.75,1.75,1.75,1.75,0,1,0,1
2009-01-22 00:00:00+00,1.75,1.75,1.75,1.75,0,2,0.01,2
2009-01-23 00:00:00+00,1.73,1.73,1.45,1.72,-1.71,112,0.38,5
2009-01-26 00:00:00+00,0,0,0,1.72,0,0,0,0
2009-01-27 00:00:00+00,0,0,0,1.72,0,0,0,0
2009-01-28 00:00:00+00,1.64,1.74,1.62,1.67,-2.91,3531,11.59,5
2009-01-29 00:00:00+00,1.7,1.7,1.7,1.7,1.8,2,0.01,1
2009-01-30 00:00:00+00,1.6,1.6,1.6,1.6,-5.88,50,0.16,1
2009-02-02 00:00:00+00,1.6,1.6,1.6,1.6,0,100,0.32,2
2009-02-03 00:00:00+00,0,0,0,1.6,0,0,0,0
2009-02-04 00:00:00+00,1.6,1.6,1.5,1.5,-6.25,510,1.53,2
2009-02-05 00:00:00+00,1.47,1.55,1.45,1.55,3.33,8000,23.87,8
2009-02-06 00:00:00+00,1.6,1.6,1.6,1.6,3.23,2,0.01,1
2009-02-09 00:00:00+00,1.6,1.6,1.6,1.6,0,150,0.48,1
2009-02-10 00:00:00+00,0,0,0,1.6,0,0,0,0
2009-02-11 00:00:00+00,1.6,1.6,1.6,1.6,0,111,0.36,1
2009-02-12 00:00:00+00,1.6,1.6,1.59,1.59,-0.63,236,0.75,2
2009-02-13 00:00:00+00,1.6,1.6,1.6,1.6,0.63,370,1.18,1
2009-02-16 00:00:00+00,1.6,1.64,1.59,1.64,2.5,2300,7.35,11
2009-02-17 00:00:00+00,1.69,1.69,1.69,1.69,3.05,2,0.01,1
2009-02-18 00:00:00+00,1.65,1.65,1.65,1.65,-2.37,111,0.37,1
