date,open,high,low,close,difference,volume,turnover,transactions
2007-12-28 00:00:00+00,8.5,9.4,8.5,9,0.11,4902,90.18,16
2008-01-02 00:00:00+00,9.39,9.39,9.35,9.35,3.89,366,6.85,6
2008-01-03 00:00:00+00,9.1,9.15,9.03,9.03,-3.42,2252,40.98,12
2008-01-04 00:00:00+00,9.05,9.29,9.05,9.06,0.33,2287,41.51,13
2008-01-07 00:00:00+00,9.09,9.09,9.01,9.01,-0.55,2702,48.8,11
2008-01-08 00:00:00+00,9.2,9.2,8.84,9.15,1.55,1331,23.55,4
2008-01-09 00:00:00+00,9.05,9.05,8.71,8.71,-4.81,1176,20.68,12
2008-01-10 00:00:00+00,8.9,8.95,8.71,8.72,0.11,1077,18.81,9
2008-01-11 00:00:00+00,8.51,8.51,8.51,8.51,-2.41,20,0.34,1
2008-01-14 00:00:00+00,8.68,9,8.25,8.75,2.82,4483,76.2,21
2008-01-15 00:00:00+00,8.83,8.83,8.7,8.7,-0.57,1110,19.58,5
2008-01-16 00:00:00+00,8.8,8.8,8.25,8.25,-5.17,362,6.07,5
2008-01-17 00:00:00+00,8.5,8.5,8.5,8.5,3.03,300,5.1,4
2008-01-18 00:00:00+00,8.6,8.6,8.32,8.32,-2.12,520,8.66,2
2008-01-21 00:00:00+00,8.25,8.25,7.9,7.9,-5.05,1020,16.62,9
2008-01-22 00:00:00+00,8.14,8.14,8.14,8.14,3.04,928,15.11,1
2008-01-23 00:00:00+00,8.14,8.65,7.83,8.65,6.27,933,14.77,6
2008-01-24 00:00:00+00,8.65,8.88,8.6,8.88,2.66,976,17.02,11
2008-01-25 00:00:00+00,9.05,9.05,9.05,9.05,1.91,143,2.59,2
2008-01-28 00:00:00+00,8.95,8.95,8.95,8.95,-1.1,354,6.34,5
2008-01-29 00:00:00+00,9.29,9.29,9.2,9.2,2.79,225,4.14,3
2008-01-30 00:00:00+00,9.5,9.5,9.3,9.49,3.15,361,6.72,4
2008-01-31 00:00:00+00,9.5,9.5,9.14,9.14,-3.69,750,13.95,5
2008-02-01 00:00:00+00,9.48,9.48,9.07,9.3,1.75,1294,23.69,6
2008-02-04 00:00:00+00,9.48,9.5,8.62,9.49,2.04,1667,31.09,19
2008-02-05 00:00:00+00,9.48,9.48,9.3,9.3,-2,75,1.4,2
