date,open,high,low,close,difference,volume,turnover,transactions
2015-11-16 00:00:00+00,6.95,7.05,6.95,7.05,1.44,286,2,2
2015-11-17 00:00:00+00,0,0,0,7.05,0,0,0,0
2015-11-18 00:00:00+00,0,0,0,7.05,0,0,0,0
2015-11-19 00:00:00+00,0,0,0,7.05,0,0,0,0
2015-11-20 00:00:00+00,7.17,7.17,7.17,7.17,1.7,20,0.14,2
2015-11-23 00:00:00+00,7.3,7.3,7.3,7.3,1.81,5,0.04,1
2015-11-24 00:00:00+00,7.4,8,7.3,7.3,0,39,0.29,8
2015-11-25 00:00:00+00,7.15,7.8,7.15,7.65,4.79,69,0.52,9
2015-11-26 00:00:00+00,7.25,7.25,7.25,7.25,-5.23,7,0.05,1
2015-11-27 00:00:00+00,7.65,8.25,7.65,8.25,13.79,76,0.6,11
2015-11-30 00:00:00+00,7.51,7.75,7.2,7.2,-12.73,247,1.86,5
2015-12-01 00:00:00+00,7.2,7.2,7.2,7.2,0,9,0.06,2
2015-12-02 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-03 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-04 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-07 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-08 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-09 00:00:00+00,7.2,7.2,7.2,7.2,0,50,0.36,1
2015-12-10 00:00:00+00,7.2,7.2,7.2,7.2,0,24,0.17,1
2015-12-11 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-14 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-15 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-16 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-17 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-18 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-21 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-22 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-23 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-28 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-29 00:00:00+00,0,0,0,7.2,0,0,0,0
2015-12-30 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-01-04 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-01-05 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-01-07 00:00:00+00,7.45,7.45,7.45,7.45,3.47,400,2.98,1
2016-01-08 00:00:00+00,7.46,8,7.46,8,7.38,1200,9.24,4
2016-01-11 00:00:00+00,8,8,8,8,0,200,1.6,2
2016-01-12 00:00:00+00,8,8,8,8,0,401,3.21,1
2016-01-13 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-14 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-15 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-18 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-19 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-20 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-21 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-22 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-25 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-26 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-27 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-28 00:00:00+00,0,0,0,8,0,0,0,0
2016-01-29 00:00:00+00,0,0,0,8,0,0,0,0
2016-02-01 00:00:00+00,0,0,0,8,0,0,0,0
2016-02-02 00:00:00+00,0,0,0,8,0,0,0,0
2016-02-03 00:00:00+00,7.6,7.6,7.6,7.6,-5,1,0.01,1
2016-02-04 00:00:00+00,0,0,0,7.6,0,0,0,0
2016-02-05 00:00:00+00,0,0,0,7.6,0,0,0,0
2016-02-08 00:00:00+00,0,0,0,7.6,0,0,0,0
2016-02-09 00:00:00+00,0,0,0,7.6,0,0,0,0
2016-02-10 00:00:00+00,0,0,0,7.6,0,0,0,0
2016-02-11 00:00:00+00,0,0,0,7.6,0,0,0,0
2016-02-12 00:00:00+00,0,0,0,7.6,0,0,0,0
2016-02-15 00:00:00+00,0,0,0,7.6,0,0,0,0
2016-02-16 00:00:00+00,7.56,7.56,7.2,7.2,-5.26,200,1.48,2
2016-02-17 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-02-18 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-02-19 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-02-22 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-02-23 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-02-24 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-02-25 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-02-26 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-02-29 00:00:00+00,0,0,0,7.2,0,0,0,0
2016-03-01 00:00:00+00,0,0,0,7.2,0,0,0,0
