date,open,high,low,close,difference,volume,turnover,transactions
2022-12-12 00:00:00+00,37,37.8,36.5,36.9,2.22,3067,113.7,42
2022-12-13 00:00:00+00,37,38,36.1,36.1,-2.17,2712,100.32,33
2022-12-14 00:00:00+00,36.2,37.5,35.9,37.1,2.77,2124,78.38,26
2022-12-15 00:00:00+00,37.3,37.3,35.5,35.5,-4.31,1244,44.59,12
2022-12-16 00:00:00+00,35,35,35,35,-1.41,1531,53.59,20
2022-12-19 00:00:00+00,35,35,34.4,35,0,1141,39.39,11
2022-12-20 00:00:00+00,35.5,35.8,34.2,35,0,1137,40.07,18
2022-12-21 00:00:00+00,35.8,35.8,35.7,35.7,2,113,4.03,3
2022-12-22 00:00:00+00,35.7,35.7,34.5,35.7,0,318,11,11
2022-12-23 00:00:00+00,35.7,35.8,35.7,35.7,0,5933,211.81,5
2022-12-27 00:00:00+00,35.8,35.8,34.3,35.7,0,451,15.5,4
2022-12-28 00:00:00+00,35.7,35.7,34,34.9,-2.24,1293,44.59,18
2022-12-29 00:00:00+00,35.5,35.5,34,34.1,-2.29,767,26.65,12
2022-12-30 00:00:00+00,35.5,35.5,34,34.3,0.59,1002,34.55,10
2023-01-02 00:00:00+00,34.4,35.1,33.8,35.1,2.33,328,11.11,6
2023-01-03 00:00:00+00,35.8,36,35,36,2.56,483,17.06,6
2023-01-04 00:00:00+00,36,37,35.2,36.8,2.22,2417,86.98,23
2023-01-05 00:00:00+00,36.4,36.4,33.2,36,-2.17,1561,53.98,23
2023-01-09 00:00:00+00,36,36,36,36,0,180,6.48,4
2023-01-10 00:00:00+00,36,36,34.7,35.8,-0.56,160,5.6,8
2023-01-11 00:00:00+00,35.8,35.8,34.6,35.8,0,1730,60.18,19
2023-01-12 00:00:00+00,35.8,35.8,34.6,35,-2.23,712,24.76,7
2023-01-13 00:00:00+00,34.8,34.8,34.2,34.3,-2,1238,42.66,15
2023-01-16 00:00:00+00,34.5,35.3,33.4,34,-0.87,2505,85.14,30
2023-01-17 00:00:00+00,34,34,33.4,34,0,951,31.83,17
2023-01-18 00:00:00+00,34,34,33.2,34,0,589,19.72,11
2023-01-19 00:00:00+00,34,34,33,34,0,678,22.64,11
2023-01-20 00:00:00+00,34,34,33.1,34,0,1089,36.17,9
2023-01-23 00:00:00+00,34,34,34,34,0,2,0.07,1
2023-01-24 00:00:00+00,34,34,33.6,33.6,-1.18,1185,40.21,9
2023-01-25 00:00:00+00,34,34,33.8,34,1.19,552,18.74,7
2023-01-26 00:00:00+00,33.8,33.8,33.2,33.3,-2.06,443,14.77,7
2023-01-27 00:00:00+00,33.3,33.9,33.3,33.9,1.8,174,5.86,9
2023-01-30 00:00:00+00,33.9,33.9,33.9,33.9,0,81,2.75,5
2023-01-31 00:00:00+00,33.9,33.9,33.5,33.6,-0.89,1002,33.62,3
2023-02-01 00:00:00+00,33.6,33.8,33.4,33.4,-0.6,1421,47.78,15
2023-02-02 00:00:00+00,33.5,33.9,33.5,33.9,1.5,1451,49.01,13
2023-02-03 00:00:00+00,34.2,34.2,33.5,34.2,0.89,317,10.8,8
2023-02-06 00:00:00+00,34.2,35,34,35,2.34,2550,87.87,23
2023-02-07 00:00:00+00,35,36.3,35,36.3,3.71,1245,44.27,13
2023-02-08 00:00:00+00,36.3,38.6,36.3,38.5,6.06,8042,300.73,45
2023-02-09 00:00:00+00,38.5,39.7,36.8,39,1.3,7335,286.49,50
2023-02-10 00:00:00+00,39,39.7,38,39,0,7067,275.28,32
2023-02-13 00:00:00+00,39.9,39.9,36.4,36.4,-6.67,4419,164.77,31
2023-02-14 00:00:00+00,37.9,37.9,35.9,36.9,1.37,1102,39.95,16
2023-02-15 00:00:00+00,36.9,37,36,36.9,0,715,25.99,7
2023-02-16 00:00:00+00,37,37.9,36.8,37.9,2.71,418,15.66,10
2023-02-17 00:00:00+00,37.9,39.5,37.9,38.1,0.53,2092,80.58,13
2023-02-20 00:00:00+00,38.2,39.3,38.2,39,2.36,382,14.96,12
2023-02-21 00:00:00+00,39.3,44.7,39.3,44.4,13.85,9337,391.11,156
2023-02-22 00:00:00+00,44.2,44.2,42,43.9,-1.13,1401,61.15,35
2023-02-23 00:00:00+00,43.9,44.4,42.5,43.3,-1.37,1701,73.96,25
2023-02-24 00:00:00+00,44,44,40.6,40.7,-6,3094,128.96,47
2023-02-27 00:00:00+00,40.7,41.9,39,41.9,2.95,4393,176.26,63
2023-02-28 00:00:00+00,41.8,43.8,40.6,43.8,4.53,1827,76.88,35
2023-03-01 00:00:00+00,43.7,43.7,42.2,43.3,-1.14,743,32.01,18
2023-03-02 00:00:00+00,43.1,43.1,41.4,42.4,-2.08,731,30.75,15
2023-03-03 00:00:00+00,41.8,41.8,41.1,41.7,-1.65,883,36.59,22
2023-03-06 00:00:00+00,41.9,42.5,39.3,41.7,0,2500,102.37,37
2023-03-07 00:00:00+00,44.5,46.8,44,46,10.31,14068,638.66,132
2023-03-08 00:00:00+00,45.9,46.4,44.4,44.5,-3.26,2234,101.9,35
2023-03-09 00:00:00+00,44.5,45.6,44.5,44.9,0.9,2370,107.29,32
2023-03-10 00:00:00+00,44.3,45.5,43.2,44.9,0,2674,117.36,47
2023-03-13 00:00:00+00,44.8,45.4,43.3,45.4,1.11,927,40.86,29
2023-03-14 00:00:00+00,44,47.6,44,47.6,4.85,4861,226.95,51
2023-03-15 00:00:00+00,47.6,49.3,46.1,47.9,0.63,2321,110.14,35
2023-03-16 00:00:00+00,47,49.6,46.8,48.8,1.88,2958,144.39,37
2023-03-17 00:00:00+00,48.9,48.9,46,47.9,-1.84,6939,324.89,54
2023-03-20 00:00:00+00,47,47.7,45.7,46,-3.97,6053,279.66,48
2023-03-21 00:00:00+00,46,48.8,46,48,4.35,3986,189.94,52
2023-03-22 00:00:00+00,47.8,47.8,46,47.8,-0.42,2161,101.61,13
2023-03-23 00:00:00+00,47.6,47.6,45.5,47.6,-0.42,1534,70.44,13
2023-03-24 00:00:00+00,47.6,47.6,45.2,47.5,-0.21,1779,81.3,20
2023-03-27 00:00:00+00,47.5,47.5,45.2,45.2,-4.84,2866,130.36,33
2023-03-28 00:00:00+00,44.9,47.4,44.9,47,3.98,221,10.33,14
2023-03-29 00:00:00+00,47,47.5,45.7,47,0,617,29.01,10
2023-03-30 00:00:00+00,46.8,47,45.4,47,0,351,16.37,9
2023-03-31 00:00:00+00,47,48,47,48,2.13,1196,56.95,17
2023-04-03 00:00:00+00,48,48,45.9,48,0,882,42.28,17
2023-04-04 00:00:00+00,48,48.1,47,48.1,0.21,427,20.41,9
2023-04-05 00:00:00+00,48.1,48.1,46.8,48,-0.21,300,14.3,9
2023-04-06 00:00:00+00,48.1,48.1,47,47,-2.08,1287,60.96,11
2023-04-11 00:00:00+00,47,51.6,47,51.6,9.79,1144,56.71,32
2023-04-12 00:00:00+00,51.6,51.6,48.4,49.2,-4.65,532,26.27,20
2023-04-13 00:00:00+00,49,52.4,48.5,48.5,-1.42,1016,51.13,33
2023-04-14 00:00:00+00,48.5,49.7,48.2,49.6,2.27,548,26.75,17
2023-04-17 00:00:00+00,49.6,58,49.2,54,8.87,5203,275.64,61
2023-04-18 00:00:00+00,55,57.4,53.6,56.8,5.19,2652,147.6,68
2023-04-19 00:00:00+00,57,57,54,55.2,-2.82,1347,74.24,48
2023-04-20 00:00:00+00,56.4,63,56,62.6,13.41,4897,299.09,100
2023-04-21 00:00:00+00,61.8,63.6,61.2,61.2,-2.24,910,56.47,36
2023-04-24 00:00:00+00,62.8,62.8,58,60.4,-1.31,1033,63.04,34
2023-04-25 00:00:00+00,63.4,67,59,65,7.62,2832,180.66,108
2023-04-26 00:00:00+00,65,68,63.8,67.8,4.31,2402,160.31,54
2023-04-27 00:00:00+00,68.6,69.2,66,66,-2.65,3961,271.38,57
2023-04-28 00:00:00+00,66.4,67,64.6,67,1.52,475,31.17,27
2023-05-02 00:00:00+00,67,67.8,65,65.2,-2.69,1269,83.34,36
2023-05-04 00:00:00+00,65.2,65.2,62.8,63,-3.37,1789,114.63,47
2023-05-05 00:00:00+00,64.4,66,63.6,64.8,2.86,862,55.55,30
2023-05-08 00:00:00+00,65,66.4,63.6,63.6,-1.85,353,22.89,11
2023-05-09 00:00:00+00,63.4,64,61.8,62.6,-1.57,2181,136.49,59
2023-05-10 00:00:00+00,63,67.4,61,67.4,7.67,1795,114.52,38
2023-05-11 00:00:00+00,67.4,68.6,65.2,68,0.89,686,46.28,28
2023-05-12 00:00:00+00,67.8,68,66,66.6,-2.06,885,59.82,24
2023-05-15 00:00:00+00,66.6,69.2,66.6,69.2,3.9,491,33.72,22
2023-05-16 00:00:00+00,70.6,76,70.6,76,9.83,5104,377.53,130
2023-05-17 00:00:00+00,76.4,79.4,73.6,74.2,-2.37,6363,486.01,114
2023-05-18 00:00:00+00,75,82,75,81.8,10.24,7359,580.19,138
2023-05-19 00:00:00+00,81.8,89.8,81.8,89.2,9.05,13929,1202.62,215
2023-05-22 00:00:00+00,90,90,83,86,-3.59,5098,444.31,121
