date,open,high,low,close,difference,volume,turnover,transactions
2011-08-04 00:00:00+00,19,19.95,18.05,19.2,-4,48504,920.44,177
2011-08-05 00:00:00+00,17.05,19.2,15.62,19.19,-0.05,33950,619.46,164
2011-08-08 00:00:00+00,17.55,18.45,17.55,17.85,-6.98,10805,194.98,64
2011-08-09 00:00:00+00,16.65,17.35,16.65,17,-4.76,123980,2099.81,90
2011-08-10 00:00:00+00,16.63,17.99,16.35,16.4,-3.53,39052,677.33,37
2011-08-11 00:00:00+00,16.3,16.84,15.24,15.55,-5.18,89531,1391.46,73
2011-08-12 00:00:00+00,16.3,16.3,14.7,15,-3.54,57092,857.26,96
2011-08-16 00:00:00+00,15.75,16.5,15.25,16.25,8.33,43574,687.94,65
2011-08-17 00:00:00+00,16.75,17.09,16.26,17.09,5.17,3144,52.8,28
2011-08-18 00:00:00+00,17.01,17.01,16.2,16.47,-3.63,16460,268.7,56
2011-08-19 00:00:00+00,16,16.89,16,16.89,2.55,9966,164.42,26
2011-08-22 00:00:00+00,16.89,17.89,16.89,17.89,5.92,6553,112.78,14
2011-08-23 00:00:00+00,18,19.2,18,19,6.2,11773,222.59,52
2011-08-24 00:00:00+00,19.5,19.6,19.25,19.5,2.63,8414,163.89,20
2011-08-25 00:00:00+00,19.7,20,19.6,19.7,1.03,24550,488.27,50
2011-08-26 00:00:00+00,19.05,19.95,19.05,19.95,1.27,14766,290.65,31
2011-08-29 00:00:00+00,20,20.85,19.95,20.85,4.51,22271,451.2,66
2011-08-30 00:00:00+00,20.8,21.33,20.8,21.15,1.44,18104,382.94,65
2011-08-31 00:00:00+00,21.99,21.99,21.15,21.3,0.71,13485,289.45,54
2011-09-01 00:00:00+00,21.29,21.29,20.8,20.8,-2.35,15362,321.54,27
2011-09-02 00:00:00+00,19.7,20.7,19.7,20,-3.85,25466,516.88,44
2011-09-05 00:00:00+00,19.9,19.9,19,19.75,-1.25,5501,106.92,27
2011-09-06 00:00:00+00,19.2,20.4,19.2,20,1.27,22200,447.07,40
2011-09-07 00:00:00+00,20.45,20.45,19.86,20.15,0.75,1412,28.32,12
2011-09-08 00:00:00+00,20.15,20.15,19.25,19.8,-1.74,1908,37.48,10
2011-09-09 00:00:00+00,19.75,19.75,19.26,19.7,-0.51,296,5.8,8
2011-09-12 00:00:00+00,19.64,19.64,18.8,19.43,-1.37,261,5,5
2011-09-13 00:00:00+00,19.75,19.75,19.75,19.75,1.65,1,0.02,1
