date,open,high,low,close,difference,volume,turnover,transactions
2014-05-06 00:00:00+00,0.28,0.32,0.28,0.32,14.29,6061,1.92,5
2014-05-07 00:00:00+00,0.34,0.34,0.32,0.32,0,29450,9.46,7
2014-05-08 00:00:00+00,0.34,0.34,0.33,0.33,3.13,18729,6.2,4
2014-05-09 00:00:00+00,0.33,0.33,0.33,0.33,0,2700,0.89,3
2014-05-12 00:00:00+00,0.33,0.33,0.33,0.33,0,2000,0.66,2
2014-05-13 00:00:00+00,0.29,0.32,0.29,0.32,-3.03,5500,1.72,5
2014-05-14 00:00:00+00,0.32,0.32,0.29,0.29,-9.38,12000,3.5,5
2014-05-15 00:00:00+00,0.33,0.33,0.3,0.3,3.45,61278,18.44,16
2014-05-16 00:00:00+00,0.29,0.34,0.29,0.34,13.33,1251,0.41,3
2014-05-19 00:00:00+00,0.35,0.35,0.35,0.35,2.94,15000,5.25,3
2014-05-20 00:00:00+00,0.36,0.36,0.36,0.36,2.86,62026,22.33,13
2014-05-21 00:00:00+00,0.44,0.44,0.42,0.42,16.67,17280,7.48,16
2014-05-22 00:00:00+00,0.45,0.5,0.45,0.5,19.05,86671,40.35,26
2014-05-23 00:00:00+00,0.52,0.54,0.52,0.54,8,46560,24.92,23
2014-05-26 00:00:00+00,0.63,0.7,0.63,0.7,29.63,94860,63.95,29
2014-05-27 00:00:00+00,0.66,0.66,0.63,0.63,-10,45040,29.3,34
2014-05-28 00:00:00+00,0.63,0.63,0.62,0.62,-1.59,1500,0.94,3
2014-05-29 00:00:00+00,0.6,0.6,0.6,0.6,-3.23,3000,1.8,3
2014-05-30 00:00:00+00,0.58,0.58,0.58,0.58,-3.33,200,0.12,1
2014-06-02 00:00:00+00,0.55,0.55,0.55,0.55,-5.17,1000,0.55,2
2014-06-03 00:00:00+00,0.5,0.5,0.5,0.5,-9.09,500,0.25,1
2014-06-04 00:00:00+00,0.59,0.59,0.5,0.5,0,5164,2.84,10
2014-06-05 00:00:00+00,0.5,0.5,0.5,0.5,0,4536,2.27,8
2014-06-06 00:00:00+00,0.6,0.6,0.6,0.6,20,11065,6.64,9
2014-06-09 00:00:00+00,0.6,0.64,0.6,0.64,6.67,3852,2.44,5
2014-06-10 00:00:00+00,0.6,0.6,0.6,0.6,-6.25,9303,5.58,6
2014-06-11 00:00:00+00,0.6,0.6,0.6,0.6,0,2410,1.45,3
2014-06-12 00:00:00+00,0.62,0.62,0.62,0.62,3.33,4600,2.85,3
2014-06-13 00:00:00+00,0,0,0,0.62,0,0,0,0
2014-06-16 00:00:00+00,0.55,0.55,0.55,0.55,-11.29,2450,1.35,4
2014-06-17 00:00:00+00,0.56,0.56,0.56,0.56,1.82,1801,1.01,3
2014-06-18 00:00:00+00,0.45,0.53,0.45,0.53,-5.36,300,0.15,2
2014-06-20 00:00:00+00,0.54,0.54,0.54,0.54,1.89,4050,2.19,4
2014-06-23 00:00:00+00,0.57,0.57,0.5,0.5,-7.41,18400,10.39,8
2014-06-24 00:00:00+00,0.5,0.5,0.5,0.5,0,250,0.13,1
2014-06-25 00:00:00+00,0.5,0.5,0.48,0.48,-4,3353,1.63,3
2014-06-26 00:00:00+00,0.45,0.47,0.45,0.47,-2.08,5450,2.46,4
2014-06-27 00:00:00+00,0.46,0.46,0.46,0.46,-2.13,29979,13.79,9
2014-06-30 00:00:00+00,0.46,0.46,0.46,0.46,0,15000,6.9,4
2014-07-01 00:00:00+00,0.51,0.53,0.43,0.47,2.17,23590,10.34,19
2014-07-02 00:00:00+00,0.48,0.48,0.41,0.41,-12.77,8034,3.56,16
2014-07-03 00:00:00+00,0.41,0.49,0.36,0.48,17.07,36181,14.55,17
2014-07-04 00:00:00+00,0.47,0.47,0.45,0.47,-2.08,1732,0.81,5
2014-07-07 00:00:00+00,0.47,0.47,0.4,0.4,-14.89,7629,3.12,8
2014-07-08 00:00:00+00,0.39,0.46,0.39,0.46,15,410,0.17,5
2014-07-09 00:00:00+00,0.46,0.47,0.46,0.47,2.17,1572,0.74,3
2014-07-10 00:00:00+00,0.47,0.47,0.38,0.44,-6.38,11939,4.97,14
2014-07-11 00:00:00+00,0.36,0.39,0.36,0.38,-13.64,27241,9.86,15
2014-07-14 00:00:00+00,0.38,0.39,0.36,0.39,2.63,6205,2.24,5
2014-07-15 00:00:00+00,0.37,0.37,0.36,0.36,-7.69,5100,1.84,4
2014-07-16 00:00:00+00,0.36,0.36,0.36,0.36,0,100,0.04,1
2014-07-17 00:00:00+00,0.36,0.36,0.36,0.36,0,50,0.02,1
2014-07-18 00:00:00+00,0.39,0.39,0.39,0.39,8.33,3796,1.48,3
2014-07-21 00:00:00+00,0.43,0.43,0.37,0.42,7.69,4870,2.03,9
2014-07-22 00:00:00+00,0.41,0.41,0.35,0.39,-7.14,5409,1.98,13
2014-07-23 00:00:00+00,0.39,0.39,0.35,0.39,0,1241,0.45,6
2014-07-24 00:00:00+00,0.37,0.37,0.35,0.35,-10.26,2800,1,3
2014-07-25 00:00:00+00,0.36,0.37,0.36,0.37,5.71,260,0.09,2
2014-07-28 00:00:00+00,0.37,0.38,0.37,0.38,2.7,1290,0.48,4
2014-07-29 00:00:00+00,0.4,0.4,0.4,0.4,5.26,100,0.04,1
2014-07-30 00:00:00+00,0.4,0.4,0.39,0.4,0,4250,1.7,5
2014-07-31 00:00:00+00,0.4,0.4,0.4,0.4,0,127,0.05,3
2014-08-01 00:00:00+00,0.4,0.4,0.4,0.4,0,50,0.02,1
2014-08-04 00:00:00+00,0.38,0.41,0.37,0.41,2.5,14932,5.94,22
2014-08-05 00:00:00+00,0.4,0.54,0.4,0.48,17.07,81728,39.33,49
2014-08-06 00:00:00+00,0.48,0.57,0.48,0.54,12.5,41523,22.41,42
2014-08-07 00:00:00+00,0.55,0.56,0.49,0.54,0,36640,19,31
2014-08-08 00:00:00+00,0.51,0.54,0.49,0.53,-1.85,23454,12.02,26
2014-08-11 00:00:00+00,0.52,0.52,0.42,0.42,-20.75,8710,4.08,19
2014-08-12 00:00:00+00,0.42,0.5,0.42,0.5,19.05,7980,3.89,16
2014-08-13 00:00:00+00,0.5,0.56,0.5,0.54,8,23619,12.53,32
2014-08-14 00:00:00+00,0.55,0.55,0.52,0.52,-3.7,9416,5.12,13
2014-08-18 00:00:00+00,0.54,0.54,0.49,0.51,-1.92,4440,2.2,9
2014-08-19 00:00:00+00,0.49,0.51,0.48,0.49,-3.92,4783,2.38,9
2014-08-20 00:00:00+00,0.49,0.53,0.49,0.49,0,2643,1.31,9
2014-08-21 00:00:00+00,0.48,0.52,0.48,0.52,6.12,1912,0.93,9
2014-08-22 00:00:00+00,0.51,0.51,0.48,0.48,-7.69,4380,2.18,5
2014-08-25 00:00:00+00,0,0,0,0.48,0,0,0,0
2014-08-26 00:00:00+00,0.5,0.54,0.44,0.54,12.5,25325,12.86,34
2014-08-27 00:00:00+00,0.54,0.54,0.48,0.49,-9.26,30107,14.78,19
2014-08-28 00:00:00+00,0.5,0.54,0.48,0.5,2.04,24901,12.28,19
2014-08-29 00:00:00+00,0.5,0.53,0.46,0.48,-4,14381,7.18,25
2014-09-01 00:00:00+00,0.48,0.5,0.48,0.48,0,15016,7.26,13
2014-09-02 00:00:00+00,0.48,0.53,0.48,0.53,10.42,64579,32.08,53
2014-09-03 00:00:00+00,0.53,0.56,0.49,0.52,-1.89,35399,18.67,33
2014-09-04 00:00:00+00,0.53,0.53,0.49,0.53,1.92,14180,7.1,20
2014-09-05 00:00:00+00,0.53,0.55,0.5,0.5,-5.66,22414,11.95,22
2014-09-08 00:00:00+00,0.49,0.56,0.49,0.56,12,35461,19,41
2014-09-09 00:00:00+00,0.56,0.56,0.5,0.51,-8.93,36052,18.24,25
2014-09-10 00:00:00+00,0.5,0.53,0.49,0.53,3.92,17235,8.59,25
2014-09-11 00:00:00+00,0.53,0.53,0.49,0.52,-1.89,27372,13.46,14
2014-09-12 00:00:00+00,0.49,0.53,0.45,0.53,1.92,14783,7.16,26
2014-09-15 00:00:00+00,0.53,0.53,0.49,0.53,0,2531,1.29,7
2014-09-16 00:00:00+00,0.53,0.53,0.5,0.51,-3.77,3300,1.7,9
2014-09-17 00:00:00+00,0.51,0.52,0.5,0.52,1.96,8830,4.47,12
2014-09-18 00:00:00+00,0.53,0.53,0.49,0.5,-3.85,7780,4.07,12
2014-09-19 00:00:00+00,0.5,0.53,0.5,0.52,4,17590,8.88,13
2014-09-22 00:00:00+00,0.5,0.5,0.5,0.5,-3.85,248,0.12,2
2014-09-23 00:00:00+00,0.5,0.51,0.49,0.51,2,8933,4.38,10
2014-09-24 00:00:00+00,0.51,0.51,0.48,0.49,-3.92,6600,3.2,10
2014-09-25 00:00:00+00,0.48,0.49,0.48,0.49,0,4590,2.21,7
2014-09-26 00:00:00+00,0.48,0.49,0.45,0.49,0,16500,7.7,17
2014-09-29 00:00:00+00,0.47,0.49,0.47,0.49,0,5300,2.56,5
2014-09-30 00:00:00+00,0.49,0.5,0.49,0.5,2.04,7275,3.56,5
2014-10-01 00:00:00+00,0.5,0.5,0.5,0.5,0,100,0.05,2
2014-10-02 00:00:00+00,0.5,0.5,0.47,0.5,0,1310,0.62,7
2014-10-03 00:00:00+00,0.5,0.5,0.5,0.5,0,100,0.05,1
2014-10-06 00:00:00+00,0.5,0.5,0.47,0.49,-2,33698,16.3,37
2014-10-07 00:00:00+00,0.48,0.49,0.46,0.49,0,22813,10.88,21
2014-10-08 00:00:00+00,0.49,0.49,0.49,0.49,0,100,0.05,1
2014-10-09 00:00:00+00,0.49,0.49,0.48,0.48,-2.04,567,0.27,3
2014-10-10 00:00:00+00,0.49,0.49,0.47,0.47,-2.08,3050,1.44,7
2014-10-13 00:00:00+00,0.49,0.51,0.48,0.5,6.38,5840,2.87,10
2014-10-14 00:00:00+00,0.5,0.5,0.45,0.48,-4,8280,4.01,13
2014-10-15 00:00:00+00,0.5,0.5,0.49,0.49,2.08,550,0.27,6
2014-10-16 00:00:00+00,0.49,0.49,0.49,0.49,0,1000,0.49,4
2014-10-17 00:00:00+00,0.49,0.5,0.46,0.49,0,10760,5.12,20
2014-10-20 00:00:00+00,0.49,0.49,0.48,0.48,-2.04,8241,3.98,15
2014-10-21 00:00:00+00,0.48,0.48,0.48,0.48,0,1990,0.96,2
2014-10-22 00:00:00+00,0.48,0.48,0.48,0.48,0,7321,3.51,7
2014-10-23 00:00:00+00,0.46,0.49,0.46,0.49,2.08,14932,7.26,17
2014-10-24 00:00:00+00,0.49,0.49,0.49,0.49,0,243,0.12,1
2014-10-27 00:00:00+00,0.49,0.52,0.47,0.52,6.12,37235,18.66,47
2014-10-28 00:00:00+00,0.52,0.52,0.49,0.49,-5.77,1350,0.67,6
2014-10-29 00:00:00+00,0.5,0.5,0.47,0.5,2.04,11657,5.63,11
2014-10-30 00:00:00+00,0.5,0.5,0.5,0.5,0,100,0.05,1
2014-10-31 00:00:00+00,0.5,0.5,0.5,0.5,0,100,0.05,1
2014-11-03 00:00:00+00,0.49,0.49,0.45,0.45,-10,1100,0.51,6
2014-11-04 00:00:00+00,0.47,0.48,0.44,0.44,-2.22,14425,6.61,14
2014-11-05 00:00:00+00,0.45,0.46,0.44,0.44,0,10635,4.81,10
2014-11-06 00:00:00+00,0.44,0.46,0.44,0.46,4.55,9421,4.26,10
2014-11-07 00:00:00+00,0.46,0.49,0.43,0.43,-6.52,32355,14.79,20
2014-11-10 00:00:00+00,0.47,0.48,0.42,0.42,-2.33,17883,7.93,9
2014-11-12 00:00:00+00,0.42,0.45,0.41,0.41,-2.38,3900,1.65,7
2014-11-13 00:00:00+00,0.42,0.42,0.41,0.41,0,7150,2.94,5
2014-11-14 00:00:00+00,0.44,0.44,0.42,0.44,7.32,3338,1.44,7
2014-11-17 00:00:00+00,0.44,0.44,0.41,0.42,-4.55,12045,5.02,8
2014-11-18 00:00:00+00,0.42,0.43,0.42,0.42,0,2744,1.15,8
2014-11-19 00:00:00+00,0.44,0.45,0.42,0.43,2.38,35871,15.5,52
2014-11-20 00:00:00+00,0.44,0.52,0.44,0.49,13.95,93715,45.89,77
2014-11-21 00:00:00+00,0.49,0.49,0.46,0.48,-2.04,22892,10.93,25
2014-11-24 00:00:00+00,0.5,0.5,0.48,0.5,4.17,40244,19.67,15
2014-11-25 00:00:00+00,0.5,0.5,0.45,0.45,-10,36943,17.64,13
2014-11-26 00:00:00+00,0.46,0.47,0.46,0.47,4.44,3955,1.84,6
2014-11-27 00:00:00+00,0.47,0.47,0.47,0.47,0,690,0.32,3
2014-11-28 00:00:00+00,0.47,0.47,0.45,0.45,-4.26,4030,1.88,6
2014-12-01 00:00:00+00,0.45,0.45,0.45,0.45,0,6575,2.96,6
2014-12-02 00:00:00+00,0.45,0.49,0.45,0.49,8.89,8000,3.88,11
2014-12-03 00:00:00+00,0.49,0.49,0.49,0.49,0,250,0.12,2
