date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,71.9,72,70,71,-0.7,1279,182.21,29
2005-01-04 00:00:00+00,71.9,71.9,70.7,70.7,-0.42,2787,396.36,24
2005-01-05 00:00:00+00,70.7,71.4,70,70.7,0,9459,1331.8,47
2005-01-06 00:00:00+00,70.7,70.7,69.9,69.9,-1.13,2007,281.1,33
2005-01-07 00:00:00+00,69.6,70,69.5,70,0.14,1469,205.03,30
2005-01-10 00:00:00+00,70,70,69,69,-1.43,2570,358.27,21
2005-01-11 00:00:00+00,68.8,70,68.6,69.6,0.87,26521,3661.71,38
2005-01-12 00:00:00+00,69,70.8,69,69.2,-0.57,12566,1738.54,61
2005-01-13 00:00:00+00,69.5,70,68.9,69.2,0,1741,242.01,29
2005-01-14 00:00:00+00,69,69.5,68.9,69.3,0.14,1228,169.77,27
2005-01-17 00:00:00+00,69,69.8,69,69,-0.43,2444,338.76,30
2005-01-18 00:00:00+00,69,69.5,68.9,68.9,-0.14,7266,1002.91,31
2005-01-19 00:00:00+00,68,69.4,68,68.7,-0.29,5954,812.63,49
2005-01-20 00:00:00+00,68,69.4,68,69,0.44,4606,629.12,33
2005-01-21 00:00:00+00,69,69.5,68,69.5,0.72,5019,691.64,23
2005-01-24 00:00:00+00,69.2,69.7,69.2,69.7,0.29,1890,261.74,14
2005-01-25 00:00:00+00,69.8,69.9,68,69.5,-0.29,34481,4704.21,29
2005-01-26 00:00:00+00,69.2,69.2,68,69,-0.72,6198,847.89,48
2005-01-27 00:00:00+00,68.9,69.5,68.2,69,0,3076,423.93,29
2005-01-28 00:00:00+00,69.5,69.5,68.5,69.4,0.58,83,11.48,6
2005-01-31 00:00:00+00,69.5,69.8,68.7,69.5,0.14,3062,424.94,29
2005-02-01 00:00:00+00,69.7,69.7,67.8,69.2,-0.43,5826,807.94,33
2005-02-02 00:00:00+00,69.2,69.9,69.2,69.3,0.14,7304,1016.37,34
2005-02-03 00:00:00+00,69.7,69.9,69.4,69.4,0.14,1484,206.28,21
2005-02-04 00:00:00+00,69.7,69.7,68.3,68.8,-0.86,390,54.15,10
2005-02-07 00:00:00+00,69,69,68.3,68.7,-0.15,915,125.47,17
2005-02-08 00:00:00+00,68.5,68.5,68.2,68.5,-0.29,2091,285.54,18
2005-02-09 00:00:00+00,68,68.5,68,68.5,0,11696,1591.65,48
2005-02-10 00:00:00+00,68,68,67.4,68,-0.73,21634,2935.31,35
2005-02-11 00:00:00+00,68,68,67.5,68,0,23517,3190.38,31
2005-02-14 00:00:00+00,68.1,68.1,67.9,68,0,355,48.29,11
2005-02-15 00:00:00+00,68,68,66.8,66.8,-1.76,18400,2483.83,33
2005-02-16 00:00:00+00,67.1,67.5,66.3,67,0.3,4268,569.76,43
2005-02-17 00:00:00+00,67,68,67,68,1.49,24309,3259.43,49
2005-02-18 00:00:00+00,68.5,70.4,67.6,69.8,2.65,21562,2967.94,100
2005-02-21 00:00:00+00,70,70.2,68,69.9,0.14,3473,484.93,49
2005-02-22 00:00:00+00,69.2,69.9,69.1,69.9,0,5978,827.6,28
2005-02-23 00:00:00+00,69.2,70,68.4,69,-1.29,2381,328.26,36
2005-02-24 00:00:00+00,68.3,69.4,67.7,67.7,-1.88,2968,405.42,37
2005-02-25 00:00:00+00,68,68.8,67.2,67.6,-0.15,3889,526.03,32
2005-02-28 00:00:00+00,68.5,68.5,67.3,68,0.59,798,108.02,13
2005-03-01 00:00:00+00,68,68,67.3,67.9,-0.15,929,125.32,13
2005-03-02 00:00:00+00,68.6,68.6,65.3,66,-2.8,2480,332.55,39
2005-03-03 00:00:00+00,66,66,64.9,66,0,3840,503.11,50
2005-03-04 00:00:00+00,66,67,65.2,66,0,70927,9424.62,23
2005-03-07 00:00:00+00,65.3,66,65.2,65.4,-0.91,6077,795.84,25
2005-03-08 00:00:00+00,65.4,65.5,64.8,64.9,-0.76,1371,179.09,18
2005-03-09 00:00:00+00,64.8,66,64.5,66,1.69,5139,670.83,53
2005-03-10 00:00:00+00,65.5,65.5,64.7,64.8,-1.82,1239,161.33,15
2005-03-11 00:00:00+00,64.5,65,64.4,65,0.31,533,68.95,14
2005-03-14 00:00:00+00,64.3,64.8,61.8,64.1,-1.38,8427,1064.82,67
2005-03-15 00:00:00+00,62.4,64,62.4,64,-0.16,1792,228.76,33
2005-03-16 00:00:00+00,62.8,63.4,61.4,62.1,-2.97,2320,288.44,43
2005-03-17 00:00:00+00,62,62,57,57,-8.21,16885,2032.3,95
