date,open,high,low,close,difference,volume,turnover,transactions
2008-11-07 00:00:00+00,2.63,2.63,1.7,1.7,-32,1543,6.51,7
2008-11-10 00:00:00+00,1.9,2.05,1.9,2.05,20.59,10,0.04,1
2008-11-12 00:00:00+00,1.8,2.05,1.76,1.76,-14.15,4695,16.69,13
2008-11-13 00:00:00+00,1.72,1.8,1.6,1.8,2.27,2205,7.11,4
2008-11-14 00:00:00+00,1.72,1.72,1.5,1.68,-6.67,12293,40.85,9
2008-11-17 00:00:00+00,1.54,1.79,1.54,1.75,4.17,15045,52.64,4
2008-11-18 00:00:00+00,0,0,0,1.75,0,0,0,0
2008-11-19 00:00:00+00,0,0,0,1.75,0,0,0,0
2008-11-20 00:00:00+00,0,0,0,1.75,0,0,0,0
2008-11-21 00:00:00+00,1.71,1.71,1.71,1.71,-2.29,4000,13.68,1
2008-11-24 00:00:00+00,1.72,1.72,1.72,1.72,0.58,1,0,1
2008-11-25 00:00:00+00,0,0,0,1.72,0,0,0,0
2008-11-26 00:00:00+00,1.55,1.72,1.55,1.7,-1.16,168,0.53,4
2008-11-27 00:00:00+00,0,0,0,1.7,0,0,0,0
2008-11-28 00:00:00+00,1.66,1.71,1.66,1.71,0.59,12002,39.85,3
2008-12-01 00:00:00+00,1.6,1.9,1.6,1.75,2.34,703,2.28,3
2008-12-02 00:00:00+00,1.75,1.75,1.75,1.75,0,1500,5.25,1
2008-12-03 00:00:00+00,1.86,1.86,1.5,1.75,0,1354,4.06,5
2008-12-04 00:00:00+00,0,0,0,1.75,0,0,0,0
2008-12-05 00:00:00+00,0,0,0,1.75,0,0,0,0
2008-12-08 00:00:00+00,1.52,1.69,1.51,1.66,-5.14,2732,8.36,11
2008-12-09 00:00:00+00,0,0,0,1.66,0,0,0,0
2008-12-10 00:00:00+00,1.55,1.65,1.55,1.65,-0.6,272,0.84,2
2008-12-11 00:00:00+00,0,0,0,1.65,0,0,0,0
2008-12-12 00:00:00+00,1.6,1.64,1.6,1.63,-1.21,20017,65.65,4
2008-12-15 00:00:00+00,1.6,1.67,1.6,1.66,1.84,5500,18.2,3
2008-12-16 00:00:00+00,1.6,1.6,1.6,1.6,-3.61,33,0.11,1
2008-12-17 00:00:00+00,1.59,1.59,1.59,1.59,-0.63,10000,31.8,2
2008-12-18 00:00:00+00,1.5,1.5,1.5,1.5,-5.66,100,0.3,1
2008-12-19 00:00:00+00,1.49,1.69,1.49,1.69,12.67,1606,4.8,4
2008-12-22 00:00:00+00,1.45,1.6,1.45,1.6,-5.33,10883,34.43,6
2008-12-23 00:00:00+00,1.42,1.43,1.17,1.2,-25,70080,183.02,41
2008-12-29 00:00:00+00,1.24,1.24,1.18,1.2,0,24830,59.68,17
2008-12-30 00:00:00+00,1.2,1.21,1.2,1.21,0.83,2900,6.97,5
2008-12-31 00:00:00+00,1.21,1.23,1.21,1.23,1.65,2600,6.35,5
2009-01-05 00:00:00+00,1.25,1.28,1.24,1.28,4.07,10902,27.25,11
2009-01-06 00:00:00+00,1.24,1.26,1.15,1.25,-2.34,23100,55.87,13
2009-01-07 00:00:00+00,1.2,1.2,1.13,1.17,-6.4,16702,39.44,11
2009-01-08 00:00:00+00,1.12,1.12,1.1,1.1,-5.98,15321,34.16,9
2009-01-09 00:00:00+00,1.06,1.1,1.05,1.05,-4.55,9862,20.85,7
2009-01-12 00:00:00+00,1.02,1.02,0.95,0.95,-9.52,19777,39.64,12
2009-01-13 00:00:00+00,0.96,0.96,0.94,0.94,-1.05,25408,48.26,12
2009-01-14 00:00:00+00,0.95,0.95,0.92,0.92,-2.13,2800,5.18,3
2009-01-15 00:00:00+00,0.91,0.91,0.9,0.9,-2.17,28472,51.27,12
2009-01-16 00:00:00+00,0.9,0.9,0.85,0.85,-5.56,144444,253.41,14
2009-01-19 00:00:00+00,0.85,0.85,0.77,0.77,-9.41,47461,75.95,22
2009-01-20 00:00:00+00,0.77,0.77,0.75,0.75,-2.6,48228,74.22,12
2009-01-21 00:00:00+00,0.77,0.98,0.71,0.98,30.67,67410,113.26,43
2009-01-22 00:00:00+00,0.99,1.03,0.84,0.9,-8.16,76667,143.06,53
2009-01-23 00:00:00+00,0.83,0.83,0.77,0.77,-14.44,18774,30.05,12
2009-01-26 00:00:00+00,0.8,0.84,0.8,0.84,9.09,10186,16.7,9
2009-01-27 00:00:00+00,0.81,0.81,0.76,0.8,-4.76,45000,70.41,18
2009-01-28 00:00:00+00,0.81,0.81,0.81,0.81,1.25,301,0.49,1
2009-01-29 00:00:00+00,0,0,0,0.81,0,0,0,0
2009-01-30 00:00:00+00,0.81,0.81,0.78,0.81,0,1850,2.95,3
2009-02-02 00:00:00+00,0,0,0,0.81,0,0,0,0
2009-02-03 00:00:00+00,0.81,0.81,0.78,0.78,-3.7,7215,11.48,10
2009-02-04 00:00:00+00,0.8,0.93,0.8,0.93,19.23,46246,82.38,24
2009-02-05 00:00:00+00,0.94,1.02,0.9,1.01,8.6,61410,120.07,39
2009-02-06 00:00:00+00,1.01,1.03,0.97,0.99,-1.98,30032,59.09,18
2009-02-09 00:00:00+00,0.95,1.02,0.95,1.02,3.03,7178,13.84,6
2009-02-10 00:00:00+00,1.02,1.18,1.01,1.15,12.75,50801,109.56,38
2009-02-11 00:00:00+00,1.05,1.18,1.04,1.11,-3.48,42314,93.76,26
2009-02-12 00:00:00+00,1.07,1.08,1.03,1.08,-2.7,10500,22.01,6
2009-02-13 00:00:00+00,1.03,1.05,1,1.05,-2.78,2002,4.05,4
2009-02-16 00:00:00+00,0.99,1.2,0.99,1.2,14.29,96814,216.65,20
2009-02-17 00:00:00+00,1.15,1.15,1.08,1.15,-4.17,1942,4.33,4
2009-02-18 00:00:00+00,1.1,1.1,1.07,1.1,-4.35,14537,31.95,11
2009-02-19 00:00:00+00,1.1,1.1,1.1,1.1,0,14686,32.31,7
2009-02-20 00:00:00+00,1.1,1.1,1.1,1.1,0,100,0.22,1
2009-02-23 00:00:00+00,1.12,1.12,1.12,1.12,1.82,100,0.22,1
2009-02-24 00:00:00+00,1.14,1.14,1.14,1.14,1.79,88,0.2,1
2009-02-25 00:00:00+00,1.16,1.18,1.16,1.16,1.75,3625,8.43,7
2009-02-26 00:00:00+00,1.17,1.17,1.15,1.17,0.86,2560,5.9,5
2009-02-27 00:00:00+00,1.17,1.25,1.15,1.25,6.84,23860,57.6,18
2009-03-02 00:00:00+00,1.25,1.27,1.18,1.22,-2.4,15895,38.93,12
2009-03-03 00:00:00+00,1.22,1.22,1.22,1.22,0,600,1.46,2
2009-03-04 00:00:00+00,1.17,1.22,1.16,1.16,-4.92,1010,2.35,3
2009-03-05 00:00:00+00,1.18,1.18,1.05,1.05,-9.48,13433,30.07,10
2009-03-06 00:00:00+00,1.1,1.1,0.99,1.04,-0.95,9000,18.65,8
2009-03-09 00:00:00+00,0.99,1,0.98,1,-3.85,4935,9.72,5
2009-03-10 00:00:00+00,1.02,1.16,1.02,1.11,11,14831,30.48,7
2009-03-11 00:00:00+00,1.07,1.1,1.05,1.1,-0.9,10534,22.4,6
2009-03-12 00:00:00+00,1.1,1.1,1.1,1.1,0,500,1.1,1
2009-03-13 00:00:00+00,1.11,1.11,1.11,1.11,0.91,100,0.22,1
2009-03-16 00:00:00+00,1.11,1.13,1.11,1.13,1.8,3161,7.06,4
2009-03-17 00:00:00+00,1.07,1.12,1.07,1.12,-0.88,550,1.19,4
2009-03-18 00:00:00+00,1.07,1.08,1.05,1.08,-3.57,10691,22.82,7
2009-03-19 00:00:00+00,0,0,0,1.08,0,0,0,0
2009-03-20 00:00:00+00,0,0,0,1.08,0,0,0,0
