date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,18.6,18.6,18.25,18.3,-2.14,1100,40.41,12
2005-01-04 00:00:00+00,18.25,18.55,18.1,18.55,1.37,42030,1530.13,9
2005-01-05 00:00:00+00,18.4,18.6,18.2,18.6,0.27,919,33.67,7
2005-01-06 00:00:00+00,18.75,18.75,18.6,18.7,0.54,672,25.11,7
2005-01-07 00:00:00+00,18.8,19.85,18.8,19.8,5.88,12097,472.7,87
2005-01-10 00:00:00+00,19.95,20.2,19.6,19.6,-1.01,17101,686.05,77
2005-01-11 00:00:00+00,19.55,19.55,19.2,19.2,-2.04,2200,85.44,26
2005-01-12 00:00:00+00,19.45,19.7,19.4,19.5,1.56,2444,95.52,27
2005-01-13 00:00:00+00,19.5,19.5,19,19.15,-1.79,2527,97.16,28
2005-01-14 00:00:00+00,19.25,19.25,18.85,18.85,-1.57,1151,43.7,11
2005-01-17 00:00:00+00,18.8,18.9,18.8,18.9,0.27,468,17.61,10
2005-01-18 00:00:00+00,18.7,18.9,18.4,18.9,0,3385,127.7,19
2005-01-19 00:00:00+00,18.9,18.9,18.8,18.8,-0.53,10050,379.88,11
2005-01-20 00:00:00+00,18.8,18.9,18.8,18.9,0.53,3809,143.22,8
2005-01-21 00:00:00+00,18.6,18.65,18.6,18.65,-1.32,2500,93.01,6
2005-01-24 00:00:00+00,18.65,19,18.5,19,1.88,1350,51,7
2005-01-25 00:00:00+00,19.1,19.1,19.1,19.1,0.53,50,1.91,2
2005-01-26 00:00:00+00,18.8,18.85,18.8,18.8,-1.57,375,14.11,4
2005-01-27 00:00:00+00,18.6,19,18.6,19,1.06,180,6.7,3
2005-01-28 00:00:00+00,19.05,19.05,18.95,18.95,-0.26,11,0.42,2
2005-01-31 00:00:00+00,18.6,19.1,18.6,19,0.26,2176,82.23,18
2005-02-01 00:00:00+00,19,19.65,19,19.65,3.42,4580,177.88,12
2005-02-02 00:00:00+00,19.9,20.7,19.9,19.9,1.27,13855,564,50
2005-02-03 00:00:00+00,20.1,20.2,20.1,20.2,1.51,5840,235.13,18
2005-02-04 00:00:00+00,19.4,20.2,19.4,19.9,-1.49,2204,87.8,29
2005-02-07 00:00:00+00,20,20.3,19.5,19.95,0.25,1629,64.16,16
2005-02-08 00:00:00+00,19.6,19.65,19.35,19.65,-1.5,1533,59.79,17
2005-02-09 00:00:00+00,19.4,19.65,19.4,19.65,0,267,10.39,2
2005-02-10 00:00:00+00,19.75,19.75,19.7,19.7,0.25,167,6.58,3
2005-02-11 00:00:00+00,19.75,19.75,19.45,19.7,0,108,4.22,4
2005-02-14 00:00:00+00,19.75,19.9,19.4,19.7,0,1509,59.46,10
2005-02-15 00:00:00+00,19.4,19.4,19.35,19.4,-1.52,577,22.38,7
2005-02-16 00:00:00+00,19.4,19.4,19.2,19.3,-0.52,2830,108.84,15
2005-02-17 00:00:00+00,19.2,19.3,19.2,19.3,0,2219,85.44,21
2005-02-18 00:00:00+00,19.2,19.65,19.2,19.5,1.04,5446,211.56,13
2005-02-21 00:00:00+00,19.25,19.5,19.1,19.5,0,1330,51.18,12
2005-02-22 00:00:00+00,19.5,19.7,19.5,19.5,0,1719,67.24,13
2005-02-23 00:00:00+00,19.5,19.7,19.4,19.5,0,6539,254.72,15
2005-02-24 00:00:00+00,19.3,19.3,19.3,19.3,-1.03,230,8.88,2
2005-02-25 00:00:00+00,19.25,19.25,19.25,19.25,-0.26,131,5.04,2
